,No.,Title,Artist(s)
0,1,"""Physical""",Olivia Newton-John
1,2,"""Eye of the Tiger""",Survivor
2,3,"""I Love Rock 'n Roll""",Joan Jett & The Blackhearts
3,4,"""Ebony and Ivory""",Paul McCartney and Stevie Wonder
4,5,"""Centerfold""",The J. Geils Band
5,6,"""Don't You Want Me""",The Human League
6,7,"""Jack & Diane""",John Cougar
7,8,"""Hurts So Good""",John Cougar
8,9,"""Abracadabra""",Steve Miller Band
9,10,"""Hard to Say I'm Sorry""",Chicago
10,11,"""Tainted Love""",Soft Cell
11,12,"""Chariots of Fire""",Vangelis
12,13,"""Harden My Heart""",Quarterflash
13,14,"""Rosanna""",Toto
14,15,"""I Can't Go for That (No Can Do)""",Daryl Hall & John Oates
15,16,"""867-5309/Jenny""",Tommy Tutone
16,17,"""Key Largo""",Bertie Higgins
17,18,"""You Should Hear How She Talks About You""",Melissa Manchester
18,19,"""Waiting for a Girl Like You""",Foreigner
19,20,"""Don't Talk to Strangers""",Rick Springfield
20,21,"""The Sweetest Thing (I've Ever Known)""",Juice Newton
21,22,"""Always on My Mind""",Willie Nelson
22,23,"""Shake It Up""",The Cars
23,24,"""Let It Whip""",Dazz Band
24,25,"""We Got the Beat""",The Go-Go's
25,26,"""The Other Woman""",Ray Parker Jr.
26,27,"""Turn Your Love Around""",George Benson
27,28,"""Sweet Dreams""",Air Supply
28,29,"""Only the Lonely""",The Motels
29,30,"""Who Can It Be Now?""",Men at Work
30,31,"""Hold Me""",Fleetwood Mac
31,32,"""Eye in the Sky""",The Alan Parsons Project
32,33,"""Let's Groove""","Earth, Wind & Fire"
33,34,"""Open Arms""",Journey
34,35,"""Leader of the Band""",Dan Fogelberg
35,36,"""Leather and Lace""",Stevie Nicks and Don Henley
36,37,"""Even the Nights Are Better""",Air Supply
37,38,"""I've Never Been to Me""",Charlene
38,39,"""'65 Love Affair""",Paul Davis
39,40,"""Heat of the Moment""",Asia
40,41,"""Take It Easy on Me""",Little River Band
41,42,"""Pac-Man Fever""",Buckner & Garcia
42,43,"""That Girl""",Stevie Wonder
43,44,"""Private Eyes""",Daryl Hall & John Oates
44,45,"""Trouble""",Lindsey Buckingham
45,46,"""Making Love""",Roberta Flack
46,47,"""Love's Been a Little Bit Hard on Me""",Juice Newton
47,48,"""Young Turks""",Rod Stewart
48,49,"""Freeze-Frame""",The J. Geils Band
49,50,"""Keep the Fire Burnin'""",REO Speedwagon
50,51,"""Do You Believe in Love""",Huey Lewis and the News
51,52,"""Cool Night""",Paul Davis
52,53,"""Caught Up In You""",.38 Special
53,54,"""Why Do Fools Fall In Love?""",Diana Ross
54,55,"""Love in the First Degree""",Alabama
55,56,"""Hooked On Classics""",Royal Philharmonic Orchestra
56,57,"""Wasted on the Way""","Crosby, Stills & Nash"
57,58,"""Think I'm in Love""",Eddie Money
58,59,"""Love Is in Control (Finger on the Trigger)""",Donna Summer
59,60,"""Personally""",Karla Bonoff
60,61,"""One Hundred Ways""",Quincy Jones featuring James Ingram
61,62,"""Blue Eyes""",Elton John
62,63,"""Our Lips Are Sealed""",The Go-Go's
63,64,"""You Could Have Been with Me""",Sheena Easton
64,65,"""You Can Do Magic""",America
65,66,"""Did It in a Minute""",Daryl Hall & John Oates
66,67,"""I Ran (So Far Away)""",A Flock of Seagulls
67,68,"""Somebody's Baby""",Jackson Browne
68,69,"""Oh No""",Commodores
69,70,"""Take It Away""",Paul McCartney
70,71,"""It's Gonna Take a Miracle""",Deniece Williams
71,72,"""Love Will Turn You Around""",Kenny Rogers
72,73,"""Don't Stop Believin'""",Journey
73,74,"""Comin' In and Out of Your Life""",Barbra Streisand
74,75,"""Gloria""",Laura Branigan
75,76,"""Empty Garden (Hey Hey Johnny)""",Elton John
76,77,"""Yesterday's Songs""",Neil Diamond
77,78,"""Crimson and Clover""",Joan Jett & The Blackhearts
78,79,"""Every Little Thing She Does Is Magic""",The Police
79,80,"""Here I Am""",Air Supply
80,81,"""I Keep Forgettin' (Every Time You're Near)""",Michael McDonald
81,82,"""Get Down on It""",Kool & the Gang
82,83,"""Any Day Now""",Ronnie Milsap
83,84,"""Make a Move on Me""",Olivia Newton-John
84,85,"""Take My Heart (You Can Have It If You Want It)""",Kool & the Gang
85,86,"""Mirror Mirror""",Diana Ross
86,87,"""Vacation""",The Go-Go's
87,88,"""Oh, Pretty Woman""",Van Halen
88,89,"""Should I Do It""",The Pointer Sisters
89,90,"""Hot in the City""",Billy Idol
90,91,"""Kids in America""",Kim Wilde
91,92,"""Man on Your Mind""",Little River Band
92,93,"""What's Forever For""",Michael Murphey
93,94,"""Waiting on a Friend""",The Rolling Stones
94,95,"""Do I Do""",Stevie Wonder
95,96,"""Working for the Weekend""",Loverboy
96,97,"""Goin' Down""",Greg Guidry
97,98,"""Arthur's Theme (Best That You Can Do)""",Christopher Cross
98,99,"""Through the Years""",Kenny Rogers
99,100,"""Edge of Seventeen""",Stevie Nicks
