,No.,Title,Artist(s)
0,1,"""Shadow Dancing""",Andy Gibb
1,2,"""Night Fever""",Bee Gees
2,3,"""You Light Up My Life""",Debby Boone
3,4,"""Stayin' Alive""",Bee Gees
4,5,"""Kiss You All Over""",Exile
5,6,"""How Deep Is Your Love""",Bee Gees
6,7,"""Baby Come Back""",Player
7,8,"""(Love Is) Thicker Than Water""",Andy Gibb
8,9,"""Boogie Oogie Oogie""",A Taste of Honey
9,10,"""Three Times a Lady""",Commodores
10,11,"""Grease""",Frankie Valli
11,12,"""I Go Crazy""",Paul Davis
12,13,"""You're the One That I Want""",John Travolta & Olivia Newton-John
13,14,"""Emotion""",Samantha Sang
14,15,"""Lay Down Sally""",Eric Clapton
15,16,"""Miss You""",The Rolling Stones
16,17,"""Just the Way You Are""",Billy Joel
17,18,"""With a Little Luck""",Wings
18,19,"""If I Can't Have You""",Yvonne Elliman
19,20,"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""",Chic
20,21,"""Feels So Good""",Chuck Mangione
21,22,"""Hot Child in the City""",Nick Gilder
22,23,"""Love Is Like Oxygen""",Sweet
23,24,"""It's a Heartache""",Bonnie Tyler
24,25,"""We Will Rock You"" / ""We Are the Champions""",Queen
25,26,"""Baker Street""",Gerry Rafferty
26,27,"""Can't Smile Without You""",Barry Manilow
27,28,"""Too Much, Too Little, Too Late""",Johnny Mathis & Deniece Williams
28,29,"""Dance With Me""",Peter Brown
29,30,"""Two Out of Three Ain't Bad""",Meat Loaf
30,31,"""Jack And Jill""",Raydio
31,32,"""Take a Chance on Me""",ABBA
32,33,"""Sometimes When We Touch""",Dan Hill
33,34,"""Last Dance""",Donna Summer
34,35,"""Hopelessly Devoted to You""",Olivia Newton-John
35,36,"""Hot Blooded""",Foreigner
36,37,"""You're in My Heart (The Final Acclaim)""",Rod Stewart
37,38,"""The Closer I Get to You""",Roberta Flack & Donny Hathaway
38,39,"""Dust in the Wind""",Kansas
39,40,"""Magnet and Steel""",Walter Egan
40,41,"""Short People""",Randy Newman
41,42,"""Use ta Be My Girl""",The O'Jays
42,43,"""Our Love""",Natalie Cole
43,44,"""Love Will Find a Way""",Pablo Cruise
44,45,"""An Everlasting Love""",Andy Gibb
45,46,"""Love Is in the Air""",John Paul Young
46,47,"""Goodbye Girl""",David Gates
47,48,"""Slip Slidin' Away""",Paul Simon
48,49,"""The Groove Line""",Heatwave
49,50,"""Thunder Island""",Jay Ferguson
50,51,"""Imaginary Lover""",Atlanta Rhythm Section
51,52,"""Still the Same""",Bob Seger & The Silver Bullet Band
52,53,"""My Angel Baby""",Toby Beau
53,54,"""Disco Inferno""",The Trammps
54,55,"""On Broadway""",George Benson
55,56,"""Come Sail Away""",Styx
56,57,"""(Every Time I Turn Around) Back in Love Again""",L.T.D.
57,58,"""This Time I'm in It for Love""",Player
58,59,"""You Belong to Me""",Carly Simon
59,60,"""Here You Come Again""",Dolly Parton
60,61,"""Blue Bayou""",Linda Ronstadt
61,62,"""Peg""",Steely Dan
62,63,"""You Needed Me""",Anne Murray
63,64,"""Shame""","Evelyn ""Champagne"" King"
64,65,"""Reminiscing""",Little River Band
65,66,"""Count On Me""",Jefferson Starship
66,67,"""Baby Hold On""",Eddie Money
67,68,"""Hey Deanie""",Shaun Cassidy
68,69,"""Summer Nights""",John Travolta & Olivia Newton-John
69,70,"""What's Your Name""",Lynyrd Skynyrd
70,71,"""Don't It Make My Brown Eyes Blue""",Crystal Gayle
71,72,"""Because the Night""",Patti Smith Group
72,73,"""Every Kinda People""",Robert Palmer
73,74,"""Copacabana""",Barry Manilow
74,75,"""Always and Forever""",Heatwave
75,76,"""You and I""",Rick James
76,77,"""Serpentine Fire""","Earth, Wind & Fire"
77,78,"""Sentimental Lady""",Bob Welch
78,79,"""Falling""",LeBlanc & Carr
79,80,"""Don't Let Me Be Misunderstood""",Santa Esmeralda
80,81,"""Bluer Than Blue""",Michael Johnson
81,82,"""Running on Empty""",Jackson Browne
82,83,"""Whenever I Call You 'Friend'""",Kenny Loggins & Stevie Nicks
83,84,"""Fool (If You Think It's Over)""",Chris Rea
84,85,"""Get Off""",Foxy
85,86,"""Sweet Talkin' Woman""",Electric Light Orchestra
86,87,"""Life's Been Good""",Joe Walsh
87,88,"""I Love the Nightlife""",Alicia Bridges
88,89,"""You Can't Turn Me Off (In The Middle Of Turning Me On)""",High Inergy
89,90,"""It's So Easy""",Linda Ronstadt
90,91,"""Native New Yorker""",Odyssey
91,92,"""Flash Light""",Parliament
92,93,"""Don't Look Back""",Boston
93,94,"""Turn to Stone""",Electric Light Orchestra
94,95,"""I Can't Stand the Rain""",Eruption
95,96,"""Ebony Eyes""",Bob Welch
96,97,"""The Name of the Game""",ABBA
97,98,"""We're All Alone""",Rita Coolidge
98,99,"""Hollywood Nights""",Bob Seger & The Silver Bullet Band
99,100,"""Deacon Blues""",Steely Dan
