,No.,Title,Artist(s)
0,1,"""Blinding Lights""",The Weeknd
1,2,"""Circles""",Post Malone
2,3,"""The Box""",Roddy Ricch
3,4,"""Don't Start Now""",Dua Lipa
4,5,"""Rockstar""",DaBaby featuring Roddy Ricch
5,6,"""Adore You""",Harry Styles
6,7,"""Life Is Good""",Future featuring Drake
7,8,"""Memories""",Maroon 5
8,9,"""The Bones""",Maren Morris
9,10,"""Someone You Loved""",Lewis Capaldi
10,11,"""Say So""",Doja Cat
11,12,"""I Hope""",Gabby Barrett featuring Charlie Puth
12,13,"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne"
13,14,"""Dance Monkey""",Tones and I
14,15,"""Savage""",Megan Thee Stallion featuring Beyoncé
15,16,"""Roxanne""",Arizona Zervas
16,17,"""Intentions""",Justin Bieber featuring Quavo
17,18,"""Everything I Wanted""",Billie Eilish
18,19,"""Roses (Imanbek remix)""",Saint Jhn
19,20,"""Watermelon Sugar""",Harry Styles
20,21,"""Before You Go""",Lewis Capaldi
21,22,"""Falling""",Trevor Daniel
22,23,"""10,000 Hours""",Dan + Shay and Justin Bieber
23,24,"""WAP""",Cardi B featuring Megan Thee Stallion
24,25,"""Ballin'""",Mustard and Roddy Ricch
25,26,"""Hot Girl Bummer""",Blackbear
26,27,"""Blueberry Faygo""",Lil Mosey
27,28,"""Heartless""",The Weeknd
28,29,"""Bop""",DaBaby
29,30,"""Lose You to Love Me""",Selena Gomez
30,31,"""Good as Hell""",Lizzo
31,32,"""Toosie Slide""",Drake
32,33,"""Break My Heart""",Dua Lipa
33,34,"""Chasin' You""",Morgan Wallen
34,35,"""Savage Love (Laxed – Siren Beat)""",Jawsh 685 and Jason Derulo
35,36,"""No Guidance""",Chris Brown featuring Drake
36,37,"""My Oh My""",Camila Cabello featuring DaBaby
37,38,"""Dynamite""",BTS
38,39,"""Go Crazy""",Chris Brown and Young Thug
39,40,"""High Fashion""",Roddy Ricch featuring Mustard
40,41,"""Laugh Now Cry Later""",Drake featuring Lil Durk
41,42,"""Woah""",Lil Baby
42,43,"""Death Bed""",Powfu featuring Beabadoobee
43,44,"""Señorita""",Shawn Mendes and Camila Cabello
44,45,"""Highest in the Room""",Travis Scott
45,46,"""Bad Guy""",Billie Eilish
46,47,"""Mood""",24kGoldn featuring Iann Dior
47,48,"""Rain on Me""",Lady Gaga and Ariana Grande
48,49,"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby
49,50,"""Ritmo (Bad Boys for Life)""",Black Eyed Peas and J Balvin
50,51,"""Heart on Ice""",Rod Wave
51,52,"""Nobody but You""",Blake Shelton and Gwen Stefani
52,53,"""Trampoline""",Shaed
53,54,"""Come & Go""",Juice Wrld and Marshmello
54,55,"""Truth Hurts""",Lizzo
55,56,"""If the World Was Ending""",JP Saxe featuring Julia Michaels
56,57,"""We Paid""",Lil Baby and 42 Dugg
57,58,"""Yummy""",Justin Bieber
58,59,"""One Man Band""",Old Dominion
59,60,"""Got What I Got""",Jason Aldean
60,61,"""Sunday Best""",Surfaces
61,62,"""Godzilla""",Eminem featuring Juice Wrld
62,63,"""Bandit""",Juice Wrld and YoungBoy Never Broke Again
63,64,"""Party Girl""",StaySolidRocky
64,65,"""Die from a Broken Heart""",Maddie & Tae
65,66,"""Popstar""",DJ Khaled featuring Drake
66,67,"""All I Want for Christmas Is You""",Mariah Carey
67,68,"""One of Them Girls""",Lee Brice
68,69,"""Hard to Forget""",Sam Hunt
69,70,"""One Margarita""",Luke Bryan
70,71,"""Panini""",Lil Nas X
71,72,"""Hot""",Young Thug featuring Gunna
72,73,"""I Hope You're Happy Now""",Carly Pearce and Lee Brice
73,74,"""Emotionally Scarred""",Lil Baby
74,75,"""Suicidal""",YNW Melly featuring Juice Wrld
75,76,"""The Bigger Picture""",Lil Baby
76,77,"""Only Human""",Jonas Brothers
77,78,"""The Woo""",Pop Smoke featuring 50 Cent and Roddy Ricch
78,79,"""Sum 2 Prove""",Lil Baby
79,80,"""Stuck with U""",Ariana Grande and Justin Bieber
80,81,"""Mood Swings""",Pop Smoke featuring Lil Tjay
81,82,"""You Should Be Sad""",Halsey
82,83,"""Dior""",Pop Smoke
83,84,"""Supalonely""",Benee featuring Gus Dapperton
84,85,"""Even Though I'm Leaving""",Luke Combs
85,86,"""The Scotts""",The Scotts (Travis Scott and Kid Cudi)
86,87,"""Juicy""",Doja Cat and Tyga
87,88,"""Be Like That""","Kane Brown, Swae Lee and Khalid"
88,89,"""Homesick""",Kane Brown
89,90,"""Rags2Riches""",Rod Wave featuring ATR Son Son
90,91,"""Bluebird""",Miranda Lambert
91,92,"""Wishing Well""",Juice Wrld
92,93,"""Does to Me""",Luke Combs featuring Eric Church
93,94,"""Pussy Fairy (OTW)""",Jhené Aiko
94,95,"""ILY (I Love You Baby)""",Surf Mesa featuring Emilee
95,96,"""More Than My Hometown""",Morgan Wallen
96,97,"""Lovin' on You""",Luke Combs
97,98,"""Said Sum""",Moneybagg Yo
98,99,"""Slide""",H.E.R. featuring YG
99,100,"""Walk Em Down""",NLE Choppa featuring Roddy Ricch
