,No.,Title,Artist(s)
0,1,"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus
1,2,"""Sunflower""",Post Malone and Swae Lee
2,3,"""Without Me""",Halsey
3,4,"""Bad Guy""",Billie Eilish
4,5,"""Wow""",Post Malone
5,6,"""Happier""",Marshmello and Bastille
6,7,"""7 Rings""",Ariana Grande
7,8,"""Talk""",Khalid
8,9,"""Sicko Mode""",Travis Scott
9,10,"""Sucker""",Jonas Brothers
10,11,"""High Hopes""",Panic! at the Disco
11,12,"""Thank U, Next""",Ariana Grande
12,13,"""Truth Hurts""",Lizzo
13,14,"""Dancing with a Stranger""",Sam Smith and Normani
14,15,"""Señorita""",Shawn Mendes and Camila Cabello
15,16,"""I Don't Care""",Ed Sheeran and Justin Bieber
16,17,"""Eastside""","Benny Blanco, Halsey and Khalid"
17,18,"""Going Bad""",Meek Mill featuring Drake
18,19,"""Shallow""",Lady Gaga and Bradley Cooper
19,20,"""Better""",Khalid
20,21,"""No Guidance""",Chris Brown featuring Drake
21,22,"""Girls Like You""",Maroon 5 featuring Cardi B
22,23,"""Sweet but Psycho""",Ava Max
23,24,"""Suge""",DaBaby
24,25,"""Middle Child""",J. Cole
25,26,"""Drip Too Hard""",Lil Baby and Gunna
26,27,"""Someone You Loved""",Lewis Capaldi
27,28,"""Ransom""",Lil Tecca
28,29,"""If I Can't Have You""",Shawn Mendes
29,30,"""Goodbyes""",Post Malone featuring Young Thug
30,31,"""Zeze""",Kodak Black featuring Travis Scott and Offset
31,32,"""Better Now""",Post Malone
32,33,"""Youngblood""",5 Seconds of Summer
33,34,"""Money in the Grave""",Drake featuring Rick Ross
34,35,"""Speechless""",Dan + Shay
35,36,"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande
36,37,"""Please Me""",Cardi B and Bruno Mars
37,38,"""Money""",Cardi B
38,39,"""You Need to Calm Down""",Taylor Swift
39,40,"""Panini""",Lil Nas X
40,41,"""Look Back at It""",A Boogie wit da Hoodie
41,42,"""A Lot""",21 Savage
42,43,"""Me!""",Taylor Swift featuring Brendon Urie
43,44,"""Mia""",Bad Bunny featuring Drake
44,45,"""Pop Out""",Polo G featuring Lil Tjay
45,46,"""Beautiful Crazy""",Luke Combs
46,47,"""Thotiana""",Blueface
47,48,"""Lucid Dreams""",Juice Wrld
48,49,"""Mo Bamba""",Sheck Wes
49,50,"""Beautiful People""",Ed Sheeran featuring Khalid
50,51,"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black"
51,52,"""Whiskey Glasses""",Morgan Wallen
52,53,"""God's Country""",Blake Shelton
53,54,"""Be Alright""",Dean Lewis
54,55,"""Pure Water""",Mustard and Migos
55,56,"""The Git Up""",Blanco Brown
56,57,"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B"
57,58,"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee
58,59,"""Envy Me""",Calboy
59,60,"""You Say""",Lauren Daigle
60,61,"""Hey Look Ma, I Made It""",Panic! at the Disco
61,62,"""Circles""",Post Malone
62,63,"""Beer Never Broke My Heart""",Luke Combs
63,64,"""The London""","Young Thug, J. Cole and Travis Scott"
64,65,"""Con Calma""",Daddy Yankee and Katy Perry featuring Snow
65,66,"""Murder on My Mind""",YNW Melly
66,67,"""When the Party's Over""",Billie Eilish
67,68,"""Act Up""",City Girls
68,69,"""I Like It""","Cardi B, Bad Bunny and J Balvin"
69,70,"""Trampoline""",Shaed
70,71,"""Leave Me Alone""",Flipp Dinero
71,72,"""Breathin""",Ariana Grande
72,73,"""Bury a Friend""",Billie Eilish
73,74,"""Close Friends""",Lil Baby
74,75,"""Baby Shark""",Pinkfong
75,76,"""My Type""",Saweetie
76,77,"""Worth It""",YK Osiris
77,78,"""Only Human""",Jonas Brothers
78,79,"""Knockin' Boots""",Luke Bryan
79,80,"""Trip""",Ella Mai
80,81,"""Rumor""",Lee Brice
81,82,"""Swervin""",A Boogie wit da Hoodie featuring 6ix9ine
82,83,"""How Do You Sleep?""",Sam Smith
83,84,"""Baby""",Lil Baby and DaBaby
84,85,"""Look What God Gave Her""",Thomas Rhett
85,86,"""Good as You""",Kane Brown
86,87,"""Clout""",Offset featuring Cardi B
87,88,"""Love Lies""",Khalid and Normani
88,89,"""One Thing Right""",Marshmello and Kane Brown
89,90,"""Cash Shit""",Megan Thee Stallion featuring DaBaby
90,91,"""Tequila""",Dan + Shay
91,92,"""Shotta Flow""",NLE Choppa
92,93,"""Hot Girl Summer""",Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign
93,94,"""Talk You Out of It""",Florida Georgia Line
94,95,"""Beautiful""",Bazzi featuring Camila Cabello
95,96,"""Eyes on You""",Chase Rice
96,97,"""All to Myself""",Dan + Shay
97,98,"""Boyfriend""",Ariana Grande and Social House
98,99,"""Walk Me Home""",Pink
99,100,"""Robbery""",Juice Wrld
