,No.,Title,Artist(s)
0,1,"""Last Night""",Morgan Wallen
1,2,"""Flowers""",Miley Cyrus
2,3,"""Kill Bill""",SZA
3,4,"""Anti-Hero""",Taylor Swift
4,5,"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage"
5,6,"""Calm Down""",Rema and Selena Gomez
6,7,"""Die for You""",The Weeknd and Ariana Grande
7,8,"""Fast Car""",Luke Combs
8,9,"""Snooze""",SZA
9,10,"""I'm Good (Blue)""",David Guetta and Bebe Rexha
10,11,"""Unholy""",Sam Smith and Kim Petras
11,12,"""You Proof""",Morgan Wallen
12,13,"""Something in the Orange""",Zach Bryan
13,14,"""Rich Flex""",Drake and 21 Savage
14,15,"""As It Was""",Harry Styles
15,16,"""Rock and a Hard Place""",Bailey Zimmerman
16,17,"""Under the Influence""",Chris Brown
17,18,"""Cruel Summer""",Taylor Swift
18,19,"""Thinkin' Bout Me""",Morgan Wallen
19,20,"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice
20,21,"""Favorite Song""",Toosii
21,22,"""Thought You Should Know""",Morgan Wallen
22,23,"""Thank God""",Kane Brown and Katelyn Brown
23,24,"""Sure Thing""",Miguel
24,25,"""All My Life""",Lil Durk featuring J. Cole
25,26,"""Ella Baila Sola""",Eslabon Armado and Peso Pluma
26,27,"""Karma""",Taylor Swift featuring Ice Spice
27,28,"""Just Wanna Rock""",Lil Uzi Vert
28,29,"""Cuff It""",Beyoncé
29,30,"""Vampire""",Olivia Rodrigo
30,31,"""FukUMean""",Gunna
31,32,"""Lavender Haze""",Taylor Swift
32,33,"""Players""",Coi Leray
33,34,"""Need a Favor""",Jelly Roll
34,35,"""Dance the Night""",Dua Lipa
35,36,"""Love You Anyway""",Luke Combs
36,37,"""One Thing at a Time""",Morgan Wallen
37,38,"""Superhero (Heroes & Villains)""","Metro Boomin, Future and Chris Brown"
38,39,"""Bad Habit""",Steve Lacy
39,40,"""La Bebé""",Yng Lvcas and Peso Pluma
40,41,"""Golden Hour""",Jvke
41,42,"""Religiously""",Bailey Zimmerman
42,43,"""Spin Bout U""",Drake and 21 Savage
43,44,"""Cupid""",Fifty Fifty
44,45,"""Search & Rescue""",Drake
45,46,"""Barbie World""",Nicki Minaj and Ice Spice with Aqua
46,47,"""Next Thing You Know""",Jordan Davis
47,48,"""Escapism""",Raye featuring 070 Shake
48,49,"""Un x100to""",Grupo Frontera and Bad Bunny
49,50,"""Until I Found You""",Stephen Sanchez
50,51,"""Shirt""",SZA
51,52,"""Paint the Town Red""",Doja Cat
52,53,"""Made You Look""",Meghan Trainor
53,54,"""Wait in the Truck""",Hardy featuring Lainey Wilson
54,55,"""All I Want for Christmas Is You""",Mariah Carey
55,56,"""Everything I Love""",Morgan Wallen
56,57,"""Chemical""",Post Malone
57,58,"""Heart Like a Truck""",Lainey Wilson
58,59,"""Going, Going, Gone""",Luke Combs
59,60,"""Rockin' Around the Christmas Tree""",Brenda Lee
60,61,"""Dancin' in the Country""",Tyler Hubbard
61,62,"""Daylight""",David Kushner
62,63,"""Lift Me Up""",Rihanna
63,64,"""Eyes Closed""",Ed Sheeran
64,65,"""TQG""",Karol G and Shakira
65,66,"""Try That in a Small Town""",Jason Aldean
66,67,"""Tennessee Orange""",Megan Moroney
67,68,"""Jingle Bell Rock""",Bobby Helms
68,69,"""Princess Diana""",Ice Spice and Nicki Minaj
69,70,"""Tomorrow 2""",GloRilla and Cardi B
70,71,"""A Holly Jolly Christmas""",Burl Ives
71,72,"""Where She Goes""",Bad Bunny
72,73,"""Bebe Dame""",Fuerza Regida and Grupo Frontera
73,74,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves
74,75,"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat
75,76,"""What It Is (Block Boy)""",Doechii featuring Kodak Black
76,77,"""Nobody Gets Me""",SZA
77,78,"""Rich Men North of Richmond""",Oliver Anthony Music
78,79,"""Super Freaky Girl""",Nicki Minaj
79,80,"""Dial Drunk""",Noah Kahan and Post Malone
80,81,"""What Was I Made For?""",Billie Eilish
81,82,"""Seven""",Jung Kook featuring Latto
82,83,"""Wait for U""",Future featuring Drake and Tems
83,84,"""Last Christmas""",Wham!
84,85,"""Handle on You""",Parker McCollum
85,86,"""Por Las Noches""",Peso Pluma
86,87,"""Memory Lane""",Old Dominion
87,88,"""Area Codes""",Kaliii
88,89,"""Bury Me in Georgia""",Kane Brown
89,90,"""PRC""",Peso Pluma and Natanael Cano
90,91,"""What My World Spins Around""",Jordan Davis
91,92,"""Ain't That Some""",Morgan Wallen
92,93,"""Wild as Her""",Corey Kent
93,94,"""Peaches & Eggplants""",Young Nudy featuring 21 Savage
94,95,"""I Wrote the Book""",Morgan Wallen
95,96,"""Bzrp Music Sessions, Vol. 53""",Bizarrap and Shakira
96,97,"""Meltdown""",Travis Scott featuring Drake
97,98,"""Put It on da Floor Again""",Latto featuring Cardi B
98,99,"""Bloody Mary""",Lady Gaga
99,100,"""Watermelon Moonshine""",Lainey Wilson
