Unnamed: 0,№,Title,Artist(s),lyrics,genres
20,21,"""Stuck with You""",Huey Lewis and the News,"16 ContributorsStuck with You Lyrics“Stuck with You” is a hit single by Huey Lewis and the News, written by guitarist Chris Hayes and lead singer Huey Lewis, released in 1986. It was the first single from the band’s fourth album, Fore!. The… Read More 
We've had some fun
Yes, we've had our ups and downs
Been down that rocky road
But here we are still around
We thought about someone else
But neither one took the bait
We thought about breaking up
Now we know it's much too late

We are bound by all the rest
Like the same phone number
All the same friends
And the same address

(Ooh) Yes, it's true (yes it's true)
I am happy to be stuck with you
(Ooh) Yes, it's true (yes it's true)
I'm so happy to be stuck with you
(Ooh) 'Cause I can see (I can see)
That you're happy to be stuck with me


(ooh, wa-ooh)
We've had our doubts
We never took them seriously
(ooh, wa-ooh)
And we've had our ins and outs
But that's the way it's s'posed to be
We thought about giving up (giving up)
But we could never stay away
We thought about breaking up (ooh, wa ooh)
But now we know it's much too late

And it's no great mystery (Ooh)
If we change our minds
Eventually
It's back to you and me

(Ooh) Yes, it's true (yes, it's true)
I am happy to be stuck with you
(Ooh) Yes, it's true (yes, it's true)
I'm so happy to be stuck with you
(Ooh) 'Cause I can see (I can see)
That you're happy to be stuck with me


We are bound by all the rest
Like the same phone number
All the same friends
And the same address

(Ooh) Yes, it's true (yes it's true)
I am happy to be stuck with you
(Ooh) Yes, it's true (yes it's true)
I'm so happy to be stuck with you
(Ooh) 'cause I can see (I can see)
That you're happy to be stuck with me
(Ooh, yes, it's true) I'm so happy to be stuck with you
(Ooh, wa-ooh) I'm happy to be stuck with you
(Ooh, wa-ooh) Happy to be stuck with you
(Ooh, yes, it's true)","80s, rock, classic rock, pop, Pop-Rock"
21,22,"""Holding Back the Years""",Simply Red,"37 ContributorsTranslationsDeutschHolding Back the Years Lyrics“Holding Back the Years” tells of the troubled upbringing lead singer Mick Hucknall had during his youth. The difficulty he had finding support from a stern father and a mother that wasn’t there often enough.… Read More 
Holding back the years
Thinking of the fear I've had so long
When somebody hears
Listen to the fear that's gone

Strangled by the wishes of pater
Hoping for the arms of mater
Get to me the sooner or later, oh

Holding back the years
Chance for me escape from all I've known
Holding back the tears
'Cause nothing here has grown

I've wasted all my tears
Wasted all those years
Nothing had the chance to be good
Nothing ever could yeah, oh well

I'll keep holding on
I'll keep holding on
I'll keep holding on
I'll keep holding on
So tight

Alright
Oh, now
Well, I've wasted all my tears
Wasted all of those years
And nothing had the chance to be good
'Cause nothing ever could, oh, yeah
Oh

I'll keep holding on
I'll keep holding on
I'll keep holding on
I'll keep holding on
Holding, holding, holding

Oh, la-la, la-la, la-la
I say, ooh, well
That's all I have today
It's all I have to say","pop, soul, 80s, british, rock"
22,23,"""Sledgehammer""",Peter Gabriel,"61 ContributorsSledgehammer LyricsThe second track off of Peter Gabriel’s 1986 album So. It also provided Gabriel with his only #1 hit on the Billboard Hot 100 (peaking in July 1986).
The song is centered around Gabriel trying to woo someone… Read More 
Hey, hey, you
Tell me how have you been?

You could have a steam train
If you just lay down your tracks
You could have an aeroplane flying
If you bring your blue sky back
All you do is call me
I'll be anything you need

You could have a big dipper
Going up and down, all around the bends
You could have a bumper car, bumping
This amusement never ends

I wanna be your sledgehammer
Why don't you call my name?
Wow! Oh, let me be your sledgehammer
This will be my testimony
Yeah (Yeah)

Show me 'round your fruit cage
'Cause I will be your honey bee
Open up your fruit cage
Where the fruit is as sweet as can be

I wanna be your sledgehammer
Why don't you call my name?
You'd better call the sledgehammer
Put your mind at rest
I'm going to be the sledgehammer
This can be my testimony
Wow! I'm your sledgehammer
Let there be no doubt about it

Sledge, sledge
Sledgehammer
I get it right
I kicked the habit (Kicked the habit, kicked the habit)
Shed my skin (Shed my skin)
This is the new stuff (This is the new stuff)
I go dancing in (We can go dancing in)
Oh, won't you show for me? (Show for me)
I will show for you (Show for you)
Hey, show for me, huh (Show for me)
I will show for you
Yeah, yeah, yeah, yeah
Yeah, I do mean you
(Show for me)
Only you, you been coming through
(Show for you)
I'm gonna build that power
Build, build up that power, hah
(Show for me)
Hah, I've been feeding the rhythm, huh
I've been feeding the rhythm
(Show for you)
Gonna feel that power, hey, build in you
(Show for me)
Hah, come on, come on, help me do
Come on, come on, help me do
(Show for you)
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, you
(Show for me)
I've been feeding the rhythm
I've been feeding the rhythm
(Show for you)
It's what we're doing, doing
All day and night
(Show for me)
Come on, come on, help me do
Come on, come on, help me do
(Show for you)
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, you
(Show for me)
I've been feeding the rhythm…","Progressive rock, rock, singer-songwriter, classic rock, pop"
23,24,"""Sara""",Starship,"12 ContributorsSara LyricsSara was named after the then-wife of Starship’s Mickey Thomas.
The song topped the Billboard Hot 100 and Adult Contemporary chart for a week each in 1986.
Go now
Don't look back
We've drawn the line
Move on
It's no good to go back in time

I'll never find another girl like you
For happy endings
It takes two
We're fire and ice
A dream won't come true

Sara, Sara
Storms are brewing in your eyes
Sara, Sara
No time is a good time for goodbyes

Danger
In the game when the stakes are high
Branded
My heart was branded
While my senses stood by

I'll never find another girl like you
For happy endings
It takes two
We're fire and ice
A dream won't come true

Sara, Sara
Storms are brewing in your eyes
Sara, Sara
No time is a good time for goodbyes
Sara, Sara
Storms are brewing in your eyes (oh)
Sara, Sara
No time is a good time for goodbyes

('Cause Sara)
Loved me
Like no one ever loved me before
(And Sara)
Hurt me
No one could ever hurt me more
(And Sara)
Sara
(And Sara)
Nobody loved me anymore


I'll never find another girl like you
No
We're fire and ice
A dream won't come true

Sara, Sara
No time is a good time, no

Sara, Sara
Storms are brewing in your eyes
Sara, Sara
No time is a good time for goodbyes
Ooh
Sara, Sara, Sara
Storms are brewing in your eyes
Sara, Sara
No time is a good time, no

(Sara, Sara)
Ooh, Sara
(Sara, Sara)
Why did it--
Why did it--
Why did it all fall apart?
(Sara, Sara)
(Sara, Sara)
(Sara, Sara)","80s, rock, classic rock, pop, soft rock"
24,25,"""Human""",The Human League,"19 ContributorsHuman Lyrics“Human” is a love ballad describing the relationship between a man and a woman reuniting after some time being apart being apart.
It was a much needed return for the synth-pop trio, who were falling off… Read More 
Come on, baby, dry your eyes
Wipe your tears
Never like to see you cry
Won't you please forgive me
I wouldn't ever try to hurt you
I just needed someone to hold me
To fill the void while you were gone
To fill this space of emptiness

I'm only human
Of flesh and blood I'm made
Human
Born to make mistakes

So many nights I longed to hold you
So many times I looked and saw your face
Nothing could change the way I feel
No one else could ever take your place

I'm only human
Of flesh and blood I'm made
Human
Born to make mistakes
(I am just a man) Human
(Human) Please forgive me

The tears I cry aren't tears of pain
They're all to hide my guilt and shame
I forgive you, now I ask the same of you
While we were apart, I was human too

(Human
Human)
I'm only human
Of flesh and blood I'm made (I am just a man)
Human
Born to make mistakes

(Human
Human)","new wave, synthpop, 80s, electronic, synth pop"
25,26,"""I Can't Wait""",Nu Shooz,"25 ContributorsI Can’t Wait Lyrics“I Can’t Wait” is a hit song by husband-and-wife duo Nu Shooz. Originally the song was released independently in 1985 on an EP called Tha’s Right. It became a regional hit on radio stations in Portland… Read More 
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh-oh-oh-oh, oh, oh
Baby, I-I-I can't wait
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh-oh, oh, oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh-oh, oh, oh

My love, tell me what it's all about
You've got something that I can't live without
Happiness, is so hard to find
Hey baby, tell me what is on your mind

'Cause I can't wait (Baby, I can't wait)
'Til you call me on the telephone
I can't wait (Baby, I can't wait)
'Til we're all alone (I can't wait)

Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh-oh, oh, oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh-oh
Oh-oh, oh, oh, oh, oh, oh-oh
Oh-oh, oh-oh, oh, oh

You know I love you even when you don't try
I know that our love will never die
Hey, darling, when you look into my eye
Please tell me, you'll never have to say goodbye

'Cause I can't wait (Baby, I can't wait)
This is what I've been waiting for
I can't wait (Baby, I can't wait)
'Til my love walked in the door
I can't wait (Baby, I can't wait)
True love is so hard to find
I found yours, you found mine
I can't wait (Baby, I can't wait)
Tell me what is on your mind

(I can't wait) I can't wait
Say it one more time (Baby, I can't wait)
Tell me what is on your mind
Oh, I can't wait (Baby, I can't wait)
This is what I've been waiting for
Oh, I can't wait (Baby, I can't wait)
'Til my love walked in the door","dance, 80s, pop, Disco, freestyle"
26,27,"""Take My Breath Away""",Berlin,"46 ContributorsTranslationsTürkçeFrançaisDeutschTake My Breath Away Lyrics“Take My Breath Away” is a song by American new-wave band Berlin written and produced by Giorgio Moroder for the film Top Gun and helped the soundtrack become not only the best selling of 1986, but eventually… Read More 
Watching every motion in my foolish lover's game
On this endless ocean, finally lovers know no shame
Turning and returning to some secret place inside
Watching in slow motion as you turn around and say

""Take my breath away""
""Take my breath away""

Watching, I keep waiting, still anticipating love
Never hesitating to become the fated ones
Turning and returning to some secret place to hide
Watching in slow motion as you turn to me and say

""My love, take my breath away""

Through the hourglass, I saw you
In time, you slipped away
When the mirror crashed I called you
And turned to hear you say
""If only for today, I am unafraid""

""Take my breath away""
""Take my breath away""

Watching every motion in this foolish lover's game
Haunted by the notion somewhere there's a love in flames
Turning and returning to some secret place inside
Watching in slow motion as you turn my way and say

""Take my breath away""
""My love, take my breath away""
""My love, take my breath away, my love""
""My love, take my breath away, my love""
""Take my breath away...""","new wave, 80s, pop, synth pop, female vocalists"
27,28,"""Rock Me Amadeus""",Falco,"40 ContributorsTranslationsEnglishRock Me Amadeus Lyrics„Rock Me Amadeus“ ist der bekannteste Song von Falco, welchen er für sein drittes Studioalbum Falco 3 aufgenommen hat. Der Song wurde von Falco zusammen mit dem niederländischen Produzenten-Duo Bolland &… Read More 

Rock me, rock me, rock me, rock me, rock me, Amadeus
Do it, do it
(Ey)
Rock me  to the top

Er war ein Punker und er lebte in der großen Stadt
Es war in Wien, war Vienna, wo er alles tat
Er hatte Schulden, denn er trank, doch ihn liebten alle Frau'n
Und jede rief: „Now come and rock me, Amadeus“

Er war Superstar, er war populär
Er war so exaltiert, because er hatte Flair
Er war ein Virtuose, war 'n Rockidol
Und alles rief: „Now come and rock me, Amadeus, do it“

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus
Oh, oh, oh, Amadeus (Now come and rock me, Amadeus, do it)
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus
Oh, oh, oh, Amadeus (Ey)

Es war um 1780 und es war in Wien
No plastic money anymore, die Banken gegen ihn
Woher die Schulden kamen, war wohl jedermann bekannt
Er war ein Mann der Frau'n, Frau'n liebten seinen Punk

Er war Superstar, er war so populär
Er war zu exaltiert, genau das war sein Flair
Er war ein Virtuose, war 'n Rockidol
Und alles ruft noch heute: „Come and rock me, Amadeus, do it“

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus
Oh, oh, oh, Amadeus (Now come and rock me, Amadeus, Ama—)
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus
Oh, oh, oh, Amadeus (Now come and rock me, Amadeus, de-de)

Oh-ah, oh-ah-ah-ah
Oh-oh-ah, oh-ah-ah
Oh-oh-ah, ah-oh-oh-ah
Now come and rock me, Amadeus, do it
Da, da-da, da, da-da-da-da-da
Da-da, rock me, baby, Amadeus
(Amadeus, Amadeus, Amadeus)

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus
Oh, oh, oh, Amadeus (Now come and rock me, Amadeus, rock me, do it)
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus
Oh, oh, oh, Amadeus (Amadeus, Amadeus)

(Amadeus, Amadeus)
Amadeus, Amadeus
Ah, come and rock me
Now come and rock me to the top (Ama-Ama-Ama-Amadeus)
(Ama-Ama-Ama-Amadeus)
Now come and rock, now come and rock me, Amadeus
Da-da-da-da-da-da-n-da
Oh, oh-oh-oh
Amadeus","pop, 80s, new wave, austrian, german"
28,29,"""Papa Don't Preach""",Madonna,"40 ContributorsTranslationsPortuguêsItalianoУкраїнськаPapa Don’t Preach LyricsMadonna’s controversial hit hated by many, including feminists, and loved by others, was inspired by gossiping teenagers overheard by songwriter Brian Elliot. Depending on how one views this song, it could be… Read More 
Papa, I know you're going to be upset
'Cause I was always your little girl
But you should know by now
I'm not a baby
You always taught me right from wrong
I need your help, daddy, please be strong
I may be young at heart
But I know what I'm saying

The one you warned me all about
The one you said I could do without
We're in an awful mess
And I don't mean maybe, please

Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
But I made up my mind, I'm
Keeping my baby, ooh
I'm gonna keep my baby, mm

He says that he's going to marry me
And we can raise a little family
Maybe we'll be all right
It's a sacrifice

But my friends keep telling me to give it up
Saying I'm too young, I ought to live it up
What I need right now
Is some good advice, please

Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
But I made up my mind, I'm
Keeping my baby, ooh
I'm gonna keep my baby, ooh, ooh

Daddy, daddy if you could only see
Just how good he's been treating me
You'd give us your blessing right now
'Cause we are in love
We are in love (In love), so, please (So)

Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
But I made up my mind, I'm
Keeping my baby, ooh
I'm gonna keep my baby, ooh, ooh

Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
Papa, don't preach (Oh, I'm gonna keep my baby)
Papa, don't preach (Ooh)
Papa, don't preach (Don't you stop loving me, daddy)
Papa, don't preach (I know I'm keeping my baby)","pop, dance, female vocalists, 80s, electronic"
29,30,"""You Give Love a Bad Name""",Bon Jovi,"73 ContributorsTranslationsPortuguêsYou Give Love a Bad Name LyricsSongwriter Desmond Child had written the song “If You Were a Woman (And I Was a Man)” for Bonnie Tyler, but was unsatisfied with its chart performance. So he brought the music to Bon Jovi and they rewrote it… Read More 
Shot through the heart and you're to blame
Darling, you give love a bad name

An angel's smile is what you sell
You promised me heaven, then put me through hell
Chains of love got a hold on me
When passion's a prison, you can't break free

Woah, you're a loaded gun, yeah
Oh, there's nowhere to run
No one can save me, the damage is done

Shot through the heart and you're to blame
You give love a bad name (Bad name)
I play my part and you play your game
You give love a bad name (Bad name)
Yeah, you give love a bad name

Paint your smile on your lips
Blood red nails on your fingertips
A school boy's dream, you act so shy
Your very first kiss was your first kiss goodbye

Woah, you're a loaded gun
Oh, there's nowhere to run
No one can save me, the damage is done

Shot through the heart and you're to blame
You give love a bad name (Bad name)
I play my part and you play your game
You give love a bad name (Bad name)
You give love a—


Oh, shot through the heart and you're to blame
You give love a bad name
I play my part and you play your game
You give love a bad name (Bad name)
Shot through the heart and you're to blame
You give love a bad name (Bad name)
I play my part and you play your game
You give love a bad name (Bad name)

You give love
You give love, bad name
You give love
You give love, bad name
You give love
You give love, bad name
You give love
You give love, bad name","rock, hard rock, classic rock, 80s, hair metal"
30,31,"""When the Going Gets Tough, the Tough Get Going""",Billy Ocean,"22 ContributorsWhen the Going Gets Tough, the Tough Get Going LyricsWhen the going gets tough
The tough get going, tough, tough, huh, huh, huh
When the going gets tough, the tough get ready
Yeah, ooooh, do da do da
I got something to tell you
I got something to say
I'm gonna put this dream in motion
Never let nothing stand in my way
When the going gets tough
The tough get going
I'm gonna get myself 'cross the river
That's the price I'm willing to pay
I'm gonna make you stand and deliver
And give me love in the old-fashion way
Woooh
Darlin', I'll climb any mountain
Darlin', I'll do anything
Ooh (ooh), can I touch you (can I touch you)
And do the things that lovers do
Ooh (ooh), want to hold you (wanna hold you)
I gotta get it through to you, oooh

When the going gets tough
The tough get going
When the going gets rough
The tough get rough
Hey, hey, hey, hey, hey
Ooooh baby
I'm gonna buy me a one-way ticket
Nothin's gonna hold me back
Your love's like a slow train coming (slow train coming)
And I can feel it coming down the track (woh)
Darlin', I'll climb any mountain
Darlin', I'll do anything
Ooh (ooh) can I touch you (can I touch you)
And do the things that lovers do
Ooh, (ooh) want to hold you (wanna hold you)
I gotta get it through to you (ooh)
Cause when the going gets tough
The tough get going
When the going gets rough
The tough get rough
Yeah, yeah, yeah, yeah, yeah
Wooh, yeah, yeah, yeah, yeah

Darlin', I'll climb any mountain
Darlin', I'll swim every sea
Darlin', I'll reach for the heaven
Darlin', with you lovin' me
Oooh (oooh)
Oooh, can I touch you (can I touch you)
And do the things that lovers do (can I touch you)
Oooh (ooh), want to hold you (wanna hold you)
I gotta get it through to you
When the going gets tough
Going gets tough
Going gets rough
Going gets rough","pop, soul, 80s, Disco, rnb"
31,32,"""When I Think of You""",Janet Jackson,"14 ContributorsWhen I Think of You Lyrics“When I Think of You” is the third single released from Janet Jackson’s third album Control.
On the Billboard Hot 100, the song became the album’s third consecutive top ten hit, as well as Jackson’s first #1… Read More 
Ooh, baby
Anytime my world gets crazy
All I have to do to calm it
Is just think of you

It's when I think of you, baby
Nothing else seems to matter
It's when I think of you, baby
All I think about is our love

I just get more attached to you
When you hold me in your arms
And squeeze me
And you leave me making me blue

It's when I think of you, baby
Nothing else seems to matter
It's when I think of you, baby
All I think about is our love

So in love (So in love)
Ooh (So in love), With you (So in love)
Baby (So in love), ooh, (So in love)
Yeah (So in love), with you (So in love)
(So in love)

When I think of you
(When I think of you)
When I think of you
(When I think of you)
Bass

I'm so in love
I just think of you
When you're not around, I
When I think of you

(So in love) Ooh (So in love)
So in love (So in love), with you (So in love)
Baby, you (So in love), ooh (So in love)
So in love (So in love), with you (So in love)

Break
Feels so good
When I think of you
Yeah, yeah, yeah","pop, rnb, female vocalists, dance, soul"
32,33,"""These Dreams""",Heart,"16 ContributorsThese Dreams Lyrics“These Dreams” was first offered to Stevie Nicks, who turned it down. After Heart signed with Capitol Records, they were impressed with the song & they agreed to use it for their self-titled album.
According… Read More 
Spare a little candle, save some light for me
Figures up ahead moving in the trees
White skin in linen, perfume on my wrist
And the full moon that hangs over these dreams in the mist

Darkness on the edge, shadows where I stand (Shadows where I stand)
I search for the time on a watch with no hands
I want to see you clearly, come closer than this (All that I remember)
But all I remember are the dreams in the mist

These dreams go on when I close my eyes
Every second of the night, I live another life
These dreams that sleep when it's cold outside
Every moment I'm awake, the further I'm away (The further I'm away)

Is it cloak-and-dagger? Could it be spring or fall?
I walk without a cut through a stained-glass wall (Weaker in my eyesight)
Weaker in my eyesight, the candle in my grip (Words that have no form)
And words that have no form are falling from my lips

These dreams go on when I close my eyes
Every second of the night, I live another life
These dreams that sleep when it's cold outside
Every moment I'm awake, the further I'm away (The further I'm away)

There's something out there I can't resist
I need to hide away from the pain
There's something out there I can't resist

The sweetest song is silence that I've ever heard (Feet don't touch the earth)
Funny how your feet in dreams never touch the earth
In a wood full of princes, freedom is a kiss (The prince hides his face)
But the prince hides his face from dreams in the mist

These dreams go on when I close my eyes
Every second of the night, I live another life
These dreams that sleep when it's cold outside
Every moment I'm awake, the further I'm away
These dreams go on when I close my eyes (Every single se—)
Every second of the night, I live another life
These dreams that sleep when it's cold outside
Every moment I'm awake, the further I'm away…","classic rock, rock, hard rock, female vocalists, 80s"
33,34,"""Don't Forget Me (When I'm Gone)""",Glass Tiger,"12 ContributorsDon’t Forget Me When I’m Gone Lyrics
You take my breath away
Love thinks it's here to stay
There's still so much for me to do
And I can't stop loving you
Oh, can this be true

If you could see what I have seen
Broken hearts and broken dreams
Then I wake up and you're not there
Pain finds me everywhere
Oh, but you don't care

Don't forget me when I'm gone
My heart would break
I have loved you for so long
It's all I can take

You, you take my breath away
Love thinks it's here to stay
Still so much for me to do
And I can't stop loving you
Oh, can this be true

Don't forget me when I'm gone
My heart would break
I have loved you for so long
It's all I can take

Then I wake up and you're not there
Pain finds me everywhere
Oh, but you don't care

Don't forget me when I'm gone
For heaven's sake
I have loved you for so long
Is loving wrong?
So don't forget me when I'm gone
My heart would break
I have loved you for so long
Is loving wrong?","rock, 80s, Canadian, classic rock, pop rock"
34,35,"""Live to Tell""",Madonna,"25 ContributorsTranslationsPortuguêsItalianoLive to Tell Lyrics“Live To Tell” is a haunting, emotional ballad that served as the lead single from Madonna’s third album True Blue. Released March 26, 1986, the song was also featured in then-husband Sean Penn’s film At… Read More 
I have a tale to tell
Sometimes it gets so hard to hide it well
I was not ready for the fall
Too blind to see the writing on the wall

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned
'Til then, it will burn inside of me

I know where beauty lives
I've seen it once, I know the warm she gives
The light that you could never see
It shines inside, you can't take that from me

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned
'Til then, it will burn inside of me

The truth is never far behind
You kept it hidden well
If I live to tell the secret I knew then
Will I ever have the chance again?

If I ran away, I'd never have the strength to go very far
How would they hear the beating of my heart?
Will it grow cold, the secret that I hide? Will I grow old?
How will they hear? When will they learn? How will they know?

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned
'Til then, it will burn inside of me

The truth is never far behind
You kept it hidden well
If I live to tell the secret I knew then
Will I ever have the chance again?

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell the secret I have learned
'Til then, it will burn inside of me","pop, dance, female vocalists, 80s, electronic"
35,36,"""Mad About You""",Belinda Carlisle,"12 ContributorsMad About You LyricsMad About You was the lead single from Belinda Carlisle’s debut album Belinda.
The song peaked at #3 on the Billboard Hot 100 and #25 on Billboard’s Adult Contemporary chart in 1986.
I'm mad about you
You're mad about me, babe
Couple of fools run wild, aren't we?
Pushing the day into the nighttime
Somewhere between the two, we start to see

Mad about you (Mad about you)
Lost in your eyes (Reason aside)
Mad about love (Mad about you)
You and I

Something about you right here beside me
Touches the touched part of me like I can't believe
Pushing the night into the daytime
Watching the sky's first light
While the city sleeps

Mad about you (Mad about you)
Lost in your eyes (Reason aside)
Mad about love (Mad about you)
You and I

Mad about you (Mad about you)
Lost in your eyes (Reason aside)
Mad about love (Mad about you)
You and I

I'm mad about you
You're mad about me, babe
A couple of fools run wild, aren't we?

Mad about you (Mad about you)
Lost in your eyes (Reason aside)
Mad about love (Mad about you)
You and I
I'm mad about you (Mad about you)
Lost in your eyes (Reason aside)
Mad about love (Mad about you)
You and I
Mad about you (Mad about you)
Lost in your eyes (Reason aside)
Mad about love (Mad about you)
You and I

I'm mad about you (Mad about you)
Lost in your eyes (Reason aside)
Mad about love (Mad about you)","pop, 80s, female vocalists, new wave, american"
36,37,"""Something About You""",Level 42,"22 ContributorsSomething About You LyricsSomething About You was a single from Level 42’s album World Machine.
The song peaked at #7 on the Billboard Hot 100 and #6 on the U.K. Singles chart.
Oo-oo-oo-ooooo-oooo-ooooo-ooooo-oooo
Oo-oo-oo-ooooo-oooo-ooooo-ooooo-oooo

How, how can it be that a love
Carved out of caring, fashioned by fate
Could suffer so hard
From the games played once too often?
But making mistakes
Is a part of life's imperfections
Born of the years
Is it so wrong to be human after all?

Drawn into the stream
Of undefined illusion
Those diamond dreams
They can't disguise the truth

That there is something about you
Baby, so right
I wouldn't be without you, baby, tonight

If ever our love was concealed
No one can say that we didn't feel
A million things
And a perfect dream of life
Gone, fragile but free
We remain tender together
Not so in love
It's not so wrong
We're only human after all

These changing years
They add to your confusion
Oh, and you need to hear
The time that told the truth

That there is something about you (something about the way)
Baby, so right (you are so right)
Don't want to be without you (don't want to be without)
Baby, tonight (you here tonight)
Because there's something about you (something about the way)
Baby, so right (you are so right)
I couldn't live without you (I couldn't live)
Baby, tonight (without you here tonight)


Oo-oo-oo-ooooo-oooo-ooooo-ooooo-oooo
Oo-oo-oo-ooooo-oooo-ooooo-ooooo-oooo
And now there's something about you, yeah-eh-yeah
(Oo-oo-oo-ooooo--oooo-ooooo-ooooo-oooo)
And I couldn't live without you, tonight
(Oo-oo-oo-ooooo-oooo-ooooo-ooooo-oooo)","80s, pop, funk, new wave, bass"
37,38,"""Venus""",Bananarama,"27 ContributorsVenus Lyrics
Goddess on the mountaintop
Burning like a silver flame
The summit of beauty and love
And Venus was her name

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

Her weapons were her crystal eyes
Making every man mad
Black as the dark night, she was
Got what no one else had
Wow!

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

(Venus)

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

Goddess on the mountaintop
Burning like a silver flame
The summit of beauty and love
And Venus was her name
Wow!

She's got it
Yeah, baby, she's got it
I'm your Venus, I'm your fire
At your desire
Well, I'm your Venus, I'm your fire
At your desire

(Venus was her name)

Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it
Yeah, baby, she's got it","80s, pop, female vocalists, new wave, dance"
38,39,"""Dancing on the Ceiling""",Lionel Richie,"24 ContributorsDancing On the Ceiling LyricsDancing on the Ceiling peaked at #2 on the Billboard Hot 100 and #4 on Billboard’s R&B chart. It also charted on Billboard’s Adult Contemporary chart, peaking at #3.
Man, what in the world is happening down here in the hall?
(Woo!)
Whaw!

What is happening here?
Something going on that's not quite clear
Somebody turn on the lights
We're gonna have a party, it's starting tonight

Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling

The room is hot and that's good
Some of my friends came by from the neighborhood
The people starting to climb the walls
Oooh, it looks like everybody is having a ball

Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling, ah
Oh, oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling

Come on!
Whoo!
Alright

Everybody starts to lose control when the music is right
If you see somebody hanging around, don't get uptight
The only thing we wanna do tonight
Is go round and round and turn upside down
Come on, let's get down!

(Cheering)
Hey, hey, hey, hey, hey, hey, hey, hey!
Hey, hey, hey.......(Cheering)

So come on and get loose
Don't hold back 'cause it ain't no use
Hard to keep your feet on the ground
'Cause when we like to party, we only wanna get down

Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling, ah
Oh, what a feeling, baby, when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling, whoa

Say what?
Can't stop now, just getting started
Everybody clap your hands.  (Clapping)
Come on!
Everybody let's dance!
Oh, oh, oh, oh, oh

Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling, baby
Baby, we're gonna dance all night 'till the broad daylight
Keep on moving, keep on grooving
Oh yeah
Oh, what a feeling when we're dancing on the ceiling
Oh, what a feeling when we're dancing on the ceiling","soul, pop, 80s, rnb, motown"
