Unnamed: 0,No.,Title,Artist(s),lyrics,genres
10,11,"""Theme from The Greatest American Hero (Believe It or Not)""",Joey Scarbury,"14 ContributorsTheme from The Greatest American Hero (Believe It or Not) Lyrics“Believe It Or Not” was the theme to the TV series The Greatest American Hero, a sitcom that aired in the early 1980s. The lyrics allude to the plot of the TV show, where the main character–a teacher–is given… Read More Look at what's happened to me
I can't believe it myself
Suddenly I'm up on top of the world
It should have been somebody else
Believe it or not, I'm walking on air
I never thought I could feel so free
Flying away on a wing and a prayer
Who could it be?
Believe it or not, it's just me
Just like the light of a new day
It hit me from out of the blue
Breaking me out of the spell I was in
Making all of my wishes come true
Believe it or not, I'm walking on air
I never thought I could feel so free
Flying away on a wing and a prayer
Who could it be?
Believe it or not, it's just me
This is too good to be true
Look at me falling for you
Believe it or not
Believe it or not
Believe it or not
Believe it or not

Believe it or not, I'm walking on air
I never thought I could feel so free
Flying away on a wing and a prayer
Who could it be?
Believe it or not, it's just me
Believe it or not, I'm walking on air
I never thought I could feel so free
Flying away on a wing and a prayer
Who could it be?
Believe it or not, it's just me
Believe it or not, I'm walking on air
I never thought I could feel so free
Flying away on a wing and a prayer","pop, rock, 80s, classic rock, Classic-rock"
11,12,"""Morning Train (Nine to Five)""",Sheena Easton,"1 ContributorMorning Train (Nine To Five) - 1993 Remastered Version LyricsI wake up every mornin'
I stumble out of bed
Stretchin' and yawnin'
Another day ahead
It seems to last forever
And time goes slowly by
'Til babe and me's together
Then it starts to fly
'Cos the moment that he's with me
Time can take a flight
The moment that he's with me
Everything's alright
Night time is the right time
We make love
Then it's his and my time
We take off
My baby takes the morning train
He works from nine till five and then
He takes another home again
To find me waitin' for him
My baby takes the morning train
He works from nine till five and then
He takes another home again
To find me waitin' for him

He takes me to a movie
Or to a restaurant, to go
Slow dancing
Anything I want
Only when he's with me
I catch a light
Only when he gives me
Makes me feel alright
My baby takes the morning train
He works from nine till five and then
He takes another home again
To find me waitin' for him
All day I think of him
Dreamin' of him constantly
I'm crazy mad for him
And he's crazy mad for me
(Crazy mad for me)
When he steps off that train
I'm makin' a fool, a fight
Work all day to earn his pay
So we can play all night
My baby takes the morning train
He works from nine till five and then
He takes another home again
To find me waitin' for him

He's always on that morning train
(He works from nine till five and then)
He works so hard
(He takes another home again)
To find me waiting for him
(My baby takes the morning train)","pop, 80s, female vocalists, Scottish, sheena easton"
12,13,"""Being with You""",Smokey Robinson,"17 ContributorsBeing with You LyricsWho’d have thought a song that repeats the words “I Don’t Care” over and over would become a huge hit? “Being With You” was the title track of Smokey Robinson’s 1981 album. Robinson originally wrote this song… Read More 
I don't care what they think about me and
I don't care what they say
I don't care what they think, if you're leaving
I'm gonna beg you to stay
I don't care if they start to avoid me
I don't care what they do
I don't care about anything else
But being with you, being with you

Honey don't go, don't leave this scene
Be out of the picture and off of the screen
Don't let them say ""we told you so""
They tell me you'll love me and then let me go

I've heard the warning voice
From friends and my relations
They tell me all about your heart-break reputation

I don't care what they think about me and
I don't care what they say.. no
I don't care what they think, if you're leaving
I'm gonna beg you to stay
I don't care if they start to avoid me
I don't care what they do
I don't care about anything else
But being with you, being with you

People can change, they always do
Haven't they noticed the changes in you?
Or can it be, that like love I am blind?
Do I want it so much 'til it's all in my mind?

One thing I know for sure
Is really really real
I never felt before the way you make me feel

I don't care what they think about me and
I don't care what they say
I don't care what they think, if you're leaving
I'm gonna beg you to stay
I don't care if they start to avoid me
I don't care what they do
I don't care about anything else
But being with you, being with you

Being with you
Being with you
I don't care about anything else
But being with you, being with you
I wanna be with you
I don't care if they start to avoid me","soul, motown, rhythm and blues, 60s, oldies"
13,14,"""Queen of Hearts""",Juice Newton,"24 ContributorsQueen of Hearts Lyrics“Queen of Hearts” is about falling for an unreliable lover; although you know it’s a bad move, you are simply unable to resist them.
The Welsh musician Dave Edmunds was the first artist to record “Queen of… Read More 
Midnight, and I'm a-waiting on the twelve-oh-five
Hoping it'll take me just a little farther down the line
Moonlight, you're just a heartache in disguise
Won't you keep my heart from breaking, if it's only for a very short time?

Playing with the queen of hearts, knowing it ain't really smart
The joker ain't the only fool who'll do anything for you
Laying out another lie, thinking 'bout a life of crime
'Cause that's what I'll have to do to keep me away from you

Honey, you know it makes you mad
Why is everybody telling everybody what you have done?
Baby, I know it makes you sad
But when they're handing out the heartaches, you know you got to have you some

Playing with the queen of hearts, knowing it ain't really smart
The joker ain't the only fool who'll do anything for you
Laying out another lie, thinking 'bout a life of crime
'Cause that's what I'll have to do to keep me away from you


Lovers, I know you've had a few
But hide your heart beneath the covers and tell 'em they're the only one
And others, they know just what I'm goin' through
And it's a-hard to be a lover when you say you're only in it for fun

Playing with the queen of hearts, knowing it ain't really smart
The joker ain't the only fool who'll do anything for you

Playing with the queen of hearts, and knowing it ain't really smart
The joker ain't the only fool who'll do anything for you
I'm laying out another lie, I'm thinking 'bout a life of crime
'Cause that's what I'll have to do to keep me away from you

Playing with the queen of hearts
Playing with the queen of hearts
Playing with the queen of hearts
Playing with the queen of hearts","country, female vocalists, 80s, soft rock, pop"
14,15,"""Rapture""",Blondie,"70 ContributorsRapture LyricsPeople argue over this song’s place in the history of rap. Was it… the first rap song? The first commercial rap song? The first rap song to sell X number of copies / place X on the Billboard charts? The first… Read More 
Toe to toe, dancing very close
Barely breathing, almost comatose
Wall to wall, people hypnotized
And they're stepping lightly
Hang each night in rapture

Back to back, sacroiliac
Spineless movement and a wild attack
Face to face, sightless solitude
And it's finger popping
24-hour shopping in rapture

Fab 5 Freddy told me everybody's fly
DJ spinnin', I said, ""My, My""
Flash is fast, Flash is cool
François c'est pas, flashé no deux
And you don't stop, sure shot
Go out to the parking lot
And you get in your car and drive real far
And you drive all night, and then you see a light
And it comes right down and it lands on the ground
And out comes a man from Mars
And you try to run, but he's got a gun
And he shoots you dead, and he eats your head
And then you're in the man from Mars
You go out at night, eatin' cars
You eat Cadillacs, Lincolns, too
Mercurys and Subaru
And you don't stop, you keep on eatin' cars
Then, when there's no more cars, you go out at night
And eat up bars where the people meet
Face to face, dance cheek to cheek
One to one, man to man
Dance toe to toe, don't move too slow
'Cause the man from Mars is through with cars
He's eatin' bars, yeah, wall to wall
Door to door, hall to hall
He's gonna eat 'em all
Rapture, be pure
Take a tour through the sewer
Don't strain your brain, paint a train
You'll be singin' in the rain
Said, don't stop to punk rock

Man to man, body muscular
Seismic decibel, bite the jugular
Wall to wall, tea time technology
And a digital ladder
No sign of bad luck in rapture

Well, now you see what you wanna be
Just have your party on TV
'Cause the man from Mars
Won't eat up bars where the TV's on
Now he's gone back up to space
Where he won't have a hassle with the human race
And you hip-hop, and you don't stop
Just blast off, sure shot
'Cause the man from Mars stopped eatin' cars
And eatin' bars and now he only eats guitars, get up","new wave, 80s, rock, female vocalists, pop"
15,16,"""A Woman Needs Love (Just Like You Do)""",Raydio,"9 ContributorsA Woman Needs Love (Just Like You Do) Lyrics“A Woman Needs Love” is a cautionary tale not to neglect your woman’s needs. It was inspired by a conversation that group of ladies sitting on a couch in the recording studio were having.
Raydio (Parker’s… Read More 
Doo-doo-doo-doo-doo
Mmm-mmm-mmm

A woman needs a love just like you do, hoo
Don't kid yourself into thinkin' that she don't
She can fool around just like you do, hoo
Unless you give her all the lovin' she wants

Don't the mistake of thinkin' old fashioned
Times have changed from yesterday
But no longer will those old double standards
Be accepted by the women of today
So when you think you're foolin' her
She just might be foolin' you
Remember if you can do it
She can too

Because a woman needs love just like you do, hoo
Hey, don't kid yourself into thinking that she don't
She can fool around just like you do, hoo
Unless you give her all the lovin' she wants

When her eyes are beggin' for affection
Don't put her off, don't make her wait
Don't try to give her that worn out excuse
About being tired and workin' late
I tell you one day you'll come home
Early from work
Open up the door
And get your feelings hurt

Because she needs it, yeah (Just like you do)
A woman's got to have it, whoa, yeah, just like you
And if you're smart, mmm, (Just like you do)
You better stop foolin' around, hey, hey
Cause she will too, oh

Just like you do, hoo
Thinking that she don't, hoo, ooh
Just like you, hoo
Now an example to you

Is by the time poor Jack
Returned up the hill
Somebody else
Had been lovin' Jill

A woman needs love just like you do, hoo
Hey, don't kid yourself into thinkin' that she don't
She can fool around (Yeah), she will fool around so
You better take out some insurance and be sure she won't
Give her the love, mmm (Just like you do), yeah
That sweet, sweet love, she wants it just like you
'Cause she can fool around (Just like you do) just like she will fool around (Hoo)
With you or without you, just like you do

A woman needs love just like you do, hoo
Hey, don't kid yourself into thinking that she don't, hoo, ooh
She can fool around just like you, hoo
A woman needs it just like you","soul, funk, 70s, rnb, Disco"
16,17,"""The Tide Is High""",Blondie,"37 ContributorsThe Tide Is High LyricsBlondie’s early 1981 chart-topping cover of Jamaican group The Paragons song was the lead single of the album Autoamerican, where they incorporated elaborate orchestration, heard clearly in this song. Blondie… Read More 

The tide is high but I'm holdin' on
I'm gonna be your number one
I'm not the kind-a girl who gives up just like that, oh no

It's not the things you do that tease and hurt me bad
But it's the way you do the things you do to me
I'm not the kind-a girl who gives up just like that, oh no

The tide is high but I'm holdin' on
I'm gonna be your number one, number one

Every girl wants you to be her man
But I'll wait my dear 'till it's my turn
I'm not the kind-a girl who gives up just like that, oh no

The tide is high but I'm holdin' on
I'm gonna be your number one, number one, number one


Every girl wants you to be her man
But I'll wait my dear 'till it's my turn
I'm not the kind-a girl who gives up just like that, oh no

The tide is high but I'm holding on
I'm gonna be your number one, number one, number one

The tide is high but I'm holding on
I'm gonna be your number one
The tide is high but I'm holding on
I'm gonna be your number one
The tide is high but I'm holding on
I'm gonna be your number one","new wave, 80s, rock, female vocalists, pop"
17,18,"""Just the Two of Us""","Grover Washington, Jr. & Bill Withers","66 ContributorsTranslationsDeutschFrançaisTürkçeJust the Two of Us Lyrics“Just the Two of Us” is a smooth-jazz/R&B single that establishes an emphasis on how love ebbs and flows. Particularly, the protagonist doesn’t wish to plunder his opportunity to be with a woman he sees as… Read More 
I see the crystal raindrops fall
And the beauty of it all
Is when the sun comes shining through
To make those rainbows in my mind
When I think of you sometime
And I wanna spend some time with you

Just the two of us
We can make it if we try
Just the two of us
Just the two of us
Just the two of us
Building castles in the sky
Just the two of us
You and I

We look for love, no time for tears
Wasted water's all that is
And it don't make no flowers grow
Good things might come to those who wait
Not for those who wait too late
We gotta go for all we know

Just the two of us
We can make it if we try
Just the two of us
Just the two of us
Just the two of us
Building them castles in the sky
Just the two of us
You and I


Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us


I hear the crystal raindrops fall
On the window down the hall
And it becomes the morning dew
And, darling, when the morning comes
And I see the morning sun
I wanna be the one with you

Just the two of us
We can make it if we try
Just the two of us
Just the two of us
Just the two of us
Building big castles way on high
Just the two of us
You and I

(Just the two of us)
Yes! The two of us
We can make it just the two of us
Let's get it together, baby!
Just the two of us
Yes! The two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us
We can make it just the two of us
Just the two of us",United States
18,19,"""Slow Hand""",The Pointer Sisters,"15 ContributorsSlow Hand Lyrics“Slow Hand” was released in 1981 for the Pointer Sisters‘ album Black and White.
Like their first Billboard Hot 100 top 10 hit, “Fire”, “Slow Hand” was not written by or for the Pointer Sisters.  Songwriter… Read More 
As the midnight moon was driftin' through
The lazy sway of the trees
I saw the look in your eyes, looking into mine
Seeing what you wanted to see
Darlin', don't say a word, 'cause I already heard
What your body's sayin' to mine
I'm tired of fast moves, I've got a slow groove
On my mind

I want a man with a slow hand
I want a lover with an easy touch
I want somebody who will spend some time
Not come and go in a heated rush
I want somebody who will understand
When it comes to love, I want a slow hand
Ooh, ooh, ooh

On shadowed ground, with no one around
And a blanket of stars in our eyes
We are driftin' free, like two lost leaves
On the crazy wind of the night
Darlin', don't say a word, 'cause I already heard
What your body's sayin' to mine
If I want it all night, you say it's alright
Ooh, we got the time

'Cause I got a man with a slow hand
I got a lover with an easy touch
I've got somebody who will spend some time
Not come and go in a heated rush
I found somebody who will understand
When it comes to love, I want a slow hand
Ooh, ooh, ooh

If I want it all night
Please say it's alright
It's not a fast move
But a slow groove
On my mind

'Cause I got a man with a slow hand
I've got a lover with an easy touch
I found somebody who will spend some time
Not come and go in a heated rush
I found somebody who will understand
I found a lover with a slow hand
Ooh, a lover with a slow hand

And I get all excited with his easy touch
I found somebody who will spend the night
Not come and go in a heated rush
Ooh, lover with a slow hand","Disco, pop, soul, 80s, female vocalists"
19,20,"""I Love You""",Climax Blues Band,"9 ContributorsI Love You LyricsWhen I was younger, man
I hadn't a care
Fooling around
Hitting the town
Growing my hair
You came along
And stole my heart
When you entered my life
Ooh, babe
You got what it takes
So I made you my wife
Since then
I never looked back
It's almost like living a dream
And, ooh
I love you
You came along
From far away
And found me here
I was playing around
Feeling down
Hitting the beer
You picked me up
From off the floor
And gave me a smile

You said
You're much too young
Your life ain't begun
Let's walk for awhile
And as my head was spinning 'round
I gazed into your eyes
And thought, ooh
I want you
Thank you, babe
For being a friend
And shining your light in my life
'Cause, ooh
I need you
As my head was coming round
I gazed into your eyes
And thought, ooh
I want you
Thanks again for being my friend
And straightening out my life
'Cause, ooh
I need you

Since then I never looked back
It's almost like livin' a dream
Ooh
I got you
If ever a man had it all
It would have to be me
And, ooh
I love you","blues rock, classic rock, rock, blues, 70s"
20,21,"""Woman""",John Lennon,"33 ContributorsTranslationsРусский (Russian)Woman Lyrics“Woman” is the second single from John Lennon’s 1980 album Double Fantasy. It was written as a tribute to his second wife Yoko Ono. Lennon called it the “grown up version” of the Beatles song “Girl”.
In the… Read More 
(For the other half of the sky)

Woman, I can hardly express
My mixed emotions at my thoughtlessness
After all, I'm forever in your debt
And woman, I will try to express
My inner feelings and thankfulness
For showing me the meaning of success

Ooh, well, well
Doo, doo, doo, doo, doo
Ooh, well, well
Doo, doo, doo, doo, doo

Woman, I know you understand
The little child inside the man
Please remember my life is in your hands
And woman, hold me close to your heart
However distant, don't keep us apart
After all, it is written in the stars

Ooh, well, well
Doo, doo, doo, doo, doo
Ooh, well, well
Doo, doo, doo, doo, doo, well

Woman, please let me explain
I never meant to cause you sorrow or pain
So let me tell you again and again and again

I love you, yeah, yeah
Now and forever
I love you, yeah, yeah
Now and forever
I love you, yeah, yeah
Now and forever
I love you, yeah, yeah","classic rock, rock, singer-songwriter, british, pop"
