Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Bette Davis Eyes""",Kim Carnes,"61 ContributorsBette Davis Eyes Lyrics“Bette Davis Eyes” is the lead single from Kim Carnes‘ sixth album Mistaken Identity. It was written by Donna Weiss and Jackie DeShannon in 1974. DeShannon first recorded the song for her 1975 album New… Read More 
Her hair is Harlow gold
Her lips sweet surprise
Her hands are never cold
She's got Bette Davis eyes

She'll turn her music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
She got Greta Garbo stand off sighs
She's got Bette Davis eyes

She'll let you take her home
It whets her appetite
She'll lay you on her throne
She got Bette Davis eyes

She'll take a tumble on you
Roll you like you were dice
Until you come up blue
She's got Bette Davis eyes

She'll expose you
When she snows you
Off your feet with the crumbs she throws you
She's ferocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

She'll tease you
She'll unease you
Just to please ya
She's got Bette Davis eyes
She'll expose you
When she snows you
She knows ya
She's got Bette Davis eyes","pop, 80s, female vocalists, soft rock, rock"
1,2,"""Endless Love""",Diana Ross & Lionel Richie,"36 ContributorsEndless Love Lyrics“Endless Love” is a song written by Lionel Richie and originally recorded as a duet between Richie and fellow soul singer Diana Ross, recorded for the eponymous 1981 movie starring Brooke Shields (which in… Read More 
My love
There's only you in my life
The only thing that's right
My first love
You're every breath that I take
You're every step I make

And I (I), I want to share
All my love with you
No one else will do
And your eyes (Your eyes, your eyes)
They tell me how much you care
Oh, yes, you will always be
My endless love

Two hearts
Two hearts that beat as one
Our lives have just begun
Forever (Oh, oh-oh-ooh)
I'll hold you close in my arms
I can't resist your charms

And love (Oh, love)
I'll be a fool for you, I'm sure
You know I don't mind (Oh, you know I don't mind)
'Cause you, you mean the world to me, oh
I know (I know)
(I've found) I've found in you my endless love

Oh-oh, oh-oh-ooh
Boom, boom
Boom-boom-boom-boom, boom-boom
Boom, boom, boom-boom, boom

Oh-oh-ooh, and love (Oh, love)
I'll be that fool for you, I'm sure
You know I don't mind (Oh, you know I don't mind)
And I don't mind

And, yes
You'll be the only one
'Cause no one can deny
This love I have inside
And I'll give it all to you
My love (My love, my love)
My endless love","soul, motown, female vocalists, pop, Smooth Soul"
2,3,"""Lady""",Kenny Rogers,"14 ContributorsLady Lyrics“Lady” is a song from Kenny Rogers' 1980 Greatest Hits compilation album. It was written & produced by Lionel Richie.
The song topped the Hot 100, Hot Country Singles and Adult Contemporary charts in the US… Read More 
Lady
I'm your knight in shining armor
And I love you
You have made me what I am and I am yours
My love
There's so many ways I want to say
I love you
Let me hold you in my arms forever more

You have gone
And made me such a fool
I'm so lost in your love
And oh
We belong together
Won't you believe in my song

Lady
For so many years I thought
I'd never find you
You have come into my life and made me whole
Forever
Let me wake to see you
Each and every morning
Let me hear you whisper softly in my ear

In my eyes
I see no one else but you
There's no other love like our love
And yes
Oh yes, I'll always want you near me
I've waited for you for so long

Lady
Your love's the only love I need
And beside me
Is where I want you to be
'Cause my love
There's something I want you to know
You're the love of my life
You're my lady","country, classic country, kenny rogers, male vocalists, oldies"
3,4,"""(Just Like) Starting Over""",John Lennon,"35 Contributors(Just Like) Starting Over LyricsThe final single released by John Lennon whilst he was alive, “(Just Like) Starting Over” was also the opening track on Double Fantasy. Recorded at the last minute, it wasn’t Lennon’s favourite track on the… Read More 
Our life together is so precious together
We have grown - we have grown
Although our love is still special
Let's take a chance and fly away somewhere alone

It's been too long since we took the time
No-one's to blame, I know time flies so quickly
But when I see you darlin'
It's like we both are fallin' in love again
It'll be just like startin' over (Over)
Startin' over (Over)

Everyday we used to make it love
Why can't we be making love nice and easy?
It's time to spread our wings and fly
Don't let another day go by, my love
It'll be just like startin' over (Over)
Starting over (Over)

Why don't we take off alone?
Take a trip somewhere far, far away
We'll be together, all alone again
Like we used to in the early days
Well, well, darlin'

It's been too long since we took the time
No-one's to blame, I know time flies so quickly
But when I see you darlin'
It's like we both are fallin' in love again
It'll be just like startin' over (Over)
Startin' over (Over)
Look out!

Our life together is so precious together
We have grown - we have grown
Although our love is still special
Let's take a chance and fly away somewhere...
(Over and over and over)
Starting over
(Over and over and over
Over and over and over
Over and over and over)","classic rock, rock, singer-songwriter, british, pop"
4,5,"""Jessie's Girl""",Rick Springfield,"38 ContributorsJessie’s Girl Lyrics“Jessie’s Girl” is the lead single from Rick Springfield’s fifth album Working Class Dog.
The inspiration for the song took place when Rick was taking a stained glass class with his friend Gary and Gary’s… Read More 
Jessie is a friend
Yeah, I know, he's been a good friend of mine
But lately something's changed that ain't hard to define
Jessie's got himself a girl, and I wanna make her mine

And she's watching him with those eyes
And she's lovin' him with that body, I just know it
And he's holding her in his arms late, late at night

You know, I wish that I had Jessie's girl
I wish that I had Jessie's girl
Where can I find a woman like that?

I'll play along with this charade
That doesn't seem to be a reason to change
You know, I feel so dirty when they start talking cute
I wanna tell her that I love her, but the point is probably moot

'Cause she's watching him with those eyes
And she's lovin' him with that body, I just know it
And he's holding her in his arms late, late at night

You know, I wish that I had Jessie's girl
I wish that I had Jessie's girl
Where can I find a woman like that?
Like Jessie's girl
I wish that I had Jessie's girl
Where can I find a woman?
Where can I find a woman like that?

And I'm lookin' in the mirror all the time
Wonderin' what she don't see in me
I've been funny; I've been cool with the lines
Ain't that the way love's supposed to be?

Tell me, where can I find a woman like that?


You know, I wish that I had Jessie's girl
I wish that I had Jessie's girl
I want Jessie's girl
Where can I find a woman like that?
Like Jessie's girl
I wish that I had Jessie's girl
I want, I want Jessie's girl","80s, rock, classic rock, pop, Pop-Rock"
5,6,"""Celebration""",Kool & the Gang,"43 ContributorsTranslationsDeutschCelebration LyricsA staple of New Year’s Eve parties, wedding receptions, corporate parties, graduations, birthdays, roller rinks, bat mitzvahs, Democratic conventions and just about any social gathering that could lead to… Read More 
Yahoo! (This is your celebration)
Yahoo! (This is your celebration)
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (Let's celebrate)

There's a party goin' on right here
A celebration to last throughout the years
So bring your good times and your laughter too
We gonna celebrate your party with you
Come on now

(Celebration) Let's all celebrate and have a good time
(Celebration) We gon' celebrate and have a good time

It's time to come together
It's up to you, what's your pleasure?
(Everyone around the world, come on)

Yahoo! It's a celebration
Yahoo!

Celebrate good times, come on (It's a celebration)
Celebrate good times, come on (Let's celebrate)

There's a party goin' on right here
A dedication to last throughout the years
So bring your good times and your laughter too
We gonna celebrate and party with you
Come on now

(Celebration) Let's all celebrate and have a good time, yeah-yeah
(Celebration) We gon' celebrate and have a good time

It's time to come together
It's up to you, what's your pleasure?
(Everyone around the world, come on)

Yahoo! It's a celebration
Yahoo! It's a celebration

Celebrate good times, come on (Let's celebrate, come on now)
Celebrate good times, come on (Let's celebrate)

We're gonna have a good time tonight
Let's celebrate, it's all right
We're gonna have a good time tonight
Let's celebrate, it's all right, baby
We're gonna have a good time tonight (Celebration)
Let's celebrate, it's all right
We're gonna have a good time tonight (Celebration)
Let's celebrate, it's all right

Yahoo!
Yahoo!

Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (It's a celebration)
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (Come on and celebrate tonight)
(Baby everything's gonna be alright, let's celebrate)
Celebrate good times, come on
Celebrate good times, come on (Let's have a great time, celebrate)
Celebrate good times, come on","funk, soul, Disco, 70s, 80s"
6,7,"""Kiss on My List""",Daryl Hall & John Oates,"22 ContributorsKiss on My List Lyrics“Kiss On My List” was the third single released from Hall & Oates’s ninth studio album, Voices (1980), and went on to become the duo’s second #1 hit on the Billboard 100 (after “Rich Girl,” which went to #1… Read More 
My friends wonder why I call you all the time
What can I say?
I don't feel the need to give such secrets away
You think maybe I need help
Though I know I'm right, alright
I'm just better off not listening to friends' advice

When they insist on knowing my bliss
I tell them this
When they wanna know what the reason is
I only smile when I lie, then I tell them why

Because your kiss, your kiss is on my list
Because your kiss, your kiss is on my list
Because your kiss is on my list of the best things in life
Because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is what I miss when I turn out the light

I go crazy wonderin' what there is to really see
Did the night just take up your time 'cause it means more to me
Sometimes I forget what I'm doing
I don't forget what I want, what I want
Regret what I've done, regret you? I couldn't go on

But if you insist on knowing my bliss
I'll tell you this
If you want to know what the reason is
I only smile when I lie, then I'll tell you why

Because your kiss, your kiss is on my list
Because your kiss, your kiss is on my list
Because your kiss is on my list of the best things in life
Because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is what I miss when I turn out the light


I really miss you, babe

Ahhh
(Because your kiss), Your kiss is on my list
(Because your kiss), Your kiss is on my list
Because your kiss is on my list of the best things in life
Oh, babe, because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is what I miss when I turn out the light

Because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist
Because your kiss is on my list of the best things in life
Oh-ooh, because your kiss, your kiss is on my list
Because your kiss, your kiss I can't resist","80s, pop, soft rock, classic rock, rock"
7,8,"""I Love a Rainy Night""",Eddie Rabbitt,"17 ContributorsI Love a Rainy Night Lyrics“I Love a Rainy Night” is a song co-written and recorded by American country music artist Eddie Rabbitt. It was released in November 1980 as the second single from his album Horizon. It reached number one on… Read More Well, I love a rainy night
I love a rainy night
I love to hear the thunder
Watch the lightning
When it lights up the sky
You know it makes me feel good
Well, I love a rainy night
It's such a beautiful sight
I love to feel the rain
On my face
Taste the rain on my lips
In the moonlight shadow
Showers washed
All my cares away
I wake up to a sunny day
'Cause I love a rainy night
Yeah, I love a rainy night
Well, I love a rainy night
Well, I love a rainy night
Ooh-ooh
I love a rainy night
I love a rainy night
I love to hear the thunder
Watch the lightning
When it lights up the sky
You know it makes me feel good

Well, I love a rainy night
It's such a beautiful sight
I love to feel the rain
On my face
To taste the rain on my lips
In the moonlight shadows
Puts a song
In this heart of mine
Puts a smile on my face every time
'Cause I love a rainy night
Yeah, I love a rainy night
Ooh, I love a rainy night
Yeah, I love a rainy night
Ooh-ooh

Showers washed
All my cares away
I wake up to a sunny day
'Cause I love a rainy night
Yeah, I love a rainy night
Well, I love a rainy night
I love a rainy night
Well, I love a rainy night
You can see it in my eyes
Yeah, I love a rainy night
Well, it makes me high
Ooh, I love a rainy night
You know I do, yeah, yeah
I love a rainy night

I love a rainy night
You can see it in my eyes..","country, 80s, pop, male vocalists, american"
8,9,"""9 To 5""",Dolly Parton,"86 Contributors9 to 5 Lyrics“9 to 5” was the theme song to the 1980 film Nine to Five, a story of gender inequality in the workplace. Parton starred in this film along with Jane Fonda and Lily Tomlin.
This song not only reached number… Read More 
Tumble out of bed and I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the street, the traffic starts jumpin'
With folks like me on the job from nine to five

Workin' nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmm

They let you dream just to watch 'em shatter
You're just a step on the bossman's ladder
But you've got dreams he'll never take away
In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn an' it's all gonna roll your way

Working nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet
Nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet","country, female vocalists, singer-songwriter, folk, bluegrass"
9,10,"""Keep on Loving You""",REO Speedwagon,"51 ContributorsKeep on Loving You Lyrics“Keep On Loving You”, REO Speedwagon’s first of two number one hits in the US, was described by frontman Kevin Cronin as “the most painful song I ever wrote”. It was written about his wife’s infidelity, and… Read More 
You should've seen by the look in my eyes, baby
There was something missing
You should've known by the tone of my voice, maybe
But you didn't listen
You played dead
But you never bled
Instead you lay still in the grass
All coiled up and hissing

And though I know all about those men
Still I don't remember
'Cause it was us, baby, way before them
And we're still together

And I meant, every word I said
When I said that I love you
I meant that I love you forever

And I'm gonna keep on loving you
'Cause it's the only thing I wanna do
I don't wanna sleep
I just wanna keep on loving you


And I meant, every word I said
When I said that I love you
I meant that I love you forever

And I'm gonna keep on loving you
'Cause it's the only thing I wanna do
I don't wanna sleep
I just wanna keep on loving you
Baby, I'm gonna keep on loving you
'Cause it's the only thing I wanna do
I don't wanna sleep (don't wanna sleep)
I just wanna keep on loving you","classic rock, rock, 80s, soft rock, hard rock"
