Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""When Doves Cry""",Prince,"86 ContributorsTranslationsFrançaisEspañolDeutschWhen Doves Cry Lyrics“When Doves Cry” is a Prince song that was inspired by his relationship with Vanity 6 member Susan Moonsie.
It is also a song Prince composed specifically for the soundtrack of his semi-autobiographical film… Read More 
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah

Dig, if you will, the picture
Of you and I engaged in a kiss
The sweat of your body covers me
Can you, my darling, can you picture this?

Dream, if you can, a courtyard
An ocean of violets in bloom
Animals strike curious poses
They feel the heat, the heat between me and you

How can you just leave me standing
Alone in a world that's so cold? (So cold)
Maybe I'm just too demanding
Maybe I'm just like my father, too bold
Maybe you're just like my mother
She's never satisfied (She's never satisfied)
Why do we scream at each other?
This is what it sounds like
When doves cry

Touch, if you will, my stomach (Hmm)
Feel how it trembles inside (Mhm)
You've got the butterflies all tied up
Don't make me chase you, even doves have pride

How can you just leave me standing
Alone in a world so cold? (World so cold)
Maybe I'm just too demanding
Maybe I'm just like my father, too bold
Maybe you're just like my mother
She's never satisfied (She's never satisfied)
Why do we scream at each other?
This is what it sounds like
When doves cry

Yeah, yeah
Doo-doo, woah-oh
(Yeah, yeah)

How can you just leave me standing
Alone in a world that's so cold? (World that's so cold)
Maybe I'm just too demanding (Maybe, maybe)
Maybe I'm just like my father, too bold (My father, you know he's cruel)
Maybe you're just like my mother (Maybe you're just like my mother)
She's never satisfied (Never, never satisfied, why scream?)
Why do we scream at each other? (Why?)
This is what it sounds like
When doves cry
When doves cry (When doves cry, when doves cry)
When doves cry (When doves cry, they cry)
Oh, no, oh
Oh, no, yeah
Oh, oh, yeah
Oh, oh, yeah
Oh, oh, yeah
When doves cry
When doves cry (Hoo)
When doves cry (Hoo)
Baby, baby, baby, yeah

When doves cry (When doves cry, when doves cry)
Don't cry
Darling, don't cry
Don't cry, don't cry, don't, don't cry","funk, pop, soul, rock, 80s"
1,2,"""What's Love Got to Do with It""",Tina Turner,"47 ContributorsWhat’s Love Got To Do With It Lyrics“What’s Love Got to Do with It” was released as the third single released from Tina Turner’s fifth album, Private Dancer.
The song was first offered to Cliff Richard, but it ended up being rejected. Then… Read More 
You must understand, though the touch of your hand
Makes my pulse react
That it's only the thrill of boy meetin' girl
Opposites attract

It's physical
Only logical
You must try to ignore that it means more than that
Oh

What's love got to do, got to do with it?
What's love but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?

It may seem to you that I'm acting confused
When you're close to me
If I tend to look dazed, I've read it someplace
I've got cause to be

There's a name for it
There's a phrase that fits
But whatever the reason, you do it for me
Oh

What's love got to do, got to do with it?
What's love but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
Ooh


I've been takin' on a new direction
But I have to say
I've been thinking about my own protection
It scares me to feel this way
Oh

What's love got to do, got to do with it?
What's love but a second-hand emotion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
(What's love?) Got to do, got to do with it
What's love but a sweet old-fashioned notion?
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?

(What's love got to do?) Ooh, got to do with it
(What's love but a second-hand emotion?)
What's love got to do, got to do with it?
Who needs a heart when a heart can be broken?
(What's love?) Ooh, ooh
(Got to do with it) Got to do with it
(What's love?) But a second-hand emotion","pop, soul, rock, female vocalists, 80s"
2,3,"""Say, Say, Say""",Paul McCartney and Michael Jackson,"45 ContributorsSay Say Say LyricsSay Say Say is a collaboration between Paul McCartney and Michael Jackson, two of the most successful and influential musicians of all time. It is found on Paul’s album Pipes of Peace.
According to Billboard… Read More 
Say, say, say what you want
But don't play games with my affection
Take, take, take what you need
But don't leave me with no direction

All alone, I sit home by the phone
Waiting for you, baby (Baby)
Through the years, how can you stand to hear
My pleading for you, dear?
You know I'm crying, ooh-ooh-ooh-ooh-ooh

Yeah, yeah

Now, go, go, go where you want
But don't leave me here forever
You, you, you, stay away
So long, girl, I see you never

What can I do, girl, to get through to you?
'Cause I love you, baby (Baby)
Standing here, baptized in all my tears
Baby, through the years, you know I'm crying
Ooh-ooh-ooh-ooh-ooh

(Hee-hee-hee)
(Won't you say, say, say?
You've got to say, say, say)

You never, ever worry
And you never shed a tear
You're saying that my love ain't real
Just look at my face, these tears ain't drying

You, you, you can never say
That I'm not the one who really loves you
I pray, pray, pray everyday
That you'll see things, girl, like I do

What can I do, girl, to get through to you?
'Cause I love you (Love you), baby (Baby)
Standing here, baptized in all my tears
Baby, through the years, you know I'm crying
Ooh-ooh-ooh-ooh-ooh

Ooh-ooh-ooh-ooh-ooh (Say, say, say)
Ooh-ooh-ooh-ooh-ooh
Oh, baby
Ooh-ooh-ooh-ooh-ooh
Oh, baby
Oh, baby
(Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh, ooh)
Oh, baby
(Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh, ooh)
Oh, baby
Oh, baby
Say, say, say (Say, say, say)
Ooh-ooh-ooh (Say, say, say), ooh-ooh-ooh (Say, say, say)
Come on
(Say, say, say, say, say, say, say, say, say)
Come on
Ooh-ooh-ooh (Say, say, say), ooh-ooh-ooh (Say, say, say)
Ooh-ooh-ooh (Yeah, yeah, yeah), ooh-ooh-ooh (Yeah, yeah, yeah)
Ooh-ooh-ooh (Say, say, say), ooh-ooh-ooh (Say, say, say)
Ooh-ooh-ooh
Say, say, say
Ooh-ooh-ooh (Come on)
(Say, say, say)","pop, 80s, funk, pop rock, duets"
3,4,"""Footloose""",Kenny Loggins,"46 ContributorsFootloose Lyrics“Footloose” was the first of two singles by Loggins from the 1984 film of the same name (the other one is “I’m Free (Heaven Helps the Man)”). The song spent three weeks at number one, March 31—April 14, 1984… Read More 
I been workin' so hard
I'm punchin' my card
Eight hours, for what?
Oh, tell me what I got

Well, I got this feeling
That time's just holdin' me down
I'll hit the ceiling
Or else I'll tear up this town

Tonight, I gotta cut loose, footloose
Kick off your Sunday shoes
Please, Louise
Pull me off of my knees
Jack, get back
Come on before we crack
Lose your blues
Everybody cut footloose

You're playin' so cool
Obeyin' every rule
But dig way down in your heart
You're burnin', yearnin' for some

Somebody to tell you
Life ain't passin' you by
I'm tryin' to tell you
It will if you don't even try

You can fly if you'd only cut loose, footloose
Kick off your Sunday shoes
Ooh-ee, Marie
Shake it, shake it for me
Whoa, Milo
Come on, come on, let's go
Lose your blues
Everybody cut footloose

Yo-oh-oh-oh-oh
(Cut footloose, ah)
Yo-oh-oh-oh-oh
(Cut footloose, ah)
Yo-oh-oh-oh-oh
(Cut footloose, ah)
(First) You've got to turn it around
(Second) And put your feet on the ground
(Third) Now take ahold of your soul

I'm turnin' it loose, footloose
Kick off your Sunday shoes
Please, Louise
Pull me off of my knees
Jack, get back
Come on before we crack
Lose your blues
Everybody cut footloose

(Footloose)
Footloose (Footloose)
Kick off your Sunday shoes (Kick 'em on off)
Please, Louise
Pull me off of my knees
Jack, get back (Get on back, Jack)
Come on before we crack (Come on before we)
Lose your blues
Everybody cut, everybody cut
Everybody cut, everybody cut
Everybody cut, everybody cut
(Everybody)
Everybody cut footloose","rock, 80s, pop, singer-songwriter, Soundtrack"
4,5,"""Against All Odds (Take a Look at Me Now)""",Phil Collins,"32 ContributorsAgainst All Odds (Take A Look At Me Now) LyricsTaking place in the aftermath of a breakup, “Against All Odds (Take A Look At Me Now)” is a power ballad about asking for another chance.
The song details the narrator’s feelings of loneliness and his… Read More 
How can I just let you walk away?
Just let you leave without a trace
When I stand here taking every breath
With you? Ooh, ooh

You're the only one who really knew me at all

How can you just walk away from me
When all I can do is watch you leave?
'Cause we've shared the laughter and the pain
And even shared the tears

You're the only one who really knew me at all

So, take a look at me now
Well, there's just an empty space
And there's nothin' left here to remind me
Just the memory of your face
Ooh, take a look at me now
Well, there's just an empty space
And you comin' back to me is against the odds
And that's what I've got to face

I wish I could just make you turn around
Turn around and see me cry
There's so much I need to say to you
So many reasons why

You're the only one who really knew me at all

So, take a look at me now
Well, there's just an empty space
And there's nothin' left here to remind me
Just the memory of your face
Now, take a look at me now
'Cause there's just an empty space
But to wait for you is all I can do
And that's what I've got to face
Take a good look at me now
'Cause I'll still be standin' here
And you comin' back to me is against all odds
It's the chance I've gotta take

Take a look at me now","pop, 80s, rock, classic rock, soft rock"
5,6,"""Jump""",Van Halen,"62 ContributorsJump Lyrics“Jump” is the lead single from Van Halen’s 10x platinum selling album 1984. The song was internationally successful, becoming Van Halen’s only #1 hit in both the US & Canada and reaching #2 in Ireland &… Read More 
Ow

I get up, and nothing gets me down
You got it tough, I've seen the toughest around
And I know, baby, just how you feel
You got to roll with the punches to get to what's real

Oh, can't you see me standing here?
I got my back against the record machine
I ain't the worst that you've seen
Oh, can't you see what I mean?

Ah, might as well jump (Jump)
Might as well jump
Go ahead and jump (Jump)
Go ahead and jump

Hello, hey you, who said that?
Baby, how you been?
You say you don't know
You won't know until you begin

So can't you see me standing here?
I've got my back against the record machine
I ain't the worst that you've seen
Oh, can't you see what I mean?

Ah, might as well jump (Jump)
Go ahead and jump
Might as well jump (Jump)
Go ahead and jump

Jump


Might as well jump (Jump)
Go ahead and jump
Get it and jump (Jump)
Go ahead and jump
Jump
Jump
Jump
Jump","hard rock, classic rock, rock, heavy metal, 80s"
6,7,"""Hello""",Lionel Richie,"59 ContributorsTranslationsMagyarHello Lyrics
I've been alone with you inside my mind
And in my dreams, I've kissed your lips a thousand times
I sometimes see you pass outside my door

Hello, is it me you're looking for?
I can see it in your eyes
I can see it in your smile
You're all I've ever wanted
And my arms are open wide
'Cause you know just what to say
And you know just what to do
And I want to tell you so much
I love you

I long to see the sunlight in your hair
And tell you time and time again how much I care
Sometimes, I feel my heart will overflow

Hello, I've just got to let you know
'Cause I wonder where you are
And I wonder what you do
Are you somewhere feeling lonely?
Or is someone loving you?
Tell me how to win your heart
For I haven't got a clue
But let me start by saying
I love you

Hello, is it me you're looking for?
'Cause I wonder where you are
And I wonder what you do
Are you somewhere feeling lonely?
Or is someone loving you?
Tell me how to win your heart
For I haven't got a clue
But let me start by saying
I love you","soul, pop, 80s, rnb, motown"
7,8,"""Owner of a Lonely Heart""",Yes,"63 ContributorsOwner of a Lonely Heart LyricsThe only no. 1 hit of the ground breaking progressive rock group, by their 80’s reincarnation.

From their 1983 multi-platinum studio album 90125, for which the group reformed after their 1980 breakup… Read More 
Move yourself, you always live your life
Never thinking of the future
Prove yourself, you are the move you make
Take your chances, win or lose her

See yourself, you are the steps you take
You and you, and that's the only way
Shake, shake yourself, you're every move you make
So the story goes

Owner of a lonely heart, owner of a lonely heart (Much better than a)
Owner of a broken heart, owner of a lonely heart
{Music Video only}
I know
I know
I know
Maybe there's another way to do this
{Music Video - Break}

Say you don't want to chance it
You've been hurt so before
Watch it now, the eagle in the sky
How he dancin' one and only

You, lose yourself, no, not for pity's sake
There's no real reason to be lonely
Be yourself, give your free will a chance
You've got to want to succeed

Owner of a lonely heart, owner of a lonely heart (Much better than a)
Owner of a broken heart, owner of a lonely heart

Owner of a lonely heart

After my own indecision, they confused me so (Owner of a lonely heart)
My love said never question your will at all
In the end you've got to go, look before you leap (Owner of a lonely heart)
And don't you hesitate at all, no, no
Yow!

Instrumental

Owner of a lonely heart, owner of a lonely heart (Much better than a)
Owner of a broken heart, owner of a lonely heart
Owner of a lonely heart, owner of a lonely heart (Much better than a)
Owner of a broken heart, owner of a lonely heart

Owner of a lonely heart

Sooner or later, each conclusion will decide the lonely heart
(Owner of a lonely heart)
It will excite, it will delight, it will give a better start
(Owner of a lonely heart)
Don't deceive your free will at all, don't deceive your free will at all
(Owner of a lonely heart)
Don't deceive your free will at all
Just receive it, just receive it
(Owner of a lonely heart)","Progressive rock, classic rock, rock, british, Progressive"
8,9,"""Ghostbusters""",Ray Parker Jr.,"77 ContributorsGhostbusters LyricsSome would call it one of the greatest songs of the 1980s, some may call it one of the cheesiest, but one thing is for sure… some quickly grew to hate it – as the man who designed the Ghostbusters logo once… Read More 
(Ghostbusters!)
If there's something strange
In your neighborhood
Who you gonna call?
(Ghostbusters!)
If there's something weird
And it don't look good
Who you gonna call?
(Ghostbusters!)

I ain't 'fraid of no ghost
I ain't 'fraid of no ghost

If you're seeing things
Running through your head
Who can you call?
(Ghostbusters!)
An invisible man
Sleepin' in your bed
Ow, who you gonna call?
(Ghostbusters!)

I ain't 'fraid of no ghost
Uh, I ain't 'fraid of no ghost

Who you gonna call?
(Ghostbusters!)
If you're all alone
Pick up the phone
And call
(Ghostbusters!)

I ain't 'fraid of no ghost
Ooh, I hear it likes the girls
Hm, I ain't 'fraid of no ghost
Yeah, yeah, yeah, yeah!

Who you gonna call?
(Ghostbusters!)
Mm, if, if you've had a dose of a
Freaky ghost, baby
You better call
(Ghostbusters!)
Ow!

Lemme tell ya something
Bustin' makes me feel good!

I ain't 'fraid of no ghost
Uh, I ain't 'fraid of no ghost

Don't get caught alone, oh no
(Ghostbusters!)
When it comes through your door!
Unless you just a-want some more
I think you better call
(Ghostbusters!)
Ow!

Who you gonna call?
(Ghostbusters!)
Who you gonna call?
(Ghostbusters!)
Uh, think you better call
(Ghostbusters!)
Ha-ha, who you gonna call?
(Ghostbusters!)
I can't hear you
Who you gonna call?
(Ghostbusters!)
Louder!
(Ghostbusters!)
Who you gonna call?
(Ghostbusters!)
Who can you call?
(Ghostbusters!)
Who you gonna call?
(Ghostbusters!)
Uh, it likes the girls too
(Ghostbusters!)","80s, pop, Soundtrack, american, ghostbusters"
9,10,"""Karma Chameleon""",Culture Club,"75 ContributorsTranslationsDeutschEspañolKarma Chameleon Lyrics“Karma Chameleon” is one of several Culture Club songs inspired by the intra-band romance between singer Boy George and drummer Jon Moss who secretly dated each other during the UK band’s ’80s heyday.

Boy… Read More 
Desert loving in your eyes all the way
If I listen to your lies, would you say

I'm a man without conviction
I'm a man who doesn't know
How to sell a contradiction
You come and go, you come and go

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colours were like my dream
Red, gold and green, red, gold and green

Didn't hear your wicked words every day
And you used to be so sweet, I heard you say

That my love was an addiction
When we cling, our love is strong
When you go, you're gone forever
You string along, you string along

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colours were like my dream
Red, gold and green, red, gold and green

Every day is like survival (Survival)
You're my lover, not my rival
Every day is like survival (Survival)
You're my lover, not my rival

I'm a man without conviction
I'm a man who doesn't know
How to sell a contradiction
You come and go, you come and go

Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colours were like my dream
Red, gold and green, red, gold and green
Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colours were like my dream
Red gold and green, red gold and green
Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colours were like my dream
Red, gold and green, red, gold and green
Karma, karma, karma, karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colours were like my dream
Red, gold and green, red, gold and green","80s, new wave, pop, british, synth pop"
