Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Walk Like An Egyptian""",The Bangles,"77 ContributorsWalk Like an Egyptian LyricsWalk Like an Egyptian was a million-selling single and became Billboard’s number-one song of 1987.  Nevertheless, the song ended up accelerating the tensions within the group. The original plan for this song… Read More 
All the old paintings on the tomb
They do the sand dance, don't you know?
If they move too quick (Oh-way-oh)
They're falling down like a domino
All the bazaar men by the Nile
They got the money on a bet
Gold crocodiles (Oh-way-oh)
They snap their teeth on your cigarette

Foreign types with the hookah pipes say
(Way-oh, way-oh, ooh-way-oh-way-oh)

Walk like an Egyptian

The blonde waitresses take their trays
They spin around, and they cross the floor
They've got the moves (Oh-way-oh)
You drop your drink, then they bring you more
All the school kids so sick of books
They like the punk and the metal band
When the buzzer rings (Oh-way-oh)
They're walking like an Egyptian

All the kids in the marketplace say
(Way-oh, way-oh, ooh-way-oh-way-oh)

Walk like an Egyptian


Slide your feet up the street, bend your back
Shift your arm, then you pull it back
Life is hard, you know (Oh-way-oh)
So strike a pose on a Cadillac
If you want to find all the cops
They're hanging out in the donut shop
They sing and dance (Oh-way-oh)
They spin the clubs, cruise down the block
All the Japanese with their yen
The party boys call the Kremlin
And the Chinese know (Oh-way-oh)
They walk the line like Egyptian

All the cops in the donut shop say
(Way-oh, way-oh, ooh-way-oh-way-oh)

Walk like an Egyptian
Walk like an Egyptian","pop, 80s, female vocalists, new wave, rock"
1,2,"""Alone""",Heart,"27 ContributorsAlone LyricsBilly Steinberg and Tom Kelly originally wrote this song for their own act, ​i-Ten and the album Taking a Cold Look which came out in 1983. In 1984, it was performed by John Stamos and Valerie Stevenson in… Read More 
I hear the ticking of the clock
I'm lying here, the room's pitch dark
I wonder where you are tonight
No answer on the telephone
And the night goes by so very slow
Oh, I hope that it won't end though
Alone

'Til now, I always got by on my own
I never really cared until I met you
And now it chills me to the bone
How do I get you alone?
How do I get you alone?

You don't know how long I have wanted
To touch your lips and hold you tight, oh
You don't know how long I have waited
And I was gonna tell you tonight
But the secret is still my own
And my love for you is still unknown
Alone

'Til now, I always got by on my own
I never really cared until I met you
And now it chills me to the bone
How do I get you alone?
How do I get you alone?


How do I get you alone?
How do I get you alone?
Alone, alone","classic rock, rock, hard rock, female vocalists, 80s"
2,3,"""Shake You Down""",Gregory Abbott,"12 ContributorsShake You Down LyricsShake You Down was the lead single from Gregory Abbott’s debut album Shake You Down.
In 1986, the song topped Billboard’s R&B Singles chart for two weeks and peaked at #2 on Billboard’s Adult Contemporary… Read More 
Ooh-ooh
Yeah

Girl, I've been watching you
From so far across the floor, now, baby
That's nothing new, I've watched you
So many times before, now, baby
I see that look in your eyes (Look in your eyes)
And what it’s telling me
And you know, ooh, girl, that I'm not shy
I'm glad you picked up on my telepathy, now, baby

(You read my mind) You know you did
(Girl, I wanna shake you down) Oh, well, oh, well
(I can give you all the lovin' you'll need)
I’m gonna love you
(Come on, let me take you down) Oh, baby
(We’ll go all the way to heaven)

Ooh, I been missing you
And the way you make me feel inside
What can I do?
I can tell you've got your pride now, baby (Ooh)
Come to me, well, oh, well
(Won't you come to me?)
Let me ease your mind, oh, babe
I've got the remedy, huh, yes, I do
Now give me just a little time

(Here in my mind)
(Girl, I wanna shake you down) I wanna rock you down
(I can give you all the loving you need) I'm gonna love you
(Lovin' you'll need)
(Come on, let me take you down) Oh, well, oh, well
(We'll go all the way to heaven)

Girl, I've been missing you
And you know, it's funny
Every time I get to feelin' this way
I wish I had you near me
I wanna reach out and touch you

I can't stop thinking of the things we do
The way you call me, baby, when I'm holding you
I shake and I shiver when I know you're near
Then you whisper in my ear, oh, baby, well, well

You read my mind (You know you did)
Girl, I wanna shake you down (Oh, baby)
I can give you all the lovin’ you'll need (Ohh)
(Lovin' you'll need)
Come on let me take you down (Oh, well, oh, well)
We'll go all the way to heaven

Eeny-meeny-miny-mo
(You read my mind)
Come on, girl, let’s shock the show
(Girl, I wanna shake you down)
(I wanna give it to you)
(I can give you all the lovin' you need)
Ah, babe
Roses are red and violets are blue
(Lovin' you'll need)
I’m gonna rock this world for you
(Come on, let me take you down)
Hey, baby
(We'll go all the way to heaven)
(Come to me tonight)
(You read my mind)
C'mon, sugar, lemme shake you down
(Girl, I wanna shake you down)
I wanna take you down to the ground
(I wanna give it to ya)
I shake and I shiver when I know you're near
(I can give you all the lovin' you need)
C'mon, baby, whisper in my ear
C'mon, sugar, lemme shake you down
(Lovin' you'll need)
I wanna take you down to the ground
(Come on, let me take you down)
I shake and I shiver when I know you're near
(We'll go all the way to heaven)
C'mon, baby, whisper in my ear","soul, 80s, rnb, pop, rhythm and blues"
3,4,"""I Wanna Dance with Somebody (Who Loves Me)""",Whitney Houston,"54 ContributorsTranslationsEspañolI Wanna Dance With Somebody (Who Loves Me) LyricsWhitney Houston’s 1987 single “I Wanna Dance with Somebody (Who Loves Me)” was her biggest hit until “I Will Always Love You,” five years later.
The story behind the song belongs to its songwriters—George… Read More 
Ah
Yeah, woo
Hey, yeah, ah
Ooh, yeah, uh-huh
Yeah
I wanna dance

Clock strikes upon the hour
And the sun begins to fade
Still enough time to figure out
How to chase my blues away

I've done alright up 'til now
It's the light of day that shows me how
And when the night falls
The loneliness calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

I've been in love and lost to my senses
Spinnin' through the town
Sooner or later, the fever ends
And I wind up feelin' down

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat
Yeah, I wanna dance with somebody
With somebody who loves me

Somebody who, somebody who
Somebody who loves me, yeah
Somebody who, somebody who
To hold me in his arms, oh

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Ooh, ooh (Dance)
Come on, baby (Dance)
Woo, yeah (Dance)
Now get with this, woah (Dance)
Don't you wanna dance (Dance) with me, baby?
Don't you wanna dance (Dance) with me, boy?
Hey, don't you wanna dance (Dance) with me, baby?
With somebody who loves me
Don't you wanna dance? Say you wanna dance
Don't you wanna dance? (Dance)
Don't you wanna dance? Say you wanna dance
Don't you wanna dance? (Dance)
Don't you wanna dance? Say you wanna dance
Uh-huh (Dance)
With somebody who loves me
Ooh, ooh (Dance)
Ooh, ooh (Dance)
Ooh, ooh (Dance)
Hey, baby
Don't you wanna love, don't you wanna love me?","pop, soul, female vocalists, rnb, 80s"
4,5,"""Nothing's Gonna Stop Us Now""",Starship,"36 ContributorsNothing’s Gonna Stop Us Now Lyrics
Lookin' in your eyes, I see a paradise
This world that I found is too good to be true
Standin' here beside you, want so much to give you
This love in my heart that I'm feelin' for you

Let 'em say we're crazy, I don't care 'bout that
Put your hand in my hand, baby, don't ever look back
Let the world around us just fall apart
Baby, we can make it if we're heart to heart

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
Nothing's gonna stop us now (Oh, whoa)

I'm so glad I found you, I'm not gonna lose you
Whatever it takes, I will stay here with you
Take it to the good times, see it through the bad times
Whatever it takes is what I'm gonna do

Let 'em say we're crazy
What do they know?
Put your arms around me
Baby, don't ever let go
Let the world around us just fall apart
Baby, we can make it if we're heart to heart

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
Nothing's gonna stop us

Ooh, all that I need is you
All that I ever need
And all that I want to do
Is hold you forever, forever and ever Hey!

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
Nothing's gonna stop us now, whoa-oh-oh-oh, oh

And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
(Nothing's gonna stop us now)
If this world runs out of lovers
We'll still have each other
Nothing's gonna stop us
(Oh, no)

And we can build this dream together (Hey baby)
Standing strong forever (I know)
Nothing's gonna stop us now (Hey baby, nothing's gonna stop us)
If this world runs out of lovers (Hey baby, ooh, hoo!)
We'll still have each other (Nothing's gonna)
Nothing's gonna stop us (Hey baby, nothing's gonna stop us now, yeah)
And we can build this dream together
Standing strong forever
Nothing's gonna stop us now
If this world runs out of lovers...","80s, rock, classic rock, pop, soft rock"
5,6,"""C'est La Vie""",Robbie Nevil,"10 ContributorsC’est la Vie Lyrics“C'est La Vie” was originally sung by Beau Williams in 1985.
Robbie Nevil’s version peaked at #2 on the Billboard Hot 100 and topped Billboard’s Hot Dance Music\Club Play chart, staying on the chart for a… Read More 
Got a job that's okay
But they've got me working night and day
Punching in, punching out
Is this really what life's all about?

(What'cha gonna do?)
(What'cha gonna feel?)
I don't know
(What'cha gonna feel?)
(What'cha gonna do?)
Ooh, won't someone tell me?
(What'cha wanna say?)
(What'cha wanna do?)
There's only one thing left to say
(What'cha wanna say?)
(What'cha wanna say?)
Whoo!

(C'est la vie, c'est la vie)
That's just the way it goes
(That's life) Oh yeah
(C'est la vie, c'est la vie)
That's just the way it goes
(That's life) Mm-mm

Baby's gone, all alone
Are you sad because you're on your own?
Get back up, party down
There's so many good ones still around

(What'cha gonna do?)
(What'cha gonna feel?)
Ooh, I don't know
(What'cha gonna feel?)
(What'cha gonna do?)
Ooh, won't someone tell me?
(What'cha wanna say?)
(What'cha wanna do?)
I guess there's just one thing to say
(What'cha wanna say?)
(What'cha wanna say?)
Ooh-ooh

(C'est la vie, c'est la vie)
That's just the way it goes
(That's life) Oh yeah, ooh
(C'est la vie, c'est la vie)
That's just the way it goes
(That's life) Ooh-ooh

Hey, it's JJ!
What you been doing?
You said your car broke down
The thing just isn't moving
Say JJ, don't you know?
When you're down
There's just one way to go
Now sing it

(C'est la vie, c'est la vie)
That's just the way it goes
(That's life) Sometimes
(C'est la vie, c'est la vie)
Hey, hey, that's just the way it goes
(C'est la vie, c'est la vie)
That's just the way it goes
(That's life) Ooh yeah, ooh yeah
(C'est la vie, c'est la vie)
Oh, that's just the way it goes
(That's life) You know it, ooh yeah
(C'est la vie, c'est la vie)
That's just the way it goes
(That's life)
(C'est la vie, c'est la vie)


(That's life)","pop, 80s, rock, american, eighties-pop"
6,7,"""Here I Go Again""",Whitesnake,"65 ContributorsHere I Go Again Lyrics
I don't know where I'm going
But I sure know where I've been
Hanging on the promises in songs of yesterday
And I've made up my mind
I ain't wasting no more time

Here I go again
Here I go again

Though I keep searching for an answer
I never seem to find what I'm looking for
Oh, Lord, I pray you give me strength to carry on

'Cause I know what it means
To walk along the lonely street of dreams

And here I go again on my own
Going down the only road I've ever known
Like a hobo, I was born to walk alone
And I've made up my mind
I ain't wasting no more time

I'm just another heart in need of rescue
Waiting on love's sweet charity
And I'm gonna hold on for the rest of my days

'Cause I know what it means
To walk along the lonely street of dreams

And here I go again on my own
Going down the only road I've ever known
Like a hobo, I was born to walk alone
And I've made up my mind
I ain't wasting no more time

But here I go again
Here I go again
Here I go again
Here I go


And I've made up my mind
I ain't wasting no more time

Here I go again on my own
Going down the only road I've ever known
Like a hobo, I was born to walk alone

'Cause I know what it means
To walk along the lonely street of dreams

And here I go again on my own
Going down the only road I've ever known
Like a hobo, I was born to walk alone
And I've made up my mind
I ain't wasting no more time

But here I go again
Here I go again
Here I go again
Here I go
Here I go again","hard rock, classic rock, 80s, rock, hair metal"
7,8,"""The Way It Is""",Bruce Hornsby and the Range,"41 ContributorsThe Way It Is LyricsBruce Hornsby’s second single and biggest hit, “The Way It Is,” a song about the civil rights era, reached #1 in the US in late 1986. It was also a top 30 hit in several other countries including the UK. Its… Read More 

Standing in line, marking time
Waiting for the welfare dime
'Cause they can't buy a job
The man in the silk suit hurries by
As he catches the poor old ladies' eyes
Just for fun, he says, ""Get a job""

That's just the way it is
Some things will never change
That's just the way it is
Ha, but don't you believe them

They say, ""Hey, little boy, you can't go where the others go
'Cause you don't look like they do""
Said, ""Hey, old man, how can you stand to think that way?
Did you really think about it before you made the rules?""
He said, ""Son

That's just the way it is
Some things will never change
That's just the way it is""
Ha, but don't you believe them
Mmm, yeah


That's just the way it is
That's just the way it is

Well, they passed a law in '64
To give those who ain't got a little more
But it only goes so far
'Cause the law don't change another's mind
When all it sees at the hiring time
Is the line on the color bar, ooh, no

That's just the way it is
Some things will never change
That's just the way it is
That's just the way it is, it is, it is, it is","80s, classic rock, rock, singer-songwriter, pop"
8,9,"""Shakedown""",Bob Seger,"16 ContributorsShakedown Lyrics
No matter what you think you've pulled
You'll find it's not enough
No matter who you think you know
You won't get through
It's a given, L.A. law
Someone's faster on the draw
No matter where you hide
I'm comin' after you

No matter how the race is run
It always ends the same
Another room without a view
Awaits downtown
You can shake me for a while
Live it up in style
No matter what you do
I'm going to take you down

Shakedown, breakdown, takedown
Everybody walks into the crowded light
Breakdown, takedown
You're busted
Let down your guard, honey
Just about the time you figured it's all right
Breakdown, take down
You're busted (Oh, oh, uh)

This is a town where everyone
Is reaching for the top
This is a place where
Second best will never do
It's okay you want to shine
But once you step across that line
No matter where you hide
I'm comin' after you

Shakedown, breakdown, takedown
Everybody walks into the crowded light
Breakdown, takedown
You're busted
Shakedown, breakdown, honey
Just about the time you think that it's all right
Breakdown, takedown
You're busted

Oh, busted
Oh oh

Shakedown (Breakdown), breakdown (Takedown), takedown
Everybody walks into the crowded light
Breakdown (Takedown), takedown (Shakedown)
You're busted (Busted, busted)
Shakedown (Breakdown), breakdown (Takedown), honey
Just about the time you think that it's all right
Breakdown (Takedown), takedown (Shakedown)
You're busted
Shakedown, breakdown, takedown
Everybody walks into the crowded light
Breakdown, takedown
You're busted
(Let down your guard, honey)
Just about the time you figured it's all right
(Breakdown, takedown)
Oh, you're busted
Shakedown, breakdown, takedown
Everybody walks into the crowded light
Breakdown, takedown
You're busted
Let down your guard, honey
Just about the time you figured it's all right...","classic rock, rock, singer-songwriter, 80s, soft rock"
9,10,"""Livin' on a Prayer""",Bon Jovi,"100 ContributorsTranslationsPortuguêsLivin’ on a Prayer LyricsAccording to co-writer Desmond Child, Jon Bon Jovi originally considered not including “Living On A Prayer” on the band’s third album Slippery When Wet:
After Bon Jovi did the demo, Jon wasn’t sure about… Read More 
Once upon a time, not so long ago

Tommy used to work on the docks
Union's been on strike, he's down on his luck
It's tough
So tough
Gina works the diner all day
Workin' for her man, she brings home her pay
For love
Mm, for love

She says, ""We've gotta hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shot""

Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand, we'll make it, I swear
Woah-oh, livin' on a prayer

Tommy's got his six-string in hock
Now he's holdin' in, when he used to make it talk
So tough
Ooh, it's tough
Gina dreams of runnin' away
When she cries in the night, Tommy whispers
""Baby, it's okay
Someday""

We've gotta hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shot

Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand, we'll make it, I swear
Woah-oh, livin' on a prayer, livin' on a prayer


Ooh, we gotta hold on, ready or not
You live for the fight when that's all that you've got

Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer","rock, hard rock, classic rock, 80s, hair metal"
