Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Tonight's the Night (Gonna Be Alright)""",Rod Stewart,"16 ContributorsTonight’s the Night (Gonna Be Alright) Lyrics
Stay away from my window
Stay away from my back door, too
Disconnect the telephone line
Relax, baby, and draw that blind

Kick off your shoes and sit right down
Loosen up that pretty French gown
Let me pour you a good, long drink
Ooh, baby, don't you hesitate, 'cause

Tonight's the night
It's gonna be all right
'Cause I love you, girl
Ain't nobody gonna stop us now

C'mon, angel, my heart's on fire
Don't deny your man's desire
You'd be a fool to stop this tide
Spread your wings and let me come inside, 'cause

Tonight's the night
It's gonna be all right
'Cause I love you, girl
Ain't nobody gonna stop us now


Don't say a word, my virgin child
Just let your inhibitions run wild
The secret is about to unfold
Upstairs before the night's too old

Tonight's the night
It's gonna be all right
'Cause I love you, woman
Ain't nobody gonna stop us now

J'ai un peu peur
Oh mon Dieu, qu'est-ce que va dire maman?
Mon amour, viens plus près, embrasse-moi
Oh, je t'adore beaucoup
Cette nuit est la nuit
Oh, oui cette nuit est la nuit
Oh, je t'aime, je t'aime, je t'aime
Cette nuit, oh
Cette nuit, oh","classic rock, rock, soft rock, 70s, pop"
1,2,"""I Just Want to Be Your Everything""",Andy Gibb,"13 ContributorsI Just Want to Be Your Everything Lyrics
For so long
You and me been finding each other for so long
And the feeling that I feel for you
Is more than strong, girl
Take it from me
If you give a little more than you're asking for
Your love will turn the key
Darling, mine
I would wait forever for those lips of wine
Build my world around you, darling
This love will shine, girl
Watch it and see
If you give a little more than you're asking for
Your love will turn the key

I, I, I just wanna be your everything
Open up the Heaven in your heart and let me be
The things you are to me
And not some puppet on a string
Oh, if I, if I stay here without you, darling, I will die
I want you laying in the love I have to bring
I'd do anything
To be your everything

Darling, for so long
You and me been finding each other for so long
And the feeling that I feel for you is more than strong, girl
Take it from me
If you give a little more than you're asking for
Your love will turn the key

I, I, I just wanna be your everything
Open up the Heaven in your heart and let me be
The things you are to me
And not some puppet on a string
Oh, I, if I stay here without you, darling, I will die
I want you laying in the love I have to bring
I'd do anything
To be your everything


I, I, I just wanna be your everything (Your everything)
Open up the Heaven in your heart and let me be
The things you are to me
And not some puppet on a string
I, I, if I stay here without you, darling, I will die (Darling, I will die)
I want you laying in the love I have to bring
I'd do anything
To be your everything (I just wanna be your everything)","Disco, pop, 70s, classic rock, australian"
2,3,"""Best of My Love""",The Emotions,"21 ContributorsBest of My Love Lyrics
Doesn't take much to make me happy
And make me smile with glee
Never, never will I feel discouraged
'Cause our love's no mystery
Demonstrating love and affection
That you give so openly, yeah
I like the way you make me feel about you, baby
Want the whole wide world to see

Whoa-whoa, you got the best of my love
Whoa-whoa, you got the best of my love
Whoa-whoa, you got the best of my love
Whoa-whoa, you got the best of my love

Goin' in and out of changes
The kind that come around each day
My life has a better meaning
Love has kissed me in a beautiful way

And oh, yeah (my love, my love)
Oh, yeah (my love, my love)

Oh, you got the best of my love
Whoa-whoa, you got the best of my love
Whoa-whoa, you got the best of my love
Whoa-whoa, you got the best of my love

Demonstrating sweet love and affection
That you give so openly yeah
The way I feel about you, baby, can't explain it
Want the whole wide world to see
Oh, but in my heart
You're all I need
You for me and me for you (my love, my love)
Oh, it's growin' every day, oh (my love, my love)

Oh, oh oh oh oh oh
You've got the best of my love
Oh, oh oh oh oh oh
You've got the best of my love
Oh, givin' you the best of my love
My love, my love, my love
Oh, givin' you the best of my love
My love, my love, oh yeah
Oh, oh oh oh oh oh
You've got the best of my love
Oh, oh oh oh oh oh
You've got the best of my love
Oh, givin' you the best of my love
Oh, givin' you the best of my love","soul, Disco, funk, 70s, motown"
3,4,"""Evergreen (Love Theme from A Star Is Born)""",Barbra Streisand,"13 ContributorsEvergreen (Love Theme from ”A Star Is Born”) LyricsThe theme song from Frank Pierson’s show business romantic tragedy, this won both the Golden Globe and the Oscar for Best Original Song. It marked the first time that a woman won the latter award as a… Read More 
Ooh hoo
Ah, ah, ah

Love, soft as an easy chair
Love, fresh as the morning air
One love that is shared by two
I have found with you

Like a rose under the April snow
I was always certain love would grow
Love ageless and evergreen
Seldom seen by two

You and I will make each night a first
Every day a beginning
Spirits rise and their dance is unrehearsed
They warm and excite us
'Cause we have the brightest love

Two lights that shine as one
Morning glory and midnight sun
Time we've learned to sail above
Time won't change the meaning of one love
Ageless and ever evergreen","female vocalists, pop, 80s, diva, 70s"
4,5,"""Angel in Your Arms""",Hot,"4 ContributorsAngel In Your Arms LyricsANGEL IN YOUR ARMS
Do you think I'm such a fool to believe everything you say is true
That just goes to show
That you really don't know
While you're out paintin' the town
Do you think I'm home just sittin' around waitin' on you
Now who's really the fool
When I first found out I hurt all over
I felt so left out 'til I got to know her
So I tried the way that she got over
And I became just like her
So don't be surprised to find
That the angel in your arms this morning
Is gonna be the devil in someone else's arms tonight
Yes, The angel in your arms this morning
Is gonna be the devil in someone else's arms tonight
Why'd you slip around secretly
If you were tired of loving me
Why'd you keep holdin' on when love was already gone
The times you said you weren't feelin' well
Did you think I couldn't tell you'd been with someone else
You were only kiddin' yourself

When I first found out I hurt all over
I felt so left out 'til I got to know her
So I tried the way that she got over
And I became just like her
So don't be surprised to find
That the angel in your arms this morning
Is gonna be the devil in someone else's arms tonight
Yes the angel in your arms this morning
Is gonna be the devil in someone else's arms tonight
Yes the angel in your arms this morning
Is gonna be the devil in someone else's arms tonight
The angel in your arms this morning
Is gonna be the devil in someone else's arms tonight","Ragga Jungle, jungle, Drum and bass, soul, 70s"
5,6,"""I Like Dreamin'""",Kenny Nolan,"5 ContributorsI Like Dreamin’ LyricsI like dreamin' cause dreamin' can make you mine
I like dreamin', closing my eyes and feeling fine
When the lights go down, I'm holding you so tight
Got you in my arms and it's paradise 'til the morning light
I see us on the shore beneath the bright sunshine
We've walked along St. Thomas beach a million times
Hand in hand, two barefoot lovers kissing in the sand
Side by side, the tide rolls in
I'm touching you, you're touching me
If only it could be
I like dreamin' cause dreamin' can make you mine
I like dreamin', closing my eyes and feeling fine
When the lights go down, I'm holding you so tight
Got you in my arms and it's paradise 'til the morning light
Through each dream, how our love has grown
I see us with our children and our happy home
Little smiles, so warm and tender looking up at us
Blessed by love, the one we shared
Till I wake, and reach for you
And you're just not there
I like dreamin' 'cause dreaming can make you mine
I like holding you close and touching your skin
Even if it's in my mind
Oh, sweet dream baby, I love you
Oh, my sweet dream baby, you're in my dreams every night
Oh sweet dreams, I like feelin you
Oh sweet dreams baby, Don't keep me waiting all my life","70s, pop, romantic, male vocal, not streamable"
6,7,"""Don't Leave Me This Way""",Thelma Houston,"19 ContributorsDon’t Leave Me This Way Lyrics“Don’t Leave Me This Way” is a single released by Motown artist Thelma Houston. It is notable for being an unofficial anthem for the AIDS epidemic for the gay male community in the United States.
The song… Read More 
Don't leave me this way
I can't survive, I can't stay alive
Without your love, oh baby
Don't leave me this way, no, I can't exist
I'll surely miss your tender kiss
Don't leave me this way

(Ahh) Baby, my heart is full of love and desire for you
Now come on down and do what you got to do
You started this fire down in my soul
Now can't you see it's burning out of control?
Come on, satisfy the need in me
'Cause only your good loving can set me free
(Set me free, set me free)

Don't, don't you leave me this way, no
Don't you understand, I'm at your command?
Oh baby, please, please don't leave me this way, no, baby
Don't leave me this way, no
I can't survive, I can't stay alive
Without your love
Baby, don't leave me this way

(Ahh) Baby, my heart is full of love and desire for you
So come on down and do what you've got to do
You started this fire down in my soul
Now can't you see it's burning out of control?
So come on, satisfy the need in me
'Cause only your good loving can set me free
(Set me free, set me free) Aye, aye
I need your loving, baby, I need, I need

Satisfy the need in me
Satisfy the need in me
Hey, hey, baby
Come and satisfy the need in me
Oh, woah, baby
Come and satisfy the need in me
Oh, baby, don't leave me this way
Don't leave me this way
No, don't leave me this way
No, don't leave me this way, baby
Don't leave me","Disco, soul, 70s, female vocalists, dance"
7,8,"""(Your Love Has Lifted Me) Higher and Higher""",Rita Coolidge,"7 Contributors(Your Love Has Lifted Me) Higher And Higher Lyrics
Your love is liftin' me higher
Than I've ever been lifted before

Your love is liftin' me higher
Than I've ever been lifted before
So keep it up, quench my desire
And I'll be at your side forevermore

Now once, I was downhearted
Disappointment was my closest friend
But you came, he soon departed
And he never showed his face again


Oh, I'm so glad I finally found you
You're that one in a million man
When you wrap your lovin' arms around me
I can stand up and face the world again

Your love is liftin' me higher
(Your love keeps liftin' me, liftin' me, liftin' me)
Than I've ever been lifted before
(Liftin' me, your love lifts me, higher, higher)
So keep it up, quench my desire
(Your love keeps liftin' me, liftin' me, liftin' me)
And I'll be at your side forevermore
(Liftin' me, your love lifts me higher, higher)
Your love is liftin' me higher
(Your love keeps liftin' me, liftin' me, liftin' me)
Than I've ever been lifted before
(Liftin' me, your love lifts me, higher, higher)
So keep it up, quench my desire
(Your love keeps liftin' me, liftin' me, liftin' me)
And I'll be at your side forevermore
(Liftin' me, your love lifts me higher, higher)
Your love is liftin' me higher
(Your love keeps liftin' me, liftin' me, liftin' me)
Than I've ever been lifted before
(Liftin' me, your love lifts me, higher, higher)
So keep it up, quench my desire
(Your love keeps liftin' me, liftin' me, liftin' me)
And I'll be at your side forevermore
(Liftin' me, your love lifts me higher, higher)","pop, female vocalists, country, 70s, soft rock"
8,9,"""Undercover Angel""",Alan O'Day,"8 ContributorsUndercover Angel Lyrics
Yeah, yeah
Right

Cryin' on my pillow, lonely in my bed
Then I heard a voice beside me and she softly said
""Wonder is your nightlight, magic is your dream""
And as I held her, she said, ""See what I mean""

I said, ""What?""
She said, ""Ooh-ooh-ooh-ee""
I said, ""Alright""
She said ,""Love me, love me, love me""

Undercover angel, midnight fantasy
I never had a dream that made sweet love to me, ooh
Undercover angel, answer to my prayer
You made me know that there's a love for me out there
(Somewhere) Yes, somewhere

Heavenly surrender, sweet afterglow (Undercover)
I'm givin' up my heart to you, now angel don't go
She said, ""Go find the right one, love her and then (Undercover)
When you look into her eyes, you'll see me again""

I said, ""What?""
She said, ""Ooh-ooh-ooh-ee""
I said, ""Alright""
She said ,""Love me, love me, love me""

Undercover angel, midnight fantasy
I never had a dream that made sweet love to me, ooh
Undercover angel, answer to my prayer
You made me know that there's a love for me out there
(Somewhere) Woah, somewhere

Now you know my story, and girl, if it's right
I'm gonna take you in my arms and love you tonight
Underneath the covers, the answer lies
I'm lookin' for my angel in your sweet, lovin' eyes

She said, ""What?"" (Undercover, undercover)
I said, ""Ooh-ooh-ooh-ee"" (Undercover, undercover)
She said, ""Alright"" (Undercover, undercover)
I said, ""Get next to me"" (Undercover, undercover)
She said, ""What?"" (Undercover, undercover)
I said, ""Ooh-ooh-ooh-ee"" (Undercover, undercover)
She said, ""Alright"" (Undercover, undercover)
She said, ""Love me, love me, love me""

Undercover angel, midnight fantasy
I've never had a dream that made sweet love to me, ooh
Undercover angel, answer to my prayer
You made me know that there's a love for me
(You made me, you made me, you made me, you made me)
Love me, love me, love me

Undercover angel, midnight fantasy
I've never had a dream that made sweet love to me, ooh
Undercover angel, answer to my prayer
You made me know that there's a love for me
(You made me, you made me, you made me, you made me)

Out there (Somewhere)
Out there (Somewhere)
Out there (Somewhere)
Out there (Somewhere)
Woah, out there (Somewhere)
Yeah, out there (Somewhere)
Out there (Somewhere)
Out there, out there (Somewhere)...","pop, 70s, vocal, classic rock, american"
9,10,"""Torn Between Two Lovers""",Mary MacGregor,"5 ContributorsTorn Between Two Lovers Lyrics
There are times when a woman has to say what's on her mind
Even though she knows how much it's gonna hurt
Before I say another word let me tell you, I love you
Let me hold you close and say these words as gently as I can

There's been another man that I've needed and I've loved
But that doesn't mean I love you less
And he knows he can't possess me and he knows he never will
There's just this empty place inside of me that only he can fill

Torn between two lovers, feelin' like a fool
Lovin' both of you is breakin' all the rules
Torn between two lovers, feelin' like a fool
Lovin' you both is breakin' all the rules

You mustn't think you've failed me
Just because there's someone else
You were the first real love I ever had
And all the things I ever said, I swear they still are true
For no one else can have the part of me I gave to you

Torn between two lovers, feelin' like a fool
Lovin' both of you is breakin' all the rules
Torn between two lovers, feelin' like a fool
Lovin' you both is breakin' all the rules

I couldn't really blame you if you turned and walked away
But with everything I feel inside, I'm asking you to stay

Torn between two lovers, feelin' like a fool
Lovin' both of you is breakin' all the rules
Torn between two lovers, feelin' like a fool
Lovin' you both is breakin' all the rules
Torn between two lovers, feelin' like a fool
Lovin' both of you is breakin' all the rules
Torn between two lovers, feelin' like a fool
Lovin' you both is breakin' all the rules","female vocalists, pop, country, american, USA"
