Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Shadow Dancing""",Andy Gibb,"9 ContributorsShadow Dancing Lyrics“Shadow Dancing” is a seventies disco song released off of Andy’s album of the same name. The song was co-written by Andy with his three brothers Maurice, Robin, and Barry Gibb, famous for being The Bee Gees.… Read More 
You got me looking at that heaven in your eyes
I was chasing your direction, I was telling you no lies
And I was loving you
When the words are said, baby, I lose my head

And in a world of people, there's only you and I
There ain't nothing come between us in the end
How can I hold you when you ain't even mine?
Only you can see me through
I leave it up to you

Do it light, taking me through the night
Shadow dancing, baby you do it right, uh-huh
Give me more, drag me across the floor
Shadow dancing, all this and nothing more

All that I need is just one moment in your arms
I was chasing your affection, I was doing you no harm
And I was loving you
Make it shine, make it rain, baby I know my way

I need that sweet sensation of living in your love
I can't breathe when you're away, it pulls me down
You are the question and the answer am I
Only you can see me through
I leave it up to you

Do it light, taking me through the night
Shadow dancing, baby you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more

And in this world of people, there's only you and I
There ain't nothing come between us in the end
How can I hold you when you ain't even mine?
Only you can see me through
I leave it up to you, oh

Do it light, taking me through the night
Shadow dancing, baby you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more
Do it light, taking me through the night
Shadow dancing, baby you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more
Do it light, taking me through the night
Shadow dancing, baby you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more
Do it light, taking me through the night
Shadow dancing, baby you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more","Disco, pop, 70s, classic rock, australian"
1,2,"""Night Fever""",Bee Gees,"31 ContributorsNight Fever Lyrics“Night Fever” is the third track from the soundtrack for the 1977 movie Saturday Night Fever.
The string intro was inspired by “Theme From A Summer Place” by Percy Faith, according to keyboardist Blue… Read More 
Listen to the ground
There is movement all around
There is something goin' down
And I can feel it
On the waves of the air
There is dancin' out there
If it's somethin' we can share
We can steal it

And that sweet city woman, she moves through the light
Controlling my mind and my soul
When you reach out for me, yeah, and the feelin' is right

Gimme that night fever, night fever
We know how to do it
Gimme that night fever, night fever
We know how to show it

Here I am
Prayin' for this moment to last
Livin' on the music so fine
Borne on the wind, makin' it mine

Night fever, night fever
We know how to do it
Gimme that night fever, night fever
We know how to show it

In the heat of our love, don't need no help for us to make it
Gimme just enough to take us to the mornin'
I got fire in my mind, I get higher in my walkin'
And I'm glowin' in the dark, I give you warnin'

And that sweet city woman, she moves through the light
Controlling my mind and my soul
When you reach out for me, yeah, and the feelin' is right

I get night fever, night fever
We know how to do it (Feel like forever, baby, don't you lose it)
Gimme that night fever, night fever
We know how to show it

Here I am
Prayin' for this moment to last
Livin' on the music so fine
Borne on the wind, makin' it mine

Night fever, night fever
We know how to do it (Feel like forever, baby, don't you lose it)
Gimme that night fever, night fever
We know how to show it (I'll leave you never, baby, don't you know it?)
Gimme that night fever, night fever
We know how to do it (Feel like forever, baby, don't you lose it)
Gimme that night fever, night fever
We know how to show it (I'll leave you never, baby, don't you know it?)
Gimme that night fever, night fever
We know how to do it (Feel like forever)","Disco, pop, 70s, classic rock, oldies"
2,3,"""You Light Up My Life""",Debby Boone,"12 ContributorsYou Light Up My Life Lyrics“You Light Up My Life” was originally sung by Kasey Cisyk for the soundtrack to the 1977 film “You Light Up My Life.”
Debby Boone’s version of the song topped the Billboard Hot 100 for 10 weeks and was… Read More 
So many nights
I'd sit by my window
Waiting for someone
To sing me his song
So many dreams
I've kept deep inside me
Alone in the dark
But now you've come along

And you
Light up my life
You give me hope
To carry on
You light up my days
And fill my nights
With song

Rolling at sea
Adrift on the water
Could it be finally
I'm turning for home?
Finally, a chance
To say, ""Hey, I love you,""
Never again
To be all alone

 x2

It can't be wrong
When it feels so right
'Cause you
You light up my life","pop, country, female vocalists, 70s, USA"
3,4,"""Stayin' Alive""",Bee Gees,"90 ContributorsStayin’ Alive Lyrics“Stayin' Alive” is a 1977 disco single written by the Bee Gees which peaked at #1 on the Billboard Hot 100 and remained there for four weeks. Robin Gibb began writing the lyrics on an airplane ticket as… Read More 
Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
The music loud and the women warm
I've been kicked around since I was born

And now it's alright, it's okay
And you may look the other way
But we can try to understand
The New York Times' effect on man

Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive
Oh, when you walk

Well now, I get low and I get high
And if I can't get either, I really try
Got the wings of Heaven on my shoes
I'm a dancin' man and I just can't lose

You know it's alright, it's okay
I'll live to see another day
But we can try to understand
The New York Times' effect on man

Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive
(Hey, yeah)

Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive

Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
The music loud and the women warm
I've been kicked around since I was born

And now it's alright, it's okay
And you may look the other way
But we can try to understand
The New York Times' effect on man

Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive
(Hey, yeah)

Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive","Disco, pop, 70s, classic rock, oldies"
4,5,"""Kiss You All Over""",Exile,"11 ContributorsKiss You All Over LyricsWhen I get home, babe
Gonna light your fire
All day I've been thinkin' about you, babe
You're my one desire
Gonna wrap my arms around you
Hold you close to me
Oh, babe I wanna taste your lips
I wanna be your fantasy, yeah
Don't know what I'd do without you, babe
Don't know where I'd be
You're not just another lover
No, you're everything to me
Every time I'm with you, baby
I can't believe it's true
When you're layin' in my arms
And you do the things you do
You can see it in my eyes
I can feel it in your touch
You don't have to say a thing
Just let me show how much
I love you
I need you, yeah

I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in
Till the night closes in
Stay with me, lay with me, holding me, loving me, baby
Here with me, near with me, feeling you close to me, baby
So show me, show me everything you do
Cause baby no one does it quite like you
I love you
I need you, yeah
I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in","j-pop, Hip-Hop, japanese, instrumental hip-hop, Drum and bass"
5,6,"""How Deep Is Your Love""",Bee Gees,"65 ContributorsTranslationsEspañolHow Deep is Your Love Lyrics“How Deep Is Your Love” is a 1977 single by the Bee Gees. Originally intended for singer Yvonne Elliman, their request was declined and the Bee Gees decided to sing it themselves.
The song is part of the… Read More 
I know your eyes in the mornin' sun
I feel you touch me in the pourin' rain
And the moment that you wander far from me
I wanna feel you in my arms again

And you come to me on a summer breeze
Keep me warm in your love, then you softly leave
And it's me you need to show
How deep is your love?

How deep is your love? How deep is your love?
I really mean to learn
'Cause we're livin' in a world of fools
Breakin' us down
When they all should let us be
We belong to you and me

I believe in you
You know the door to my very soul
You're the light in my deepest, darkest hour
You're my saviour when I fall

And you may not think I care for you
When you know down inside that I really do
And it's me you need to show
How deep is your love?

How deep is your love? How deep is your love?
I really mean to learn
'Cause we're livin' in a world of fools
Breakin' us down
When they all should let us be
We belong to you and me

Na-na-na-na-na
Na-na-na-na, na-na-na-na-na
Na-na-na, na-na-na-na-na-na-na
Na-na-na, na-na-na-na

And you come to me on a summer breeze
Keep me warm in your love, then you softly leave
And it's me you need to show
How deep is your love?

How deep is your love? How deep is your love?
I really mean to learn (I really mean to learn)
'Cause we're livin' in a world of fools
Breakin' us down
When they all should let us be
We belong to you and me
(Na-na-na-na-na)
How deep is your love? How deep is your love?
I really mean to learn
'Cause we're livin' in a world of fools
Breakin' us down
When they all should let us be
We belong to you and me
(Na-na-na-na-na)
How deep is your love? How deep is your love?
I really mean to learn
'Cause we're livin' in a world of fools
Breakin' us down
When they all should let us be
We belong to you and me","Disco, pop, 70s, classic rock, oldies"
6,7,"""Baby Come Back""",Player,"27 ContributorsBaby Come Back Lyrics“Baby Come Back” was ‘70s soft rock band Player’s biggest hit, reaching number one on the Billboard Hot 100 and Canada Top Singles chart of RPM. The song has been covered by other artists such as Lisa… Read More 
Spending all my nights, all my money going out on the town
Doing anything just to get you off of my mind
But when the morning comes, I'm right back where I started again
And tryin' to forget you is just a waste of time

Baby, come back, any kind of fool could see
There was something in everything about you
Baby, come back, you can blame it all on me
I was wrong and I just can't live without you

All day long, I'm wearing a mask of false bravado
Trying to keep up a smile that hides a tear
But as the sun goes down, I get that empty feeling again
How I wish to God that you were here

Baby, come back, oh, baby, any kind of fool could see
There was something in everything about you
Baby, come back, you can blame it all on me
I was wrong and I just can't live without you, oh

Now that I put it all together, oh-oh
Give me the chance to make you see
Have you used up all the love in your heart?
Nothing left for me? Ain't there nothing left for me?

Baby, come back, oh, darling, any kind of fool could see
There was something in everything about you
Baby, come back, listen, baby, you can blame it all on me
I was wrong and I just can't live without you
I was wrong and I just can't live","soft rock, 70s, rock, classic rock, pop"
7,8,"""(Love Is) Thicker Than Water""",Andy Gibb,"7 Contributors(Love Is) Thicker Than Water Lyrics
Love is higher than a mountain
Love is thicker than water
You are this dreamer's only dream
Heaven's angel, devil's daughter

Say, my mind
Should I go with her on silent nights
She'll drive me crazy in the end
And I should leave this paradise

But I can't leave her
While I need her more
Than she needs you
That's what I'm living for

Love is higher than a mountain
Love is thicker than water
You are this dreamer's only dream
Heaven's angel, devil's daughter


Say, my thought
Should I find out she don't care at all
She'll leave me crying in the end
Wandering through the afterglow

But I can't leave her
While I need her more
Than she needs you
That's what I'm praying for

Love is higher than a mountain
Love is thicker than water
You are this dreamer's only dream
Heaven's angel, devil's daughter
Love is higher than a mountain
Love is thicker than water
You are this dreamer's only dream
Heaven's angel, devil's daughter

La, la, la
La, la, la, la, la...","Disco, pop, 70s, classic rock, australian"
8,9,"""Boogie Oogie Oogie""",A Taste of Honey,"24 ContributorsBoogie Oogie Oogie LyricsBoogie Oogie Oogie"" is a song by the American band A Taste of Honey from their 1978 self-titled debut album. Released as their debut single in the summer of 1978, the song quickly become a disco hit and… Read More 
If you're thinkin' you're too cool to boogie
Boy, oh, boy, have I got news for you
Everybody here tonight must boogie
Let me tell ya, you are no exception to the rule

Get on up on the floor
'Cause we're gonna boogie-oogie-oogie
'Til you just can't boogie no more (No more boogie)
Boogie no more (No more boogie)
You can't boogie no more (No more boogie)
Boogie no more (No more boogie)
Listen to the music


There's no time to waste (Ooh)
Let's get the show on the road
Listen to the music and let your body flow
The sooner we begin, the longer we've got to groove! (Ooh)
Listen to the music and let yo' body move (Music feelin' good)

Now get on up on the floor
'Cause we're gonna boogie-oogie-oogie
'Til you just can't boogie no more (No more boogie)
Boogie no more (No more boogie)
You can't boogie no more (No more boogie)
Boogie no more (No more boogie)
Listen to my bass here


Boogie!
Boogie!
Boogie!
Boogie!
Get down, boogie-oogie-oogie
Get down, boogie-oogie-oogie
Get down, boogie-oogie-oogie
Get down
Get down, boogie-oogie-oogie
Get down, boogie-oogie-oogie
Get down, boogie-oogie-oogie
Get down
Boogie!
Boogie!
Boogie!
Boogie!
Get down, boogie-oogie-oogie
Get down, boogie-oogie-oogie
Get down","Disco, funk, soul, pop, rnb"
9,10,"""Three Times a Lady""",Commodores,"25 ContributorsThree Times a Lady LyricsThree Times a Lady is a song from the Commodores‘ sixth album Natural High.
The song was written by Lionel  Richie after being inspired by a comment his father said to his mother.
According to an interview… Read More 
Thanks for the times that you've given me
The memories are all in my mind
And now that we've come to the end of our rainbow
There's something I must say out loud

You're once, twice, three times a lady
And I love you
Yes, you're once, twice, three times a lady
And I love you, I love you

You shared my dreams, my joys, my pains
You made my life worth living for
And if I had to live my life over again, dear
I'd spend each and every moment with you

You're once, twice, three times a lady
And I love you
Yes, you're once, twice, three times a lady
And I love you, I love you

When we are together
The moments I cherish
With every beat of my heart
To touch you, to hold you
To feel you, to need you
There's nothing to keep us apart

(Ooh, ooh, ooh, ooh)
(Woo, ooh, ooh)
(Ooh, ooh, woo, ooh, ooh)
(Woo, ooh, ooh, woo, ooh, ooh)

You're once, twice, three times a lady
And I love you, I love you","soul, funk, 70s, motown, rnb"
