Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Hold On""",Wilson Phillips,"21 ContributorsHold On Lyrics“Hold On” topped Billboard’s Adult Contemporary chart for a week in April of 1990 and the Billboard Hot 100 for a week in June of 1990.
The song won an Billboard Music Award for “Hot 100 Single of the Year”.
I know this pain
Why do you lock yourself up in these chains?
No one can change your life except for you
Don't ever let anyone step all over you
Just open your heart and your mind, mmm
Is it really fair to feel this way inside? Oh

Someday, somebody's gonna make you wanna
Turn around and say goodbye
Until then, baby, are you gonna let them
Hold you down and make you cry?
Don't you know?
Don't you know, things can change?
Things'll go your way
If you hold on for one more day
Can you hold on for one more day?
Things'll go your way
Hold on for one more day

You could sustain
Mmm, or are you comfortable with the pain?
You've got no one to blame for your unhappiness (No, baby)
You got yourself into your own mess (Ooh)
Lettin' your worries pass you by (Lettin' your worries pass you by)
Don't you think it's worth your time
To change your mind? No, no

Someday, somebody's gonna make you wanna
Turn around and say goodbye
Until then, baby, are you gonna let them
Hold you down and make you cry?
Don't you know?
Don't you know, things can change?
Things'll go your way
If you hold on for one more day
Can you hold on for one more day?
Things'll go your way (Oh, things'll go your way)
Hold on for one more day

I know that there is pain, but you
Hold on for one more day and you
Break free from the chains
Yeah, I know that there is pain, but you
Hold on for one more day and you
Break free, break from the chains

Someday, somebody's gonna make you wanna
Turn around and say goodbye
Until then, baby, are you gonna let them
Hold you down and make you cry?
Don't you know?
Don't you know (Know), things can change? (Know)
Things'll go your way
If you hold on for one more day, yeah
Hold on
Don't you know, things can change?
Things'll go your way
If you hold on for one more day
If you hold on
Can you hold on?

Mmm, can you hold on, baby
Won't you tell me now?
Hold on for one more day 'cause
It's gonna go your way
Don't you know, things can change?
Things'll go your way
If you hold on for one more day, yeah

Can't you change it this time? Make up your mind
Hold on, hold on, baby, hold on
Hold on, hold on, baby, hold on
Baby...","pop, female vocalists, 90s, 80s, Girl Groups"
1,2,"""It Must Have Been Love""",Roxette,"26 ContributorsTranslationsDeutschIt Must Have Been Love Lyrics“It Must Have Been Love” was originally released as “It Must Have Been Love (Christmas For The Broken Hearted)“ in 1987 and it became a Top 10 hit in Sweden.
In 1990, Touchstone Pictures approached Roxette… Read More 
It must have been love
But it's over now

Lay a whisper
On my pillow
Leave the winter
On the ground
I wake up lonely
This air of silence
In the bedroom
And all around (All around)

Touch me now
I close my eyes
And dream away

It must have been love
But it's over now
It must have been good
But I lost it somehow
It must have been love
But it's over now
From the moment we touched
'Til the time had run out

Make believing
We're together
That I'm sheltered
By your heart
But in and outside
I turn to water
Like a teardrop
In your palm

And it's a hard
Winter's day
I dream away

It must have been love (Must have been love)
But it's over now (But it's over now)
It was all that I wanted
Now I'm living without
It must have been love (Must have been love)
But it's over now (It's over now)
It's where the water flows
It's where the wind blows


It must have been love (Must have been love)
But it's over now (But it's over now)
It must have been good
But I lost it somehow
It must have been love (Must have been love)
But it's over now (But it's over now)
From the moment we touched
Till the time had run out
Yeah, it must have been love (Must have been love)
But it's over now (But it's over now)
It was all that I wanted
Now I'm living without
It must have been love
But it's over now
It's where the water flows
It's where the wind blows
Oh, oh, oh

(It must have been love)
(But it's over now, but it's over now)
Now, ooh, ooh
(Must have been love)
(It must have been love)
(But it's over now, but it's over now)
Now, ooh, ooh","pop, 80s, rock, swedish, female vocalists"
2,3,"""Nothing Compares 2 U""",Sinéad O'Connor,"64 ContributorsTranslationsDeutschNothing Compares 2 U LyricsOriginally written and composed by Prince for one of his side projects, The Family. It was later made famous by Irish recording artist Sinéad O'Connor, whose arrangement was released as the second single from… Read More 
It's been seven hours and fifteen days
Since you took your love away
I go out every night and sleep all day
Since you took your love away
Since you've been gone I can do whatever I want
I can see whomever I choose
I can eat my dinner in a fancy restaurant
But nothing, I said, nothing can take away these blues

'Cause nothing compares
Nothing compares to you

It's been so lonely without you here
Like a bird without a song
Nothing can stop these lonely tears from falling
Tell me, baby, where did I go wrong?
I could put my arms around every boy I see
But they'd only remind me of you
I went to the doctor and guess what he told me, guess what he told me
He said, ""Girl, you better try to have fun no matter what you do,"" but he's a fool

'Cause nothing compares
Nothing compares to you


All the flowers that you planted, mama, in the backyard
All died when you went away
I know that living with you, baby, was sometimes hard
But I'm willing to give it another try

Nothing compares
Nothing compares to you
Nothing compares
Nothing compares to you
Nothing compares
Nothing compares to you","female vocalists, irish, alternative, singer-songwriter, rock"
3,4,"""Poison""",Bell Biv DeVoe,"82 ContributorsPoison LyricsIn “Poison”, BBD’s debut single after their group New Edition went on hiatus, the boys are warning all dudes out there to be careful about the ho’s they spit game at. It became their first of two top 5… Read More 
Yeah, Spyderman and Freeze in full effect
Uh-huh
You ready, Ron?
I'm ready
You ready, Biv?
I'm ready, Slick, are you?
Oh, yeah, break it down

Girl, I, must (Warn you)
I sense something strange in my mind, yeah, yo
Situation is (Serious)
Let's cure it 'cause we're running out of time
It's oh so (Beautiful)
Relationships, they seem from the start, yeah, mhm
It's all so (Deadly)
When love is not together from the heart, mhm, check it out

It's drivin' me out of my mind
That's why it's hard for me to find
Can't get it out of my head
Miss her, kiss her, love her
(Wrong move, you're dead)

That girl is (Poison)
Never trust a big butt and smile
That girl is (Poison)

If I were you I'd take precaution
Before I step to meet a fly girl, you know?
'Cause in some (Portions)
You'll think she's the best thing in the world
She's so (Fly)
She'll drive you right out of your mind
Steal your heart when you're blind
Beware, she's schemin', she'll make you think you're dreamin'
You'll fall in love and you'll be screamin' ""demon,"" ooh
Poison, deadly, movin' in slow
Lookin' for a mellow fellow like DeVoe
Gettin' paid, laid, so better lay low
Schemin' on house, money and the whole show
The low pro ho, she'll be cut like an afro
See what you're sayin', huh
She's a winner to you, but I know she's a loser
(How do you know?), me and the crew used to do her

Poison
Poison
Poison
Poison
Poison

I was at the park, shake, breakin', and takin 'em all
And that night, I played the wall
Checkin' out the fellas, the highs and lows
Keepin' one eye open, still clockin' the hoes
There was one particular girl that stood out from the rest
Poison as can be with a high-power chest
Michael Bivins here and I'm runnin' the show
Bell Biv DeVoe (Hahaha)
Now you know
Yo, Slick, blow

It's drivin' me out of my mind
That's why it's hard for me to find
Can't get it out of my head
Miss her, kiss her, love her
(Wrong move, you're dead)

That girl is (Poison)
(Poison, poison)
Never trust a big butt and smile
(Poison)
(Poison, poison)
She's dangerous
(Poison) Ooh yeah, ooh yeah
(Poison)

Yo, fellas, that was another dope one
You know what I'm sayin', Mike?
Yeah, B.B.D. in full effect
Yo, what's up to Ralph T and Johnny G
And I can't forget about my boy B. Brown
And the whole NE crew
Poison","rnb, new jack swing, Hip-Hop, 90s, soul"
4,5,"""Vogue""",Madonna,"69 ContributorsTranslationsPortuguêsVogue LyricsMadonna’s 1990 smash hit “Vogue” was inspired by the dance of the same name and helped make the Queen of Pop a gay icon. Voguing was popular in New York’s underground gay club scene, but Madonna brought it… Read More 

Strike a pose
Strike a pose
Vogue (Vogue, vogue)
Vogue (Vogue, vogue)

Look around, everywhere you turn is heartache
It's everywhere that you go (Look around)
You try everything you can to escape
The pain of life that you know (Life that you know)
When all else fails and you long to be
Something better than you are today
I know a place where you can get away
It's called a dance floor
And here's what it's for, so

Come on, vogue (Vogue)
Let your body move to the music (Move to the music)
Hey, hey, hey
Come on, vogue (Vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

All you need is your own imagination
So use it, that's what it's for (That's what it's for)
Go inside for your finest inspiration
Your dreams will open the door (Open up the door)
It makes no difference if you're black or white
If you're a boy or a girl
If the music's pumping, it will give you new life
You're a superstar
Yes, that's what you are, you know it

Come on, vogue (Vogue, vogue)
Let your body groove to the music (Groove to the music)
Hey, hey, hey
Come on, vogue (Vogue, vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

Beauty's where you find it
Not just where you bump and grind it
Soul is in the musical
That's where I feel so beautiful
Magical, life's a ball, so
Get up on the dance floor

Vogue (Vogue)
Let your body move to the music (Move to the music)
Hey, hey, hey
Come on, vogue (Vogue, vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

Vogue (Vogue)
Beauty's where you find it (Move to the music)
Vogue (Vogue)
Beauty's where you find it (Go with the flow)

Greta Garbo, and Monroe
Dietrich and DiMaggio
Marlon Brando, Jimmy Dean
On the cover of a magazine
Grace Kelly, Harlow, Jean
Picture of a beauty queen
Gene Kelly, Fred Astaire
Ginger Rogers dance on air
They had style, they had grace
Rita Hayworth gave good face
Lauren, Katharine, Lana too
Bette Davis, we love you
Ladies with an attitude
Fellas that were in the mood
Don't just stand there, let's get to it
Strike a pose, there's nothing to it
Vogue
Vogue

Ooh, you've got to
Let your body move to the music
Ooh, you've got to just
Let your body go with the flow
Ooh, you've got to
Vogue (Vogue, vogue, vogue)","pop, dance, female vocalists, 80s, electronic"
5,6,"""Vision of Love""",Mariah Carey,"35 ContributorsVision of Love LyricsMariah Carey’s debut single, released May 15, 1990.  It spent four weeks as the #1 song on the Billboard Hot 100, & two weeks at #1 on the Hot R&B/Hip-Hop Songs.
It was the first of four Billboard Hot 100 #1… Read More 
Treated me kind
Sweet destiny
Carried me through desperation
To the one that was waiting for me
It took so long
Still I believed
Somehow the one that I needed
Would find me eventually

I had a vision of love
And it was all that you've given to me

Prayed through the nights
Felt so alone
Suffered from alienation
Carried the weight on my own
Had to be strong
So I believed
And now I know I've succeeded
In finding the place I conceived

I had a vision of love
And it was all that you've given to me
I had a vision of love
And it was all that you've given me

I've realized the dream
And I visualized
The love that came to be
Feel so alive
I'm so thankful that I've received
The answer that heaven has sent down to me

You treated me kind
Sweet destiny
And I'll be eternally grateful
Holding you so close to me
Prayed through the nights
So faithfully
Knowing the one that I needed
Would find me eventually

I had a vision of love
And it was all that you've given to me
I had a vision of love
And it was all that you turned out to be","pop, rnb, female vocalists, soul, Mariah Carey"
6,7,"""Another Day in Paradise""",Phil Collins,"60 ContributorsTranslationsDeutschAnother Day in Paradise LyricsA protest song released as the 7th track of 4th album But Seriously in October 1989.
Interestingly, the song was the last #1 of the 1980’s and the first of the 1990’s.
Collins explained this song was about… Read More 
She calls out to the man on the street
""Sir, can you help me?
It's cold and I've nowhere to sleep
Is there somewhere you can tell me?""
He walks on, doesn't look back
He pretends he can't hear her
Starts to whistle as he crosses the street
Seems embarrassed to be there

Oh, think twice
'Cause it's another day
For you and me in paradise
Oh, think twice
'Cause it's another day for you
You and me in paradise

Think about it

She calls out to the man on the street
He can see she's been crying
She's got blisters on the soles of her feet
She can't walk, but she's trying

Oh, think twice
'Cause it's another day
For you and me in paradise
Oh, think twice
It's just another day for you
You and me in paradise

Just think about it

Oh, Lord
Is there nothing more anybody can do?
Oh, Lord
There must be something You can say

You can tell from the lines on her face
You can see that she's been there
Probably been moved on from every place
'Cause she didn't fit in there

Oh, think twice
'Cause it's another day
For you and me in paradise
Oh, think twice
It's just another day for you
You and me in paradise

Just think about it
Mhm, think about it

It's just another day
For you and me in paradise
It's just another day
For you and me in paradise (Para—, paradise)
Paradise (It's just another day for you and me)
Uh, just think about it (In paradise)
Paradise (It's just another day for you and me)
Just think about it (In paradise, para—, paradise)
It's just in paradise (It's just another day for you and me)
Mhm, paradise (In paradise)
Paradise, just another day (It's just another day for you and me)
Think about it (In paradise, para—, paradise)","pop, 80s, rock, classic rock, soft rock"
7,8,"""Hold On""",En Vogue,"17 ContributorsHold On Lyrics“Hold On” is En Vogue’s first single from their 1990 debut album Born To Sing. The single hit radio on February 23, 1990 and went on to become one of the most popular songs of the year. This platinum single… Read More 
When I (When I) had you (Had you)
I treated you bad
Wrong, my dear
But since, since you went away
Don't you know I hang around, sit around (Sit around)
With my head hanging down
And I wonder (Wonder, wonder)
Who's (Who's) loving you? (You)

Ooh, my first mistake was
I wanted too much time
I had to have him morning, noon, and night
If I would've known then
The things that I know now
I might not have lost the time I complain about

Don't waste your time
Fighting blind minded thoughts of despair

Hold on to your love
(You got to hold on)
Hold on to your love
(Ooh, hoo, baby, hold on)
Hold on to your love
(Oh, you got to hold on, hey)
Hold on to your love, ooh

The art of playing games now
Is not the hearts you break
It's 'bout good love you make when his heart's on fire
Give him love every day
Remember he needs space
Be patient and he'll give his heart to you

Don't waste your time
Fighting blind minded thoughts of despair

Hold on to your love
(You got to hold on, hey)
Hold on to your love
(You gotta hold on to your love, yeah, hey)
Hold on to your love
(Oh, baby, hold on, oh)
Hold on to your love
(Baby, hold on)

Trust, and honesty too
Must be the golden rule
You'll feel the strength of passion in your soul
Burn so deeply within
Oh, the magic that you share
So, sacrifice and show how much you care

Don't waste your time
Fighting blind minded thoughts of despair

Hold on to your love
(You got to hold on)
Hold on to your love
(Don't let go, keep the ties)
Hold on to your love
(Hang on tight, and don't let go, no)
Hold on to your love, ooh
(Scoo-yabba-dee-ya, yeah, but don't let go)

Hold on to your love
Hold on to your love, ooh
Hold on to your love
If you love him, if you need him, really want him
(Hold on to your love, ooh)
Just keep on, just keep on hanging on (Hold on)
Little trust, honesty, golden rule (Hold on)
Feel the strength of passion in your soul
It's burning so deep (Hold on)
Have faith
Just keep the fire burning at home (Hold on)
Hey, yeah
He'll come home to you (Hold on)
He'll be there for you
He'll want to have you all the time (Hold on)
Oh (Hold on)
Have a little faith, don't be so blinded (Hold on)
Fight blind thoughts of despair, oh (Hold on to your love)
Blind thoughts of despair, hey
Don't waste your time (Hold on to your love)","rnb, soul, 90s, female vocalists, pop"
8,9,"""Cradle of Love""",Billy Idol,"13 ContributorsCradle of Love LyricsWell- ow!
Rock the cradle of love
Rock the cradle of love
Yes, the cradle of love don't rock easily, it's true
Well, rock the cradle of love
I rocked the cradle of love
Yes, the cradle of love don't rock easily, it's true
Well now
It burned like a ball on fire
When the rebel took a little child bride
To tease, yeah, so go easy, yeah
Ow!
'Cause love cuts a million ways
Shakes the devil when he misbehaves
I ain't nobody's fool
Come on, shake it up
Whatever I do
Rorwar!
Rock the cradle of love (Whoo!)
Rock the cradle of love
Yes, the cradle of love don't rock easily, it's true (Oo, yeah, ow!)
Sent from heaven above, that's right
To rob the cradle of love
Yes, the pages of love don't talk decently, it's true

Yeah-ow! Flesh for your Romeo
Ah yeah, baby
I hear you moan
It's easy, you know how to please me, yeah
Ow!
'Cause love starts my rollin' train
You can't stop it
It ain't in vain
I ain't nobody's fool
Come on, shake it up
Whatever I do
Ha ha! Whoo!
Oooh, yeah
These are the wages of love
I know, rock the cradle, woo yeah
(All right…)
These are the wages of love
Ooh yeah
Rock the cradle
Yeah yeah yeah yeah yeah yeah, ow!

Whoo!
Ow
Psycho, baby
Take a look, baby

Well, it burned like a ball on fire
When the rebel took a little child bride
To tease, yeah, to know how to please you, yeah
Ow!
Well, my love starts a rollin' train
You can't stop it
It ain't in vain
I ain't nobody's fool
Come on, shake it up
Whatever I do o-o-ow!
Rock the cradle of love, yeah
Rock the cradle of love, ooh
Sent from heaven above
That's right
To rock the cradle of love, ow!
Rock the cradle of love
Yeah, cradle of love
That's me, mama
I robbed the devil of love
All right
Cradle of love
Ow!
If you tease me tonight
If you might sleaze me, all right
If you appease me tonight
And let me ease you
Yeah, ow!
Rock the cradle of love
Ooo yeah
Cradle of love
All right
I'll snatch you back from salvation soul, mama
Yeah wow","rock, new wave, 80s, punk, classic rock"
9,10,"""Blaze of Glory""",Jon Bon Jovi,"20 ContributorsTranslationsPortuguêsBlaze of Glory Lyrics“Blaze of Glory”,  contrary to popular belief, is not from the band Bon Jovi, but the debut single of frontman Jon Bon Jovi’s solo career. However, it’s commonly included in the Greatest Hits collections of… Read More 
I wake up in the morning and I raise my weary head
I've got an old coat for a pillow, and the earth was last night's bed
I don't know where I'm goin', only God knows where I've been
I'm a devil on the run, a six gun lover, a candle in the wind
Yeah

When you're brought into this world, they say you're born in sin
Well, at least they gave me somethin', I didn't have to steal or have to win
Well, they tell me that I'm wanted, yeah, I'm a wanted man
I'm a colt in your stable, I'm what Cain was to Abel, Mr. Catch-Me-If-You-Can

I'm goin' down in a blaze of glory
Take me now but know the truth
I'm goin' out in a blaze of glory
And, Lord, I never drew first, but I drew first blood
I'm no one's son, call me young gun

You ask about my conscience and I offer you my soul
You ask If I'll grow to be a wise man, well I ask if I'll grow old
You ask me if I've known love and what it's like to sing songs in the rain
Well, I've seen love come, I've seen it shot down, I've seen it die in vain

Shot down in a blaze of glory
Take me now but know the truth
'Cause I'm goin' out in a blaze of glory
Lord, I never drew first but I drew first blood
I'm the devil's son, call me young gun


Each night I go to bed, I pray the Lord my soul to keep
No, I ain't lookin' for forgiveness, but before I'm six foot deep
Lord, I gotta ask a favor, and I hope you'll understand
'Cause I've lived life to the fullest, let this boy die like a man
Starin' down a bullet, let me make my final stand

Shot down in a blaze of glory
Take me now but know the truth
I'm goin' out in a blaze of glory
Lord, I never drew first but I drew first blood
And I'm no one's son, call me young gun
I'm a young gun
Young gun
Young gun","rock, hard rock, classic rock, 80s, bon jovi"
