Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""(Everything I Do) I Do It for You""",Bryan Adams,"37 Contributors(Everything I Do) I Do It for You Lyrics“I Do It For You” was released in June 18, 1991 as a theme song for Robin Hood: Prince of Thieves and first single of Adams' sixth studio album Waking Up the Neighbours. The song became one of Adams' most… Read More 
Look into my eyes, you will see
What you mean to me
Search your heart, search your soul
And when you find me there, you'll search no more

Don't tell me it's not worth tryin' for
You can't tell me it's not worth dyin' for
You know it's true
Everything I do, I do it for you

Look into your heart, you will find
There's nothin' there to hide
Take me as I am, take my life
I would give it all, I would sacrifice

Don't tell me it's not worth fightin' for
I can't help it. There's nothin' I want more
You know it's true
Everything I do, I do it for you

There's no love like your love
And no other could give more love
There's nowhere unless you're there
All the time, all the way, yeah

Look into your heart, babe
Yeah!
Oh, yeah!

Oh, you can't tell me it's not worth tryin' for
I can't help it; there's nothin' I want more
Yeah, I would fight for you, I'd lie for you
Walk the wire for you. Yeah, I'd die for you

You know it's true
Everything I do
Oh
I do it for you

Everything I do, darling, and we'll see it through
We will see it through
Oh, yeah!
Yeah!
Search your heart, search your soul
You can't tell me it ain't worth dying for
Oh, yeah!
I'll be there, yeah, oh!
I'll walk the wire for you, yeah!
I will die for you
Oh, yeah!
All the time
I'm going all the way, all the way, yeah!
Take me by the hand
Ow","rock, classic rock, 80s, pop, Canadian"
1,2,"""I Wanna Sex You Up""",Color Me Badd,"25 ContributorsI Wanna Sex You Up Lyrics“I Wanna Sex You Up” was the debut single by Color Me Badd. It became a smash on R&B and top 40 radio, reaching the top 10 in twelve countries (including a four-week long peak at #2 in the US). It was later… Read More 
A tick tock, ya don't stop
To the tick tock, ya don't stop
To the tick tock, ya don't stop
To the tick tock, ya don't stop
Come inside, take off your coat
I'll make you feel at home
Now let's pour a glass of wine
'Cause now we're all alone
I've been waiting all night
So just let me hold you close to me
'Cause I've been dying for you girl
To make love to me

(Ooo) Girl, you make me feel real good
(Ooo) We can do it 'til we both wake up
(Ooo) Girl, you know I'm hooked on you
(Ooo) And this is what I'll do

(I wanna love you down)
(Ooo, I wanna sex you up)
All night (You make me feel good)
I want to (Let me rub you down)
(Ooo, I wanna sex you up)

Let me take off all your clothes
Disconnect the phone, so nobody knows
Let me light a candle
So we can make it better
Makin' love until we drown, dig

(Ooo) Girl, you know it feels real good
(Ooo) We can do it 'til we both wake up
(Ooo) Girl, you know I'm hooked on you
(Ooo) And this is what I'll do

(Ooo, yeah) I wanna sex you up
Makin' love until we drown
(Ooo) I wanna sex you up
(Ah, ah)

Girl, you just make me feel so good
I just wanna, I just wanna look at you
Don't say anything at all
Just lay back, and enjoy the ride, yeah

All I want to do is

(I wanna love you down)
(Ooo, I wanna sex you up)
All night (You make me feel good)
I want to (Let me rub you down)
(Ooo, I wanna sex you up)

Make sweet lovin' all night long (Ooo, I wanna sex you up)
Feels so right, it can't be wrong (Ooo)
Don't be shy girl, rescue me (Ooo, I wanna sex you up)
Open up your heart, and I'll set you free
Oh, I wanna touch you in all the right places, baby
I wanna make love to you, yeah
All night, all night, yeah
To me, yeah
Make sweet lovin' all night long
Feels so right, it can't be wrong
Don't be shy girl, rescue me","pop, rnb, 90s, soul, new jack swing"
2,3,"""Gonna Make You Sweat (Everybody Dance Now)""",C+C Music Factory,"54 ContributorsGonna Make You Sweat (Everybody Dance Now) Lyrics“Gonna Make You Sweat (Everybody Dance Now)” is a hit song by American dance group C+C Music Factory. It was originally written by Cole & Civilles (aka C & C) for Trilogy, a group they managed, but when the… Read More 
Everybody dance now!
Everybody dance now!
Give me the music
Give me the music
Everybody dance now!
Give me the music
Everybody dance now!
Everybody dance now!
Yeah!
Yeah!
Yeah
Everybody dance now!
Yeah!
Yeah!
Yeah!
Everybody

Here is the dome, back with the bass
The jam is live in effect and I don't waste time
On the mic with a dope rhyme
Jump to the rhythm, jump, jump to the rhythm, jump
And I'm here to combine
Beats and lyrics to make your shake your pants
Take a chance, come on and dance
Guys grab a girl, don't wait, make her twirl
It's your world and I'm just a squirrel
Tryna get a nut to move your butt
To the dance floor, so yo what's up
Hands in the air, come on, say ""Yeah""
Everybody over here, everybody over there
The crowd is live and I pursue this groove
Party people in the house, move
(Make me feel right) Groove
(Work me all night)

Come on let's sweat, baby
Let the music take control
Let the rhythm move you
Sweat, sweat
Let the music take control
Let the rhythm move you
Everybody dance now
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Pa-ra-pa-pam
Pa-ra-pa-pam
Pa-ra-pa-pam
Pa-ra-pa-pam
Pa-ra-pa-pam
Pa-ra-pa-pam
Pa-ra-pa-pam
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Everybody dance now!
Pa-ra-pa-pam
Pa-ra-pa-pam
Pa-ra-pa-pam
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Everybody dance now!

Pause, take a breath and go for yours
On my command, now hit the dance floor
It's gonna make you sweat 'til you bleed
Is that dope enough? Indeed
I paid the price to control the dice
I'm more precise, to the point I'm nice
The music takes control, your heart and soul
Unfold, your body is free and a whole
Dance 'til you can't, dance
'Til you can't dance no more
Get on the floor and get raw
Dip, come back then upside down
Easy now, let me see ya move
(Make me feel right) Groove
(Work me all night)
(The music is my life)

Everybody dance now!
Everybody dance now!
Everybody dance now!
Everybody
Come on let's sweat, baby
Let the music take control
Let the rhythm move you
Sweat, sweat
Let the music take control
Let the rhythm move you

Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Tu-ru-tu
Da-da-da-da-dum",
3,4,"""Rush Rush""",Paula Abdul,"14 ContributorsRush Rush LyricsRush Rush topped the Billboard Hot 100 and Adult Contemporary chart in June\July of 1991 for five weeks each.
The song was Paula Abdul’s first ballad to be released a single (her previous singles were all… Read More 
You're the whisper of a summer breeze
You're the kiss that puts my soul at ease
What I'm saying is I'm into you
Here's my story and the story goes
You give love, you get love
And more than heaven knows

You're gonna see
I'm gonna run, I'm gonna try
I'm gonna take this love right to ya
All my heart, all the joy
Oh, baby, baby, please

(Rush, rush) Hurry, hurry, lover, come to me
(Rush, rush) I wanna see ya, I wanna see ya get free with me
(Rush, rush) I can feel it, I can feel you all through me
(Rush, rush) Ooh, what you do to me

And all I want from you is what you are
And even if you're right next to me
You're still too far away
If I'm not inside your arms
I get dramatic, baby, yes, I know
But I need you, I want you, oh, man, I love you so

You're gonna see
I'm gonna run, I'm gonna try
I'm gonna take this love right to ya
All my heart, all the joy
Oh, baby, baby, please

(Rush, rush) Hurry, hurry, lover, come to me
(Rush, rush) I wanna see ya, I wanna see ya get free with me
(Rush, rush) I can feel it, I can feel you all through me
(Rush, rush) Ooh, what you do to me
(Rush, rush) Hurry, hurry, lover, come to me
(Rush, rush) I wanna see ya, I wanna see ya get free with me
(Rush, rush) I can feel it, I can feel you all through me
(Rush, rush) Ooh, what you do to me

When you kiss me up and down
You turn my senses all around
Oh, baby, oh, baby
I don't know just how or why
But no one else has touched me
So deep, so deep, so deep inside

You're gonna see
I'm gonna run, I'm gonna try
I'm gonna take this love right to ya
All my heart, all the joy
Oh, baby, baby, please

(Rush, rush) Hurry, hurry, lover, come to me
(Rush, rush) I wanna see ya, I wanna see ya get free with me
(Rush, rush) I can feel it, I can feel you all through me
(Rush, rush) Ooh, what you do to me
(Rush, rush) Hurry, hurry, lover, come to me
(Rush, rush) I wanna see ya, I wanna see ya get free with me
(Rush, rush) I can feel it, I can feel you all through me
(Rush, rush) Ooh, what you do to me

(Rush, rush) No, no, no, no, no
(Rush, rush) No, no, no, no, no
(Rush, rush) No, no, no, no, no
(Rush, rush) No, no, no, no, no
(Rush, rush) Hurry, hurry, lover, come to me","pop, 80s, female vocalists, dance, 90s"
4,5,"""One More Try""",Timmy T,"6 ContributorsOne More Try LyricsIt's been a long time since you left me
I didn't mean to make you cry
I didn't mean to disappoint you
I didn't mean to tell you lies
And after all that we have been through
Won't you let me tell you why
One more try
I didn't know how much I loved you
One more try
Let me put my arms around you
Living all these lonely nights without you
Oh baby, can we give it one more try
It's been a long time since I've kissed you
It always used to feel so good
And if you knew how much I missed you
You'd forgive me if you could
And now that we have found each other
Can't we give it one more try
One more try
I didn't know how much I loved you
One more try
Let me put my arms around you
Living all these lonely nights without you
Oh baby, can we give it one more try

And after all that we have been through
Won't you let me tell you why
And now that we have found each other
Can't we give it one more try
One more try
I didn't know how much I loved you
One more try
Let me put my arms around you
Living all these lonely nights without you
Oh baby, can we give it one more try
Oh girl, you know I love you
I just want you to know
Our love, I'll always treasure
So please, just don't let me go","90s, pop, freestyle, All, 80s"
5,6,"""Unbelievable""",EMF,"37 ContributorsUnbelievable Lyrics“Unbelievable” is EMF’s debut single, most successful single and their signature song. It topped the US pop chart and reached the top 10 in nine other countries including their homeland the UK. It was the… Read More 
(Oh!)
(What the)
(What the, was that?)

You burden me with your questions
You'd have me tell no lies
You're always asking what it's all about
But don't listen to my replies
You say to me I don't talk enough
But when I do I'm a fool
These times I've spent, I've realized
I'm going to shoot through
And leave you

The things, you say
Your purple prose just give you away
The things, you say
You're Unbelievable
(Oh!)
(What the)
(What the, was that?)

You burden me with your problems
By telling me more than mine
I'm always so concerned
With the way you say
You always have to stop
To think of us being one
Is more than I ever know
But this time, I realize
I'm going to shoot through
And leave you

The things, you say
Your purple prose just give you away
The things, you say
You're Unbelievable
(Woah! What the, was that?)

Seemingly lastless, don't mean
You can ask us
Pushing down the relative
Bringing out your higher self
Think of the fine times, pushing
Down the better few, instead of
Bringing out the clues, to what the
World and everything anger to, brace
Yourself with the grace of ease
I know this world ain't what it seems
(What the, was that?)
It's unbelievable

You burden me with your questions
You'd have me tell no lies
You're always asking what it's all about
But don't listen to my replies
You say to me I don't talk enough
But when I do I'm a fool
These times I've spent, I've realized
I'm going to shoot through
And leave you

The things, you say
Your purple prose just gives you away
The things, you say
Before I love you more
The things, you say
Your purple prose just gives you away
The things you say
You're unbelievable
(What the, was that?)

You're so unbelievable! (what the)
You're unbelievable


It's unbelievable
(What the, was that?)
You’re Unbelievable","pop, 90s, alternative, electronic, rock"
6,7,"""More Than Words""",Extreme,,"hard rock, rock, funk metal, hair metal, metal"
7,8,"""I Like the Way (The Kissing Game)""",Hi-Five,,"rnb, 90s, soul, new jack swing, urban"
8,9,"""The First Time""",Surface,"5 ContributorsThe First Time Lyrics“The First Time” was first recorded as a demo in 1986 and was intended for Surface’s self-titled debut album, but didn’t make the final tracklisting and it remained unreleased until 1991 when it was featured… Read More 
You know I won't forget the times
We shared together holding hands
And walking in the park
Sometimes we'll have to do it all again
We were so happy then
I have no regrets

Can't you tell from the look on my face
That I love you more today

The first time I looked into your eyes I cried
Do you remember the first time we fell in love
You looked into my eyes, wiped the tears away
The first time when we fell in love

Although some time has passed
I still remember just like it was yesterday
The time is moving fast
The love I have for you time won't ever change
I'll always feel the same now until the end

Memories we share will live forever
Deep inside my heart I know I'll never forget

The first time I looked into your eyes I cried
Do you remember the first time we fell in love
You looked into my eyes, wiped the tears away
The first time when we fell in love


The first time I looked into your eyes I cried
Do you remember the first time we fell in love
You looked into my eyes, wiped the tears away
The first time when we fell in love

Oh, when we fell in love","japanese, j-pop, J-rock, rock, soul"
9,10,"""Baby Baby""",Amy Grant,"6 ContributorsBaby, Baby LyricsWhen producer and songwriter Keith Thomas presented Amy Grant with music to write lyrics over, her reaction to one track was:
This is the catchiest thing I’ve ever heard.
Thomas told her he wanted to name… Read More 
Baby, baby
I'm taken with the notion
To love you with the sweetest of devotion
Baby, baby
My tender love will flow from
The bluest sky to the deepest ocean

Stop for a minute
Baby I’m so glad you're mine, yeah
You're mine

The stars are shining for you
And just like me I’m sure that they adore you
Baby, baby
Go walking through the forest
The birds above are singing you a chorus

Stop for a minute
Baby, they're so glad you're mine, yeah
And ever since the day you put my heart in motion
Baby, I realize that there's just no getting over you

Baby, baby
In any kind of weather
I'm here for you always and forever
Baby, baby
No muscle man could sever
My love for you is true and it will never

Stop for a minute
Baby, I'm so glad you're mine, yeah
And ever since the day you put my heart in motion
Baby, I realize that there's just no getting over you","pop, christian, female vocalists, contemporary christian, gospel"
