Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Boom Boom Pow""",The Black Eyed Peas,"1 ContributorBoom Boom Pow vs Satisfaction Lyrics
Satisfaction
Push me, touch me
I like that b-
Gotta get that (Satisfaction)
Gotta get that (Satisfaction)
Gotta get that (Satis-)
Get- get- gotta get that (Satisfaction)
Gotta get that (Satis-)
Get- get- gotta ge-e-e-e-et-
Push, push, push and then just tou- tou- touch me (Get- get- get-, Get- get- get-)

Boom boom, pow
Them chickens jackin' my sty- sty-
They try to copy my swag- wag-
I'm on that n- shi- now
I'm- I'm so three thousand and eight, eight
You so two thousand and late, late
I got that boom boom
That- that b- that b- that boo-

That- that boom
That- that- that boom (Satisfaction)
That- that boom
That- that- that boom (Satisfaction)
That- that boom (Satisfaction)
That- that boom (Push)
That- that boom (Satisfaction)
That- that boom (Getting hit with the)
Boom, boom (Push, push, push)
Getting hit with the boom, boom
Y'all getting hit with the boom, boom (Push, push, push)
Getting hit with the boom, boom
Pow, pow, pow, pow, po- po-

That boom boom pow
Them chickens jackin' my sty- sty-
They try to copy my swagger
C-copy my swagger
I'm on that ne- shi- now
I'm so three thousand and eight, eight
You so two thousand and late, late
I got that boom boom boom
Let me get it now

Push, push, push, push, push (Let the beat rock)
Push, push, push, push (L-l-l-l-let the beat r-rock)
Push, push, push, push, push, push, push, push, push, push (Beat r-rock, beat r-rock, beat r-rock, beat r-rock, beat r-rock)
Beat-
Beat-
Beat-
Beat-
Bea-
Bea-
Bea-
Bea-
Getting hit with the

That- that boom
That- that- that boom (Satisfaction)
That- that boom
That- that- that boom (Satisfaction)
That- that boom (Satisfaction)
That- that boom (Push)
That- that boom (Satisfaction)
That- that boom (Getting hit with the)
Boom, boom (Push, push, push)
Getting hit with the boom, boom
Y'all getting hit with the boom, boom (Push, push, push)
Getting hit with the boom, boom
Pow, pow, pow, pow, po- pow

Supersonic boo- boom
Y'all hear that spaceship zoom
When I step inside the room, room
Them girls go ape -ish, mmm
Y'all stuck on Super 8 -ish
That lo-fi stupid 8 -ish
I'm on that HD fla- flat
This beat go boom boom bap, bap

Boom, boom (Push, push, push)
Getting hit with the boom, boom
Y'all getting hit with the boom, boom (Push, push, push)
Getting hit with the boom, boom, boom, boom, boom, boom
Y'all getting hit with the
That- that boom
That- that- that boom (Satisfaction)
That- that boom
That- that- that boom (Satisfaction)
That- that boom (Satisfaction)
That- that boom (Push)
That- that boom (Satisfaction)

Push me, touch me
Till I can get my satisfaction (I like that-)
Push me, touch me
Till I can get my satisfaction (I like that-)
Push me, touch me (I like that-)
Push me, touch me (I like that bo-)
Gotta get that (Satisfaction)
Gotta get that (Satisfaction)
Gotta get that (Satis-)
Get- get- gotta ge-e-e-e-et-
Push, push, push and then just tou- tou- touch me (Get- get- get-, Get- get- get-)","Hip-Hop, pop, rnb, rap, hip hop"
1,2,"""Poker Face""",Lady Gaga,"228 ContributorsTranslationsTürkçeEspañolPortuguêsNederlandsDeutschČeskysrpskiPolskiPoker Face LyricsAre the rules of sexual attraction akin to the rules of poker? Lady Gaga asserts “Poker Face” is about bisexuality. She described poker face as the expression she pulls when she’s having sex with a man, but… Read More 
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah

I wanna hold 'em like they do in Texas, please (Woo)
Fold 'em, let 'em hit me, raise it, baby, stay with me (I love it)
LoveGame intuition, play the cards with spades to start
And after he's been hooked, I'll play the one that's on his heart

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)

I wanna roll with him, a hard pair we will be (Woo)
A little gamblin' is fun when you're with me (I love it, woo)
Russian roulette is not the same without a gun
And baby, when it's love, if it's not rough, it isn't fun, fun

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
(Mum-mum-mum-mah)
(Mum-mum-mum-mah)

I won't tell you that I love you
Kiss or hug you
'Cause I'm bluffin' with my muffin
I'm not lyin', I'm just stunnin' with my love-glue-gunnin'
Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand 'cause I'm marvelous

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
P-p-p-poker face, f-f-fuck her face
(She's got me like nobody)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)","pop, dance, Lady Gaga, electronic, party"
2,3,"""Just Dance""",Lady Gaga featuring Colby O'Donis,"5 ContributorsTranslationsEnglishDeutschPortuguêssrpskiČeskyLady Gaga - Just Dance ft. Colby O’Donis (Traducción al Español) Lyrics

Truth!
RedOne
Konvict
Gaga (Oh-oh, eh)

He tenido un poco demasiado, mucho (Oh, oh, oh-oh)
Todas las personas comienzan a apresurarse (Comienzan a apresurarse por)
Un baile twister, no encuentro mi bebida ni a mi hombre
¿Dónde están mis llaves? He perdido mi teléfono, teléfono (Oh, oh, oh-oh)

¿Qué está pasando en el suelo?
Me encanta este disco, cariño, pero ya no puedo ver con claridad
Tranquilízate, ¿cómo se llama este club?
No lo recuеrdo, pero está bien, bi-biеn

Solo baila
Va a estar bien, da-da-doo-doot-n
Solo baila
Gira ese disco, nena, da-da-doo-doot-n
Solo baila
Va a estar bien
Ba-ba-ba-baila, baila, baila
Solo, so-so-solo baila

Ojalá pudiera cerrar mi boca playboy (Oh, oh, oh-oh)
¿Cómo he volteado mi camisa al revés? (De adentro hacia afuera, a la derecha)
Controla tu veneno, cariño, las rosas tienen espinas, dicen
Y todos nos estamos metiendo esta noche (Oh, oh, oh-oh)

¿Qué está pasando en el suelo?
Me encanta este disco, cariño, pero ya no puedo ver con claridad
Tranquilízate, ¿cómo se llama este club?
No lo recuerdo, pero está bien, bi-bien

Solo baila
Va a estar bien, da-da-doo-doot-n
Solo baila
Gira ese disco, cariño, da-da-doo-doot-n
Solo baila
Va a estar bien
Ba-ba-ba-baila, baila, baila
Solo, so-so-solo baila

Cuando llegue por la pista de baile, revisando ese catálogo (Hey)
No puedo creer lo que ven mis ojos, tantas mujeres sin un defecto (Hey)
Y no me voy a dar por vencido, estable Tryna recogerlo como una llamada (Hey)
Lo golpearé, lo golpearé, aferrarme a eso hasta mañana, sí
Shawty, puedo ver que tienes tanta energía
La forma en que giras las caderas una y otra vez
Y no hay ninguna razón por la que no puedas irte de aquí conmigo
Mientras tanto, quédate, déjame ver cómo lo rompes y

Solo baila
Va a estar bien, da-da-doo-doot-n (Oh)
Solo baila (Ooh, sí)
Gira ese disco, cariño, da-da-doo-doot-n
Solo baila (Ooh, sí)
Va a estar bien, da-da-doo-doot-n (Ooh, sí)
Solo baila (Ooh, sí)
Gira ese disco, cariño, da-da-doo-doot-n
Solo baila (Oh)
Va a estar bien, ba-ba-ba-baila (Va a estar bien)
Baila, baila (Sí)
Solo, so-so-solo baila (Oh)

Increíble
Asombroso
Música
Woo!
¡Vámonos!

Medio psicótico, enfermo, hipnótico, tengo mi plano, es sinfónico
Medio psicótico, enfermo, hipnótico, tengo mi plano, electrónico
Medio psicótico, enfermo, hipnótico, tengo mi plano, es sinfónico
Medio psicótico, enfermo, hipnótico, tengo mi plano, electrónico

Ve, usa tu músculo, esculpe, trabaja, esfuérzate...
(Lo tengo, solo quédate lo suficientemente cerca para conseguirlo)
No frenes, condúcelo, límpialo, Lysol, sánalo
Gasta el último dinero (Lo tengo) en tu bolsillo (Lo tengo)

Solo baila
Va a estar bien, da-da-doo-doot-n
Solo baila
Gira ese disco, cariño, da-da-doo-doot-n
Solo baila (Cariño)
Va a estar bien, da-da-doo-doot-n
Solo baila
Gira ese disco, cariño, da-da-doo-doot-n (Oh, cariño, sí)
Solo baila
Va a estar bien (Gira ese disco, cariño, sí)
Ba-ba-ba-baila, baila, baila
Solo, so-so-solo baila","dance, pop, Lady Gaga, electronic, female vocalists"
3,4,"""I Gotta Feeling""",The Black Eyed Peas,,"Hip-Hop, pop, rnb, rap, hip hop"
4,5,"""Love Story""",Taylor Swift,"165 ContributorsTranslationsFrançaisEspañolPortuguêsDeutschČeskysrpskiLove Story LyricsTaylor was inspired to write “Love Story” when she was going through a difficult situation with a boy she liked, whom she wasn’t “officially” dating. The song has been rumored to be about two singers – the… Read More 
We were both young when I first saw you
I close my eyes and the flashback starts
I'm standing there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""Hello""
Little did I know

That you were Romeo, you were throwing pebbles
And my daddy said, ""Stay away from Juliet""
And I was crying on the staircase
Begging you, ""Please don't go,"" and I said

Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""

So I sneak out to the garden to see you
We keep quiet 'cause we're dead if they knew
So close your eyes
Escape this town for a little while, oh, oh

'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet""
But you were everything to me
I was begging you, ""Please don't go,"" and I said

Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
Romeo, save me, they're trying to tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say, ""Yes""

Oh, oh

But I got tired of waiting
Wondering if you were ever coming around
My faith in you was fading
When I met you on the outskirts of town and I said

""Romeo, save me, I've been feeling so alone
I keep waiting for you, but you never come
Is this in my head? I don't know what to think""
He knelt to the ground and pulled out a ring, and said
""Marry me, Juliet, you'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say 'Yes'""

Oh, oh, oh
Oh, oh, oh
'Cause we were both young when I first saw you","country, pop, female vocalists, singer-songwriter, acoustic"
5,6,"""Right Round""",Flo Rida,"55 ContributorsRight Round Lyrics“Right Round” is a song performed by American rapper Flo Rida from R.O.O.T.S., his second studio album. It was released to radio as the album’s lead single on January 27, 2009. Pop singer Kesha contributed… Read More 
You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down

Hey, walk out of the house with my swagger
Hop in, there we go, I got places to go
People to see, time is precious
I look at my Cartier, outta control
Just like my mind where I'm goin'
No women, no shorties, no nothin' but clothes
No stoppin' now, my Pirellis on roll
I like my jewelry that's always on gold
I know the storm is comin'
My pockets keep tellin' me it's gonna shower
Call up my homies
It's on and poppin tonight 'cause it's meant to be ours
We keep a fadeaway shot
'Cause we be ballin', it's platinum Patron that be ours
Lil' mama, I owe you just like the flowers
Girl, you the truth with all of that goody power, 'cause

You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down

From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down
From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down

Hey, shawty must know I'm the man
My money love her like a number one fan
Don't open my mouth, let her talk to my bands
My Benjamin Frank-a-lins
A couple of grands, I got rubberbands
My paper planes making her dance
Get dirty all night, that's part of my plan
We building castles that's made out of sand
She's amazing, her fire blazing, hotter than cajun
Girl, won't you move a lil' closer?
Time to get paid, it's maximum wage
That body belongs on a poster
I'm in a daze, that bottom is waving at me
Like, dammit, I know you
Doing a show like a gun out of holster
Tell me whatever then I'll be your chauffeur, 'cause

You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down

From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down
From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down

Yeah, I'm spending my money (Hey)
I'm outta control (Hey)
Somebody help me
She's taking my bank roll
But I'm king of the club (Hey)
And I'm wearing the crown
Popping these bottles, touching these models
Watching they asses go down, down

Down, down, down, down, down, down, down, down
Nwod, down, down, down, nwod, nwod, nwod, nwod

You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down (Hey)
You spin my head right round, right round (Hey)
When you go down, when you go down, down (Hey)
You spin my head right round, right round (Hey)
When you go down, when you go down, down (Hey)","Hip-Hop, rap, hip hop, Dirty South, southern rap"
6,7,"""I'm Yours""",Jason Mraz,"101 ContributorsTranslationsPortuguêsΕλληνικάDeutschI’m Yours Lyrics
Well, you done done me in, you bet I felt it
I tried to be chill, but you're so hot that I melted
I fell right through the cracks
Now, I'm trying to get back
Before the cool done run out, I'll be giving it my bestest
And nothing's gonna stop me but divine intervention
I reckon it's again my turn
To win some or learn some

But I won't hesitate no more, no more
It cannot wait, I'm yours

Mm, mm

Well, open up your mind and see like me
Open up your plans and, damn, you're free
Look into your heart and you'll find
Love, love, love, love
Listen to the music of the moment, people dance and sing
We're just one big family
And it's our godforsaken right to be
Loved, loved, loved, loved, loved

So I won't hesitate no more, no more
It cannot wait, I'm sure
There's no need to complicate, our time is short
This is our fate, I'm yours

Do you want to come on
Scootch on over closer, dear
And I will nibble your ear
Woah, oh-oh
Woah, oh, oh, oh
Oh-oh-oh-oh-oh, ah-ha
Mhm

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed
I guess what I be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate no more, no more
It cannot wait, I'm yours

Well, open up your mind and see like me (I won't hesitate)
Open up your plans and, damn, you're free (No more, no more)
Look into your heart and you'll find that (It cannot wait)
The sky is yours (I'm sure)
So please don't, please don't, please don't (No need to complicate)
There's no need to complicate (Our time is short)
'Cause our time is short (This is our fate)
This, oh, this, oh, this is our fate
I'm yours, ah
Oh, I'm yours
Oh, oh, I'm yours
Oh, woah
Baby, do believe I'm yours
You best believe, you best believe I'm yours
Mhm, mhm","acoustic, singer-songwriter, pop, alternative, rock"
7,8,"""Single Ladies (Put a Ring on It)""",Beyoncé,"84 ContributorsTranslationsPortuguêsSingle Ladies (Put a Ring on It) LyricsBeyoncé’s unofficial theme song for Sex & The City, produced by North Carolinian crooner The-Dream.
Beyoncé and Jay Z got married in 2008—but didn’t tell anybody. “Single Ladies” was seen as the couple’s… Read More 

All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies
Now put your hands up

Up in the club (Club), we just broke up (Up)
I'm doin' my own lil' thing
You decided to dip (Dip) and now you wanna trip (Trip)
'Cause another brother noticed me
I'm up on him (Him), he up on me (Me)
Don't pay him any attention
'Cause I cried my tears (Tears), gave ya three good years (Years)
You can't be mad at me

'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
'Cause if you like it, then you should've put a ring on it
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it

I got gloss on my lips (Lips), a man on my hips (Hips)
On me tighter than my Deréon jeans
Actin' up (Up), drink in my cup (Cup)
I can care less what you think
I need no permission, did I mention?
Don't pay him any attention
'Cause you had your turn (Turn) and now you gon' learn
What it really feels like to miss Bey

'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
'Cause if you like it, then you should've put a ring on it
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Don't treat me to these things of the world
I'm not that kind of girl
Your love is what I prefer, what I deserve
Here's a man that makes me then takes me (Ah)
And delivers me to a destiny
To infinity (Infinity) and beyond (And beyond)
Pull me (Pull me in) into your arms (To your arms)
Say I'm the one you want (Ah, I'm the one you want)
If you don't, you'll be alone
And like a ghost, I'll be gone

All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies
Now put your hands up
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh

'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it
Woah-oh-oh
'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it
Woah-oh-oh","rnb, pop, female vocalists, soul, Hip-Hop"
8,9,"""Heartless""",Kanye West,"234 ContributorsTranslationsSvenskaTürkçeDeutschFrançaisEspañolEnglishPortuguêsРусский (Russian)DanskHeartless Lyrics“Heartless” was released as a promotional single 20 days before the official release of 808s and Heartbreak, and peaked at number 2 on the Billboard Hot 100 charts while topping both the Rhythmic and Hot Rap… Read More 
In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

How could you be so
Cold as the winter wind when it breeze, yo?
Just remember that you talkin' to me though
You need to watch the way you talkin' to me, yo
I mean, after all the things that we been through
I mean, after all the things we got into
Ayo, I know of some things that you ain't told me
Ayo, I did some things but that's the old me
And now you wanna get me back and you gon' show me
So you walk around like you don't know me
You got a new friend, well, I got homies
But in the end, it's still so lonely

In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

How could you be so Dr. Evil?
You're bringin' out a side of me that I don't know
I decided we wasn't gon' speak so
Why we up 3 a.m. on the phone?
Why do she be so mad at me fo'?
Homie, I don't know, she's hot and cold
I won't stop, won't mess my groove up
‘Cause I already know how this thing go
You run and tell your friends that you're leavin' me
They say that they don't see what you see in me
You wait a couple of months, then you gon' see
You'll never find nobody better than me

In the night, I hear 'em talk (Me)
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

Talk and talk and talk and talk
Baby, let's just knock it off
They don't know what we been through
They don't know 'bout me and you
So I got somethin' new to see
And you just gon' keep hatin' me
And we just gon' be enemies
I know you can't believe
I could just leave it wrong
And you can't make it right
I'm gon' take off tonight into the night

In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless? (How, how?)
Oh, how could you be so heartless?

On and on and on and on
And on and, and on and on and on","Hip-Hop, rap, hip hop, rnb, Kanye West"
9,10,"""Gives You Hell""",The All-American Rejects,"80 ContributorsGives You Hell Lyrics“Gives You Hell” is the lead single and the 4th track on the All-American Rejects' third album, When the World Comes Down. Chart-wise, it is AAR’s most successful hit to date. In fact, at the end of 2009… Read More 
I wake up every evenin'
With a big smile on my face
And it never feels outta place
And you're still probably workin'
At a 9 to 5 pace
I wonder how bad that tastes

When you see my face, hope it gives you hell, hope it gives you hell
When you walk my way, hope it gives you hell, hope it gives you hell

Now where's your picket fence, love?
And where's that shiny car?
And did it ever get you far?
You never seemed so tense, love
I've never seen you fall so hard
Do you know where you are?

And truth be told, I miss you
And truth be told, I'm lyin'

When you see my face, hope it gives you hell, hope it gives you hell
When you walk my way, hope it gives you hell, hope it gives you hell
If you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well, hope it gives you hell
I hope it gives you hell

Tomorrow, you'll be thinkin' to yourself
""Yeah, where did it all go wrong?""
But the list goes on and on

And truth be told, I miss you
And truth be told, I'm lyin'

When you see my face, hope it gives you hell, hope it gives you hell
When you walk my way, hope it gives you hell, hope it gives you hell
When you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well, hope it gives you hell

Now you'll never see what you've done to me
You can take back your memories, they're no good to me
And here's all your lies, you can look me in the eyes
With the sad, sad look that you wear so well
(When you see my face, hope it gives you hell, hope it gives you hell)
(When you walk my way, hope it gives you hell, hope it gives you hell)
(When you find a man that's worth a damn and treats you well)
(Then he's a fool, you're just as well, hope it gives you hell)

When you see my face, hope it gives you hell, hope it gives you hell (Hope it gives you hell!)
When you walk my way, hope it gives you hell, hope it gives you hell (Hope it gives you hell)
When you hear this song and you sing along, no, you'll never tell (No, you'll never tell)
Then you're the fool, I'm just as well, hope it gives you hell (Hope it gives you hell)

When you hear this song, I hope that it will give you hell
(Hope it gives you hell)
You can sing along, I hope that it puts you through hell","rock, pop punk, alternative, punk, emo"
