Unnamed: 0,№,Title,Artist(s),lyrics,genres
20,21,"""Love Is""",Vanessa Williams and Brian McKnight,"8 ContributorsLove Is Lyrics“Love Is” peaked at #3 on the Billboard Hot 100, #55 on Billboard’s R&B chart (staying on the chart for 15 weeks) and topped Billboard’s Adult Contemporary chart for three weeks in April of 1993.
The song… Read More 
They say it's a river, that circles the Earth
A beam of light shinin' to the edge of the universe
It conquers all
It changes everything

They say it's a blessing
They say it's a gift
They say it's a miracle and I believe that it is
It conquers all
But it's a mystery

Love breaks your heart
Love takes no less than everything
Love makes it hard
And it fades away
So easily

In this world we've created
In this place that we live
In a blink of an eye babe, the darkness slips in
Love lights the world
Unites the lovers for eternity

Love breaks the chain
Love aches for every one of us
Love takes the tears and the pain
And turns it into the beauty that remains

Look at this place
It was paradise
But now it's dying
I'll pray for love
I'll take, my chances that it's not too late


Love breaks your heart
Love takes no less than everything
Love makes it hard
And it fades away
So easily

Oh, oh, oh
Love breaks the chain
Love aches for every one of us
Love takes the tears and the pain
And turns it into the beauty that remains","90s, pop, rnb, Soundtrack, duets"
21,22,"""Runaway Train""",Soul Asylum,"45 ContributorsRunaway Train LyricsSoul Asylum’s best known song, a power ballad released in 1992 about a man facing depressive times and life choices.
It was influenced by, among other things, Woody Guthrie and La Siesta del Martes.
Call you up in the middle of the night
Like a firefly without a light
You were there like a blowtorch burning
I was a key that could use a little turning
So tired that I couldn't even sleep
So many secrets I couldn't keep
Promised myself I wouldn't weep
One more promise I couldn't keep

It seems no one can help me now
I'm in too deep
There's no way out
This time I have really led myself astray

Runaway train never going back
Wrong way on a one-way track
Seems like I should be getting somewhere
Somehow, I'm neither here nor there

Can you help me remember how to smile?
Make it somehow all seem worthwhile
How on earth did I get so jaded?
Life's mystery seems so faded
I can go where no one else can go
I know what no one else knows
Here I am, just a-drowning in the rain
With a ticket for a runaway train

And everything seems cut and dry
Day and night
Earth and sky
Somehow, I just don't believe it

Runaway train never going back
Wrong way on a one-way track
Seems like I should be getting somewhere
Somehow I'm neither here nor there


Bought a ticket for a runaway train
Like a madman laughing at the rain
A little out of touch, a little insane
It's just easier than dealing with the pain

Runaway train never going back
Wrong way on a one-way track
Seems like I should be getting somewhere
Somehow I'm neither here nor there

Runaway train never coming back
Runaway train tearing up the track
Runaway train burning in my veins
I run away, but it always seems the same","alternative rock, rock, Grunge, alternative, 90s"
22,23,"""I'll Never Get Over You (Getting Over Me)""",Exposé,"7 ContributorsI’ll Never Get Over You Getting Over Me Lyrics
I hear you're taking the town again
Having a good time
With all your good time friends
I don't think that you think of me
You're on your own now
And I'm alone and free

I know that I should get on with my life
But a life lived without you could never be right

As long as the stars shine down from the heavens
Long as the rivers run to the sea
I'll never get over you gettin' over me

I try to smile so the hurt won't show
Tell everybody that I was glad to see you go
But the tears just won't go away (Won't go away)
Loneliness found me
Looks like it's here to stay

I know that I ought to find someone new
But all I find is myself always thinkin' of you

As long as the stars shine down from the heavens
Long as the rivers run to the sea
I'll never get over you gettin' over me

Oh, no matter what I do
Each night's a lifetime to live through
I can't go on like this, I need your touch
And you're the only one I've ever loved, oh


And as long as the stars shine down from the heavens
Long as the rivers run to the sea
I'll never get over you gettin' over me

I'll never get over you gettin' over
Never get over you gettin' over
I'll never get over you gettin' over me
Hey, yeah","pop, 80s, freestyle, female vocalists, dance"
23,24,"""Ditty""",Paperboy,"16 ContributorsDitty LyricsYo, this is how I'm comin' for the nine deuce
Another phat, phat track, so Rhythm D, pour the orange juice
And let's relax while sippin' on 'gnac because it's like that
I'm cautious of hoes, so Paperboy wears prophylactic
I wear a jimmy for the skinny that's in the long trench
Front row seats, so yo I know she's on the nine inch
Just to get a piece of the green, but she's an undertaker
Not knowin' the paper is a 'round the world heart-breaker
Many say I front, but yo, had to have a break down
Playin' you fools, so now you know why my belly's round
Takin' the rap back up and scoopin' up crowds just like a steel shovel
Not from the ghetto, but yo, take me to another level
Let the beat ride, but hold on to your woman, G
'Cause now that I'm rich so many women wanna do me
It make a man say 'damn'
I'm finally taxin' more than your homey Sam
But let me speak to the weak, I mean the rookies
My time is held up, extremely for cookies
Just let me clock this grip in ninety-two
And you don't bother me and I sure 'nuff won't bother you
And uh, you just watch a brother flowin' like Niagara
Think before you step, because these lyrics just might stag ya
Although I'm labeled with the black fade
It's gold D's on my four and gold 'lex, 'cause I got it made
I broke the veto once again because I had to
And just like Jody Watley, baby girl, I can have you
Just let me work this track, and yo, any way is OK
Your place or mine, all night until the next day, huh

Do the Ditty if you want to
Because then I can see if I want you
Just do the Ditty-Ditty if you want to
Because then I can see if I want you
Just do the Ditty-Ditty if you want to
Because then I can see if I want you
Just do the Ditty-Ditty if you want to
Because then I can see if I want you
Now here we go from the top, second verse of the same song
With the conclusion, hoes should be happy for the ding-dong
And since a man clock a grip, G
It's like every nigga that I see be like, 'Do you remember me?'
A hustler, and it's known with more hoes than Lego
Keep 'em chunky like Prego, so niggas leggo my Eggo
I have a tendency to flow, start off with my own groove
And pick up the mic, and all of a sudden, I see high movin'
Guess it's like magic, and Paperboy is the magician
If I was a vacuum I'd be suckin' up competition
Let it ride again, and yo, believe I got my own thing
Straight Bahama hoes so miss me with a chick from Soul Train
And I'm a break my note, just to show up tokin'
So hide his eyes when I scoop him, 'cause we bud smokin'
A black man tryin' to make it and that ain't no fair
But just like BeBe and CeCe, I'll take you there, huh

Do the Ditty if you want to
Because then I can see if I want you
Just do the Ditty-Ditty if you want to
Because then I can see if I want you
Just do the Ditty-Ditty if you want to
Because then I can see if I want you
Just do the Ditty-Ditty if you want to
Because then I can see if I want you
Now here we go, uh, let's take a trip to another land
Clock a grip, come back and watch the hoes tan
Jump in the Lex-o, and roll out to my cabin
Believe me my brother, more hoes than you can imagine
All on the ding-a-ling, just because the gold rings
But I'm like 'What's up with ya? You ain't heard a damn thing'
Make sure you got the jim hats, strapped for protection
Because to me, my life is more than my erection
And give me a hand, if you a fan, it ain't over yet
'Cause doin' the Ditty with Paperboy makes the ocean sweat
Kick the kind of style that knock the funk off of Fritos
Make you man jealous while hoes cheese like Doritos
It ain't my fault, I lay the pipe with concern-and
I ain't from Mount Vernon, but a brother's money-earnin'
And don't disagree and then jock, that's a pity
Just bob your head for Paperboy and the Ditty
Yeah

Do the Ditty if you want to
Because then I can see if I want you
To do the Ditty-Ditty if you want to
Because then I can see if I want you
Just do the Ditty-Ditty if you want to
Because then I can see if I want you
Just do the Ditty if you want to
Because then I can see if I want you
To do the Ditty-Ditty if you want to
Because then I can see if I want you
Just do the Ditty if you want to
Because then I can see if I want you","rap, 90s, G-funk, Hip-Hop, hip hop"
24,25,"""Rhythm Is a Dancer""",Snap!,"10 ContributorsRhythm Is A Dancer Lyrics
Rhythm is a dancer
It's a soul's companion
People feel it everywhere, mm
Lift your hands and voices
Free your mind and join us
You can feel it in the air

Oh, it's a passion
Oh, you can feel it in the air
Oh, it's a passion
Oh, oh, oh, oh

Rhythm is a dancer
It's a soul's companion
People feel it everywhere, mm
Lift your hands and voices
Free your mind and join us
You can feel it in the air

Oh

How very like the future this place might be
It's a tiny world just big enough to support the cubicle of one Knowledge Worker
Feel a wave of loneliness, head back down
But I'm going too fast

Rhythm is a dancer
It's a soul's companion
People feel it everywhere, mm
Lift your hands and voices
Free your mind and join us
You can feel it in the air

Oh

I plunge right on through the office door and into the bottomless indigo below
Suddenly, I can't remember how to stop, turn around
Do I point behind myself?
Do I have to turn around before I can point?
I flip into a brain fugue

Rhythm is a dancer
It's a soul's companion
People feel it everywhere, mm
Lift your hands and voices
Free your mind and join us
You can feel it in the air

Oh","dance, eurodance, 90s, electronic, techno"
25,26,"""The River of Dreams""",Billy Joel,"24 ContributorsThe River of Dreams Lyrics“The River of Dreams” is the title-track of Billy Joel’s last pop album from 1993. The song was a hit, peaking at #3 on the United States and UK charts, making it his highest charting of the 1990s (it was his… Read More 
In the middle of the, I go walking in the
In the middle of the, I go walking in the
In the middle of the, I go walking in the
In the middle of the, I go walking in the

In the middle of the night (Middle of the night)
I go walking in my sleep (I go walking in my sleep)
From the mountains of faith (Mountains of faith)
To the river so deep (River so deep)
I must be looking for something (Looking for something)
Something sacred I lost (Sacred I lost)
But the river is wide (Oh, it's wide)
And it's too hard to cross (Too hard to cross)

Even though I know the river is wide
I walk down every evening and stand on the shore
I try to cross to the opposite side
So I can finally find what I've been looking for

In the middle of the night (Middle of the night)
I go walking in my sleep (I go walking in my sleep)
Through the valley of fear (Valley of fear)
To a river so deep (River so deep)
I've been searching for something (Searching for something)
Taken out of my soul (Taken out of my soul)
Something I'd never lose (Never lose)
Something somebody stole (Something somebody stole)

I don't know why I go walking at night
But now I'm tired and I don't want to walk anymore
Hope it doesn't take the rest of my life
Until I find what it is I've been looking for

In the middle of the night (Middle of the night)
I go walking in my sleep (I go walking in my sleep)
Through the jungle of doubt (Jungle of doubt)
To the river so deep (River so deep)
I know I'm searching for something (Searching for something)
Something so undefined (So undefined)
And it can only be seen (Only be seen)
By the eyes of the blind
In the middle of the night

I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the

Not sure about life after this
God knows I've never been a spiritual man
Baptized by fire, I wade
Into the river that is running through the promised land

In the middle of the night (Middle of the night)
I go walking in my sleep (I go walking in my sleep)
Through the desert of truth (Desert of truth)
To the river so deep (River so deep)
We all end in the ocean (End in the ocean)
We all start in the streams (Start in the stream)
We're all carried along (Carried along)
By the river of dreams
In the middle of the night

I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the (River so deep)
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the
I go walking in the, in the middle of the (River so deep)
I go walking in the, in the middle of the (Gloria)
I go walking in the, in the middle of the (I go walking in my sleep)
I go walking in the, in the middle of the (It's not Sherie)
I go walking in the, in the middle of the (River so deep)
I go walking in the, in the middle of the
I go walking in the, in the middle of the","classic rock, singer-songwriter, rock, pop, piano"
26,27,"""I'm Gonna Be (500 Miles)""",The Proclaimers,"76 ContributorsTranslationsDeutschI’m Gonna Be (500 Miles) LyricsI’m Gonna Be (500 Miles) is a song by The Proclaimers that was released in 1988.
I’m Gonna Be is their most popular song. In 1993 it reached No. 3 in the US Billboard.
When I wake up, well, I know I'm gonna be
I'm gonna be the man who wakes up next to you
When I go out, yeah, I know I'm gonna be
I'm gonna be the man who goes along with you
If I get drunk, well, I know I'm gonna be
I'm gonna be the man who gets drunk next to you
And if I haver, yeah, I know I'm gonna be
I'm gonna be the man who's haverin' to you

But I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walked a thousand
Miles to fall down at your door

When I'm workin', yes, I know I'm gonna be
I'm gonna be the man who's workin' hard for you
And when the money comes in for the work I do
I'll pass almost every penny on to you
When I come home (When I come home), oh, I know I'm gonna be
I'm gonna be the man who comes back home to you
And if I grow old, well, I know I'm gonna be
I'm gonna be the man who's growin' old with you

But I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walked a thousand
Miles to fall down at your door

Da-da da da (Da-da da da)
Da-da da da (Da-da da da)
Da-da dum diddy dum diddy dum diddy da da da
Da-da da da (Da-da da da)
Da-da da da (Da-da da da)
Da-da dum diddy dum diddy dum diddy da da da

When I'm lonely, well, I know I'm gonna be
I'm gonna be the man who's lonely without you
And when I'm dreamin', well, I know I'm gonna dream
I'm gonna dream about the time when I'm with you
When I go out (When I go out), well, I know I'm gonna be
I'm gonna be the man who goes along with you
And when I come home (when I come home), yes, I know I'm gonna be
I'm gonna be the man who comes back home with you
I'm gonna be the man who's comin' home with you

But I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walked a thousand
Miles to fall down at your door

Da-da da da (Da-da da da)
Da-da da da (Da-da da da)
Da-da dum diddy dum diddy dum diddy da da da
Da-da da da (Da-da da da)
Da-da da da (Da-da da da)
Da-da dum diddy dum diddy dum diddy da da da
Da-da da da (Da-da da da)
Da-da da da (Da-da da da)
Da-da dum diddy dum diddy dum diddy da da da
Da-da da da (Da-da da da)
Da-da da da (Da-da da da)
Da-da dum diddy dum diddy dum diddy da da da

And I would walk five hundred miles
And I would walk five hundred more
Just to be the man who walked a thousand
Miles to fall down at your door","Scottish, rock, folk, pop, 80s"
27,28,"""Two Princes""",Spin Doctors,"55 ContributorsTranslationsDeutschTwo Princes LyricsThe best-known song by Spin Doctors, which appeared on their first studio album Pocket Full of Kryptonite. As a single, it reached #7 in the US, #3 in the UK, and #2 in Canada.
The lyrics depict rivalry… Read More 
Yeah
One, two princes kneel before you
That's what I said now
Princes, princes who adore you
Just go ahead now
One has diamonds in his pockets
And that's some bread now
This one said he wants to buy you rockets
Ain't in his head now

Yeah, yeah, yeah
Dababa…

This one, he got a princely racket
That's what I said now
Got some big seal upon his jacket
Ain't in his head now
You marry him, your father will condone you
How 'bout that now?
You marry me, your father will disown you
He'll eat his hat now

Marry him, or marry me
I'm the one that loves you, baby, can't you see?
I ain't got no future or family tree, but
I know what a prince and lover ought to be
I know what a prince and lover ought to be

Said if you want to call me baby
Just go ahead now
And if you like to tell me ""maybe""
Just go ahead now
And if you wanna buy me flowers
Just go ahead now
And if you would like to talk for hours
Just go ahead now


Said one, two princes kneel before you
That's what I said now
Princes, princes who adore you
Just go ahead now
One has diamonds in his pockets
And that's some bread now
This one who wants to buy you rockets
Ain't in his head now

Marry him, or marry me
I'm the one that loves you, baby, can't you see?
I ain't got no future or family tree, but
I know what a prince and lover ought to be
I know what a prince and lover ought to be

Said if you want to call me baby
Just go ahead now
And if you would like to tell me ""maybe""
Just go ahead now
And if you wanna buy me flowers
Just go ahead now
And if you would like to talk for hours
Just go ahead now

And if you want to call me baby
Just go ahead now
And if you would like to tell me ""maybe""
Just go ahead now
And if you would like to buy me flowers
Just go ahead now
And if you would like to talk for hours
Just go ahead now

If you want to call me baby
Just go ahead now
And if you like to tell me ""maybe""
Just go ahead now
And if you want to buy me flowers
Just go ahead now
And if you'd like to talk for hours
Just go ahead now
Oh-oh, baby!
Just go ahead now
Oh-oh! Just, just go ahead now
Just go ahead now
Oh, your majesty!
Just go ahead now
Come on, forget the king and marry me!
Just go ahead now
Come on, come on, come on
Just go ahead now
Go ahead now, yeah
Just go ahead now
And if you want to buy me flowers
Just go ahead now
Yeah, just go ahead now, baby, oh
Just go ahead now","rock, alternative rock, 90s, alternative, pop"
28,29,"""Right Here (Human Nature)"" / ""Downtown""",SWV,,"rnb, 90s, female vocalists, soul, new jack swing"
29,30,"""I Have Nothing""",Whitney Houston,"63 ContributorsTranslationsTiếng ViệtI Have Nothing Lyrics“I Have Nothing” is the third single from the soundtrack to The Bodyguard. It was written by David Foster & Linda Thompson.
The song peaked at #4 on the Billboard Hot 100, #4 on Billboard’s Hot R&B Singles… Read More 
Share my life, take me for what I am
'Cause I'll never change all my colors for you
Take my love, I'll never ask for too much
Just all that you are and everything that you do

I don't really need to look very much further
I don't wanna have to go where you don't follow
I won't hold it back again, this passion inside
Can't run from myself, there's nowhere to hide

But don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there?
Don't walk away from me
I have nothing, nothing, nothing
If I don't have you, you, you, you, you

You see through, right to the heart of me
You break down my walls with the strength of your love, mm
I never knew love like I've known it with you
Will our memories survive? One I can hold on to

I don't really need to look very much further
I don't wanna have to go where you don't follow
I won't hold it back again, this passion inside
I can't run from myself, there's nowhere to hide
Your love, I'll remember forever

But don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there?
Don't walk away from me
I have nothing, nothing, nothing
Don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there?
Don't walk away from me, no
Don't walk away from me
Don't you dare walk away from me
I have nothing, nothing, nothing
If I don't have you

You
If I don't have you
Oh, you","pop, soul, female vocalists, rnb, 80s"
30,31,"""Mr. Wendal""",Arrested Development,"26 ContributorsMr. Wendal Lyrics“Mr. Wendal” is a classic story-telling track about the life lessons one can learn from interacting with a homeless person, inspired by several people Todd “Speech” Thomas knew who lived on the streets in… Read More Here, have a dollar
In fact, no brotherman - here, have two
Two dollars means a snack for me
But it means a big deal to you
Be strong, serve God only
Know that if you do, beautiful heaven awaits
That's the poem I wrote for the first time
I saw a man with no clothes, no money, no plate
Mr. Wendal, that's his name
No one ever knew his name cause he's a no-one
Never thought twice about spending on a ol' bum
Until I had the chance to really get to know one
Now that I know him, to give him money isn't charity
He gives me some knowledge, I buy him some shoes
And to think blacks spend all that money on big colleges
Still most of y'all come out confused
Go ahead, Mr. Wendal
Go ahead, Mr. Wendal
Mr. Wendal has freedom
A free that you and I think is dumb
Free to be without the worries of a quick to diss society
For Mr. Wendal's a bum
His only worries are sickness
And an occasional harassment by the police and their chase
Uncivilized we call him
But I just saw him eat off the food we waste
Civilization, are we really civilized, yes or no
Who are we to judge
When thousands of innocent men could be brutally enslaved
And killed over a racist grudge
Mr. Wendal has tried to warn us about our ways
But we don't hear him talk
Is it his fault when we've gone too far
And we got too far, cause on him we walk
Mr. Wendal, a man, a human in flesh
But not by law
I feed you dignity to stand with pride
Realize that all in all you stand tall

Mr. Wendal
Lord, Mr. Wendal","Hip-Hop, rap, hip hop, alternative rap, 90s"
31,32,"""Have I Told You Lately""",Rod Stewart,"7 ContributorsHave I Told You Lately Lyrics
Have I told you lately that I love you
Have I told you there's no one else above you
You fill my heart with gladness
Take away all my sadness
Ease my troubles, that's what you do

For the morning sun and all it's glory
Greets the day with hope and comfort, too
You fill my heart with laughter
Somehow, you make it better
Ease my troubles, that's what you do

There's a love that's divine
And it's yours and it's mine
Like the sun
And at the end of the day
We should give thanks and pray
To the one, to the one

Have I told you lately that I love you
Have I told you there's no one else above you
You fill my heart with gladness
Take away all my sadness
Ease my troubles, that's what you do

There's a love that's divine
And it's yours and it's mine
Like the sun
And at the end of the day
We should give thanks and pray
To the one, to the one

Have I told you lately that I love you
Have I told you there's no one else above you
You fill my heart with gladness
Take away all my sadness
Ease my troubles, that's what you do

Take away my sadness, fill my life with gladness
Ease my troubles, that's what you do
Take away my sadness, fill my life with gladness
Ease my troubles, that's what you do","classic rock, rock, soft rock, 70s, pop"
32,33,"""Saving Forever for You""",Shanice,"4 ContributorsSaving Forever for You Lyrics“Saving Forever For You” peaked at #4 on the Billboard Hot 100, #6 on Billboard’s Top 40 Mainstream chart, #4 on Billboard’s Rhythmic Top 40 chart and #20 on Billboard’s Hot R&B Singles chart.
Music Video
I've never been so sure about anything before
But this loving feeling
Gonna be a feeling I feel forevermore

Looking in your eyes
Tomorrow's all I see
As long as there's forever, baby
I will always be

Saving forever for you, baby
You are the only one
I'll ever give forever to
Love for a lifetime won't do, baby
Wanna always stay together
So I'm saving forever for you

You'll be my world as long as
There's a world turning around
And you'll be my heaven, baby
'Til the heavens all come falling down
(All come falling down)

Look inside my heart
Love is all you'll see
Loving you forever, baby
Living just to be

Saving forever for you, baby
You are the only one
I'll ever give forever to
Love for a lifetime won't do, baby
Wanna always stay together
So I'm saving forever for you

Forever
I'll be loving you
Long as the time passes by
I'll there beside you
All through it all
I'll be standing by you

Looking in your eyes
Tomorrow's all I see
Long as there's forever, baby
I will always be
Needing you here with me

Saving forever for you, baby
You are the only one
I'll ever give forever to
Love for a lifetime won't do, baby
Wanna always stay together
So I'm saving forever
Saving forever for you, yeah
Saving forever for you, baby
You are the only one
I'll ever give forever to
(You are the only one, yeah)
Love for a lifetime won't do, baby
Wanna always stay together
So I'm saving forever
Saving forever for you
Saving forever for you, baby
(You're the only one)
I'll ever give forever to
(I'll ever give forever to)
Love for a lifetime won't do","rnb, soul, pop, female vocalists, funk"
33,34,"""Ordinary World""",Duran Duran,"48 ContributorsOrdinary World Lyrics“Ordinary World” is the second track off of Duran Duran’s 1993 self titled album, known as “The Wedding Album.“ It was a big comeback single for the band, and is one of the two singles that made Duran Duran… Read More 
Came in from a rainy Thursday on the avenue
Thought I heard you talking softly
I turned on the lights, the TV and the radio
Still, I can't escape the ghost of you

What has happened to it all?
Crazy, some'd say
Where is the life that I recognize?
(Gone away)

But I won't cry for yesterday, there's an ordinary world
Somehow I have to find
And as I try to make my way to the ordinary world
I will learn to survive

Passion or coincidence once prompted you to say
""Pride will tear us both apart""
Well now, pride's gone out the window, 'cross the rooftops, run away
Left me in the vacuum of my heart

What is happening to me?
Crazy, some'd say
Where is my friend when I need you most?
(Gone away)

But I won't cry for yesterday, there's an ordinary world
Somehow I have to find
And as I try to make my way to the ordinary world
I will learn to survive

Ooh-ooh, ooh-ooh, Ah-uh-huh

Papers in the roadside tell of suffering and greed
Fear today, forgot tomorrow
Ooh, here beside the news of holy war and holy need
Ours is just a little sorrowed talk (Just blown away)

And I don't cry for yesterday, there's an ordinary world
Somehow I have to find
And as I try to make my way to the ordinary world
I will learn to survive

Every world is my world (I will learn to survive)
Any world is my world (I will learn to survive)
Any world is my world
Every world is my world","new wave, 80s, pop, synth pop, rock"
34,35,"""If I Had No Loot""",Tony! Toni! Toné!,"12 ContributorsIf I Had No Loot Lyrics
If the shoe fits
I want you to wear it and wear it good

Talking 'bout them times when I was by myself
I would always be looking for somebody else
But, as time went on, I had a talk with my mind
Friends like you and you I gotta leave behind

And so, you call me your friend
But you only want my ends
And I'll never see you if I had no loot (I'll never see them)
I'm just glad I know the truth
And I'm paying my own bills
And I'll never ever depend on you

Friends and enemies around me every day
I can't believe half the things they say
Taking me for granted giving no credit at all
I'll just keep bouncing like a bouncing ball
Everybody seems to disappear on me
Can't trust no one as far, as I can see
If I could be that fly that's on the wall
Listening to my friends talk about it all

You call me your friend
But you only want my ends
And I'll never see you if I had no loot (I'll never see them)
I'm just glad I know the truth
And I'm paying my own bills
And I'll never ever depend on you
Sons of Soul, y'all

I don't mean to step on nobody's foot, but ah -

When I need somebody there's nobody to call
When they need me, my phone rings off the wall
But these are my friends, and that's what they say
Constantly taking from me every day
You say...

You call me your friend
But you only want my ends
And I'll never see you if I had no loot (I'll never see them)
I'm just glad I know the truth
And I'm paying my own bills
And I'll never ever depend on you
Sons of Soul, y'all


You call me your friend
But you only want my ends
And I'll never see you if I had no loot (I'll never see them)
I'm just glad I know the truth
And I'm paying my own bills
And I'll never ever depend on you","soul, rnb, new jack swing, Neo-Soul, Neo Soul"
35,36,"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf,"67 ContributorsI’d Do Anything for Love (But I Won’t Do That) LyricsWritten by Jim Steinman for Meatloaf, “I’d Do Anything for Love (But I Won’t Do That)” was Meatloaf’s comeback song and the lead single for Bat Out Of Hell II: Back into Hell. A power ballad to the max, “I’d… Read More 

And I would do anything for love
I'd run right into hell and back
I would do anything for love
I'll never lie to you and that's a fact
But I'll never forget the way you feel right now
Oh no, no way
And I would do anything for love
But I won't do that
No, I won't do that
Anything for love
Oh, I would do anything for love
I would do anything for love
But I won't do that
No, I won't do that

And some days it don't come easy
And some days it don't come hard
Some days it don't come at all
And these are the days that never end
And some nights you're breathin' fire
And some nights you're carved in ice
Some nights you're like nothin' I've ever
Seen before or will again

And maybe I'm crazy
Oh, it's crazy and it's true
I know you can save me
No one else can save me now but you
As long as the planets are turnin'
As long as the stars are burnin'
As long as your dreams are comin' true
You better believe it

That I would do anything for love
And I'll be there till the final act
And I would do anything for love
And I'll take the vow and seal a pact
But I'll never forgive myself if we don't go all the way
Tonight
And I would do anything for love
Oh, I would do anything for love
Oh, I would do anything for love
But I won't do that
No, I won't do that

I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that


And some days I pray for silence
And some days I pray for soul
Some days I just pray to the God
Of Sex and Drums and Rock 'N' Roll
And some nights I lose the feelin'
And some nights I lose control
Some nights I just lose it all
When I watch you dance and the thunder rolls

And maybe I'm lonely
That's all I'm qualified to be
There's just one and only
One and only promise I can keep
As long as the wheels are turnin'
As long as the fires are burnin'
As long as your prayers are comin' true
You better believe it

That I would do anything for love
And you know it's true and that's a fact
I would do anything for love
And there'll never be no turning back
But I'll never do it better than I do it with you
So long, so long
And I would do anything for love
Oh, I would do anything for love
I would do anything for love
But I won't do that
No, no, no, I won't do that

I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that
I would do anything for love
Anything you've been dreamin' of
But I just won't do that

But I'll never stop dreamin' of you every night of my life
No way
And I would do anything for love
Oh, I would do anything for love
Oh, I would do anything for love
But I won't do that
No, I won't do that

Will you raise me up? Will you help me down?
Will you help get me right out of this Godforsaken town?
Will you make it all a little less cold?
I can do that
Oh, I can do that
Will you hold me sacred? Will you hold me tight?
Can you colorize my life? I'm so sick of black and white
Can you make it all a little less old?
I can do that
Oh, oh, now, I can do that
Will you make me some magic with your own two hands?
Can you build an emerald city with these grains of sand?
Can you give me somethin' I can take home?
Now, I can do that
Oh, oh, now, I can do that
Will you cater to every fantasy I got?
Will you hose me down with holy water if I get too hot?
Will you take me places I've never known?
Now, I can do that
Oh, oh, now, I can do that
After a while you'll forget everything
It was a brief interlude and a midsummer night's fling
And you'll see that it's time to move on
I won't do that
I won't do that
I know the territory I've been around
It'll all turn to dust and we'll all fall down
Sooner or later you'll be screwin' around
I won't do that
No, I won't do that

Anything for love
Oh, I would do anything for love
I would do anything for love
But I won't do that
No, I won't do that","rock, classic rock, hard rock, rock opera, 80s"
