Unnamed: 0,№,Title,Artist(s),lyrics,genres
0,1,"""I Will Always Love You""",Whitney Houston,"105 ContributorsTranslationsΕλληνικάDeutschI Will Always Love You Lyrics“I Will Always Love You” was covered by Whitney Houston and recorded for her 1992 film The Bodyguard. The song was originally written by Dolly Parton and released on June 6, 1974 as the second single from her… Read More 
If I should stay
I would only be in your way
So I'll go, but I know
I'll think of you every step of the way

And I
Will always love you
I will always love you

You
My darling, you
Mm, mm

Bittersweet memories
That is all I'm taking with me
So goodbye, please, don't cry
We both know I'm not what you, you need

And I
Will always love you
I will always love you
You


I hope life treats you kind
And I hope you have all you've dreamed of
And I wish to you joy and happiness
But above all this, I wish you love
And I
Will always love you
I will always love you
I will always love you
I will always love you
I will always love you, I
I will always love you, you

Darling, I love you
Ooh, I'll always
I'll always love you","female vocalists, pop, Love, Soundtrack, Ballad"
1,2,"""Whoomp! (There It Is)""",Tag Team,"33 ContributorsWhoomp! (There It Is) LyricsEarly 90’s smash hit single written and produced by the Atlanta duo of Cecil “DC the Brain Supreme” Glenn and Steve “Rolln” Gibson. The song samples the bassline from the 1980 song “I’m Ready” by the Italo… Read More 
Party people!
Yeah, Tag Team music in full effect!
That's me, DC the Brain Supreme
And my man Steve Roll'n!
We're kickin' the flow! (We're kickin' the flow!)
And it goes a little something like this

Tag Team, back again
Check it to wreck it, let's begin
Party on, party people, let me hear some noise
DC's in the house, jump, jump, rejoice
Says there's a party over here, a party over there
Wave your hands in the air, shake the derriere
These three words mean you're gettin' busy
Whoomp, there it is! Hit me!

Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!

Upside down and inside out
I'm 'bout to show all you folks what it's all about
Now it's time for a nigga to get on the mic
And make this motherfuckin' party hype
I'm takin' it back to the old school
'Cause I'm an old fool who's so cool
If you wanna get down, I'mma show you the way
Whoomp, there it is!
Let me hear you say

Whoomp, there it is! (Come on, y'all)
Whoomp, there it is! (A little louder)
Whoomp, there it is! (Come on, y'all)
Whoomp, there it is! (Louder)
Whoomp, there it is! (Come on, y'all)
Whoomp, there it is! (A little louder)
Whoomp, there it is! (Come on, y'all)
Whoomp, there it is!
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka
Whoomp! Shaka-laka-shaka-laka shaka-laka shaka

Point blank, gin and juice I drink
And then invent as I puff on dank
Rock the mic, uh oh, I crave skin
Rip shit, find a honey dip to dip it in
Slam dunk it, stick it, flip it and ride
That B-double-O-T-Y, oh my
Ooh, that's it, come on, come on
Whoomp, there it is! I'm done

Whoomp, there it is! (Come on)
Whoomp, there it is! (Louder)
Whoomp, there it is! (Give it to me)
Whoomp, there it is! (Come on, come on)
Whoomp, there it is! (Little louder)
Whoomp, there it is! (Yeah!)
Whoomp, there it is! (Come on, come on)
Whoomp, there it is! (Yeah!)
Hey, ladies! Whoomp, there it is!
Hey, fellas! Whoomp, there it is!

Some say I'm crazy 'cause I'm pushing up daisies
The underground sound that you niggas have found
Amazing, outstanding, demanding
Commanding, you people dancing (Whoo)
Shit! That's a breathtaker
Our producer AKA the undertaker
You wanna come down to the underground old school?
Here's a shovel, can you dig it, fool?
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!
Can you dig it? We can dig it!
Can y'all dig it? We can dig it!

W-H-double O-M-P as I flow
To the fly shit from the school of old
Hard core, keep' the folklore wrecked
3 to the 2 and 1, mic check
Mad skill, flow ill, on the mess of steel
That's the grille of the microphone I just killed
Party people, there's your party, Tag Team is through
Whoomp, there it is, I thought you knew

Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!

Yeah! Tag Team music comin' straight at 'cha!
That's me - DC the Brain Supreme, and my man Steve Roll'n!
Bring it back y'all, bring it back y'all, bring it back, here we go!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!
Whoomp, there it is!

Hahaha
Have you heard that new song by Tag Team?
What's that?
You go girl, he is singing that to me
You don't even know him
Haha, that song is for all the ladies
Well, the whole album is dope
For real? Damn
Really though","Hip-Hop, miami bass, 90s, rap, hip hop"
2,3,"""Can't Help Falling in Love""",UB40,"18 Contributors(I Can’t Help) Falling in Love with You LyricsIn 1993, British reggae band UB40 recorded the song as the first single from their 1993 album Promises and Lies. The song was released in May 1993, in the majority of countries worldwide. It eventually… Read More 
Wise men say
Only fools rush in
But I can't help
Falling in love with you

Wise men say
Only fools rush in
But I can't help
Falling in love with you

Shall I stay?
Would it be a sin?
I can't help
Falling in love with you

As a river flows
Gently to the sea
Darling, so it goes
Some things were meant to be

Take my hand
Take my whole life, too
But I can't help
Falling in love with you

As a river flows
Surely to the sea
Darling, so it goes
Some things were meant to be

Take my hand
Take my whole life, too
I can't help
Falling in love with you

I can't help falling in love with you
I can't help falling in love with you
I can't help falling in love with you","reggae, 80s, ska, pop, british"
3,4,"""That's the Way Love Goes""",Janet Jackson,"22 ContributorsThat’s the Way Love Goes Lyrics“That’s The Way Love Goes” was the lead single of Janet Jackson’s fifth album (and first for Virgin Records) entitled janet. The single topped the Billboard Hot 100 chart for 8 weeks, and both the Billboard… Read More 
Like a moth to a flame, burned by the fire
My love is blind, can't you see my desire?
That's the way love goes
That's the way love
That's the way love
That's the way love goes
Like a moth to a flame, burned by the fire (That's the way)
My love is blind, can't you see my desire? (That's the way)
Like a moth to a flame, burned by the fire (That's the way)
My love is blind, can't you see my desire?
That's the way love goes
Like a moth to a flame, burned by the fire
That's the way, that's the way
That's the way love goes
That's the way love goes
My love is blind, can't you see my desire?
That's the way, that's the way
That's the way love goes

Come with me, don't you worry
I'm gonna make you crazy
I'll give you the time of your life
I'm gonna take you places
You've never been before and
You'll be so happy that you came
Ooh, I'm gonna take you there, ooh

That's the way love goes
That's the way love goes (That's the way love goes)
That's the way love goes (Desire, that's the way)
That's the way love goes (Desire, that's the way, that's the way love goes)

Don't mind if I light candles, I like to watch us play and
Baby, I've got on what you like
Come closer, baby, closer, reach out and feel my body
I'm gonna give you all my love (That's the way love goes)
Oh, sugar don't you hurry, you've got me here all night
Just close your eyes and hold on tight (That's the way, that's the way)
Ooh, baby, don't stop, don't stop, go deeper, baby, deeper
You feel so good I'm gonna cry
Oh, I'm gonna take you there, ooh

That's the way love goes
That's the way love goes (That's the way love goes)
That's the way love goes
That's the way love goes (That's the way love goes)
That's the way love goes
That's the way love goes (Don't you know? Oh, that's the way)

Like a moth to a flame, burned by the fire
My love is blind, can't you see my desire?
Like a moth to a flame, burned by the fire
My love is blind, can't you see my desire?

That's the way, that's the way (Ooh)
That's the way, that's the way (That's the way love goes)
That's the way, that's the way
That's the way love goes (That's the way love goes)
That's the way, that's the way
That's the way, that's the way (That's the way love goes, it goes, it goes)
That's the way, that's the way
That's the way love goes

That's the way love goes
That's the way love goes (That's the way love goes)
That's the way love goes (That's the way love goes)
That's the way love, that's the way love
That's the way love, that's the way love
That's the way love, that's the way love
That's the way love goes","pop, rnb, female vocalists, dance, soul"
4,5,"""Freak Me""",Silk,"23 ContributorsFreak Me LyricsA sexy, sensual ballad, “Freak Me” became a number-one hit on the Billboard Hot 100 and R&B chart in 1993, making it Silk’s biggest and most famous hit to date.
Freak me, baby (Ah, yeah)
Freak me, baby (Mm, just like that)
Freak me, baby (Ah, yeah)
Freak me, baby (Ah, yeah)

Let me lick you up and down 'til you say stop
Let me play with your body, baby, make you real hot
Let me do all the things you want me to do
'Cause tonight, baby, I wanna get freaky with you

Baby, don't you understand?
I wanna be your nasty man
I wanna make your body scream
And you will know just what I mean (You know what I mean)
24 carat gold
Don't want the night to grow old
I wanna lick you up and down (Baby, yeah, baby, yeah)
And then I wanna lay you down, come on, Silk, sing

Let me lick you up and down 'til you say stop (Lick you up and down)
Let me play with your body, baby, make you real hot
(Let me make you real hot)
Let me do all the things you want me to do
'Cause tonight, baby, I wanna get freaky with you

I love the taste of whipped cream (Hey)
Spread it on, don't be mean (Baby, don't be mean)
You know I can't resist you, girl
I'll fly you all around the world (All around the world, oh, baby)
I wanna see your body drip
Come on, let me take a sip (Come on, come on, come on, come on)
Take off what you cherish most (Come on)
'Cause when I brag I like to brag and boast (Come on, come on, come on, baby)

Let me lick you up and down 'til you say stop (Lick you up and down, oh, baby)
Let me play with your body, baby, make you real hot (I wanna play with your body, baby)
(I wanna play with your body, girl)
Let me do all the things you want me to do (Aw, yeah)
'Cause tonight, baby, I wanna get freaky with you

You, you, you, you (Oh, you)
You, you, you, you (Let me freak you)
You, you, you, you (All of you)
Yeah, come on, come on
You, you, you, you (Oh, you)
You, you, you, you (Let me do you)
'Cause tonight, baby, I wanna get freaky with you

Let me lick you up and down 'til you say stop (Freak me, baby)
Let me play with your body, baby, make you real hot (Freak me, baby)
Let me do all the things you want me to do (Freak me, baby)
'Cause tonight, baby, I wanna get freaky with you
Let me lick you up and down 'til you say stop (Baby, don't stop)
(Baby, don't stop)
Let me play with your body, baby, make you real hot (Baby, don't stop)
Let me do all the things you want me to do (Baby, don't stop, baby, don't stop)
'Cause tonight, baby, I wanna get freaky, freaky
Let me lick you up and down 'til you say stop (Up and down)
Let me play with your body, baby, make you real hot (Up and down)
(Let me make you soakin' wet, baby)
Let me do all the things you want me to do
(I won't play around with your love, baby)
'Cause tonight, baby, I wanna get freaky with you","rnb, soul, silk, 90s, new jack swing"
5,6,"""Weak""",SWV,"47 ContributorsWeak Lyrics“Weak” is the third single released from SWV’s debut album It’s About Time, and is arguably their most famous song.
The song was written by Brian Alexander Morgan and was based on his feelings towards R&B… Read More 
I don't know what it is that you've done to me
But it's caused me to act in such a crazy way
Whatever it is that you do when you do what you're doing
It's a feeling that I want to stay

'Cause my heart starts beating triple time
With thoughts of loving you on my mind
I can't figure out just what to do
When the cause and cure is you

I get so weak in the knees, I can hardly speak (I lose)
I lose all control and something takes over me (Control, takes over me)
In a daze and it's so amazing (Amaze)
It's not a phase (It's not), I want you to stay with me (Stay with me)
By my side, I swallow my pride (My pride)
Your love is so sweet
It knocks me right off of my feet
Can't explain why your lovin' makes me weak

Time after time, after time I try to fight it
But your love is strong, it keeps on holding on
Resistance is down when you're around, cries fading
In my condition, I don't want to be alone

'Cause my heart starts beating triple time
With thoughts of loving you on my mind
I can't figure out just what to do
When the cause and cure is you, ohh

I get so weak in the knees, I can hardly speak (I lose)
I lose all control and something takes over me (Control, takes over me)
In a daze and it's so amazing (Amaze)
It's not a phase (It's not), I want you to stay with me (Stay with me)
By my side, I swallow my pride (My pride)
Your love is so sweet
It knocks me right off of my feet
Can't explain why your lovin' makes me weak

I try hard to fight it
No way can I deny it
Your love's so sweet
Knocks me off my feet

I get so weak in the knees, I can hardly speak (I lose)
I lose all control and something takes over me (Control, takes over me)
In a daze and it's so amazing (Amaze)
It's not a phase (It's not), I want you to stay with me (Stay with me)
By my side, I swallow my pride (My pride)
Your love is so sweet
It knocks me right off of my feet
Can't explain why your lovin' makes me weak

(I get so weak)
Blood starts racing through my veins
(I get so weak)
Boy, it's something I can't explain
(I get so weak)
Something 'bout the way you do
The things you do, it
(Knocks me right off of my feet)
Ohh, off my feet, I
Can't explain why your lovin' makes me weak

I get so weak in the knees, I can hardly speak (I lose)
I lose all control and something takes over me (Control, takes over me)
In a daze and it's so amazing (Amazing)
It's not a phase (It's not), I want you to stay with me (I want you to stay)
By my side, I swallow my pride (My pride)
Your love is so sweet
It knocks me right off of my feet (Ohh, I)
Can't explain why your lovin' makes me weak","rnb, 90s, female vocalists, soul, new jack swing"
6,7,"""If I Ever Fall in Love""",Shai,"11 ContributorsIf I Ever Fall in Love Lyrics
The very first time that I saw your brown eyes
Your lips said ""Hello"" and I said ""Hi""
I knew right then you were the one
But I was caught up in physical attraction
But to my satisfaction
Baby, you were more than just a face

And if I ever (Ever fall)
In love again (Again)
I will be sure that the lady is a friend
And if I ever (Ever fall)
In love so true (So true)
I will be sure that the lady's just like you

Oh, yeah
Yeah, y-y-y-yeah
The very next time she'll be my friend

If I say that I could be your one and only
(Promise, promise, promise)
Promise that you'll never leave me lonely
I just wanna be the one you need
Oh baby
I just wanna be the one to serve you
Sometimes, I feel as if I don't deserve you
I cherish every moment that we share

And if I ever (Ever fall)
In love again (Again)
I will be sure that the lady is a friend
And if I ever fall (Ever fall)
In love so true (So true)
I will be sure that the lady's just like you

My friend
The very next time she will be my friend
Someone who I can believe in
I need someone who'll be my friend
My friend
The very next time she will be my friend
To be with me through thick and thin
My friend
The very next time she will be my friend
Someone who I can believe in
Please share my love with me, my friend
My friend
The very next time she will be my friend
I need someone like you

And if I ever (Ever fall)
In love again (Again)
I will be sure that the lady is a friend
And if I ever fall (Ever fall)
In love so true (So true)
I will be sure that the lady's just like you","rnb, soul, 90s, new jack swing, Love"
7,8,"""Dreamlover""",Mariah Carey,"30 ContributorsDreamlover Lyrics“Dreamlover” is a Pop/R&B song that centers around the longing for a perfect lover.
It was released on July 23, 1993 as the first single from her third album Music Box. It charted at #1 on Billboard’s Hot… Read More 
I need a lover to give me
The kind of love that will last always
I need somebody uplifting
To take me away, baby
Oh yeah, yeah

I want a lover who knows me
Who understands how I feel inside
Someone to comfort and hold me
Through the long lonely nights
'Till the dawn
Why don't you take me away?

Dreamlover, come rescue me
Take me up, take me down
Take me anywhere you want to, baby, now
I need you so desperately
Won't you please come around?
'Cause I wanna share forever with you, baby

I don't want another pretender
To disillusion me one more time
Whispering words of forever
Playing with my mind
(No no no, no no, baby)

I need someone to hold on to
The kind of love that won't fly away
I just want someone to belong to
Every day
Of my life
Always
So come and take me away

Dreamlover, come rescue me
Take me up, take me down
Take me anywhere you want to, baby, now
I need you so desperately
Won't you please come around?
'Cause I wanna share forever with you, baby
(With you)


(Baby, come and take me away)
Dreamlover, come rescue me
Take me up, take me down (Take me down)
Take me anywhere you want to, baby, now
I need you so desperately (I need you, baby)
Won't you please come around? (Won't you please?)
'Cause I wanna share forever with you, baby

I need you so, I need you so
Take me up
Come on, baby
With you, baby","pop, rnb, female vocalists, soul, Mariah Carey"
8,9,"""Rump Shaker""",Wreckx-n-Effect,"43 ContributorsRump Shaker Lyrics“Rump Shaker” is a multi-platinum ‘90s beach bumper about women shaking their rumps that hit #2 in the US in late 1992. It also reached the top 30 in the UK, Australia & New Zealand. It’s their only US top 40… Read More 
Yeah

All I wanna do is zoom-a-zoom-zoom-zoom (Yeah)
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)

Check baby, check baby, one, two, three, four
Check baby, check baby, one, two, three
Check baby, check baby, one, two
Check baby, check baby, one

It's called the rump shaker, the beats is like sweeter than candy
I'm feelin' manly and your shaker's comin' in handy
Slide down my cloth from New York down by your Virginia
Ticklin' you around Delaware before I enter
Turn to seduction from face, hips to feet
A wiggle and a jiggle can make the night complete
Now since you've got the body of the year, come and get the award
Here's a hint, it's like a long sharp sword
Flip tail, so let me see you shake it up like dice
The way you shake your rump is turnin' mighty men to mice
But A Plus got a surprise that's a back breaker
Now let me see you shake your rump like a rump shaker

All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker, yiggidy-yes, it's—)

Check baby, check baby, one, two, three, four (Yiggidy-yes, yeah)
Check baby, check baby, one, two, three (Yup, yup, it's—)
Check baby, check baby, one, two (Yup, yup, it's—)
Check baby, check baby, one

Yup, yup, it's Teddy, ready with the one-two checker
Wreckx-N-Effect is in effects, but I'm the wrecker
Of the track 'bout the honey shakin' rumps and they backs in
Booties of the cuties steady shakin' but relaxin'
The action is packed in a jam like a closet
Beats bound to get you up, cold flowin' like a faucet
Not mean to make you sit, not mean to make you jump
But, yep, make the hotties in the party shake your rump
I like the way you comb your hair (Uh)
I like the stylish clothes you wear (Uh)
It's just the little things you do (Uh)
That makes me wanna get with you (Uh)

All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker, let's break it down)

Shake it, shake it, shake it, now shake it
She can spend every birthday butt-naked
Body is soft, makin' me wanna squish her
More chest than the game, a rumper like a sub-woofer
Shake it to the left (Shake it), shake it to the right
I don't mind stickin' it to her every single night
Come on, pass the pum pum, send it to papa
Shake it baby, shake it baby, shake it, don't stoppa
Let me see you do the booty hop (Hop)
And now make the booty stop, now drop and do the booty wop (Ooh)
The way you shakin' your reals really kill
Is makin' broth-ills up a whole lotta bills
But I ain't into trickin', just to treatin'
And I ain't into treatin' every trick that I'm meetin'
Nah, nah, nah, nah, nah, nah, nah
Yeah, shake it baby, shake it now, shake it like that

All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)

Check baby, check baby, one, two, three, four
Check baby, check baby, one, two, three (Just shake your rump)
Check baby, check baby, one, two
Check baby, check baby, one, one (Just shake your rump)
Check baby, check baby, one, two, three, four
Check baby, check baby, one, two, three (Just shake your rump)
Check baby, check baby, one, two
Check baby, check baby, one, one (Just shake your rump)

All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)

Check baby, check baby, one, two, three, four
Check baby, check baby, one, two, three (Just shake your rump)
Check baby, check baby, one, two
Check baby, check baby, one, one (Just shake your rump)
Check baby, check baby, one, two, three, four
Check baby, check baby, one, two, three (Just shake your rump)
Check baby, check baby, one, two
Check baby, check baby, one, one (Just shake your rump)

All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump
All I wanna do is zoom-a-zoom
All I wanna do is zoom-a-zoom, just shake your rump
All I wanna do is zoom-a-zoom-zoom-zoom
In a pum pum, just shake ya rump (Rump shaker)

Break it down (Uh, yeah)
Just shake ya rump (Uh, yeah)
W-N-E (Uh, yeah)
Is in effect (Uh, yeah)
Peace (Peace)
And we out
Come on
Come on
Come on
Come on
Come on
Come on
Come on","Hip-Hop, new jack swing, 90s, rap, hip hop"
9,10,"""Informer""",Snow,"81 ContributorsInformer LyricsSnow wrote this song while he was in jail charged with two attempted murders, he ended up spending a year in Toronto’s East Detention Center maximum security prison. After coming out he met MC Shan and… Read More 
What's up, man?
Ayo, what's up?
Yeah, what's going on, yo?
I'm sick and tired of 5-0 running up on the block
You know what I'm saying?
Yo, Snow, they came around looking for you the other day (Word?)
Word, bust it!

Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down
Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down

Police-a them-a they come and-a they blow down me door
Break a car troo, troo my window
So dey put me in de back de car at de station
From that point on, me reach my destination
Where the destination reachin' outta east detention
Where dey looked down me pants, look up me bottom, so

Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down
Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down

So, bigger dem are they think dem have more power
De pon di phone me say dat one hour
Me for want to use a once an' now me call me lover
Lover who me callin an' a one Tamei
An' mi love her in my heart down to my belly-a
Yes say daddy me Snow me haffi cool an' deadly
Yes the one MC Shan an' the one Daddy Snow
Together we-a love 'em is a tor-na-do

Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down
Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down

So, listen for me, you better listen for me now
Listen for me, you better listen for me now
When-a me rock-a the microphone, me rock on steady-a
Yes a daddy me Snow me are de article don
But the in an a-out a dance an they say where you come from-a?
People dem say ya come from Jamaica
But me born an' raised in the ghetto that I want ya to know-a
Pure black people man that’s all I man know
Yeah me shoes are a-tear up an'a me toes just a show-a
Where me-a born in are de one Toronto, so

Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down
Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down

Come with a nice young lady
Intelligent, yes, she gentle and irie
Everywhere me go, me never lef' her at all-ie
Yes-a Daddy Snow me are the roam dance man-a
Roam between-a dancin' in-a in-a nation-a
You never know say daddy me Snow me are the boom shakata
Me never lay-a down flat in-a one cardboard box-a
Yes-a daddy me Snow me-a go reachin' out da top, so

Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down
Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down

Why wo ee? why wo ee? an' wo ee an' wo ee?

Me sitting 'round cool with my dibbie-dibbie girl
Police knock my door, lick up my pal
Rough me up and I can't do a thing
Pick up my line when my telephone ring
Take me to the station black up my hands
Trail me down cause I'm hanging with the Snowman
What I'm gonna do? I'm backed and I'm trapped
Slap me in the face and took all of my gap
They have no clues and they wanna get warmer
But Shan won't turn informer

Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down
Informer, ya' no say daddy me Snow me I go blame
I lick he boom-boom down
'Tective man a say, say daddy me Snow me stab someone down the lane
I lick he boom-boom down

Diggity dum, diggity diggity dum, an' wo ee, an wo, an wo ee","reggae, Hip-Hop, Canadian, j-pop, japanese"
