Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Faith""",George Michael,"46 ContributorsFaith LyricsA song about  turning down a seductive yet untrustworthy partner, “Faith” topped the Billboard Hot 100 for four weeks and also peaked at #2 on the U.K. Singles chart.
The track became emblematic, with images… Read More 

Well, I guess it would be nice if I could touch your body
I know not everybody has got a body like you
But I gotta think twice before I give my heart away
And I know all the games you play because I played them too

Oh, but I need some time off from that emotion
Time to pick my heart up off the floor
Oh, when that love comes down without devotion
Well it takes a strong man, baby
But I'm showin' you the door

'Cause I gotta' have faith
I gotta have faith
Because I gotta have faith, faith
I got to have faith, faith, faith

Baby, I know you're askin' me to stay
Say, ""Please, please, please don't go away""
You say I'm givin' you the blues
Maybe (Huh) you mean every word you say
Can't help but think of yesterday
And another who tied me down to loverboy rules

Before this river becomes an ocean
Before you throw my heart back on the floor
Oh, baby, I reconsider my foolish notion
Well, I need someone to hold me
But I'll wait for somethin' more

Yes I gotta have faith
Ooh, I gotta have faith
Because I gotta have faith, faith, faith
I gotta have faith, faith, faith

I'll just have to wait
Because I've got to have faith
I gotta have faith
I've got to, got to, got to have faith

Before this river becomes an ocean
Before you throw my heart back on the floor
Oh, oh, baby, I reconsider my foolish notion
Well, I need someone to hold me
But I'll wait for somethin' more

'Cause I gotta' have faith
Ooh, I gotta have faith
Because I gotta have faith, faith, faith
I gotta have faith, faith, faith","pop, 80s, british, soul, dance"
1,2,"""Need You Tonight""",INXS,"37 ContributorsNeed You Tonight Lyrics“Need You Tonight” is probably the most lustful INXS song ever. This was a throwaway song that became their biggest hit. Andrew Farriss came up with the riff, and Michael Hutchence quickly added some lyrics.
… Read More 
Come over here

All you got is this moment
Twenty-first century's yesterday
You can care all you want
Everybody does, yeah, that's okay

So slide over here and give me a moment
Your moves are so raw, I've got to let you know
I've got to let you know
You're one of my kind
Ow
I need you tonight
'Cause I'm not sleepin'
There's something about you, girl
That makes me sweat

How do you feel? I'm lonely
What do you think? Can't think at all
What'cha gonna do? Gonna live my life

So slide over here and give me a moment
Your moves are so raw, I've got to let you know
I've got to let you know
You're one of my kind
Oh
I need you tonight
'Cause I'm not sleepin', mm
There's something about you, girl
That makes me sweat

So how do you feel? I'm lonely
What do you think? Can't think at all
What'cha gonna do? Gonna live my life
How do you feel? I'm lonely
What do you think? Can't think at all
What'cha gonna do? Gonna live my life

So slide over here and give me a moment
Your moves are so raw, I've got to let you know
I've got to let you know
So slide over here and give me a moment
I've got to let you know, I've got to let you know
You're one of my kind","rock, new wave, 80s, australian, pop"
2,3,"""Got My Mind Set on You""",George Harrison,"26 ContributorsTranslationsEspañolGot My Mind Set On You LyricsListen closely to the film of The Beatles in New York in 1964 and at one point you’ll hear Harrison say, “Have you got a record called ‘Got My Mind Set On You’ by James Ray?” Fast forward to 1987 during… Read More 
I got my mind set on you
I got my mind set on you
I got my mind set on you
Got my mind set on you

But it's gonna take-a money
A whole lotta' spending money
It's going to take plenty-a money
To do it right, chile
It's gonna take time
Whole lotta' precious time
It's gonna take patience and time, mmm
To do it, to do it, to do it, to do it
To do it, to do it right, chile

I got my mind set on you
I got my mind set on you
I got my mind set on you
I got my mind set on you

And this time I know it's for real
The feeling that I feel
I know if I put my mind to it
I know that I really can do it

I got my mind set on you
Set on you
I got my mind set on you
Set on you

But it's gonna take-a money
Whole lotta' spending money
It's gonna take plenty-a money
To do it right, chile
It's gonna take time
Whole lotta' precious time
It's gonna take patience and time, mmm
To do it, to do it, to do it, to do it
To do it, to do it right!


I got my mind set on you
I got my mind set on you
I got my mind set on you
I got my mind set on you

And this time I know it's for real
The feelings that I feel
I know if I put my mind to it
I know that I really can do it

But it's gonna to take-a money
A whole lotta' spending money
It's gonna take plenty-a money
To do it right, chile
It's gonna take-a time
A whole lotta' precious time
It's gonna take patience and time, mmm
To do it, to do it, to do it, to do it
To do it, to do it right!

(Set on you)
(Set on you)
Set on you
Set on you
Set on you
Set on you
Set on you
Set on you
Set my mind on you (Set on you)
I got it set on you (Set on you)","classic rock, 80s, rock, george harrison, pop"
3,4,"""Never Gonna Give You Up""",Rick Astley,"244 ContributorsTranslationsTürkçePortuguêsDeutschEspañolFrançaisDeutschРусский (Russian)УкраїнськаNever Gonna Give You Up Lyrics“Never Gonna Give You Up” is known as the world famous Rick Roll song.
The music video, directed by Simon West, finds Astley singing at various west London locales, including an empty club where he gradually… Read More 
Desert you
Ooh-ooh-ooh-ooh
Hurt you

We're no strangers to love
You know the rules and so do I (Do I)
A full commitment's what I'm thinking of
You wouldn't get this from any other guy

I just wanna tell you how I'm feeling
Gotta make you understand

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

We've known each other for so long
Your heart's been aching, but you're too shy to say it (To say it)
Inside, we both know what's been going on (Going on)
We know the game, and we're gonna play it

And if you ask me how I'm feeling
Don't tell me you're too blind to see

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

Ooh (Give you up)
Ooh-ooh (Give you up)
Ooh-ooh
Never gonna give, never gonna give (Give you up)
Ooh-ooh
Never gonna give, never gonna give (Give you up)

We've known each other for so long
Your heart's been aching, but you're too shy to say it (To say it)
Inside, we both know what's been going on (Going on)
We know the game, and we're gonna play it

I just wanna tell you how I'm feeling
Gotta make you understand

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you","pop, 80s, rickroll, dance, best act ever"
4,5,"""Sweet Child o' Mine""",Guns N' Roses,"127 ContributorsTranslationsDeutschPolskiBahasa IndonesiaEspañolSweet Child O’ Mine Lyrics“Sweet Child O’ Mine” is the 9th track of Guns N’ Roses’ debut album Appetite for Destruction. The song became GNR’s most successful single, topping the Billboard Hot 100.
The guitar solo was ranked as the… Read More 

She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as the bright blue sky
Now and then, when I see her face
She takes me away to that special place
And if I stared too long, I'd probably break down and cry

Woah, oh, oh
Sweet child of mine
Woah, oh, oh, oh
Sweet love of mine

She's got eyes of the bluest skies
As if they thought of rain
I'd hate to look into those eyes and see an ounce of pain
Her hair reminds me of a warm, safe place
Where, as a child, I'd hide
And pray for the thunder and the rain to quietly pass me by

Woah, oh, oh
Sweet child of mine
Woah woah, oh, oh, oh
Sweet love of mine
Ooh
Oh
Oh, oh-oh, yeah

Woah, oh, oh, oh
Sweet child of mine
Oh, woah-oh, woah-oh
Sweet love of mine
Woah, oh, oh, oh
Sweet child of mine, ooh, yeah
Ooh
Sweet love of mine

Where do we go?
Where do we go now?
Where do we go?
Mm-mm, oh, where do we go?
Where do we go now?
Oh, where do we go now? (Where do we go?)
Where do we go? (Sweet child of mine)
Mm, oh, where do we go now?
Aye, aye, aye, aye, aye, aye, aye, aye (Where do we go? Where do we go?)
Ooh, where do we go now? (Where do we go?)
Oh-oh-oh-oh-oh, oh, woah
Where do we go?
Oh-oh, where do we go now?
Where do we go?
Where do we go now?
Where do we go?
Woah-oh, where do we go now?
No, no, no, no, no, no, no
Sweet child
Sweet child of mine","hard rock, rock, classic rock, 80s, metal"
5,6,"""So Emotional""",Whitney Houston,"19 ContributorsSo Emotional Lyrics“So Emotional” is the third single from Whitney Houston’s sophomore album. It was written by Billy Steinberg & Tom Kelly and produced by Narada Michael Walden.
The song topped the Billboard Hot 100 and Hot… Read More 
I don't know why I like it, huh
I just do
Woo, ooh
Ooh

I've been hearin' your heartbeat inside of me
I keep your photo right beside my bed
Livin' in a world of fantasies
I can't get you out of my head, uh
I've been waiting for the phone to ring all night
Why you wanna make me feel so good?
I got a love of my own, babe
I shouldn't get so hung up on you

I remember the way that we touched
I wish I didn't like it so much
Ah, uh

I get so emotional, baby
Every time I think of you
I get so emotional, baby
Ain't it shocking what love can do?

Ain't it shocking what love can do?
Ain't it shocking what love can do? Hee

I gotta watch you walk in the room, baby
I gotta watch you walk out, yes, I do
I like the animal way you move
And when you talk, I just watch your mouth

Oh, I remember the way that we touched
I wish I didn't like it so much
Ooh

I get so emotional, baby
Every time I think of you
I get so emotional, baby
Ain't it shocking what love can do?
I get so emotional, baby
Every time I think of you
I get so emotional, baby
Ain't it shocking what love can do?

Ain't it shocking what love can do?
Ain't it shocking, love can do
Hee-hee

Uh
Ha
Can you work on me? Work on me
Haha

See, I remember the way that we touched
I wish I didn't like it so much
No, no, no

I get so emotional, baby
Every time I think of you
I get so emotional, baby
Ain't it shocking what love can do?
I get so emotional, baby
Every time I think of you
I get so emotional, baby
Ain't it shocking what love can do?

I get so emotional
I get so emotional, baby (Oh, baby)
Shocking what love can do (Do-do-do-do-do)
I get so emotional, baby (Hey, yeah, baby, baby, baby)
Every time I think of you (Baby, baby, baby)
I get so emotional, baby (Oh)
Ain't it shocking what love can do? You know what it does
I get so emotional, baby (Yeah, babe, yeah, baby)
Every time I think of you (You know what I mean, hee, hee, hoo)
I get so emotional, baby (Hey, yeah, baby)
Shocking what love can do, ooh-ooh","pop, soul, female vocalists, rnb, 80s"
6,7,"""Heaven Is a Place on Earth""",Belinda Carlisle,"50 ContributorsHeaven Is a Place on Earth Lyrics“Heaven Is a Place on Earth” was the lead single from Belinda Carlisle’s second album, Heaven on Earth. The single was released in September 1987, shortly before the album, and it reached the top of the… Read More 
Ooh, baby, do you know what that's worth?
Ooh, Heaven is a place on Earth
They say in Heaven, love comes first
We'll make Heaven a place on Earth
Ooh, Heaven is a place on Earth

When the night falls down
I wait for you and you come around
And the world's alive
With the sound of kids on the street outside

When you walk into the room
You pull me close and we start to move
And we're spinnin' with the stars above
And you lift me up in a wave of love

Ooh, baby, do you know what that's worth?
Ooh, Heaven is a place on Earth
They say in Heaven, love comes first
We'll make Heaven a place on Earth
Ooh, Heaven is a place on Earth

When I feel alone
I reach for you and you bring me home
When I'm lost at sea
I hear your voice and it carries me

In this world, we're just beginnin'
To understand the miracle of livin'
Baby, I was afraid before
But I'm not afraid anymore

Ooh, baby, do you know what that's worth?
Ooh, Heaven is a place on Earth
They say in Heaven, love comes first
We'll make Heaven a place on Earth
Ooh, Heaven is a place on Earth

(Heaven)
(Heaven)
(Heaven)

In this world, we're just beginnin'
To understand the miracle of livin'
Baby, I was afraid before
But I'm not afraid anymore

(Heaven)

Ooh, baby, do you know what that's worth?
Ooh, Heaven is a place on Earth
They say in Heaven, love comes first
We'll make Heaven a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth
Ooh, Heaven is a place on Earth","pop, 80s, female vocalists, new wave, american"
7,8,"""Could've Been""",Tiffany,"7 ContributorsCould’ve Been Lyrics“Could’ve Been” became Tiffany’s second number-one hit song and also topped Billboard’s Adult Contemporary chart.
Music Video
The flowers you gave me are just about to die
When I think about
What could've been
Makes me want to cry
The sweet words you whispered didn't mean a thing
I guess our song is over
As we began to sing

Could've been so beautiful
Could've been so right
Could've been my lover
Every day of my life
Could've been so beautiful
Could've been so right
I'll never hold
What could've been on a cold and lonely night

The memories of our loving still linger in the air
Like the faded scent of your roses
Stay with me everywhere

Everytime I get my hopes up
They always seem to fall
Still what could've been
Is better than what can never be at all
At all
Could've been so beautiful
Could've been so right
Could've been my lover
Every day of my life
Could've been so beautiful
Could've been so right
You can hold what could've been
On a cold and lonely night

Could've been so beautiful
Could've been so right
You can hold what could've been
On a cold and lonely night

How can you hold what could've been
On a cold and lonely night","pop, 80s, female vocalists, dance, female"
8,9,"""Hands to Heaven""",Breathe,"11 ContributorsHands to Heaven Lyrics
As I watch you move
Across the moon-lit room
There's so much tenderness in your loving
Tomorrow, I must leave
The dawn knows no reprieve
God, give me strength when I am leaving

So raise your hands to heaven and pray
That we'll be back together someday

Tonight, I need your sweet caress
Hold me in the darkness
Tonight, you calm my restlessness
You relieve my sadness

As we move to embrace
Tears run down your face
I whisper words of love so softly
I can't believe this pain
It's driving me insane
Without your touch
Life will be lonely

So raise your hands to heaven and pray (And pray)
That we'll be back together someday

Tonight, I need your sweet caress
Hold me in the darkness
Tonight, you calm my restlessness
You relieve my sadness
Tonight, I need your sweet caress
Hold me in the darkness
Tonight, you calm my restlessness
You relieve my sadness


Morning has come, another day
I must pack my bags and say
Goodbye, goodbye

Tonight, I need your sweet caress (Oh whoa)
Hold me in the darkness (Darkness)
Tonight, you calm my restlessness (Oh whoa)
You relieve my sadness (Sadness)
Tonight, I need your sweet caress (Oh whoa)
Hold me in the darkness
Tonight, you calm my restlessness (You calm my restlessness)
You relieve my sadness

No, no, whoa
Oh, oh, oh whoa","pop, 80s, new wave, british, dark electro"
9,10,"""Roll with It""",Steve Winwood,"10 ContributorsRoll with It Lyrics“Roll with It” is a song by Steve Winwood, released as the lead single from album his album of the same name. The song marked his first second number one single on the Billboard Hot 100 chart, his first being… Read More 
When life is too much, roll with it, baby
Don't stop and lose your touch, oh no, baby
Hard times knocking on your door
I'll tell them you ain't there no more
Get on through it, roll with it, baby

Luck'll come and then slip away
You've gotta move, bring it back to stay

You just roll with it, baby
Come on and just roll with it, baby
You and me, roll with it, baby
Hang on and just roll with it, baby, hey

The way that you love is good as money
I swear by stars above, sweet as honey
People think you're down and out
You show them what it's all about
You can make it, roll with it, baby

When this world turns its back on you
Hang in and do that sweet thing you do

You just roll with it, baby, yeah
You just roll with it, baby
Come on and just roll with it, baby
You and me, just roll with it, baby
Roll with it, baby, yeah
You just roll with it, baby
You and me, just roll with it, baby
Come on and just roll with it, baby

Hey, now there'll be a day you'll get there, baby
You'll hear the music play, you'll dance, baby
You'll leave bad times way behind
Nothing but good times on your mind
You can do it, roll with it, baby

Then you'll see life will be so nice
It's just a step up to paradise

You just roll with it, baby, yeah
You just roll with it, baby
You and me, just roll with it, baby
Come on and just roll with it, baby
Hey, come on

Roll with me, baby
Hey now, baby
Roll, roll, roll with me baby, roll
Hey, c'mon and roll
Come roll with me, baby
Come and roll
Hang on and just roll, hey and roll","classic rock, rock, 80s, singer-songwriter, pop"
