Unnamed: 0,№,Title,Artist(s),lyrics,genres
0,1,"""Too Close""",Next,"41 ContributorsToo Close Lyrics“Too Close” is a sexy R&B song about a man who gets aroused by a young woman while they’re dancing at a club. (“I feel a little poke coming through,” as well as “Now girl, I know you felt it  You know what… Read More 
I wonder if she could tell I'm hard right now
Yeah, come on, dance for me, baby, yeah
You feel that? All right, come on, don't stop now
You done did it, come on, yeah, all right, hold on
Baby, when we're grindin', I get so excited
Ooh how I like it, I try but I can't fight it
Oh, you're dancin' real close, plus it's real, real slow
You're makin' it hard for me

Oh the songs on you requested
You're dancin' like you're naked
It's almost like we're sexin' (oh yeah)
Yeah, boo, I like it, no, I can't deny it
But I know you can tell I'm excited, oh girl

(Step back, you're dancin' kinda close)
(I feel a little poke comin' through on you)
Now girl, I know you felt it
But boo, you know, I can't help it
You know what I wanna do

Baby, when we're grindin', I get so excited
Ooh how I like it, I try but I can't fight it
Oh, you're dancin' real close, plus it's real, real slow
You know you're makin' it hard for me

Baby, us dancin' so close ain't a good idea
'Cause I'ma want you now and here
The way that you shake it on me
Makes me want you so bad sexually, oh girl

(Step back, you're dancin' kinda close)
(I feel a little poke comin' through on you)
Now girl, I know you felt it
But boo, you know, I can't help it
You know what I wanna do, oh yes
Baby, when we're grindin', I get so excited
Ooh how I like it, I try but I can't fight it
Oh, you're dancin' real close, plus it's real, real slow
You know you're makin' it hard for me
Baby, don't stop
Baby, when we're grindin', I get so excited
Ooh how I like it, I try but I can't fight it
Oh, you're dancin' real close, plus it's real, real slow
You're makin' it hard for me

I love when you shake it like that
(I see that you like it like that)
I love when you shake it like that
(I see that you like it like that)
Baby, I like it
Baby, when we're grindin', I get so excited
Ooh how I like it, I try but I can't fight it
Oh, you're dancin' real close, plus it's real, real slow
You're makin' it hard for me

I like the way you move
(Baby, when we're grindin' I get so excited)
You're making me want you oh the way you move
(Plus it's real, real slow)
I like those things you do cause you're a little too close, yeah
I get so excited, ooh, how I like it, I try but I can't fight it
Oh, you're dancin' real close, plus it's real, real slow
You're makin' it hard for me","rnb, 90s, soul, Hip-Hop, thrash metal"
1,2,"""The Boy Is Mine""",Brandy and Monica,"2 ContributorsTranslationsEnglishРусский (Russian)Ariana Grande, Brandy & Monica - the boy is mine (Remix) (polskie tłumaczenie) Lyrics
O tak
Mhm, mmm

Jak to możliwe? Ty i ja
Może tak miało być, nie da się tego odzobaczyć
Ale nie chcę powodować żadnej sceny
Zwykle nie sprawiam problemów
Taki niezależny, powiedz mi dlaczego
Bo chłopak jest mój, mój

Coś w nim jest stworzone dla kogoś takiego jak ja
Kochanie, podejdź, podejdź (Podejdź)
I Bóg jeden wie, że próbuję, ale nie ma sensu zaprzeczać

Chłopak jest mój
Nie mogę się doczekać, żeby go spróbować
Le-połączmy się
Gwiazdy, wyrównały się
Chłopak jest mój
Patrz, jak nie spieszę się (Patrz, jak nie spieszę się)
Nie mogę uwierzyć swojemu rozumowi (Nie mogę uwierzyć swojemu umysłowi)
Chłopak jest boski
Chłopak jest mój

Proszę, wiedz, że nie to planowałem
Prawdopodobnie nie postawiłbym na to ani grosza, ani swojego życia
Musi być jakiś powód
Moje dziewczyny zawsze radzą sobie w trudnych sytuacjach
Powiedz „Wszystko w porządku” (Wszystko w porządku)
Dzieje się cały czas

Coś w nim jest stworzone dla kogoś takiego jak ja
Kochanie, podejdź, podejdź (Podejdź)
I Bóg jeden wie, że próbuję, ale nie ma sensu przemawiać

Chłopak jest mój
Nie mogę się doczekać, żeby go spróbować
Le-połączmy się
Gwiazdy, wyrównały się
Chłopak jest mój
Patrz, jak nie spieszę się (Patrz, jak nie spieszę się)
Nie mogę uwierzyć swojemu rozumowi (Nie mogę uwierzyć swojemu umysłowi)
Chłopak jest boski
Chłopiec jest– (Chłopiec jest, och)

I wiem, że tak ma być i ja
Okażę ci odpowiedzialność, empatię i współczucie
Jak możesz być tak rozczarowany po takim czasie
Czas?
Mówiłem ci już raz, powiem ci jeszcze raz, chłopak nadal jest **mój, mój**

Tak, powiedział, że chce ze mną planować, ale nie wpieprzam się w sprawy, widzisz (wiem)
Ale posłuchaj, co mi mówią, **jeśli coś nie jest zepsute, to nie da się tego zepsuć**
(Bądź złamany)
No cóż, niech lepiej uporządkuje swoje sprawy, bo nigdy nie będę niczyją kochanką (Wiem, wiem, wiem)
Moje, moje, moje
Ale nie mogę zignorować swojego serca, chłopcze

Chłopiec jest mój (Mój)
Nie mogę się doczekać, żeby go spróbować (O tak, nie mogę się doczekać, żeby go wypróbować, ooh)
Le-połączmy się (połączmy się)
Gwiazdy, wyrównały się
Chłopiec jest mój (Mój)
Patrz, jak nie spieszę się
Nie mogę uwierzyć swojemu rozumowi
Chłopiec jest boski (Och, och)
Chłopiec jest mój (Mój, mój)
Nie mogę się doczekać, żeby go spróbować (Nie mogę się doczekać, żeby spróbować)
Le-połączmy się
Gwiazdy, one wyrównane (Gwiazdy)
Chłopiec jest mój (Och, woah, och)
Patrz, jak nie spieszę się (Och, patrz, jak nie spieszę się)
Nie mogę uwierzyć swojemu rozumowi (Woah, nie mogę uwierzyć swojemu rozumowi, nie)
Chłopak jest boski
Chłopiec jest mój","rnb, 90s, pop, soul, female vocalists"
2,3,"""You're Still the One""",Shania Twain,"44 ContributorsTranslationsBahasa IndonesiaDeutschYou’re Still The One LyricsThis song stemmed off from over 3 years of press speculation that Shania was using her husband Mutt Lange solely for her career and that their marriage wouldn’t last beyond that point. Both of them wound up… Read More 
When I first saw you, I saw love
And the first time you touched me, I felt love
And after all this time
You're still the one I love
Mmm, yeah

Looks like we made it
Look how far we've come, my baby
We mighta took the long way
We knew we'd get there someday

They said, ""I bet they'll never make it""
But just look at us holdin' on
We're still together, still goin' strong

(You're still the one) You're still the one I run to
The one that I belong to
You're still the one I want for life
(You're still the one) You're still the one that I love
The only one I dream of
You're still the one I kiss goodnight

Ain't nothin' better
We beat the odds together
I'm glad we didn't listen
Look at what we would be missin'

They said, ""I bet they'll never make it""
But just look at us holdin' on
We're still together, still goin' strong

(You're still the one) You're still the one I run to
The one that I belong to
You're still the one I want for life
(You're still the one) You're still the one that I love
The only one I dream of
You're still the one I kiss goodnight
You're still the one

(Ooh, ooh, ooh)
Yeah

(You're still the one) You're still the one I run to
The one that I belong to
You're still the one I want for life, oh, yeah
(You're still the one) You're still the one that I love
The only one I dream of
You're still the one I kiss goodnight

I'm so glad we made it
Look how far we've come, my baby","country, pop, female vocalists, Canadian, Shania Twain"
3,4,"""Truly Madly Deeply""",Savage Garden,"30 ContributorsTruly Madly Deeply LyricsAustralian pop duo Savage Garden released a string of smash hits in the late ‘90s, but 1997’s “Truly Madly Deeply” became their signature song. Vocalist Darren Hayes reflected on the song saying:
I remember… Read More 
I'll be your dream, I'll be your wish, I'll be your fantasy
I'll be your hope, I'll be your love, be everything that you need
I'll love you more with every breath, truly, madly, deeply do
I will be strong, I will be faithful 'cause I'm counting on...

A new beginnin', a reason for livin'
A deeper meanin', yeah

Well, I wanna stand with you on a mountain
I wanna bathe with you in the sea
I wanna lay like this forever
Until the sky falls down on me

And when the stars are shining brightly in the velvet sky
I'll make a wish, send it to heaven then make you want to cry
The tears of joy for all the pleasure and the certainty
That we're surrounded by the comfort and protection of...

The highest powers in lonely hours (Lonely hours)
The tears devour you

Well, I wanna stand with you on a mountain
I wanna bathe with you in the sea
I wanna lay like this forever
Until the sky falls down on me

Oh, can you see it, baby?
You don't have to close your eyes
'Cause it's standing right before you
All that you need will surely come
Hoo, hoo, yeah, yeah

I'll be your dream, I'll be your wish, I'll be your fantasy
I'll be your hope, I'll be your love, be everything that you need
I'll love you more with every breath, truly, madly, deeply do (I love you)
Mmm, mmm

I wanna stand with you on a mountain
I wanna bathe with you in the sea
I wanna lay like this forever
Until the sky falls down on me
Well, I wanna stand with you on a mountain
I wanna bathe with you in the sea
Well, I want to live like this forever
Until the sky falls down on me

Ooh-ooh
Ooh, yeah
Oh, oh
La-da-da-da-da-da, la-la-la-la
La-da-da-da-da-da, la-la-la
Ooh-ooh","pop, 90s, australian, rock, alternative"
4,5,"""How Do I Live""",LeAnn Rimes,"18 ContributorsHow Do I Live Lyrics
How do I get through one night without you?
If I had to live without you
What kind of life would that be?
Oh, I, I need you in my arms, need you to hold
You're my world, my heart, my soul

And if you ever leave
Baby, you would take away everything good in my life
And tell me now

How do I live without you? I want to know
How do I breathe without you if you ever go?
How do I ever, ever survive?
How do I, how do I, oh, how do I live?

Without you, there'd be no sun in my sky
There would be no love in my life
There'd be no world left for me
And I, baby, I don't know what I would do
I'd be lost if I lost you

If you ever leave
Baby, you would take away everything real in my life
And tell me now

How do I live without you? I want to know
How do I breathe without you if you ever go?
How do I ever, ever survive?
How do I, how do I, oh, how do I live?

Please, tell me, baby
How do I go on if you ever leave?
Baby, you would take away everything, I need you with me
Baby, don't you know that you're everything good in my life?
And tell me now

How do I live without you? I want to know
How do I breathe without you if you ever go
How do I ever, ever survive?
How do I, how do I, oh, how do I live?
How do I live without you?
How do I live without you, baby?
How do I live?","country, pop, female vocalists, singer-songwriter, female"
5,6,"""Together Again""",Janet,"31 ContributorsTogether Again LyricsJackson wrote “Together Again” with the R&B songwriting/production team Jimmy Jam and Terry Lewis and her then-husband Rene Elizondo Jr. Elizondo also directed one of the music videos for the song, which… Read More 
There are times when I look above and beyond
There are times when I feel your love around me, baby
I'll never forget my baby
I'll never forget you

There are times when I look above and beyond
There are times when I feel your love around me, baby
I'll never forget my baby
When I feel that I don't belong
Draw my strength from the words when you said
Hey, it's about you, baby
Look deeper inside you, baby

Dream about us together again
What I want: us together again, baby
I know we'll be together again, 'cause

Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me

(Together again, ooh)
Good times we'll share again
(Together again, ooh)
Makes me wanna dance
(Together again, ooh)
Say it loud and proud
(Together again, ooh)
All my love's for you

Always been a true angel to me, now above
I can't wait for you to wrap your wings around me, baby
(Wrap them around me, baby)
Ooh, wrap them around me, baby
(Wrap them around me, baby)
Sometimes hear you whisperin' ""No more pain""
No worries will you ever see now, baby
(Ever see you, baby)
I'm so happy for my baby
(Happy for you, baby)

Dream about us together again
What I want: us together again, baby
I know we'll be together again, 'cause

Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me

(Together again, ooh)
Good times we'll share again
(Together again, ooh)
It makes me wanna dance
(Together again, ooh)
Say it loud and proud
(Together again, ooh)
All my love's for you

There are times when I look above and beyond
There are times when I feel you smile upon me, baby
I'll never forget my baby
What I'd give just to hold you close as on earth
In heaven, we will be together, baby
(Together)
Together again, my baby
(Together again, my baby)

Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me
Everywhere I go, every smile I see
I know you are there smilin' back at me
Dancin' in moonlight, I know you are free
'Cause I can see your star shinin' down on me","swedish, pop, dance, spoken word, american"
6,7,"""All My Life""",K-Ci & JoJo,"37 ContributorsAll My Life Lyrics
Baby baby, baby baby
Baby baby, baby baby
Baby baby, baby baby
Ooh, I'm so glad

I will never find another lover
Sweeter than you, sweeter than you
And I will never find another lover
More precious than you, more precious than you
(Girl you are) Close to me you're like my mother
Close to me, you're like my father
Close to me, you're like my sister
Close to me, you're like my brother
You are the only one, my everything
And for you this song I sing

And all my life
I prayed for someone like you
And I thank God
That I, that I finally found you
'Cause all my life, I prayed for someone like you
And I hope that you feel the same way too
And I hope that you do love me too

I said you're all that I'm thinkin' of (La-la-la-la-la, la-la-la-la-la)
Baby (La-la-la-la-la, la-la-la-la-la)
Said I promise to never fall in love, with a stranger
You're all I'm thinking of
I praise the Lord above
For sending me your love, I cherish every hug
And I really love you

And all my life
I prayed for someone like you
And I thank God
That I, that I finally found you
'Cause all my life, I prayed for someone like you
And I hope that you do love me too
And I hope that you feel the same way too

You're all that I ever known
When you smile, on my face, all I see is a glow
You turned my life around
You picked me up when I was down
You're all that I ever known when you smile my face glows
You picked me up when I was down
You're all that I ever known when you smile my face glows
You picked me up when I was down

And I hope that you feel the same way too
Yes, I pray that you do love me too

And all my life
I prayed for someone like you
And I thank God
That I, that I finally found you
'Cause all my life, I prayed for someone like you
And I hope that you do love me too
And I hope that you feel the same way too
And all my life
I prayed for someone like you
And I thank God
That I, that I finally found you
'Cause all my life, I prayed for someone like you
And I hope that you do love me too
And I hope that you feel the same way too
And all my life
I prayed for someone like you
And I thank God
That I, that I finally found you
'Cause all my life, I prayed for someone like you
And I hope that you do love me too
And I hope that you feel the same way too","rnb, soul, 90s, rhythm and blues, pop"
7,8,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",Elton John,,"pop, classic rock, singer-songwriter, rock, piano"
8,9,"""Nice & Slow""",Usher,"35 ContributorsTranslationsDeutschNice & Slow Lyrics
What you doing? Really?
You know I'm coming over, right?
(Now, baby, tell what you wanna do with me?)
Now, you got it hot for me already, baby?
Okay
Be there in about...
Uh, give me ten minutes
Be ready
Hey, wear that little thing I like, yeah
(Now, baby, tell what you wanna do with me?)

It's seven o'clock on the dot
I'm in my drop top, cruising the streets, ah yeah
I got a real pretty, pretty little thing that's waiting for me
I pull up, anticipating
Good love, don't keep me waiting
I got plans to put my hands in places
I never seen, girl, you know what I mean

Let me take you to a place nice and quiet
There ain't no one there to interrupt, ain't gotta rush
I just wanna take it nice and slow
(Now, baby, tell me what you wanna do with me?)
See, I've been waiting for this for so long
We'll be making love until the sun comes up, baby
I just wanna take it nice and slow
(Now, baby, tell me what you wanna do with me?)

Now here we are, driving round town
Contemplating where I'm gonna lay you down
Girl, you got me saying, ""My, my, my (My)
I wish that I (I) could pull over
And get this thing started right now""
I wanna do something freaky to you, baby
I don't think they heard me
I, I wanna do something freaky to you, baby
So call out my name

They call me U-S, H-E-R, R-A, Y-M, O-N-D
Now, baby, tell me what you wanna do with me?
Got a nigga feenin' like Jodeci
Every time that you roll with me, holding me
Trying to get control of me, nice and slowly
You know, never letting go, never messing up the flow
This is how the hook go, come on

Let me take you to a place nice and quiet
There ain't no one there to interrupt, ain't gotta rush
I just wanna take it nice and slow
(Now, baby, tell me what you wanna do with me?)
See, I've been waiting for this for so long
We'll be making love until the sun comes up, baby
I just wanna take it nice and slow
(Now, baby, tell me what you wanna do with me?)

Now tell me, do you wanna get freaky?
'Cause I'll freak you right, I will
I'll freak you right, I will
I'll freak you like no one has ever, ever made you feel
I'll freak you right, I will
I'll freak you right, I will
I'll freak you, freak you like no one has ever made you feel, yeah

Now, baby, tell me what you wanna do with me?
Now, baby, tell me what you wanna do with me?","rnb, Hip-Hop, pop, soul, rap"
9,10,"""I Don't Want to Wait""",Paula Cole,"29 ContributorsI Don’t Want to Wait Lyrics“I Don’t Want to Wait” is a song by singer-songwriter Paula Cole. It was the second single from her sophomore album ‘This Fire’ released in 1996.
It is most commonly known as the theme song for the TV Teen… Read More 
So open up your morning light
And say a little prayer for I
You know that if we are to stay alive
Then see the peace in every eye

Doo doo doo doooo
Doo doo doo doooo
Doo doo doo doo doooo
Doo doo doo doooo
Doo doo doo doooo
Doo doo doo doo doooo

She had two babies, one was six months, one was three
In the war of '44
Every telephone ring, every heartbeat stinging
When she thought it was God calling her
Oh, would her son grow to know his father?

I don't wanna wait for our lives to be over
I want to know right now, what will it be?
I don't wanna wait for our lives to be over
Will it be yes or will it be... sorry?

Doo doo doo doooo
Doo doo doo doooo
Doo doo doo doo doooo

He showed up all wet on the rainy front step
Wearing shrapnel in his skin
And the war he saw lives inside him still
It's so hard to be gentle and warm
The years pass by and now he has granddaughters

I don't wanna wait for our lives to be over
I want to know right now, what will it be?
I don't wanna wait for our lives to be over
Will it be yes or will it be?

Ohhh, so look at me from across the room
You're wearing your anguish again
Believe me, I know the feeling
It sucks you into the jaws of anger
Ohh, so breathe a little more deeply
All we have is this very moment
And I don't wanna do what his father
And his father, and his father did
I wanna be here now

So open up your morning light
And say a little prayer for I
You know that if we are to stay alive
Then see the peace in every eye

I don't wanna wait for our lives to be over
I want to know right now, what will it be?
I don't wanna wait for our lives to be over
Will it be yes or will it be?
I don't wanna wait for our lives to be over
I want to know right now, what will it be?
I don't wanna wait for our lives to be over
Will it be yes or will it be sorry

Doo doo doo doooo
Doo doo doo doooo
Doo doo doo doo doooo
Doo doo doo doooo
Doo doo doo doooo
Doo doo doo doo doooo

So open up your morning light
And say a little prayer for I
You know that if we are to stay alive
Then see the love in every eye","female vocalists, singer-songwriter, pop, alternative, rock"
