Unnamed: 0,№,Title,Artist(s),lyrics,genres
25,26,"""Don't Let the Sun Go Down on Me""",George Michael and Elton John,"23 ContributorsDon’t Let the Sun Go Down on Me Lyrics“Don’t Let the Sun Go Down on Me” is a song originally written by Elton John and lyricist Bernie Taupin in 1974. Peaking in the US at #2 on the Billboard Hot 100, it featured on his album Caribou.
Since its… Read More 
I can't light no more of your darkness
All my pictures seem to fade to black and white
I'm growin' tired, and time stands still before me
Frozen here on the ladder of my life

It's much too late to save myself from fallin'
I took a chance and changed your way of life
But you misread my meanin' when I met you
Closed the door and left me blinded by the light

Don't let the sun go down on me, yeah
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free, oh
But losin' everything is like the sun goin' down on me
Ladies and gentlemen, Mr. Elton John

I can't find, oh, the right romantic line
But see me once and see the way I feel
Don't discard me (Baby, no)
Just because you think I mean you harm
(Just because you think I mean you harm, no)
But these cuts I have (Cuts I have)
They need love (They need love, they need love)
To help them heal, oh

Don't let the sun go down on me
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free, oh
'Cause losin' everything is like the sun goin' down on me

Don't let the sun go down on me
Although I search myself, it's always someone else that I see, yeah
I'd just allow a fragment of your life to wander free, baby, oh
'Cause losin' everything is like the sun goin' down on me

Mr. Elton John","pop, british, George Michael and Elton John, duets, duet"
26,27,"""Masterpiece""",Atlantic Starr,"11 ContributorsMasterpiece Lyrics“Masterpiece” peaked at #3 on the Billboard Hot 100 in 1992. The song also charted on Billboard’s Adult Contemporary and R&B charts.
A simple touch of your hand
And everything is right
The gentle way you look at me
When we kiss goodnight
You've given me the freedom
No other love has known
And now, I thank you, girl (Thank you, girl)
Thank you, girl (Thank you, girl)

The countless ways
You've touched my heart
Is more than I can say (More than I can say)
The beauty that you've shown to me
Takes my breath away (Takes my breath away)
A picture perfect painting
That's what our love is
And, yes I need you so (Need you so)
And now I know (Ooh, ooh)

I've found a masterpiece in you
A work of art, it's true
And I treasure you, my love (Ooh, ooh)
I've found a masterpiece in you
A work of art, it's true
And I treasure you

Sometimes I wonder
What I'd be had I not found you
A lost and lonely soul
This world could show me nothing new
But now my life's a canvas
Painted with your love
And it will always be (Always be)
And now, I see (Ah)

The gentle walks together
Through time we'll never part (Time we'll never part)
This fairytale we shared
Is real inside our hearts (Real inside)
Let it be forever
Never let it end
This promise I can make
Heaven is ours to take (Ooh, ooh)

And I've found a masterpiece in you
A work of art, it's true
And I treasure you, my love (Ooh, ooh)
I've found a masterpiece in you
A work of art, it's true
And I treasure you

When I'm lost and insecure (Ah)
You build me up and make me sure (Ah)
Everything will turn out right
My love, oh, oh (Ooh, ooh)

And I've found a masterpiece in you
A work of art, it's true
And I treasure you, my love (Ooh, ooh)
I've found a masterpiece in you
A work of art, it's true
And I treasure you
And I've found a masterpiece in you
(This fairytale we're sharing is real inside our hearts)
A work of art, it's true (It's this true)
Yeah, you, girl (Ooh, ooh)
I've found a masterpiece in you
(Let it be forever, never let it end)
A work of art, it's true (No, no, please, never let it end)
And I treasure you (Let's keep it together)
And I've found a masterpiece in you (Making love)
A work of art, it's true (I know we can do it if we try; Ooh, ooh)
I've found a masterpiece in you (It's so long to work it out)
A work of art, it's true (And now, I need your love, girl)
You're my treasure, you, baby

I've found a masterpiece in you
A work of art, it's true
You're my treasure, you","soul, rnb, 80s, funk, quiet storm"
27,28,"""If You Asked Me To""",Celine Dion,"17 ContributorsIf You Asked Me To Lyrics
Used to be that I believed in something
Used to be that I believed in love
It's been a long time since I've had that feeling
I could love someone, I could trust someone
I said I'd never let nobody near my heart again, darlin'
I said I'd never let nobody in

But if you asked me to
I just might change my mind
And let you in my life forever
If you asked me to
I just might give my heart
And stay here in your arms forever
If you asked me to
If you asked me to

Somehow ever since I've been around you
Can't go back to being on my own
Can't help feeling, darlin', since I've found you
That I've found my home, that I'm finally home
I said I'd never let nobody get too close to me, darlin'
I said I needed, needed to be free

But if you asked me to
I just might change my mind
And let you in my life forever
If you asked me to
I just might give my heart
And stay here in your arms forever
If you asked me to
If you

Asked me to, I will give my world to you, baby
I need you now (I need you now)
Asked me to, and I'll do anything (Anything)
For you, baby
For you, baby

(If you asked me to)
I'd let you in my life forever
(If you asked me to)
All you gotta do is ask me to
All you gotta do, all you gotta do
All you gotta do is ask me to
(If you asked me to)
I will give you my world
I will give you my world
Everything, everything, baby
(If you asked me to)
I couldn't ask what you do to me
If you asked me to
(If you asked me to)","pop, female vocalists, Canadian, 90s, french"
28,29,"""Giving Him Something He Can Feel""",En Vogue,"13 ContributorsGiving Him Something He Can Feel Lyrics“Giving Him Something He Can Feel” is the second single from Funky Divas. The song is a cover of  “Something He Can Feel” by Aretha Franklin. The single was a hit, peaking at number six on the Billboard Hot… Read More 
Shoo (Shoo-doo-doo-doo-doo-ah)
Shoo-doo (Shoo-doo-doo-doo-doo)
Shoo (Oh, oh, oh)
Shoo-doo (Hey)

Many say that I'm too young
To let you know just where I'm coming from, yeah
But you will see, it's just a matter of time
My love will surely make you mine

Well, I'm livin' in a world of ghetto life
Everyone seems so uptight
But nothing's wrong and that's alright with my man (My man)
I like the way we carry on
His loving ways send me on and on with my man
People out there can understand

I'm giving him something he can feel (Ooh)
To let him know this love is real (Hey, oh, I'm...)
Giving him something he can feel (All my lovin')
To let him know this love is real (Oh, my love is real)
This love is real

So much joy for us, it seems
So much hope for material things
Huh, are they only in my dreams?
(Hey, hey, oh yeah, ooh)
And that's exactly why I'm singing this song to you
To let you know that real dreams do come true
You tell me what does it mean
(Hey, hey, yeah, yeah)

Livin' in a world of ghetto life
Everyone is so uptight, hey
Nothing's wrong, it's alright (Alright), my man (My man)
I like the way we carry on
His loving ways send me on and on with my man
People out there can you understand that I'm...

I'm giving him something he can feel (Ooh-hoo, babe, oh-ho)
To let him know this love is real
(That I'm giving love, giving, giving love, yeah)
Giving him something he can feel
(Na-na, na-na, yeah-yeah, talk to me)
To let him know this love is real
(I gotta let him know that this love's strong, yeah)
This love is real

Giving him something he can feel
(Giving, I'm giving, I'm giving, I'm giving love)
Giving him something he can feel
(I'm giving, I'm giving, I'm giving, I'm giving love)
Giving him something he can feel
(Ooh, so sweet to me, so sweet to me, baby, yeah)
Giving him something he can feel
(Oh baby, woo)","rnb, soul, 90s, female vocalists, pop"
29,30,"""Live and Learn""",Joe Public,"11 ContributorsLive and Learn Lyrics“Live and Learn” is the second single off of Joe Public’s first album, Joe Public, and the group’s biggest hit.
The new jack swing trio samples Sly & the Family Stone’s “Sing a Simple Song,” “The Grunt” by… Read More 
You've got to live and learn
You've got to live and learn
Before your bridges burn
You've got to live and learn

Here's a little story about life
Everybody that lives surely dies
A lot of people ask the questions why
Some people have to go through so much more
Before they really learn about life's score
The subject is not to be ignored (Kick it to 'em, Joe)

I don't wanna be the one
To tell you how it's gotta be
Livin' is the only way
You're ever really gonna see

You've got to live and learn
You've got to live and learn
Before your bridges burn
You've got to live and learn

Ah, yeah
Y'all, check it
Kick this one for the Public
Now break it down

There's so much wrong and negativity
Enough for the whole world to see
I know there's still a possibility
You raise a little kid, he turns out bold
It may be from the way you treat him cold
I guess that's how the story's told (Tell 'em what it is)

I don't wanna be the one
To tell you how it's gotta be
Livin' is the only way
You're ever really gonna

You've got to live and learn
You've got to live and learn
Before your bridges burn
You've got to live and learn

You've got to live and learn
(I don't wanna be the one)
You've got to live and learn
(To tell you how it's gotta be)
Before your bridges burn
(Livin' is the only way)
You've got to live and learn
(That you're ever gonna see)

(Large) If large is how ya livin'
Why you're livin' large, are you takin' what is given
To you, in the form of true experience
'Cause if you're not your whole life could be spent
Doin' time for a crime you say you didn't even do
The only fool that you're foolin' is the fool that is you
Didn't even turn around to check and see if your bridge is burnin'
I guess it's true what they say that without livin' there's no learnin'
And this is from the J, the O, and the E
Mary, Mary, Mary, it's quite contrary
Yo', how did you earn your dough
You didn't finish school, you ain't got no job
But to the human eye it's pretty simple
You're always talkin' about what you want is respect
But never thinkin' about the little boy you neglect
Spendin' his formative years in a livin' hell
Not realizin' one day he'd end up in jail
Now on the other hand
There's Dan my man
Who planned a scam and I'll be damned
It was the ultimate flim flam
He was sayin' that it was easy as pie
But little did Dan know he was about to die

You've got to live and learn
(I don't wanna be the one)
You've got to live and learn
(To tell you how it's gotta be)
Before your bridges burn
(Livin' is the only way)
You've got to live and learn
(That you're ever gonna see)
You've got to live and learn
(I don't wanna be the one)
You've got to live and learn
(To tell you how it's gotta be)
Before your bridges burn
(Livin' is the only way)
You've got to live and learn
(That you're ever gonna see)
You've got to live and learn
(I don't wanna be the one)
You've got to live and learn
(To tell you how it's gotta be)
Before your bridges burn
(Livin' is the only way)
You've got to live and learn
(That you're ever gonna see)","90s, rnb, hip hop, urban, new jack swing"
30,31,"""Come and Talk to Me""",Jodeci,"17 ContributorsCome & Talk to Me Lyrics“Come and Talk to Me” peaked at #11 on the Billboard Hot 100 and topped Billboard’s R&B chart for 2 weeks in 1992.
Been watching you, baby, for a long time
You look so good, got my eyes on you

I've been watching you for so very long
Trying to get my nerve built up to be so strong
I really want to meet you but I'm kind of scared
'Cause you're the kind of lady with so much class
Get my thoughts together for the very next day
But when I see you, lady, I forget what to say
Your eyes and hair, such a beautiful tone
The way you dress and walk, it really turns me on
Ooh, you really turn me on
Come on, come on, come on

Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you
Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you

There you are again, with the same smile each day
I wanna know what it is that makes me feel this way
I wish I could grab you, tell you what it means to me
To see you walking by my way, it really makes my day
Before I go to sleep and dream about you
I'm a single man, I hope that you are single too
So why do I seek something to set my mind free?
'Cause curiosity is bugging the hell outta me, baby
Talk to me, talk to me, talk to me, baby

Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you
Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you

I wanna know, you wanna tell me your name?
Let me play your game
I wanna know, you wanna tell me your name?
Let me play your game
I wanna know, you wanna tell me your name?
Let me play your game

Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you
Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you
Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you
Come and talk to me, I really want to meet you
Can I talk to you? I really want to know you

I wanna know, you wanna tell me your name?
Let me play your game
I wanna know, you wanna tell me your name?
Let me play your game
I wanna know, you wanna tell me your name?
Let me play your game
I wanna know, you wanna tell me your name?
Let me play your game","rnb, soul, 90s, new jack swing, rhythm and blues"
31,32,"""Smells Like Teen Spirit""",Nirvana,"334 ContributorsTranslationsРусский (Russian)TürkçeEspañolEnglishItalianoעברית (Hebrew)FrançaisDeutschČeskySvenskaPolskiМакедонскиSmells Like Teen Spirit LyricsConsidered by many to be the ultimate grunge anthem, “Smells Like Teen Spirit” was the lead single for Nirvana’s second studio album and major label debut, September 1991’s Nevermind. The song’s success and… Read More 
Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay

I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay


And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial","Grunge, rock, alternative rock, alternative, 90s"
32,33,"""Humpin' Around""",Bobby Brown,"15 ContributorsHumpin’ Around Lyrics“Humpin' Around” peaked at #3 on the Billboard Hot 100 and topped Billboard’s R&B chart for 2 weeks in September of 1992.
Come on, damn
Come on, kick it
Come on, damn
Come on, kick it
Now back to the B-B-Brown
Back to the B-B-Brown
Uh, ow
Come on, everybody, let's go
Bounce, bounce, bounce, bounce, bounce, bounce

When you trust someone
And you know you're on their back
You ain't got no trustin' about you
And you claim that you
Don't care what where I'm at
You've given me reason to doubt you

Say you trust someone
Why are you calling all around
Think I've got some dip on the side
Girl, you don't trust no one
And you're constantly in doubt
You lose the game if you play that way

Get up off my back (Get off)
Save your heart attack (Yeah, baby)
Ain't nobody humpin' around (Ain't nobody humpin' around)
No matter what they say
No, it ain't that way
Ain't nobody humpin' around

Come on
Dance
Flip it back

When you love someone
And you wanna love them right
Got to get more lovin' about you
And you know that you're holding on too tight
Soon they will be leaving without you

Say that you love someone
Why you calling all my friends
Thinking I've got something to hide
Girl, you don't love no one
You don't know what love's about
You lose the game if you, if you play that way, yeah

Get up off my back
Save your heart attack (Uh)
Ain't nobody humpin' around (Ain't nobody humpin' around)
No matter what they say (No)
No, it ain't that way
Ain't nobody humpin' around
Get up off my back
Save your heart attack
Ain't nobody humpin' around
No matter what they say
No, it ain't that way
Ain't nobody humpin' around

Girl, when you trust someone
You don't call on everybody
Ain't nobody foolin' around
And the more I think about it
You lose all your clout and
You lose the game, baby, if you play that way, yeah
Back to the B-B-Brown
(I think I wanna dance)
Back to the B-B-Brown
Back to the B-B-Brown

When you love someone
And you wanna love them right
Got to get more lovin' about you
When you know that you're holding on too tight
Soon they will be leaving without you

Say that you love someone
Why you calling all my friends
Thinking I've got something to hide
Girl, you don't love no one
You don't know what love's about
You lose the game if you, if you play that way, yeah

Get up off my back
Save your heart attack
Ain't nobody humpin' around
No matter what they say
No, it ain't that way
Ain't nobody humpin' around
Get up off my back
Save your heart attack
Ain't nobody humpin' around
No matter what they say
No, it ain't that way
Ain't nobody humpin' around
(STOP!)

My name is Brown, that's what I'm called, so
Don't try to step to be wrong or you'll fall slow
'Cause I just wanna kick soul to ya
Maybe, baby, take control of ya just like I told ya
I wanna roll
On the tip that's smooth and
Gonna make ya move and groove and
Leaves ya like ""ooh"" when I touch ya
Give ya so much of
The feeling of the deck that I'm dealin'
When I rub ya up and down
Yo Stylz, kick it

Well, I know it's been a while
Since you heard a change in a style
So what I'm gonna do is kick in something fly and new
A change, this one from the typical
A bit more than regular, I'm not like the others, original
'Cause originality and creativity
Added up together equals the BBB Posse
Yeah, we in the house, yo, kick it

Get up off my back (Come on)
Save your heart attack (Come on)
Ain't nobody humpin' around
(Throw your hands in the air, come on, come on)
No matter what they say
No, it ain't that way
(I can make you bounce)
Ain't nobody humpin' around

Girl, you said you love me
And you said you trust me
Why you think I'm foolin' around?
I can't stand the pressure
You know I'm yours forever
Ain't nobody, nobody, nobody humpin' around, baby

Get up off my back (Uh)
Save your heart attack (Ow)
Ain't nobody humpin' around
(Come on, everybody, let's go)
No matter what they say
(Bounce, bounce)
No, it ain't that way
(Bounce, bounce)
Ain't nobody humpin' around
(Bounce, bounce, throw your hands in the air, come on)
Get up off my back (Come on)
Save your heart attack (Come on)
Ain't nobody humpin' around
(Throw your hands in the air, come on, come on)
No matter what they say
No, it ain't that way
Ain't nobody humpin' around","rnb, new jack swing, 80s, soul, pop"
33,34,"""Damn I Wish I Was Your Lover""",Sophie B. Hawkins,"29 ContributorsDamn I Wish I Was Your Lover LyricsThe debut single from Sophie B. Hawkins, “Damn I Wish I Was Your Lover” is a ’90s pop-rock anthem with a pretty self-explanatory title.
In the song, Hawkins pines for another person who’s trapped in an… Read More 
That old dog has chained you up all right
Give you everything you need
To live inside a twisted cage
Sleep beside an empty rage
I had a dream I was your hero

Damn I wish I was your lover
I'd rock you till the daylight comes
Make sure you are smiling and warm
I am everything
Tonight I'll be your mother
I'll do such things to ease your pain
Free your mind and you won't feel ashamed
Ohhhh
Ohhhh

This monkey can't stand to see you black and blue
I give you something sweet each time you
Come inside my jungle book
What is it just too good
Don't say you'll stay
'Cause then you go away

Damn I wish I was your lover
I'll rock you till the daylight comes
Make sure you are smiling and warm
I am everything
Tonight I'll be your mother
I'll do such things to ease your pain
Free your mind and you won't feel ashamed
Shucks
For me there is no other
You're the only shoe that fits
I can't imagine I'll grow out of it
Damn I wish I was your lover

If I was your girl believe me
I'd turn on the Rolling Stones
We could groove along and feel much better
Let me in
I could do it forever and ever and ever and ever
Give me an hour to kiss you
Walk through heaven's door I'm sure
We don't need no doctor to feel much better
Let me in
Forever and ever and ever and ever

I sat on the mountainside with peace of mind
I lay by the ocean making love to her with visions clear
Walked for days with no one near
And I return as chained and bound to you

Damn I wish I was your lover
I'll rock you till the daylight comes
Make sure you are smiling and warm
I am everything
Tonight I'll be your mother
I'll do such things to ease your pain
Free your mind and you won't feel ashamed
Shucks
For me there is no other
You're the only shoe that fits
I can't imagine I'll grow out of it
Damn I wish I was your lover

Open up, I wanna gonna come inside
I wanna fill you up, I wanna make you cry
Damn I wish I was your lover
Gettin' on a subway
And I'm comin' uptown
Damn I wish I was your lover
Standin' on a street corner
Waitin' for my luck to change
Damn I wish I was your lover
Feelin' like a schoolboy
Too shy and too young, ohh
Damn I wish I was your lover
Open up, I wanna gonna come inside
I wanna fill you up, I wanna make you cry
Damn I wish I was your lover
Gettin' on my camel
Gonna ride it uptown, oooh
Damn I wish I was your lover
Hangin' around this jungle","female vocalists, pop, singer-songwriter, 90s, alternative"
34,35,"""Tell Me What You Want Me to Do""",Tevin Campbell,"10 ContributorsTell Me What You Want Me to Do LyricsTell Me What You Want Me to Do is Tevin’s biggest pop hit to date, peaking at #6 on the Billboard Hot 100 and topped Billboard’s R&B Singles chart for a week in January of 1991.
Music Video
I love you, girl

You called me up
And I came to see you
You say you've been awake all night
It hurts me deep inside
When I see you crying
Whatever's wrong
I'll make it right

If you understand how I feel
You should know that my love is real

Tell me what you want me to do
My love is always here for you
Tell me what you want me to do
My love is always here for you
So tell me what you want me to do
Tell me, girl

There were times when I didn't show it
Just how much I care for you
I'm so sorry
Now don't keep saying it's too late
To think it's over, baby
After all that we've been through

Girl, I'm begging you
I'm down on my knees
Don't walk away, baby
Please don't leave me now

Tell me what you want me to do
My love is always here for you
Tell me what you want me to do
My love is always here for you
So tell me what you want me to do

Oh baby, yeah
Girl, I know that we can work it out somehow
Isn't that what love is all about
I'm gonna be by your side
We're gonna see it through this time
I won't let you slip away
Say you'll stay with me
(Stay with me, girl)
'Cause you're the finest girl
That I've ever seen

Tell me
Tell me what you want me to do, baby
My love is always here for you and only you
Tell me what you want me to do
My love is always here for you
So tell me what you want me to do

So tell me what you want me to do","rnb, 90s, soul, male vocalists, urban"
35,36,"""Ain't 2 Proud 2 Beg""",TLC,"36 ContributorsAin’t 2 Proud 2 Beg Lyrics“Ain’t 2 Proud 2 Beg” was the first single released by TLC off their debut album, Ooooooohhh… On the TLC Tip through LaFace Records. While the song promoted the idea of sexually confident women, it also took… Read More 
Yo, mic check, one-two, one-two
We in the house
Yeah, come on
1992, TLC kickin' off in your mother— *bleep* (I ain't too proud to beg)
So ya best be duckin' fast (I ain't too proud to beg)
Yo, T-Boz, is ya being a boss? (I ain't too proud to beg)
Chilli, what's up wit' dat sauce? This is it
Yo, T, step on that (Shh)
(I ain't too proud, I ain't too proud to beg)

Thinkin' short of what you got
Better get it while it's hot
Ain't no better love than your own
Unmistakin' urge to be
Sexin' with society
How can you be happy alone? Hey, hey

I need to feel loved
Why wait for so long?
'Cause I ain't too proud to beg
For something that I call my own
And I want to be touched
And feeling so much, see, 'cause
Everybody needs some good lovin'

Yo, if I need it in the morning or the middle of the night
(I ain't too proud to beg, no)
If the lovin' is strong then he got it goin' on and...
(I ain't too proud to beg, no)
Two inches or a yard, rock hard or if it's saggin'
(I ain't too proud to beg, no)
So it ain't like I'm braggin', just join the paddywagon, 'cause
(I ain't too proud to beg, I ain't too proud to beg)

Screamin' loud and holdin' sheets
Scared that you'll be called a freak
Gotta let it go while you can
Ain't too proud to beg, you see
'Cause my man belongs to me
And I know that he understands

I need to feel loved (I need to feel loved)
Why wait for so long?
'Cause I ain't too proud to beg
For something that I call my own
And I want to be touched (Wanna be touched)
And feeling so much, see, 'cause
Everybody needs some good lovin'

Yo, if I need it in the morning or the middle of the night
(I ain't too proud to beg, no)
If the lovin' is strong then he got it goin' on and...
(I ain't too proud to beg, no)
Two inches or a yard, rock hard or if it's saggin'
(I ain't too proud to beg, no)
So it ain't like I'm braggin', just join the paddywagon, 'cause
I ain't too proud to beg, I ain't too proud to beg
Yo, if I need it in the morning or the middle of the night
(I ain't too proud to beg, no)
If the lovin' is strong then he got it goin' on and...
(I ain't too proud to beg, no)
Two inches or a yard, rock hard or if it's saggin'
(I ain't too proud to beg, no)
So it ain't like I'm braggin', everybody join the paddywagon, 'cause
(I ain't too proud to beg, I ain't too proud to beg)

Yo, Left Eye, kick that shit

Realize the realism of reality treats us both the same
'Cause satisfaction is the name of this game
So I choose to explain, it's evident
Left Eye don't mean the rest of my body is irrelevant
In other words, let's refresh your head
About pullin' down curtains and breakin' the waterbed
Yeah, I like it when you *kiss* both sets of lips
Ooooooohhh... On the TLC Tip

I ain't too proud to beg (I ain't too proud to beg)
What I call my own (I ain't too proud)
Just you and me (Uh)
Hey
I ain't too proud to beg, hey, hey, hey, hey, hey, hey
I ain't too proud, I ain't too proud, I ain't too proud to beg

I need to feel loved (I need to feel loved)
Why wait for so long? (Oh so long)
'Cause I ain't too proud to beg
For something that I call my own (Something, yeah)
And I want to be touched (Wanna be touched)
And feeling so much, see, 'cause (Feeling so so much)
Everybody needs some good lovin'
(Everybody need it, everybody need it, everybody need it, oh)

Yo, if I need it in the morning or the middle of the night
(I ain't too proud to beg, no)
If the lovin' is strong then he got it goin' on and...
(I ain't too proud to beg, no)
Two inches or a yard, rock hard or if it's saggin'
(I ain't too proud to beg, no)
So it ain't like I'm braggin', just join the paddywagon, 'cause
(I ain't too proud to beg, I ain't too proud to beg)
Yo, if I need it in the morning or the middle of the night
(I ain't too proud to beg, no)
If the lovin' is strong then he got it goin' on and...
(I ain't too proud to beg, no)
Two inches or a yard, rock hard or if it's saggin'
(I ain't too proud to beg, no)
So it ain't like I'm braggin', just join the paddywagon, 'cause
I ain't too proud to beg, I ain't too proud to beg
Yo, if I need it in the morning or the middle of the night
(I ain't too proud to beg, no)
And If the lovin' is strong then he got it goin' on and...
(I ain't too proud to beg, no)
Two inches or a yard, rock hard or if it's saggin'
(I ain't too proud to beg, no)
So it ain't like I'm braggin', just join the paddywagon, 'cause
I ain't too proud to beg, I ain't too proud to beg
If I need it in the morning or the middle of the night
(I ain't too proud to beg, no)
What I call my own
If the lovin' is strong then he got it goin' on and...
(I ain't too proud to beg, no)
Two inches or a yard, rock hard or if it's saggin'
(I ain't too proud to beg, no)
So it ain't like I'm braggin', just join the paddywagon, 'cause
(I ain't too proud to beg, I ain't too proud to beg)

I ain't too proud to beg (I ain't too proud to beg)
(I ain't too proud to beg, I ain't too proud to beg)
I ain't too proud to beg (I ain't too proud to beg)
I ain't too proud to beg (I ain't too proud to beg)
Said I ain't too proud to beg
I ain't too proud to beg (I ain't too proud to beg)
I ain't too proud to beg (I ain't too proud to beg)
I ain't too proud to beg (I ain't too proud to beg)
I ain't too proud to beg (I ain't too proud to beg)
(I ain't too proud to beg, I ain't too proud to beg)
I ain't too proud to beg (I ain't too proud to beg)
TLC isn't too proud to beg
(I ain't too proud to beg, no)","rnb, Hip-Hop, female vocalists, pop, soul"
36,37,"""It's So Hard to Say Goodbye to Yesterday""",Boyz II Men,"21 ContributorsIt’s So Hard to Say Goodbye to Yesterday Lyrics“It’s So Hard to Say Goodbye to Yesterday” is a cover of G.C. Cameron’s 1975 hit, and the second released single from Boyz II Men’s first album, Cooleyhighharmony.
The song alludes to Cooley High, a 1975… Read More 
How do I say goodbye
To what we had?
The good times that made us laugh
Outweigh the bad

I thought we'd get to see forever
But forever's gone away
It's so hard to say goodbye
To yesterday

I don't know where this road
Is going to lead
All I know is where we've been
And what we've been through, ooh

If we get to see tomorrow
I hope it's worth all the wait
It's so hard to say goodbye
To yesterday

And I'll take with me the memories
To be my sunshine after the rain
It's so hard to say goodbye
To yesterday
And I'll take with me the memories
To be my sunshine after the rain
It's so hard to say goodbye
To yesterday","rnb, soul, 90s, pop, r and b"
37,38,"""Move This""",Technotronic featuring Ya Kid K,"5 ContributorsMove This Lyrics
(Yo, come on move this!)
Shake that body
Shake that body
Shake that body
Shake that body

People don't you know?
Don't you know?
It's about time, can you hear the jam is pumpin'?
While you taste the piece of mind
Many different flavours
And the spice is strong
Get into the hot stuff
Let me pour a little some

Baby let me show you how to do this
You've gotta move this
You're doin' fine
There's nothin' to it
You gotta groove it
Come on and move this
Shake that body for

People don't you know?
Don't you know?
It's about time, can you hear the jam is pumpin'?
While you taste the piece of mind
Many different flavours
And the spice is strong
Get into the hot stuff
Let me pour a little some

Baby, let me show you how to do this
You've gotta move this
You're doin' fine
There's nothin' to it
You gotta groove it
Come on and move this

Shake that body for me
Shake that body for me
Shake that body

People don't you know, don't you know
It's about time
Can you hear the jam is pumpin'
While you taste the piece of mind
Can you feel the mellow crawling fast
Drum oh baby
Rhythms blast
Pump it pump it pump pump it up
Nuttin' can make this one stop


You've gotta move this
You've gotta move this
Oh yeah, you gotta move this
Groove this and move this on
Shake that body for
Baby, lemme show you how to
Do this
You gotta move this
Ya gotta move-move
Move this and groove this
Shake that body for me

Shake that body
Shake that body
Shake that body for me
Shake that body
Shake that body
Ohh shake that body
Shake that body for me
Shake it shake it

You gotta move this
Come on and move this
Move this
Move this
Move this
You gotta move this
Come on and move this
Move it
Move it
Move it

Baby, let me show you how to do this
You've gotta move this
You're doin' fine
There's nothin' to it
You gotta groove it
Come on and move this

People don't you know?
Don't you know?
It's about time, can you hear the jam is pumpin'?
While you taste the piece of mind
Many different flavours
And the spice is strong
Get into the hot stuff
Let me pour a little some

Toes be tappin'
Fingers snappin'
Hands clappin' and my Mamas rappin'
Talkin' about cold laughin'
Shut up and do the wop
Use what you got show me
Your on the floor so let me see
Don't say nothing less I saw
And remember I like it raw

You gotta move this
You gotta move this
Oh yeah, yeah, yeah you gotta move this
Uh-uh-uh-uh shake that body for me

Baby, let me show you how to do this
You've gotta move this
You're doing fine
There's nothing to it
You gotta groove it
Come on and move this
Shake that body for
Baby, let me show you how to
Do this
You've gotta move this
You've gotta move that
Really
Ain't nothin' to it
You gotta move it
Move, move it
Shake that body for me
Shake that body for me
Shake that body for me
Shake that body
Shake that body for me
Shake that body
Shake that body for me","dance, eurodance, 80s, electronic, techno"
