Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Believe""",Cher,"58 ContributorsTranslationsDeutschBelieve LyricsCher’s “Believe” is about getting over heartbreak. It pioneered the use of Auto-Tune as a recognizable vocal effect; at the time it was known as the “Cher effect”.
According to The New York Times the song… Read More 
(After love, after love)
(After love, after love)
(After love, after love)
(After love, after love)
(After love, after love)
(After love, after love)

No matter how hard I try
You keep pushing me aside
And I can't break through
There's no talking to you
It's so sad that you're leaving
It takes time to believe it
But after all is said and done
You're gonna be the lonely one, oh

Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""

What am I supposed to do
Sit around and wait for you?
Well, I can't do that
And there's no turning back
I need time to move on
I need love to feel strong
'Cause I've had time to think it through
And maybe I'm too good for you, oh

Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""

Well, I know that I'll get through this
'Cause I know that I am strong
And I don't need you anymore
Oh, I don't need you anymore
Oh, I don't need you anymore
No, I don't need you anymore

Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
Do you believe in life after love?
I can feel something inside me say
""I really don't think you're strong enough, no""
(Do you believe in life after love?)","pop, female vocalists, 80s, dance, rock"
1,2,"""No Scrubs""",TLC,"20 ContributorsTranslationsPortuguêsNo Scrubs Lyrics“No Scrubs” was the lead single from TLC’s third album, FanMail, released on February 2, 1999. The song was a huge success. Topping the charts in early 1999 and going #1 in the United States, Australia… Read More 
Oh

A scrub is a guy that thinks he's fly
And is also known as a busta
Always talkin' 'bout what he wants
And just sits on his broke ass, so

No, I don't want your number
No, I don't wanna give you mine and
No, I don't wanna meet you nowhere
No, don't want none of your time and

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me

Well, a scrub checkin' me, but his game is kinda weak
And I know that he cannot approach me
'Cause I'm lookin' like class and he's lookin' like trash
Can't get with a deadbeat ass, so

No, I don't want your number
No, I don't wanna give you mine and
No, I don't wanna meet you nowhere
No, don't want none of your time

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me

If you don't have a car and you're walkin'
Oh, yes, son, I'm talkin' to you
If you live at home with your mama
Oh, yes, son, I'm talkin' to you (Baby)
If you have a shorty that you don't show love
Oh, yes, son, I'm talkin' to you
Wanna get with me with no money, oh no
I don't want no
No scrub
No scrub (No, no)
No scrub (No, no, no, no)
No scrub (No, no)

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub (No)
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me (Yeah)
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his best friend's ride
Trying to holla at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hangin' out the passenger side of his...","rnb, Hip-Hop, female vocalists, pop, soul"
2,3,"""Angel of Mine""",Monica,"16 ContributorsAngel of Mine Lyrics“Angel of Mine” was originally sung by girl group Eternal in 1997. Monica’s version of the song, released as the third single from her second studio album The Boy Is Mine, topped the Billboard Hot 100 and… Read More 
When I first saw you, I already knew
There was something inside of you
Something I thought that I would never find
Angel of mine
I look at you looking at me
Now I know why they say the best things are free
I'm gonna love you, boy, you are so fine
Angel of mine

How you changed my world
You'll never know
I'm different now
You helped me grow

You came into my life
Sent from above
When I lost all hope
You showed me love
I'm checking for you, boy
You're right on time, angel of mine

Nothing means more to me than what we share
No one in this whole world can ever compare
Last night, the way you moved is still on my mind
Angel of mine

What you mean to me
You'll never know
Deep inside, I need to show

You came into my life
Sent from above (Sent from above)
When I lost all hope
You showed me love (Boy, you showed me love)
I'm checking for you, boy
You're right on time (Right on time)
Angel of mine (Angel of mine)

I never knew I could feel each moment
As if they were new
Every breath that I take
The love that we make
I only share it with you (You, you, you, you)

When I first saw you, I already knew
There was something inside of you
Something I thought that I would never find
Angel of mine

You came into my life (Came into my life, yeah)
Sent from above
When I lost all hope
You showed me love (Boy, you showed me love, uh-huh)
I'm checking for you, boy
You're right on time (But boy, you're right on time)
Angel of mine (Angel of mine, oh, mine)

How you changed my world
You'll never know
I'm different now
You helped me grow
I look at you looking at me
Now I know why they say
The best things are free
I'm checking for you, boy
You're right on time
Angel of mine","rnb, soul, female vocalists, pop, urban"
3,4,"""Heartbreak Hotel""",Whitney Houston featuring Faith Evans and Kelly Price,"22 ContributorsHeartbreak Hotel LyricsReleased on December 15, 1998 as the second single from , “Heartbreak Hotel” was the first introduction to Whitney’s new more Urban-oriented sound and the first non-soundtrack single she… Read More 
This is the Heartbreak Hotel
This is the Heartbreak Hotel
This is the Heartbreak Hotel
This is the Heartbreak Hotel (Oh)
This is the Heartbreak Hotel
This is the Heartbreak Hotel
This is the Heartbreak Hotel (Yeah, oh, yeah)
This is the Heartbreak Hotel

You said you'd be here by nine
Instead, you took your time
You didn't think to call me, boy
Here I sit, trying not to cry
Asking myself why you do this to me
Mm, oh, baby

Since you're not around for me to tell you, baby, face to face
I'm writing you this letter and this is what I have to say

All I really wanted was some of your time
Instead, you told me lies when someone else was on your mind
What'd you do to me? (What'd you do?)
Look what you did to me (Oh, baby)
I thought that you were someone who would do me right (Do me right)
Until you played with my emotions and you made me cry (Made me cry)
What'd you do to me? (Oh, oh)
Can't take what you did to me

Now, I see that you've been doing wrong
Played me all along
And made a fool of me, baby, uh
You got it all wrong to think that I wouldn't find out, uh
That you were cheating on me, baby
How could you do it to me? Mm, oh, babe

Since you're not around for me to tell you, baby, face to face (Mmm, mmm)
I'm writing you this letter and this is what I have to say, oh

All I really wanted was some of your time
Instead, you told me lies when someone else was on your mind
What'd you do to me? (All you did was lie to me, baby)
Look what you did to me (Can't believe what you did to me, yeah, yeah)
I thought that you were someone who would do me right (Ooh, oh)
Until you played with my emotions and you made me cry
What'd you do to me? (Why'd you do it?)
Can't take what you did to me (You didn't have to do it to me, baby)

Heartbreak Hotel (Ooh, oh, oh)
This is the Heartbreak Hotel (Oh, oh, woo, woah, woah)
This is the Heartbreak Hotel (Woah, no)
This is the Heartbreak Hotel (Ooh, now)
This is the Heartbreak Hotel (Uh-huh, this is the heartbreak)
This is the Heartbreak Hotel (Welcome to the heartbreak)
This is the Heartbreak Hotel (Why, why, why, why'd you do it? Yeah, yeah)
This is the Heartbreak Hotel (All I wanted)

All I really wanted was some of your time (Oh, baby)
Instead, you told me lies when someone else was on your mind
What'd you do to me? (All I really wanted, no)
Look what you did to me (It's all I really wanted, baby)
I thought that you were someone who would do me right (You did me wrong)
Until you played with my emotions and you made me cry (Can't take it no more)
What'd you do to me?
Can't take what you did to me (I wanted your love)
All I really wanted was some of your time (All I'd really want)
Instead, you told me lies when someone else was on your mind (But you told me lies)
What'd you do to me? (Do to me, baby, do me right, can't take it no more)
Look what you did to me (Why did you do me that way?)
I thought that you were someone who would do me right (Thought you'd do me right)
Until you played with my emotions and you made me cry (But you made me cry)
What'd you do to me? (Oh, woah, woah)
Can't take what you did to me (I ain't gon' take it, I ain't gon' take it no more)

I ain't gon' take it, boy (Yeah, mmm)
I ain't gon' take it no more
Oh, everything that you said was a lie
Don't lie to me
Tell me what it is and then I will be alright","pop, soul, female vocalists, rnb, 80s"
4,5,"""...Baby One More Time""",Britney Spears,"142 ContributorsTranslationsItalianoEspañolTiếng ViệtPolskiTürkçePortuguêsČeskysrpskiDeutsch...Baby One More Time Lyrics“…Baby One More Time” attained global success, reaching number one in nearly every country it charted in. It also received numerous certifications around the world, and is one of the best-selling singles of… Read More 
Oh, baby, baby
Oh, baby, baby

Oh, baby, baby
How was I supposed to know
That somethin' wasn't right here?
Oh, baby, baby
I shouldn't have let you go
And now you're out of sight, yeah

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby
The reason I breathe is you (Oh yeah)
Boy, you got me blinded
Oh, pretty baby
There's nothing that I wouldn't do
It's not the way I planned it

Show me how you want it to be
Tell me, baby, 'cause I need to know now
Oh, because

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

Oh, baby, baby (Oh)
Oh, baby, baby (Yeah, yeah)

Oh, baby, baby
How was I supposed to know?
Oh, pretty baby
I shouldn't have let you go
I must confess that my loneliness is killin' me now
Don't you know I still believe
That you will be here and give me a sign?
Hit me, baby, one more time

My loneliness is killin' me (And I)
I must confess, I still believe (Still believe)
When I'm not with you, I lose my mind
Give me a sign
Hit me, baby, one more time

I must confess that my loneliness (My loneliness is killin' me)
Is killin' me now (I must confess, I still believe)
Don't you know I still believe (When I'm not with you, I lose my mind)
That you will be here and give me a sign?
Hit me, baby, one more time","pop, dance, female vocalists, Britney Spears, legend"
5,6,"""Kiss Me""",Sixpence None the Richer,"56 ContributorsKiss Me Lyrics“Kiss Me” is the lead single from Sixpence None The Richer’s eponymous album. Released in 1998 as a single, it debuted at #90 on Billboard’s Top 100 singles chart on November 19, 1998 and it reached #2 on the… Read More 
Kiss me out of the bearded barley
Nightly, beside the green, green grass
Swing, swing, swing the spinning step
You wear those shoes and I will wear that dress, oh

Kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand, strike up the band
And make the fireflies dance, silver moon's sparkling
So kiss me

Kiss me down by the broken tree house
Swing me upon its hanging tire
Bring, bring, bring your flowered hat
We'll take the trail marked on your father's map

Kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand, strike up the band
And make the fireflies dance, silver moon's sparkling
So kiss me


Kiss me beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand, strike up the band
And make the fireflies dance, silver moon's sparkling
So kiss me

So kiss me
So kiss me
So kiss me","pop, female vocalists, alternative, rock, christian"
6,7,"""Genie in a Bottle""",Christina Aguilera,"61 ContributorsGenie in a Bottle LyricsReleased in 1999, “Genie in a Bottle” was the lead single from Christina Aguilera’s self-titled debut album. The song sold over 7 million copies, and propelled her to international success.
(Come on, come on, uh, yeah)
Oh-ooh, whoa-oh (Come on, come on, uh)

I feel like I've been locked up tight
For a century of lonely nights
Waiting for someone to release me
You're lickin' your lips and blowin' kisses my way
But that don't mean I'm gonna give it away
Baby, baby, baby (Baby, baby, baby)

Oh-oh-oh-oh-oh
(My body's sayin', ""Let's go"")
Oh-oh-oh-oh-oh
(But my heart is sayin', ""No, no"")

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (In a bottle, baby)
You gotta rub me the right way (Yeah)
If you wanna be with me
I can make your wish come true
You gotta make a big impression (Oh yeah)
Gotta like what you do

I'm a genie in a bottle, baby
You gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come, come, come on and let me out

The music's bangin' and the lights down low
Just one more dance and then we're good to go
Waiting for someone who needs me
Hormones racin' at the speed of light
But that don't mean it's gotta be tonight (Yeah)
Baby, baby, baby (Baby, baby, baby)

Oh-oh-oh-oh-oh
(My body's sayin', ""Let's go"")
Oh-oh-oh-oh-oh, ooh
(Mm, but my heart is sayin' no, but my heart is sayin', ""No, no"")

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way (Oh yeah)
If you wanna be with me (Ooh)
I can make your wish come true (Your wish come true, oh)
Just come and set me free, baby
And I'll be with you

I'm a genie in a bottle, baby
You gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come, come, come on and let me out
I'm a genie in a bottle, baby (Mmm)
Gotta rub me the right way, honey (Mmm)
(If you wanna be with me)
I'm a genie in a bottle, baby
Come, come, come on and let me out

Oh-oh-oh-oh-oh
(My body's sayin', ""Let's go"")
Oh-oh-oh-oh-oh
(Mm, but my heart is sayin', ""No, no"")

If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way (Whoa)
If you wanna be with me (Me)
I can make your wish come true (Ooh)
You gotta make a big impression
Gotta like what you do (Oh yeah-yeah)
If you wanna be with me (If you wanna be with me)
Baby, there's a price to pay (Uh, yeah)
I'm a genie in a bottle (In a bottle, baby)
You gotta rub me the right way (You gotta rub me the right way)
If you wanna be with me (If you wanna be with me, yeah)
I can make your wish come true
Just come and set me free, baby
And I'll be with you

I'm a genie in a bottle, baby
Come, come, come on and let me out","pop, female vocalists, soul, rnb, dance"
7,8,"""Every Morning""",Sugar Ray,"31 ContributorsEvery Morning LyricsAccording to this LA Weekly op-ed, the halo is a metaphor for a used condom that the singer finds hanging from his girlfriend’s bed when he visits her.  The base of a condom can look like a halo.
Every mornin' there's a halo hangin' from the corner
Of my girlfriend's four-post bed
I know it's not mine, but I'll see if I can use it
For the weekend or a one-night stand

Couldn't understand
How to work it out
Once again, as predicted, left my broken heart open
And you ripped it out
Something's got me reelin', stopped me from believin'
Turn me around again
Said that we can do it, you know I wanna do it again

(Sugar Ray say) Oh
(Every mornin') Oh (Every mornin' when I wake up)
Shut the door, baby, don't say a word
Oh (She always rights the wrong)
Oh (She always rights, she always rights)
Shut the door, baby, shut the door, baby

Every mornin' there's a heartache hangin' from the corner
Of my girlfriend's four-post bed
I know it's not mine and I know she thinks she loves me
But I never can believe what she said

Somethin' so deceiving, when you stop believin'
Turn me around again
Said we couldn't do it, you know I wanna do it again

Oh
(Every mornin') Oh (Every mornin' when I wake up)
Shut the door, baby, don't say a word
Oh
(Every mornin') Oh (Every mornin' when I wake up)
Shut the door, baby, shut the door, baby

She always rights the wrong
For me, baby
She always rights the wrong
For me

Every mornin' there's a halo hangin' from the corner
Of my girlfriend's four-post bed
I know it's not mine, but I'll see if I can use it
For the weekend or a one-night stand

(Shut the door baby, don't say a word)
Every mornin'
Every mornin' when I wake up
Shut the door, baby, shut the door, baby
Every mornin'
(Turn me around again) Every mornin' when I wake up
Shut the door, baby, don't say a word
Every mornin'
(Do it again) Every mornin' when I wake up
Every mornin' (Shut the door, baby, shut the door, baby)
Every mornin' when I wake up","rock, alternative, alternative rock, pop, 90s"
8,9,"""Nobody's Supposed to Be Here""",Deborah Cox,"18 ContributorsNobody’s Supposed to Be Here Lyrics“Nobody’s Supposed To Be Here” is a #1 R&B song by powerhouse singer Deborah Cox about finding love again despite previous heartbreaks. The midtempo anthemic ballad was written by producer Shep Crawford and… Read More 
How did you get here?
Nobody's supposed to be here
I've tried that love thing for the last time
My heart said, ""No, no""
Nobody's supposed to be here
But you came along and changed my mind, my mind, my mind

I've spent all my life on a search to find
The love who'll stay for eternity
The heaven sent to fulfill my needs
But when I turn around
Again, love has knocked me down
My heart got broken, oh, it hurts so bad
I'm sad to say love wins again

So, I placed my heart under lock and key (Ooh, yeah)
To take some time and take care of me (Mm-hmm)
But I turn around and you're standing here

How did you get here? (Get here)
Nobody's supposed to be here (Mm-hmm, nobody's supposed to be here)
I've tried that love thing for the last time (Oh)
My heart said, ""No, no"" (No)
Nobody's supposed to be here (Nobody's supposed to be here, but)
But you came along and changed my mind, my mind, my mind

This time, I swear I'm through
But if only you knew
How many times I've said those words
Then fall again, when will I ever learn?
Knowing these tears I've cried, this lovely black butterfly
Must take a chance and spread my wings
Love can make you do some crazy things

So, I placed my heart under lock and key (Ooh, yeah)
To take some time and take care of me (Mm-hmm)
But I turn around and you're standing here

(How did you)
Standing here, oh yeah! (How did you get here?)
No, nobody
No, no, no, no, no, no (Surely, nobody's supposed to be here)
Woo! (In here)
Nobody (Nobody), mmm
No, no, no, no, no
No, no, no, no, no
No!

How did you get here?
Nobody's supposed to be here (Yeah, oh yeah)
I've tried that love thing for the last time (I've tried it over and over, and my)
My heart said, ""No, no"" (My heart said, ""No, no, no, no!"")
Nobody's supposed to be here (Nobody's supposed to be here)
But you came along and changed my mind, my mind, my mind (Came along and you changed me)
How did you get here? (I'm not supposed to love again)
Nobody's supposed to be here (I'm not supposed to care anymore)
I've tried that love thing for the last time
My heart said, ""No, no"" (No, no, no, no, oh, no)
Nobody's supposed to be here (No, no, no, no, oh, no)
But you came along and changed my mind","rnb, soul, female vocalists, pop, dance"
9,10,"""Livin' la Vida Loca""",Ricky Martin,"78 ContributorsTranslations日本語 (Japanese)TürkçeDeutschLivin’ La Vida Loca LyricsMartin’s biggest ever worldwide song, and a possible gateway to artists such as Shakira, Enrique Iglesias and even Paulina Rubio to cross over into the English speaking Billboard Charts.
“Livin' La Vida… Read More 
Little bit more vibe on the track, please

She's into superstitions
Black cats and voodoo dolls
I feel a premonition
That girl's gonna make me fall

She's into new sensations
New kicks in the candlelight
She's got a new addiction
For every day and night

She'll make you take your clothes off and go dancing in the rain
She'll make you live her crazy life, but she'll take away your pain
Like a bullet to your brain (Come on)

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca (Come on)
Livin' la vida loca (Come on)
She's livin' la vida loca

Woo!
All right

Woke up in New York City
In a funky cheap hotel
She took my heart and she took my money
She must've slipped me a sleeping pill

She never drinks the water
Makes you order French champagne
Once you've had a taste of her
You'll never be the same
Yeah, she'll make you go insane (Come on)

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil red
And her skin's the color mocha
She will wear you out
Livin' la vida loca (All right)
Livin' la vida loca
She's livin' la vida loca

Woo!

She'll make you take your clothes off and go dancin' in the rain
She'll make you live her crazy life, but she'll take away your pain
Like a bullet to your brain (Come on)

Upside, inside out
She's livin' la vida loca
She'll push and pull you down
Livin' la vida loca
Her lips are devil-red
And her skin's the color mocha
She will wear you out
Livin' la vida loca (Come on)
Livin' la vida loca (Come on)
She's livin' la vida loca (Come on)

Gotta, gotta, gotta la vida, come on
Come on, everyone
Come on
Gotta la vida loca
Gotta, gotta la vida loca
Gotta, gotta la vi—","pop, latin, latin pop, dance, spanish"
