Unnamed: 0,№,Title,Artist(s),lyrics,genres
0,1,"""The Sign""",Ace of Base,"38 ContributorsTranslationsDeutschThe Sign Lyrics“The Sign” is a #1 pop song released October 29, 1993 by Swedish band Ace of Base. The song was taken from the band’s album Happy Nation (which was retitled The Sign in North America). Like the band’s hit… Read More 
Whoa, oh, yeah

(Ah) I got a new life
You would hardly recognize me, I'm so glad
How could a person like me care for you?
(Ah) Why do I bother
When you're not the one for me?

(Ooh-ooh-ooh)
Is enough, enough?

I saw the sign
And it opened up my eyes, I saw the sign
Life is demanding without understanding
I saw the sign
And it opened up my eyes, I saw the sign
No one's gonna drag you up
To get into the light where you belong
But where do you belong?

(Ah) Under the pale moon
For so many years, I've wondered who you are
How could a person like you bring me joy?
Under the pale moon
Where I see a lot of stars

(Ooh-ooh-ooh)
Is enough, enough?

I saw the sign
And it opened up my eyes, I saw the sign
Life is demanding without understanding
I saw the sign
And it opened up my eyes, I saw the sign
No one's gonna drag you up
To get into the light where you belong
But where do you belong?

Oh, oh-oh
(Oh no)
(Oh no)
(Oh no)

I saw the sign
And it opened up my mind, and I am happy now
Living without you, I've left you, oh-oh-oh
I saw the sign
And it opened up my eyes, I saw the sign
No one's gonna drag you up
To get into the light where you belong

(I saw the sign, I saw the si-i-ign) I saw the sign
(I saw the sign, I saw the si-i-i-ign)
(I saw the sign, I saw the sign) I saw the sign
And it opened up my eyes, I saw the sign","pop, 90s, dance, swedish, female vocalists"
1,2,"""I Swear""",All-4-One,"22 ContributorsI Swear Lyrics
I swear by the moon and the stars in the skies
And I swear like the shadow that's by your side

I see the questions in your eyes
I know what's weighing on your mind
You can be sure I know my part
'Cause I stand beside you through the years
You'll only cry those happy tears
And though I make mistakes, I'll never break your heart

And I swear by the moon and the stars in the skies
I'll be there
I swear like the shadow that's by your side
I'll be there
For better or worse, 'til death do us part
I'll love you with every beat of my heart
And I swear

I'll give you everything I can
I'll build your dreams with these two hands
We'll hang some memories on the walls
And when (And when) just the two of us are there
You won't have to ask if I still care
Cause as the time turns the page, my love won't age at all

And I swear (I swear) by the moon and the stars in the skies
I'll be there (I'll be there)
I swear (And I swear) like the shadow that's by your side
I'll be there (I'll be there)
For better or worse, 'til death do us part
I'll love you with every beat of my heart (Beat of my heart)
And I swear

I swear (I swear) by the moon and the stars in the skies
I'll be there (I'll be there)
I swear like the shadow that's by your side
I'll be there (I'll be there)
For better or worse (Better or worse), 'til death do us part (Oh no)
I'll love you with every single beat of my heart

I swear
I swear
Whoa-oh, I swear","rnb, pop, soul, 90s, american"
2,3,"""I'll Make Love to You""",Boyz II Men,"28 ContributorsI’ll Make Love to You LyricsWritten by Babyface, this 1994 hit was number one on the Billboard charts for fourteen straight weeks, a then record. Two years later, Boyz II Men would defeat themselves, when their Mariah Carey… Read More 
Close your eyes, make a wish
And blow out the candlelight
For tonight is just your night
We're gonna celebrate (Mm), all through the night

Pour the wine, light the fire
Girl, your wish is my command
I submit to your demands
I will do anything, girl, you need only ask

I'll make love to you
Like you want me to
And I'll hold you tight
Baby, all through the night
I'll make love to you
When you want me to
And I will not let go
'Til you tell me to

Girl, relax, let's go slow
I ain't got nowhere to go
I'm just gonna concentrate on you
Girl, are you ready? (Whoa)
It's gonna be a long night
Throw your clothes (Throw your clothes)
On the floor (On the floor)

I'm gonna take my clothes off (Mm) too
I've made plans to be within you
Girl, whatever you ask me, you know I could do

I'll make love to you (Baby, oh)
Like you want me to (Ooh)
And I'll hold you tight (Hold you tight)
Baby, all through the night
I'll make love to you
When you want me to (Hey, yeah)
And I will not let go
'Til you tell me to

Baby, tonight is your night
And I will do you right
Just make a wish on your night
Anything that you ask
I will give you the love of your life, your life, your life

I'll make love to you (I'll make love)
Like you want me to
And I'll hold you tight (Hold you tight)
Baby, all through the night
I'll make love to you (I'll make love)
When you want me to
And I will not let go (Will not let go 'til you)
'Til you tell me to (Tell me to)
I'll make love to you  (I'll make love)
Like you want me to
And I'll hold you tight (Hold you tight)
Baby, all through the night
I'll make love to you (I'll make love)
When you want me to
And I will not let go (Will not let go 'til you)
'Til you tell me to (Tell me too, tell me, baby)","rnb, soul, 90s, pop, r and b"
3,4,"""The Power of Love""",Celine Dion,"20 ContributorsTranslationsTiếng ViệtThe Power of Love LyricsCeline Dion’s version of “The Power of Love” (also known as “I’m Your Lady”) is one of the more notable covers of Jennifer Rush’s 1984 hit.
The whispers in the morning
Of lovers sleeping tight
Are rolling by like thunder now
As I look in your eyes

I hold on to your body
And feel each move you make
Your voice is warm and tender
A love that I could not forsake

'Cause I'm your lady
And you are my man
Whenever you reach for me
I'll do all that I can

Lost is how I'm feeling
Lying in your arms
When the world outside's too much to take
That all ends when I'm with you

Even though there may be times
It seems I'm far away
Never wonder where I am
'Cause I am always by your side

'Cause I'm your lady
And you are my man
Whenever you reach for me
I'll do all that I can

We're heading for something
Somewhere I've never been
Sometimes I am frightened
But I'm ready to learn
Of the power of love

The sound of your heart beating
Made it clear suddenly
The feeling that I can't go on
Is light years away

'Cause I'm your lady
And you are my man
Whenever you reach for me
I'm gonna do all that I can

We're heading for something
Somewhere I've never been
Sometimes I am frightened
But I'm ready to learn
Of the power of love

The power of love
The power of love
Sometimes I am frightened
But I'm ready to learn
Of the power of love

The power of love (Ooh-ooh, ooh)
As I look into your eyes
The power of love (The power of love)
The power of love","pop, female vocalists, Canadian, 90s, french"
4,5,"""Hero""",Mariah Carey,"51 ContributorsHero Lyrics“Hero” is a song by American singer and songwriter Mariah Carey, released as the second single from Mariah’s third album Music Box. The song charted at #1 on the Billboard Hot 100 back in 1993. The song’s key… Read More 
There's a hero
If you look inside your heart
You don't have to be afraid
Of what you are
There's an answer
If you reach into your soul
And the sorrow that you know
Will melt away

And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you

It's a long road
When you face the world alone
No one reaches out a hand for you to hold
You can find love
If you search within yourself
And the emptiness you felt
Will disappear

And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you

Lord knows
Dreams are hard to follow
But don't let anyone
Tear them away
Hold on
There will be tomorrow
In time
You'll find the way

And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you

That a hero lies in you
That a hero lies in you","pop, rnb, female vocalists, soul, Mariah Carey"
5,6,"""Stay (I Missed You)""",Lisa Loeb and Nine Stories,"21 ContributorsStay (I Missed You) Lyrics“Stay (I Missed You)” was Lisa Loeb’s first and breakthrough single. The song reached the top of the Billboard Hot 100 chart in August 1994, making her the first unsigned artist to reach #1 .
According to… Read More 
You say I only hear what I want to
You say I talk so all the time, so?

And I thought what I felt was simple
And I thought that I don't belong
And now that I am leaving
Now I know that I did something wrong

'Cause I missed you
Yeah, yeah, I missed you

And you say I only hear what I want to

I don't listen hard, don't pay attention
To the distance that you're running to anyone, anywhere
I don't understand if you really care
I'm only hearing negative, no, no, no (Bad)

So I, I turned the radio on, I turned the radio up
And this woman was singing my song
Lovers in love and the others run away
Lover is crying 'cause the other won't stay
Some of us hover when we weep for the other
Who was dying since the day they were born, well
Well, this is not that
Think that I'm throwing, but I'm thrown

And I thought I'd live forever
But now I'm not so sure
You try to tell me that I'm clever
That won't take me anyhow or anywhere with you

You said that I was naive and
I thought that I was strong, oh
I thought, ""Hey, I can leave, I can leave""
Oh, but now I know that I was wrong

'Cause I missed you
Yeah, I missed you

You said you caught me 'cause you want me
And one day, you'll let me go
You try to give away a keeper
Or keep me 'cause you know you're just so scared to lose

And you say, ""Stay""
And you say I only hear what I want to","female vocalists, singer-songwriter, pop, indie, alternative"
6,7,"""Breathe Again""",Toni Braxton,"20 ContributorsBreathe Again Lyrics“Breathe Again” peaked at #3 on the Billboard Hot 100 and #4 on Billboard’s R&B Singles chart in 1994. It also peaked at #4 on Billboard’s Adult Contemporary chart.
If I never feel you in my arms again
If I never feel your tender kiss again
If I never hear ""I love you"" now and then
Will I never make love to you once again?
Please understand if love ends
Then I promise you, I promise you that
That I shall never breathe again
(Breathe again, breathe again)
That I shall never breathe again
(Breathe again, yeah)

And I can't stop thinkin' about
About the way things used to be
And I can't stop thinkin' about
About the love that you made to me
And I can't get you outta my head
How in the world will I begin
To let you walk right out my life
And blow my heart away?
And I can't stop carin' about
About the apple of my eye
And I can't stop doin' without
Without the center of my life
And I can't get you out of my head
And I know I can't pretend
That I won't die if you decide
You won't see me again

If I never feel you in my arms again (Again)
If I never feel your tender kiss again (Again)
If I never hear ""I love you"" now and then (And then)
Will I never make love to you once again?
Please understand if love ends (Please understand, if)
Then I promise you, I promise you that
That I shall never breathe again
(Breathe again, breathe again)
That I shall never breathe again
(Breathe again, yeah)

And I can't stop thinkin' about
About the way my life would be
No I can't stop thinkin' about
How could you love me then leave?
And I can't get you out of my mind
God knows how hard I've tried
And if you walk right out my life
God knows I'd surely die
And I can't stop doin' without, no
(Without the rhythm of my heart)
No, I can't stop doin' without, no
(For I would surely fall apart)
And I can't get you out of my mind
('Cause I know I can't deny it)
And I would die if you decide
You won't see me again

If I never feel you in my arms again (If I never ever see you)
If I never feel your tender kiss again (No, no, no, no)
If I never hear ""I love you"" now and then (Now and then)
Will I never make love to you once again? (Will I never make love, never make love?)
Please understand if love ends (Please, please understand, if it should ever end, oh no)
Then I promise you, I promise you that
That I shall never breathe again
(Breathe again, breathe again) (No, no, no)
That I shall never breathe again
(Breathe again)
That I shall never breathe again
(Breathe again, breathe again) (No, no, no)
That I shall never breathe
(Breathe again)
Again","soul, rnb, female vocalists, pop, 90s"
7,8,"""All for Love""","Bryan Adams, Rod Stewart and Sting","11 ContributorsAll for Love Lyrics
When it's love you give
I'll be a man of good faith
Then in love you live
I'll make a stand. I won't break
I'll be the rock you can build on
Be there when you're old
To have and to hold

When there's love inside
I swear I'll always be strong
Then there's a reason why
I'll prove to you we belong
I'll be the wall that protects you (Yeah)
From the wind and the rain
From the hurt and the pain
Yeah (Hey)

Let's make it, all for one and all for love
Let the one you hold be the one you want
The one you need
'Cause when it's all for one it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love

When it's love you make
I'll be the fire in your night
Then it's love you take
I will defend, I will fight
I'll be there when you need me
When honor's at stake
This vow I will make, yeah

That it's all for one and all for love
Let the one be the one you want
The one you need
'Cause when it's all for one it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love

Don't lay our love to rest
'Cause we could stand up to you test
We got everything and more than we had planned
More than the rivers that run the land
We've got it all in our hands

Now it's all for one and all for love
Let the one you hold be the one you want
The one you need
'Cause when it's all for one it's one for all
When there's someone that should know
Then just let your feelings show
When there's someone that you want
When there's someone that you need
Let's make it all, all for one and all for love","rock, pop, Soundtrack, classic rock, male vocalists"
8,9,"""All That She Wants""",Ace of Base,"34 ContributorsTranslationsItalianoDeutschAll That She Wants Lyrics“All That She Wants” is a Europop song that launched Ace of Base and Denniz PoP into international success, and helped popularize the reggae-inspired style of Europop. It is about a woman who looks for many… Read More 
She leads a lonely life
Oh, she leads a lonely life

When she woke up late in the morning light
And the day had just begun
She opened up her eyes and thought
""Oh, what a morning""
It's not a day for work
It's a day for catching tan
Just lying on the beach and having fun
She's going to get ya

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yeah
All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yeah

(All that she wants)
(All that she wants)

So, if you are in sight and the day is right
She's the hunter, you're the fox
The gentle voice that talks to you
Won't talk forever
It is a night for passion
But the morning means goodbye
Beware of what is flashing in her eyes
She's going to get ya

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yeah
All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yeah (Is another baby, yeah)

Ah
Ah

All that she wants is another baby (Is another baby, yeah)
She's gone tomorrow, boy
All that she wants is another baby, yeah (Is another baby, yeah)
All that she wants is another baby (Is another baby)
She's gone tomorrow, boy
All that she wants is another baby, yeah (Is another baby, yeah)

All that she wants
All that she wants","pop, 90s, dance, swedish, female vocalists"
9,10,"""Don't Turn Around""",Ace of Base,"15 ContributorsDon’t Turn Around LyricsDon’t Turn Around"" (1994, No. 4 on the Billboard Hot 100)
Two of Ace of Base’s biggest hits are covers, and this first one was penned by English singer-songwriter Albert Hammond and American queen of… Read More 
I will survive
Without you
Don't tell me that you wanna leave
Whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa

If you wanna leave
I won't beg you to stay
And if you gotta go, darling
Maybe it's better that way

I'm gonna be strong, I'm gonna be fine
Don't worry about this heart of mine
Walk out that door, see if I care
Go on and go, but

Don't turn around
'Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go
But I won't let you know
I won't let you know

Whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa

I won't miss your arms around me
Holding me tight (Holding me tight)
And if you ever think about me
Just know that I'll be alright (I'll be alright)

I'm gonna be strong, I'm gonna be fine
Don't worry about this heart of mine
I know I'll survive, I'll make it through
And I'll even learn to live without you

Don't turn around
'Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go
But I won't let you know

I wish I could scream out loud that I love you
I wish I could say to you, ""Don't go""

As he walks away, he feels the pain getting strong
People in your life, they don't know what's going on
Too proud to turn around
He's gone

Don't turn around
'Cause you're gonna see my heart breaking
Don't turn around
I don't want you seeing me cry
Just walk away
It's tearing me apart that you're leaving
I'm letting you go

Baby, don't turn around
Whoa, whoa, whoa, whoa
Don't turn around
Whoa, whoa, whoa, whoa
Just walk away (Just walk away)
Whoa, whoa, whoa, whoa
It's tearing me apart that you're leaving
I'm letting you go
Don't turn around
Whoa, whoa, whoa, whoa
Don't turn around
Whoa, whoa, whoa, whoa
Just walk away
Whoa, whoa, whoa, whoa","pop, 90s, dance, swedish, female vocalists"
