Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Call Me""",Blondie,"57 ContributorsTranslationsSuomiFrançaisCall Me LyricsBlondie’s biggest hit, “Call Me”, was also the biggest song of 1980 in the US, spending six weeks at the top of the chart that spring. It also topped the UK pop chart and reached the top 20 in eight more… Read More ​

Color me your color, baby, color me your car
Color me your color, darling, I know who you are
Come up off your color chart
I know where you're coming from

Call me (Call me) on the line
Call me, call me any, anytime
Call me (Call me) I'll arrive
You can call me any day or night, call me
​
Cover me with kisses, baby, cover me with love
Roll me in designer sheets, I'll never get enough
Emotions come, I don't know why
Cover up love's alibi

Call me (Call me) on the line
Call me, call me any, anytime
Call me (Call me) I'll arrive
When you're ready, we can share the wine, call me


​​
Ooh, he speaks the languages of love
Ooh, amore, chiamami, chiamami
Ooh, appelle-moi, mon chéri, appelle-moi
Anytime, anyplace, anywhere, any way
Anytime, anyplace, anywhere, any day, any way


Call me
​​

Take me out and show me off
And put me on the scene
Dress me in the fashions of the 1980s
You're a man, no in-between
You know what your words can mean

Call me (Call me) on the line
Call me, call me any day or night
Call me (Call me) I'll arrive
Call me, call me into overtime, call me


Call me (Call me), my love
Call me, call me any, anytime
Call me (Call me) for a ride
Call me, call me for some overtime
Call me (Call me), my love, call me, call me in a sweet design
Call me (Call me), call me for your lover's lover's alibi
Call me (Call me) on the line
Call me, call me any, anytime

Call me, ah-ha, call me, ah-ha-ha
Call me, ah-ha-ha, call me any day or night
Call me, ooh-ooh-ah-ha-ha, ooh-ooh-ha-ha-ha
Call me, ah-ah-ooh
Call me, my, my sleek designs
Call me for a ride, call me inside
Call me, all night, all day, ah-ha, call me
Ooh-ooh-ooh-ooh-ah-ah-ah


Call me (Call me) in my life
Call me, call me any, any time
Call me (Call me) I'll arrive
Call me, call me for some overtime
Call me (Call me) in my life
Call me, call me and my sleek designs
Call me (Call me), call me for your lover's lover's alibi
Call me (Call me) in my life
Call me, call me any, any time
Call me (Call me)
Ooh-ooh-ooh
Call me, oh-oh
Call me (Call me) in my life
Call me, call me any, any time","new wave, 80s, rock, female vocalists, pop"
1,2,"""Another Brick in the Wall, Part II""",Pink Floyd,"6 ContributorsTranslationsNederlandsAnother Brick in the Wall (Part II) (Live at Earls Court, 21st October 1994) Lyrics
Ohhh, ohhhhh, ohhhh, ohhhh

We don't need no education
We don't need no thought control
No dark sarcasm in the classroom
Teachers leave them kids alone
Hey!
Teacher, leave them kids alone!

All in all it's just another brick in the wall
All in all you're just another brick in the wall

We don't need no education
We don't need no thought control
No dark sarcasm in the classroom
Teachers leave them kids alone
Hey!
Teacher, leave them kids alone!

All in all you're just another brick in the wall
All in all you're just another brick in the wall","Progressive rock, Psychedelic Rock, classic rock, rock, psychedelic"
2,3,"""Magic""",Olivia Newton-John,"13 ContributorsMagic LyricsAfter ONJ became an international star in 1978 with the success of the film Grease (and its soundtrack), her next film Xanadu, a roller-skating, disco fantasy flick, was considered a massive flop.
Its… Read More 
Come take my hand
You should know me
I've always been in your mind
You know I will be kind
I'll be guiding you

Building your dream
Has to start now
There's no other road to take
You won't make a mistake
I'll be guiding you

You have to believe we are magic
Nothin' can stand in our way
You have to believe we are magic
Don't let your aim ever stray

And if all your hopes survive
Destiny will arrive
I'll bring all your dreams alive
For you
I'll bring all your dreams alive
For you

From where I stand
You are home free
The planets align so rare
There's promise in the air
And I'm guiding you

Through every turn
I'll be near you
I'll come anytime you call
I'll catch you when you fall
I'll be guiding you

You have to believe we are magic
Nothin' can stand in our way
You have to believe we are magic
Don't let your aim ever stray

And if all your hopes survive
Destiny will arrive
I'll bring all your dreams alive
For you
I'll bring all your dreams alive
For you

Heyyyyyyyy!
You have to believe we are magic
Nothin' can stand in our way
You have to believe we are magic
Don't let your aim ever stray

And if all your hopes survive
Destiny will arrive
I'll bring all your dreams alive
For you
I'll bring all your dreams alive
For you","pop, female vocalists, 70s, 80s, country"
3,4,"""Rock with You""",Michael Jackson,"61 ContributorsTranslationsEspañolРусский (Russian)FrançaisDeutschRock With You Lyrics“Rock With You” was the second single from Off the Wall. It was written by British songwriter Rod Temperton, who had hands in the creation of various Michael Jackson songs, including this album’s #10-peaking… Read More 
Girl, close your eyes
Let that rhythm get into you
Don't try to fight it
There ain't nothin' that you can do
Relax your mind
Lay back and groove with mine

You gotta feel that heat
And we can ride the boogie
Share that beat of love

I wanna rock with you (All night)
Dance you into day (Sunlight)
I wanna rock with you (All night)
We're gonna rock the night away (Rock, right)

Out on the floor
There ain't nobody there but us
Girl, when you dance
There's a magic that must be love
Just take it slow
'Cause we got so far to go

When you feel that heat
And we gonna ride the boogie
Share that beat of love

I wanna rock with you (All night)
Dance you into day (Sunlight)
I wanna rock with you (All night)
We gon' rock the night away

And when the groove is dead and gone (Yeah)
You know that love survives
So we can rock forever on
I wanna rock with you
I wanna groove with you
I wanna rock with you
I wanna groove with you

I wanna rock (All night)
With you, girl (Sunlight)
Rock with you, rock with you, girl (Yeah)
(All night)
Dance the night away
I wanna rock with you (Yeah)
(All night)
Rock you into day (Sunlight)
I wanna rock with you (All night)
Rock the night away

Feel the heat, feel the beat (All night)
Rock you into day (Sunlight)
I wanna rock (All night)
Rock the night away","pop, 80s, dance, soul, funk"
4,5,"""Do That to Me One More Time""",Captain & Tennille,"11 ContributorsDo That to Me One More Time LyricsAfter feeling shunned by A&M Records, who began moving away from artists like Captain & Tennille and The Carpenters and signing new wave acts, the disco label Casablanca took interest in the duo. After… Read More 
Do that to me one more time
Once is never enough with a man like you
Do that to me one more time
I can never get enough of a man like you

Oh, kiss me like you just did
Oh baby
Do that to me once again

Pass that by me one more time
Once just isn't enough for my heart to hear
Oh, tell it to me one more time
I can never hear enough while I've got you near, oh

Say those words again like you just did
Oh baby
Tell it to me once again


Do that to me one more time
Once is never enough with a man like you
Woah, do that to me one more time
I can never get enough of a man like you

Oh kiss me like you just did
Oh baby
Do that to me once again

Oh baby
Do that to me once again
Oh baby
Do that to me one more time

(Do it again) one more time
(Do it again) one more time
(Do it again) one more time
(Do it again) one more time
(Do it again) one more time
(Do it again) one more time","pop, 70s, female vocalists, synth pop, soft rock"
5,6,"""Crazy Little Thing Called Love""",Queen,"57 ContributorsCrazy Little Thing Called Love LyricsQueen’s tribute to Elvis Presley and the early rockabilly style. Surprisingly, it was written in only 10 minutes while Freddie was in the bathtub.
It topped the US charts in February 1980.

From the band’s… Read More 

This thing called love
I just can't handle it
This thing called love
I must get 'round to it, I ain't ready
Crazy little thing called love

A-this thing (This thing)
Called love (Called love)
It cries (Like a baby)
In a cradle all night
It swings (Woo, woo)
It jives (Woo, woo)
It shakes all over like a jellyfish
Woo, I kinda like it
Crazy little thing called love

There goes my baby
She knows how to rock 'n' roll
She drives me crazy
She gives me hot and cold fever
Then she leaves me in a cool, cool sweat


I gotta be cool, relax, get hip
And get on my tracks
Take a back seat, hitch-hike
And take a long ride
On my motorbike until I'm ready
Crazy little thing called love


Yeah
I gotta be cool, relax, get hip
And get on my tracks
Take a back seat
Hitch-hike (Ah hum, ah hum)
And take a long ride on my motorbike
Until I'm ready (Ready Freddie)
Crazy little thing called love

This thing called love
I just can't handle it
This thing called love
I must get 'round to it
I ain't ready (Ooh ooh ooh ooh)
Crazy little thing called love

Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah","classic rock, rock, hard rock, glam rock, 80s"
6,7,"""Coming Up""",Paul McCartney,"22 ContributorsComing Up Lyrics“Coming Up” is the lead single from Paul McCartney’s second solo album. He recorded it himself on a farm in Scotland.
The studio version was originally released as the A-side with a live version on the… Read More 
You want a love to last forever
One that will never fade away
I wanna help you with your problem
Stick around, I say

Coming up (Ooh, ooh)
Coming up, yeah
Coming up like a flower
Coming up, I say (Ooh)

You want a friend you can rely on
One who will never fade away
And if you're searching for an answer
Stick around, I say

Coming up (Ooh, ooh)
Coming up
Coming up like a flower
Coming up, yeah


You want some peace and understanding
So everybody can be free
I know that we can get together
We can make it, stick with me

Coming up (Ooh, ooh)
Coming up (Can't you see?)
Coming up like a flower
Coming up for you and me

Coming up
Coming up

Coming up
Coming up, I say
Coming up like a flower
Coming up
I feel it in my bones
Yeah, yeah, yeah, yeah, yay

You want a better kind of future
One that everyone can share
You're not alone, we all could use it
Stick around, we're nearly there

Coming up (Ooh, ooh)
Coming up (Everywhere)
Coming up like a flower
Coming up, for all to share
Coming up, yeah
Coming up any way
Coming up like a flower
Coming up","classic rock, rock, british, singer-songwriter, pop"
7,8,"""Funkytown""",Lipps Inc.,"58 ContributorsTranslationsDeutschFunkytown LyricsThe 1979-80 signature disco hit  - considered the unofficial last and ending the disco era in pop/rock. Spent 4 weeks at the top of the Billboard charts (and in numerous others) – not due to its lyrics…
by a… Read More 
Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'
Gotta move on
Gotta move on
Gotta move on


A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?


Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'
Gotta move on
Gotta move on
Gotta move on


A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?


Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown, yeah?

Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
Take me, won't you take me?
Take me, won't you take me?
Take me, (won't you take me) won't you take me?
Take me, (won't you take me) won't you take me?
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown","Disco, funk, 80s, pop, 70s"
8,9,"""It's Still Rock and Roll to Me""",Billy Joel,"45 ContributorsIt’s Still Rock and Roll to Me LyricsFrom the hit 1980 album Glass Houses, “It’s Still Rock and Roll to Me” was a #1 hit on the Billboard Hot 100 and spent 11 weeks in the top 10. Overseas, it reached #14 in the UK and #21 in New Zealand.
The… Read More 
What's the matter with the clothes I'm wearing?
Can't you tell that your tie's too wide?
Maybe I should buy some old tab collars?
Welcome back to the age of jive

Where have you been hidin' out lately, honey?
You can't dress trashy 'til you spend a lot of money

Everybody's talkin' 'bout the new sound funny
But it's still rock and roll to me

What's the matter with the car I'm driving?
Can't you tell that it's out of style?
Should I get a set of whitewall tires?
Are you gonna cruise the Miracle Mile?

Nowadays, you can't be too sentimental
Your best bet's a true baby blue Continental

Hot funk, cool punk, even if it's old junk
It's still rock and roll to me

Oh, it doesn't matter what they say in the papers
'Cause it's always been the same old scene
There's a new band in town, but you can't get the sound
From a story in a magazine
Aimed at your average teen

How about a pair of pink sidewinders
And a bright orange pair of pants?
Well you could really be a Beau Brummel baby
If you just give it half a chance

Don't waste your money on a new set of speakers
You'd get more mileage from a cheap pair of sneakers

Next phase, new wave, dance craze, anyways
It's still rock and roll to me
(Alright, Richie!)

Woo!
Ooh...

What's the matter with the crowd I'm seeing?
Don't you know that they're out of touch?
Should I try to be a straight 'A' student?
If you are then you think too much

Don't you know about the new fashion, honey?
All ya need are looks and a whole lotta money

It's the next phase, new wave, dance craze
Anyways – it's still rock and roll to me
Everybody's talkin' 'bout the new sound funny
But it's still rock and roll to me","classic rock, singer-songwriter, rock, pop, piano"
9,10,"""The Rose""",Bette Midler,"27 ContributorsThe Rose LyricsIn 1977 aspiring singer songwriter Amanda McBroom was under pressure from her manager to create a song that could help her get a record deal. While driving in her car in Los Angeles one day McBroom heard… Read More 
Some say love, it is a river
That drowns the tender reed
Some say love, it is a razor
That leaves your soul to bleed
Some say love, it is a hunger
An endless aching need
I say love, it is a flower
And you, its only seed

It's the heart, afraid of breaking
That never learns to dance
It's the dream, afraid of waking
That never takes the chance
It's the one who won't be taken
Who cannot seem to give
And the soul, afraid of dying
That never learns to live

When the night has been too lonely
And the road has been too long
And you think that love is only
For the lucky and the strong
Just remember in the winter
Far beneath the bitter snows
Lies the seed that with the sun's love
In the spring becomes the rose","female vocalists, pop, 80s, rock, singer-songwriter"
