Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Levitating""",Dua Lipa,"169 ContributorsTranslationsTürkçeEspañolفارسیDeutschFrançaisNederlandsPolskiČeskyItalianoLevitating LyricsWith themes of space travel and excitement, “Levitating” is a joyful ode to the often-quick process of falling in love. Originally included on Dua Lipa’s 2020 album, Future Nostalgia, the song found new wind… Read More 
If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I believe that you're for me, I feel it in our energy
I see us written in the stars
We can go wherever, so let's do it now or never
Baby, nothing's ever, ever too far
Glitter in the sky, glitter in our eyes
Shining just the way we are
I feel like we're forever every time we get together
But whatever, let's get lost on Mars

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (Woo)
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Woo)

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading

I got you (Yeah), moonlight, you're my starlight
I need you all night (All night), come on, dance with me
I'm levitating (Woo)

You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Take you for a ride)
I'm levitating (Woo)
You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Let me take you for a ride)

I got you, moonlight, you're my starlight (You are my starlight)
I need you all night, come on, dance with me (Come on, dance with me)
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating","pop, synthpop, electropop, british, female vocalists"
1,2,"""Save Your Tears""",The Weeknd and Ariana Grande,"3 ContributorsThe Weeknd & Ariana Grande - Save Your Tears (Remix) (Traducción al Español) Lyrics""]

Uh (Uh)
Na-na, sí

Te vi bailando en una habitación llena de gente (Ah)
Te ves tan feliz cuando no estoy contigo
Pero luego me viste, te cogí de sorpresa
Una sola lágrima cayendo de tu ojo

No sé por qué me escapo (Oh)
Te hago llorar cuando me escapo (Oh)

Llévame de vuelta porque quiero quedarme
Guarda tus lágrimas para otro

Guarda tus lágrimas para otro día (Oh)
Guarda tus lágrimas para otro día (Mm)

Te conocí una vez bajo la luna de Piscis
Mantuve mi distancia porque sé que
No te gusta cuando estoy con alguien más
No pude evitarlo, te hice pasar por el infierno

No sé por qué me escapo, oh chico (Escapo, oh sí; sí)
Te hago llorar cuando me escapo (Escapo, oh; oh)

Chico, llévame de vuelta porque quiero quedarme
Guarda tus lágrimas para otro
Me doy cuenta de que es demasiado tarde
Y te mereces a alguien mejor

Guarda tus lágrimas para otro día (Oh)
Guarda tus lágrimas para otro día (Oh)

(Bam, bam, bam, bam, bam)
No sé por qué me escapo (Oh)
(Bam, bam, bam, bam, bam)
Te hago llorar cuando me escap (Guarda)

Guarda tus lágrimas para otro día (Uh; oh)
Uh, nena, dije (Está bien)
Guarda (Guarda) tus (Tus) lágrimas para otro día (Oh, yeah, yeah; oh)

Guarda tus lágrimas para otro día (Oh)
Guarda tus lágrimas para otro día (Oh)
Guarda tus lágrimas para otro día",
2,3,"""Blinding Lights""",The Weeknd,"253 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусский (Russian)PortuguêsPolskiNorsk日本語 (Japanese)Italianoעברית (Hebrew)DeutschFrançaisفارسیNederlandsDanskShqipالعربيةsrpskiBlinding Lights Lyrics“Blinding Lights” serves as the second single for The Weeknd’s fourth studio album, After Hours. It follows the record’s lead single, “Heartless,” which was released two days prior.
The track finds Abel in a… Read More 
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch","rnb, electronic, dubstep, Canadian, prog-rnb"
3,4,"""Mood""",24kGoldn featuring Iann Dior,"4 Contributors“Noob” - Roblox Parody of “Mood” by 24kGoldn ft. Iann Dior LyricsWhy you always such a noob
Walking round, acting brand new
I don't wanna see you yelling oof
But you ain't got a clue
Afk and lagging out too
Running 'round in yellow green and blue
Why you always such a noob
Walking round, acting brand new
I don't wanna see you yelling oof
But you ain't got a clue
Afk and lagging out too
Running 'round in yellow green and blue
Now i'm on the golden gun
Going for that arsenal dub
Somehow never got my builder's club
Newbie, i'm not an oder
Won't you ever understand
I only simp for builderman
Boy it's obvious that you're such a noob
Laggy internet that you barely move
And you love dying in murder mystery 2
Now i'm tired of you acting so confused
We play games we love and have fun with our free time
We've fallen before but we laugh in the meantime
Why you always such a noob
Walking round, acting brand new
I don't wanna see you yelling oof
But you ain't got a clue
Afk and lagging out too
Running 'round in yellow green and blue
Why you always such a noob
Walking round, acting brand new
I don't wanna see you yelling oof
But you ain't got a clue
Afk and lagging out too
Running 'round in yellow green and blue
So why's it saying you're online but you don't show up
We could stick to playing the blox as we grow up
If i could then i would give you all my robux
But i'm sorry i can only give you bobux
I'm talking anthro
Arsenal, winning every bloxy
Finding every key to escape from the piggy
Got a tycoon, now i'm spitting out money
Got a simulator full of bees making honey
We play games we love and have fun with our free time
We've fallen before but we laugh in the meantime
Why you always such a noob
Walking round, acting brand new
I don't wanna see you yelling oof
But you ain't got a clue
Afk and lagging out too
Running 'round in yellow green and blue
Why you always such a noob
Walking round, acting brand new
I don't wanna see you yelling oof
But you ain't got a clue
Afk and lagging out too
Running 'round in yellow green and blue
Oof",
4,5,"""Good 4 U""",Olivia Rodrigo,"285 ContributorsTranslationsEspañolTürkçeSvenskaPortuguêsPortuguês日本語 (Japanese)ItalianoMagyarDeutschFrançais繁體中文 (Traditional Chinese)العربيةNorskРусский (Russian)PolskiNederlandsČeskyCatalàעברית (Hebrew)good 4 u Lyrics“good 4 u” is the third single from Olivia Rodrigo’s debut studio album, SOUR. The song’s hook is laced with sarcasm, as Olivia sharply addresses her former partner for quickly moving on from their… Read More 
(Ah)

Well, good for you, I guess you moved on really easily
You found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world?
(World)
And good for you, I guess that you've been workin' on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand-new girl (Girl)

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you're gettin' everything you want (Ah)
You bought a new car and your career's really takin' off (Ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ah)
And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you? Well, screw that, and screw you
You will never have to hurt the way you know that I do

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

(Ah-ah-ah-ah)
(Ah-ah-ah-ah)

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well, good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doin' great out there without me, baby
Like a damn sociopath
I've lost my mind, I've spent the night
Cryin' on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you moved on really easily","pop, pop rock, indie pop, rock, female vocalists"
5,6,"""Kiss Me More""",Doja Cat featuring SZA,"1 ContributorTranslationsEnglishTürkçeEspañolRomânăPortuguês日本語 (Japanese)DeutschDoja Cat & SZA - Kiss Me More (Polskie tłumaczenie) Lyrics
Przytulamy się i, tak, kochamy
I zawsze po prostu mów dobranoc (La-la-la-la-la-la)
I przytulamy się, jasne, uwielbiam to
Ale potrzebuję twoich ust na moich

Czy możesz mnie więcej pocałować?
Jesteśmy tacy młodzi, chłopcze, nie mamy nic do stracenia, oh-oh
To tylko zasada
Kochanie, przytul mnie, bo podoba mi się sposób, w jaki się rowujesz, oh-oh

Chłopcze, piszesz swoje imię, ja mogę zrobić to samo
Och, uwielbiam ten smak, la-la-la-la-la-la
Wszystko na moim języku, chcę tego (La-la-la-la-la-la)
Chłopcze, piszesz swoje imię, ja mogę zrobić to samo
Och, uwielbiam ten smak, la-la-la-la-la-la
Wszystko na moim języku, chcę tego (La-la-la-la-la-la)

Ja, czuję się jak kurwa coś
Ale moglibyśmy być ckli, pieprzyć to
Cukier, nie jestem głupkiem, głupkiem
Lubię mówić, ""A co jeśli?"" Ale jeśli
Moglibyśmy się pocałować i po prostu pokroić śmieci
Wtedy mogę być na czymś
Nie dam ci jеdnego publicznie
Daję ci setki, piеprzyć to
Coś, w co po prostu musimy się dostać
Znak pierwszy, środkowy, ostatni na zębie mądrości
Czarnuchy żałują, że cipka jest budką do pocałunku
Spróbuj śniadania, lunchu, ginu i soku
I ta kolacja też jak deser
A kiedy my Francuzi, odśwież, daj mi dwa
Kiedy przygryzę tę wargę, przyjdź po mnie też
Chce szminkę, błyszczyk do ust, malinkę też, huh

Czy możesz mnie więcej pocałować?
Jesteśmy tacy młodzi, chłopcze, nie mamy nic do stracenia, oh-oh
To tylko zasada
Kochanie, przytul mnie, bo podoba mi się sposób, w jaki się rowujesz, oh-oh

Chłopcze, piszesz swoje imię, ja mogę zrobić to samo
Och, uwielbiam ten smak, la-la-la-la-la-la
Wszystko na moim języku, chcę tego (La-la-la-la-la-la)
Chłopcze, piszesz swoje imię, ja mogę zrobić to samo
Och, uwielbiam ten smak, la-la-la-la-la-la
Wszystko na moim języku, chcę tego

Powiedz, daj mi złotówkę, potrzebuję tych gushy rzeczy
Przesuń granicę, nie, nie jesteś wystarczająco dobry
Wszystkie twoje czarnuchy mówią, że przegrałeś beze mnie
Wszystkie moje suki czują się, jakbym unikł hrabstwa
Pieprzyć się z tobą czuć się jak więzienie, czarnuchu (Czuj się jak więzienie)
Nie mogę nawet wydychać, czarnuchu (Wydech)
Cipka jak święty Graal, wiesz o tym (Święty Graal)
Sprawisz, że będę potrzebował kaucji, wiesz o tym
Przyłapany na zanurzaniu się z twoim przyjacielem
Nie jesteś nawet w połowie, człowieku, kłamiesz na swoim ****, wiesz o tym
Kupiłem mi torbę pełną cegły, wiesz o tym
Kontroluj, nie zwalniaj tempa, jeśli odrzucę
Cały ten tyłek naprawdę (Cały ten tyłek)
Dramat sprawia, że czujesz (Sprawić, że czujesz)
Fantazja i bicz to wszystko, co mogę ci dać

Czy możesz mnie więcej pocałować?
Jesteśmy tacy młodzi, chłopcze, nie mamy nic do stracenia, oh-oh
To tylko zasada
Kochanie, przytul mnie, bo podoba mi się sposób, w jaki się rowujesz, oh-oh
Och, kochanie

Chłopcze, piszesz swoje imię, ja mogę zrobić to samo
Och, uwielbiam smak, o-la-la-la-la-la
Wszystko na moim języku, chcę tego
Chłopcze, piszesz swoje imię, ja mogę zrobić to samo
Och, uwielbiam smak, o-la-la-la-la-la
Wszystko na moim języku, chcę tego",
6,7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),"202 ContributorsTranslationsTürkçeEnglishРусский (Russian)Português日本語 (Japanese)ItalianoDeutschNederlandsहिन्दी (Hindi)Leave The Door Open Lyrics“Leave The Door Open” is Silk Sonic’s debut single, a side project featuring Anderson .Paak and Bruno Mars. Throughout the song, the two profess their love for a significant other, telling her the door will… Read More 
Say, baby, say, baby, say, baby

What you doin'? (What you doin'?)
Where you at? (Where you at?)
Oh, you got plans? (You got plans)
Don't say that (Shut your trap)
I'm sippin' wine (Sip, sip) in a robe (Drip, drip)
I look too good (Look too good)
To be alone (Woo, woo)
My house clean (House clean), my pool warm (Pool warm)
Just shaved, smooth like a newborn
We should be dancin', romancin'
In the east wing and the west wing
Of this mansion, what's happenin'?

I ain't playin' no games
Every word that I say is coming straight from the heart
So if you tryna lay in these arms

I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl
(I'ma leave the door open, hopin')
That you feel the way I feel
And you want me like I want you tonight, baby
(Tell me that you're comin' through)

Ooh, you're so sweet (So sweet), so tight (So tight)
I won't bite (Uh-uh), unless you like (Unless you like)
If you smoke (What you smoke?), I got the haze (Purple haze)
And if you're hungry, girl, I got filets (Woo)
Ooh, baby, don't keep me waitin'
There's so much love we could be makin' (Shamone!)
I'm talkin' kissin', cuddlin'
Rose petals in the bathtub
Girl, let's jump in, it's bubblin'

I ain't playin' no games
Every word that I say is coming straight from the heart
So if you tryna lay in these arms (If you tryna lay in these arms)

I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl
(I'ma leave the door open, hopin')
That you feel the way I feel
And you want me like I want you tonight, baby
Tell me that you're comin' through (Come on, girl)

La-la-la-la-la-la-la (I need you, baby)
La-la-la-la-la-la-la (I got to see you, baby)
La-la-la-la-la-la-la (Girl, I'm tryna give you this, ah)

Hey, hey, I'ma leave my door open, baby
(I'ma leave the door open)
I'ma leave, I'ma leave my door open, girl
(I'ma leave the door open, hopin')
And I'm hopin', hopin'
That you feel the way I feel
And you want me like I want you tonight, baby
Tell me that you're comin' through (Woo!)

La-la-la-la-la-la-la (Tell me)
Tell me that you're comin' through
(Woo-woo-woo-woo, woo-woo-woo, woo-woo-woo)
(Woo-woo-woo-woo, woo-woo-woo, woo-woo)
La-la-la-la-la-la-la (La-la-la-la-la)
Tell me that you're comin' through
Girl, I'm here just waitin' for you (Oh!)
Come on over, I'll adore you (I gotta know!)
La-la-la-la-la-la-la (I'm waitin', waitin', waitin')
Tell me that you're comin' through (For you)
Girl, I'm here just waitin' for you
Come on over, I'll adore you
La-la-la-la-la-la-la (La-la-la-la)",
7,8,"""Drivers License""",Olivia Rodrigo,"412 ContributorsTranslationsTürkçeEspañolРусский (Russian)PortuguêsPortuguêsNorsk日本語 (Japanese)ItalianoDeutschFrançaisفارسیDanskहिन्दी (Hindi)PolskiNederlandsالعربية繁體中文 (Traditional Chinese)УкраїнськаČeskyБългарскиdrivers license Lyrics“drivers license” is Olivia Rodrigo’s debut single. It is a rumored love ode about moving on from her past relationship with Joshua Bassett, who supposedly started dating Sabrina Carpenter, by doing the one… Read More 
I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today, I drove through the suburbs
'Cause how could I ever love someone else?

And I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today, I drove through the suburbs
And pictured I was driving home to you

And I know we weren't perfect, but I've never felt this way for no one, oh
And I just can't imagine how you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic, we're laughing
Over all the noise
God, I'm so blue, know we're through
But I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)

I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
Yeah, you said forever, now I drive alone past your street","pop, pop rock, indie pop, rock, female vocalists"
8,9,"""Montero (Call Me by Your Name)""",Lil Nas X,"388 ContributorsTranslationsTürkçeEspañolРусский (Russian)RomânăPortuguês日本語 (Japanese)ItalianoDeutschFrançaisالعربيةMONTERO (Call Me By Your Name) LyricsOn “MONTERO (Call Me By Your Name),” Lil Nas X wants to stop pretending with his significant other and act on a first-name basis. The song’s title references Lil Nas X’s real name, Montero Lamar Hill.
The… Read More 
I caught it bad yesterday
You hit me with a call to your place
Ain't been out in a while anyway
Was hopin' I could catch you throwin' smiles in my face
Romantic talkin'? You don't even have to try
You're cute enough to fuck with me tonight
Lookin' at the table, all I see is weed and white
Baby, you livin' the life, but nigga, you ain't livin' right

Cocaine and drinkin' with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Mm, mm, mm
Mm, mm, mm

Ayy, ayy
I wanna sell what you're buyin'
I wanna feel on your ass in Hawaii
I want that jet lag from fuckin' and flyin'
Shoot a child in your mouth while I'm ridin'
Oh, oh, oh, why me?
A sign of the times every time that I speak
A dime and a nine, it was mine every week
What a time, an incline, God was shinin' on me
Now I can't leave
And now I'm actin' hella elite
Never want the niggas that's in my league
I wanna fuck the ones I envy, I envy

Cocaine and drinkin' with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Oh, call me by your name (Mm, mm, mm)
Tell me you love me in private
Call me by your name (Mm, mm, mm)
I do not care if you're lyin'

Uh, well, I'm just feeling, mm-uh
I wanna get, mm-uh
I'm in my, into my, uh, I'm, mm
Mm, I'm still money, mm-mm, ooh","Hip-Hop, rap, trap, pop, country rap"
9,10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,"9 ContributorsTranslationsEnglishEspañolPortuguês日本語 (Japanese)ItalianoDeutschFrançaisJustin Bieber - Peaches ft. Daniel Caesar & GIVĒON (Türkçe Çeviri) Lyrics
Şeftalimi Georgia'dan alıyorum, evet (İşte bu)
Otumu da Kaliforniya'dan alıyorum (İşte bu)
Fıstığımı kuzeye getirdim, evet (Havalı sürtüğüm benim)
Işığımı doğruca bu kaynaktan alıyorum, evet (Evet, işte bu)

Ve seni görüyorum
Kokunu içime çekişim
Cildinin bu güzel dokusu
Kollarımı sana sarmak istiyorum, bebeğim
Seni asla bırakmam (Oh)
Ve diyorum ki
Senin dokunuşun gibisi yok
Beni neşelendirmenin yolu işte bu
Sonsuza kadar seninle burada olacağım

Şeftalimi Georgia'dan alıyorum, evet (İşte bu)
Otumu da Kaliforniya'dan alıyorum (İşte bu)
Fıstığımı kuzeye getirdim, evet (Havalı sürtüğüm benim)
Işığımı doğruca bu kaynaktan alıyorum, evet (Evet, işte bu)

Henüz emin değilsin
Ama ben eminim
Tek istediğim, tüm dilediğim bir başımıza birbirimizi özleyerek geçirdiğimiz geceler ve hatıra olarak biriktirdiğimiz anılar
Zaman yok, daha fazla zaman kazanmak istiyorum
Sana tüm hayatımı veriyorum
Sevgilimi terk ettim, Mallorca'dayım
Onu terk etmekten nefret ediyorum, benim için adeta bir işkence
Çantasını görevliye uzatırken
Onu tutamadığımı hatırlıyorum

Şeftalimi Georgia'dan alıyorum, evet (İşte bu)
Otumu da Kaliforniya'dan alıyorum (İşte bu)
Fıstığımı kuzeye getirdim, evet (Havalı sürtüğüm benim)
Işığımı doğruca bu kaynaktan alıyorum, evet (Evet, işte bu)

Hissediyorum, bu yüzden eminim
Ellerin ellerimde, çünkü seninim
Rol yapamam, görmezden gelemem, benim için en doğrusu sensin
Nerede olduğumu bilmek istediğini düşünme, oh
Dikkatim dağılmış
İhtiyacım olan tam da kollarımda (Oh)
Öpücüklerin benimkilerle birlikte en tatlısından
Sonsuza kadar seninle tam burada olacağım

Şeftalimi Georgia'dan alıyorum, evet (İşte bu)
Otumu da Kaliforniya'dan alıyorum (İşte bu)
Fıstığımı kuzeye getirdim evet, havalı sürtüğüm benim
Işığımı doğruca bu kaynaktan alıyorum, evet, evet, işte bu
Şeftalimi Georgia'dan alıyorum, evet (İşte bu)
Otumu da Kaliforniya'dan alıyorum (İşte bu)
Fıstığımı kuzeye getirdim evet, havalı sürtüğüm benim
Işığımı doğruca bu kaynaktan alıyorum, evet, evet, işte bu
Şeftalimi Georgia'dan alıyorum, evet (İşte bu)
Otumu da Kaliforniya'dan alıyorum (İşte bu)
Fıstığımı kuzeye getirdim evet, havalı sürtüğüm benim
Işığımı doğruca bu kaynaktan alıyorum, evet, evet, işte bu
Şeftalimi Georgia'dan alıyorum, evet (İşte bu)
Otumu da Kaliforniya'dan alıyorum (İşte bu)
Fıstığımı kuzeye getirdim evet, havalı sürtüğüm benim
Işığımı doğruca bu kaynaktan alıyorum, evet, evet, işte bu",
