,No.,Title,Artist(s)
0,1,"""Heat Waves""",Glass Animals
1,2,"""As It Was""",Harry Styles
2,3,"""Stay""",The Kid Laroi and Justin Bieber
3,4,"""Easy on Me""",Adele
4,5,"""Shivers""",Ed Sheeran
5,6,"""First Class""",Jack Harlow
6,7,"""Big Energy""",Latto
7,8,"""Ghost""",Justin Bieber
8,9,"""Super Gremlin""",Kodak Black
9,10,"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa
10,11,"""Wait for U""",Future featuring Drake and Tems
11,12,"""About Damn Time""",Lizzo
12,13,"""Bad Habits""",Ed Sheeran
13,14,"""Thats What I Want""",Lil Nas X
14,15,"""Enemy""",Imagine Dragons and JID
15,16,"""Industry Baby""",Lil Nas X and Jack Harlow
16,17,"""ABCDEFU""",Gayle
17,18,"""Need to Know""",Doja Cat
18,19,"""Wasted on You""",Morgan Wallen
19,20,"""Me Porto Bonito""",Bad Bunny and Chencho Corleone
20,21,"""Woman""",Doja Cat
21,22,"""Tití Me Preguntó""",Bad Bunny
22,23,"""Running Up That Hill (A Deal with God)""",Kate Bush
23,24,"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast"
24,25,"""Late Night Talking""",Harry Styles
25,26,"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat
26,27,"""You Proof""",Morgan Wallen
27,28,"""Bad Habit""",Steve Lacy
28,29,"""Sunroof""",Nicky Youre and Dazy
29,30,"""One Right Now""",Post Malone and the Weeknd
30,31,"""Good 4 U""",Olivia Rodrigo
31,32,"""Numb Little Bug""",Em Beihold
32,33,"""Jimmy Cooks""",Drake featuring 21 Savage
33,34,"""'Til You Can't""",Cody Johnson
34,35,"""Fancy Like""",Walker Hayes
35,36,"""The Kind of Love We Make""",Luke Combs
36,37,"""I Ain't Worried""",OneRepublic
37,38,"""Break My Soul""",Beyoncé
38,39,"""Something in the Orange""",Zach Bryan
39,40,"""Save Your Tears""",The Weeknd and Ariana Grande
40,41,"""Smokin out the Window""",Silk Sonic (Bruno Mars and Anderson .Paak)
41,42,"""Levitating""",Dua Lipa
42,43,"""In a Minute""",Lil Baby
43,44,"""Moscow Mule""",Bad Bunny
44,45,"""You Right""",Doja Cat and the Weeknd
45,46,"""She Had Me at Heads Carolina""",Cole Swindell
46,47,"""Vegas""",Doja Cat
47,48,"""Pushin P""",Gunna and Future featuring Young Thug
48,49,"""Buy Dirt""",Jordan Davis and Luke Bryan
49,50,"""I Hate U""",SZA
50,51,"""Boyfriend""",Dove Cameron
51,52,"""Glimpse of Us""",Joji
52,53,"""Surface Pressure""",Jessica Darrow
53,54,"""Fall in Love""",Bailey Zimmerman
54,55,"""Love Nwantiti (Ah Ah Ah)""",CKay
55,56,"""Super Freaky Girl""",Nicki Minaj
56,57,"""Hrs and Hrs""",Muni Long
57,58,"""Sand in My Boots""",Morgan Wallen
58,59,"""Mamiii""",Becky G and Karol G
59,60,"""Knife Talk""",Drake featuring 21 Savage and Project Pat
60,61,"""AA""",Walker Hayes
61,62,"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa
62,63,"""Provenza""",Karol G
63,64,"""Essence""",Wizkid featuring Justin Bieber and Tems
64,65,"""All I Want for Christmas Is You""",Mariah Carey
65,66,"""Bam Bam""",Camila Cabello featuring Ed Sheeran
66,67,"""5 Foot 9""",Tyler Hubbard
67,68,"""Get Into It (Yuh)""",Doja Cat
68,69,"""Efecto""",Bad Bunny
69,70,"""Rock and a Hard Place""",Bailey Zimmerman
70,71,"""Doin' This""",Luke Combs
71,72,"""Oh My God""",Adele
72,73,"""Better Days""","Neiked, Mae Muller and Polo G"
73,74,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole
74,75,"""Fingers Crossed""",Lauren Spencer-Smith
75,76,"""All Too Well (Taylor's Version)""",Taylor Swift
76,77,"""Party""",Bad Bunny and Rauw Alejandro
77,78,"""Después de la Playa""",Bad Bunny
78,79,"""You Should Probably Leave""",Chris Stapleton
79,80,"""Rockin' Around the Christmas Tree""",Brenda Lee
80,81,"""Broadway Girls""",Lil Durk featuring Morgan Wallen
81,82,"""Take My Name""",Parmalee
82,83,"""What Happened to Virgil""",Lil Durk featuring Gunna
83,84,"""Puffin on Zootiez""",Future
84,85,"""Like I Love Country Music""",Kane Brown
85,86,"""Jingle Bell Rock""",Bobby Helms
86,87,"""Ojitos Lindos""",Bad Bunny and Bomba Estéreo
87,88,"""Trouble with a Heartbreak""",Jason Aldean
88,89,"""A Holly Jolly Christmas""",Burl Ives
89,90,"""Kiss Me More""",Doja Cat featuring SZA
90,91,"""She Likes It""",Russell Dickerson featuring Jake Scott
91,92,"""Never Say Never""",Cole Swindell and Lainey Wilson
92,93,"""Damn Strait""",Scotty McCreery
93,94,"""She's All I Wanna Be""",Tate McRae
94,95,"""Last Night Lonely""",Jon Pardi
95,96,"""Flower Shops""",Ernest featuring Morgan Wallen
96,97,"""To the Moon""",Jnr Choi and Sam Tompkins
97,98,"""Unholy""",Sam Smith and Kim Petras
98,99,"""One Mississippi""",Kane Brown
99,100,"""Circles Around This Town""",Maren Morris
