,No.,Title,Artist(s)
0,1,"""Gangsta's Paradise""",Coolio featuring L.V.
1,2,"""Waterfalls""",TLC
2,3,"""Creep""",TLC
3,4,"""Kiss from a Rose""",Seal
4,5,"""On Bended Knee""",Boyz II Men
5,6,"""Another Night""",Real McCoy
6,7,"""Fantasy""",Mariah Carey
7,8,"""Take a Bow""",Madonna
8,9,"""Don't Take It Personal (Just One of Dem Days)""",Monica
9,10,"""This Is How We Do It""",Montell Jordan
10,11,"""I Know""",Dionne Farris
11,12,"""Water Runs Dry""",Boyz II Men
12,13,"""Freak Like Me""",Adina Howard
13,14,"""Run-Around""",Blues Traveler
14,15,"""I Can Love You Like That""",All-4-One
15,16,"""Have You Ever Really Loved a Woman?""",Bryan Adams
16,17,"""Always""",Bon Jovi
17,18,"""Boombastic"" / ""In the Summertime""",Shaggy
18,19,"""Total Eclipse of the Heart""",Nicki French
19,20,"""You Gotta Be""",Des'ree
20,21,"""You Are Not Alone""",Michael Jackson
21,22,"""Hold My Hand""",Hootie & the Blowfish
22,23,"""One More Chance/Stay with Me""",The Notorious B.I.G.
23,24,"""Here Comes the Hotstepper""",Ini Kamoze
24,25,"""Candy Rain""",Soul for Real
25,26,"""Let Her Cry""",Hootie & the Blowfish
26,27,"""I Believe""",Blessid Union of Souls
27,28,"""Red Light Special""",TLC
28,29,"""Runaway""",Janet Jackson
29,30,"""Strong Enough""",Sheryl Crow
30,31,"""Colors of the Wind""",Vanessa Williams
31,32,"""Someone to Love""",Jon B. featuring Babyface
32,33,"""Only Wanna Be with You""",Hootie & the Blowfish
33,34,"""If You Love Me""",Brownstone
34,35,"""In the House of Stone and Light""",Martin Page
35,36,"""I Got 5 on It""",Luniz
36,37,"""Baby""",Brandy
37,38,"""Run Away""",Real McCoy
38,39,"""As I Lay Me Down""",Sophie B. Hawkins
39,40,"""He's Mine""",MoKenStef
40,41,"""December""",Collective Soul
41,42,"""I'll Be There for You/You're All I Need to Get By""",Method Man featuring Mary J. Blige
42,43,"""Shy Guy""",Diana King
43,44,"""I'm the Only One""",Melissa Etheridge
44,45,"""Every Little Thing I Do""",Soul for Real
45,46,"""Before I Let You Go""",Blackstreet
46,47,"""Big Poppa"" / ""Warning""",The Notorious B.I.G.
47,48,"""Sukiyaki""",4 P.M.
48,49,"""I Wanna Be Down""",Brandy
49,50,"""I'll Make Love to You""",Boyz II Men
50,51,"""Dear Mama"" / ""Old School""",2Pac
51,52,"""Hold On""",Jamie Walters
52,53,"""Keep Their Heads Ringin'""",Dr. Dre
53,54,"""The Rhythm of the Night""",Corona
54,55,"""Roll to Me""",Del Amitri
55,56,"""Scream"" / ""Childhood""",Michael Jackson and Janet Jackson
56,57,"""Freek'n You""",Jodeci
57,58,"""I Wish""",Skee-Lo
58,59,"""Believe""",Elton John
59,60,"""Carnival""",Natalie Merchant
60,61,"""You Don't Know How It Feels""",Tom Petty
61,62,"""Back for Good""",Take That
62,63,"""Tootsee Roll""",69 Boyz
63,64,"""You Want This"" / ""70's Love Groove""",Janet Jackson
64,65,"""Tell Me""",Groove Theory
65,66,"""Can't You See""",Total featuring The Notorious B.I.G.
66,67,"""All I Wanna Do""",Sheryl Crow
67,68,"""This Lil' Game We Play""",Subway featuring 702
68,69,"""Come and Get Your Love""",Real McCoy
69,70,"""This Ain't a Love Song""",Bon Jovi
70,71,"""Secret""",Madonna
71,72,"""Player's Anthem""",Junior M.A.F.I.A. featuring The Notorious B.I.G.
72,73,"""Feel Me Flow""",Naughty by Nature
73,74,"""Every Day of the Week""",Jade
74,75,"""The Sweetest Days""",Vanessa Williams
75,76,"""Short Dick Man""",20 Fingers featuring Gillette
76,77,"""Brokenhearted""",Brandy
77,78,"""No More I Love You's""",Annie Lennox
78,79,"""You Used to Love Me""",Faith Evans
79,80,"""Constantly""",Immature
80,81,"""Hold Me, Thrill Me, Kiss Me, Kill Me""",U2
81,82,"""100% Pure Love""",Crystal Waters
82,83,"""Ask of You""",Raphael Saadiq
83,84,"""Sugar Hill""",AZ
84,85,"""Good""",Better Than Ezra
85,86,"""Brown Sugar""",D'Angelo
86,87,"""Turn the Beat Around""",Gloria Estefan
87,88,"""'Til You Do Me Right""",After 7
88,89,"""1st of tha Month""",Bone Thugs-n-Harmony
89,90,"""Like the Way I Do"" / ""If I Wanted To""",Melissa Etheridge
90,91,"""I Live My Life for You""",FireHouse
91,92,"""Dream About You"" / ""Funky Melody""",Stevie B
92,93,"""Cotton Eye Joe""",Rednex
93,94,"""Thank You""",Boyz II Men
94,95,"""I'll Stand by You""",The Pretenders
95,96,"""I Miss You""",N II U
96,97,"""Give It 2 You""",Da Brat
97,98,"""Best Friend""",Brandy
98,99,"""Misery""",Soul Asylum
99,100,"""Can't Stop Lovin' You""",Van Halen
