,No.,Title,Artist(s)
0,1,"""Bette Davis Eyes""",Kim Carnes
1,2,"""Endless Love""",Diana Ross & Lionel Richie
2,3,"""Lady""",Kenny Rogers
3,4,"""(Just Like) Starting Over""",John Lennon
4,5,"""Jessie's Girl""",Rick Springfield
5,6,"""Celebration""",Kool & the Gang
6,7,"""Kiss on My List""",Daryl Hall & John Oates
7,8,"""I Love a Rainy Night""",Eddie Rabbitt
8,9,"""9 To 5""",Dolly Parton
9,10,"""Keep on Loving You""",REO Speedwagon
10,11,"""Theme from The Greatest American Hero (Believe It or Not)""",Joey Scarbury
11,12,"""Morning Train (Nine to Five)""",Sheena Easton
12,13,"""Being with You""",Smokey Robinson
13,14,"""Queen of Hearts""",Juice Newton
14,15,"""Rapture""",Blondie
15,16,"""A Woman Needs Love (Just Like You Do)""",Raydio
16,17,"""The Tide Is High""",Blondie
17,18,"""Just the Two of Us""","Grover Washington, Jr. & Bill Withers"
18,19,"""Slow Hand""",The Pointer Sisters
19,20,"""I Love You""",Climax Blues Band
20,21,"""Woman""",John Lennon
21,22,"""Sukiyaki""",A Taste of Honey
22,23,"""The Winner Takes It All""",ABBA
23,24,"""Stars on 45 Medley""",Stars on 45
24,25,"""Angel of the Morning""",Juice Newton
25,26,"""Love on the Rocks""",Neil Diamond
26,27,"""Every Woman in the World""",Air Supply
27,28,"""The One That You Love""",Air Supply
28,29,"""Guilty""",Barbra Streisand & Barry Gibb
29,30,"""The Best of Times""",Styx
30,31,"""Elvira""",The Oak Ridge Boys
31,32,"""Take It on the Run""",REO Speedwagon
32,33,"""(There's) No Gettin' Over Me""",Ronnie Milsap
33,34,"""Living Inside Myself""",Gino Vannelli
34,35,"""Woman in Love""",Barbra Streisand
35,36,"""The Boy from New York City""",The Manhattan Transfer
36,37,"""Urgent""",Foreigner
37,38,"""Passion""",Rod Stewart
38,39,"""Lady (You Bring Me Up)""",Commodores
39,40,"""Crying""",Don McLean
40,41,"""Hearts""",Marty Balin
41,42,"""It's My Turn""",Diana Ross
42,43,"""You Make My Dreams""",Daryl Hall & John Oates
43,44,"""I Don't Need You""",Kenny Rogers
44,45,"""How 'Bout Us""",Champaign
45,46,"""Hit Me with Your Best Shot""",Pat Benatar
46,47,"""The Breakup Song (They Don't Write 'Em)""",The Greg Kihn Band
47,48,"""Time""",The Alan Parsons Project
48,49,"""Hungry Heart""",Bruce Springsteen
49,50,"""Sweetheart""",Franke and the Knockouts
50,51,"""Somebody's Knockin'""",Terri Gibbs
51,52,"""More Than I Can Say""",Leo Sayer
52,53,"""Together""",Tierra
53,54,"""Too Much Time on My Hands""",Styx
54,55,"""What Are We Doin' in Love""",Dottie West & Kenny Rogers
55,56,"""Who's Crying Now""",Journey
56,57,"""De Do Do Do, De Da Da Da""",The Police
57,58,"""This Little Girl""",Gary U.S. Bonds
58,59,"""Stop Draggin' My Heart Around""",Stevie Nicks & Tom Petty
59,60,"""Giving It Up for Your Love""",Delbert McClinton
60,61,"""A Little in Love""",Cliff Richard
61,62,"""America""",Neil Diamond
62,63,"""Ain't Even Done with the Night""",John Cougar
63,64,"""Arthur's Theme (Best That You Can Do)""",Christopher Cross
64,65,"""Another One Bites the Dust""",Queen
65,66,"""Games People Play""",The Alan Parsons Project
66,67,"""I Can't Stand It""",Eric Clapton
67,68,"""While You See a Chance""",Steve Winwood
68,69,"""Master Blaster (Jammin')""",Stevie Wonder
69,70,"""Hello Again""",Neil Diamond
70,71,"""Don't Stand So Close to Me""",The Police
71,72,"""Hey Nineteen""",Steely Dan
72,73,"""I Ain't Gonna Stand for It""",Stevie Wonder
73,74,"""All Those Years Ago""",George Harrison
74,75,"""Step By Step""",Eddie Rabbitt
75,76,"""The Stroke""",Billy Squier
76,77,"""Feels So Right""",Alabama
77,78,"""Sweet Baby""",Stanley Clarke & George Duke
78,79,"""Same Old Lang Syne""",Dan Fogelberg
79,80,"""Cool Love""",Pablo Cruise
80,81,"""Hold On Tight""",Electric Light Orchestra
81,82,"""It's Now or Never""",John Schneider
82,83,"""Treat Me Right""",Pat Benatar
83,84,"""Winning""",Santana
84,85,"""What Kind of Fool""",Barbra Streisand & Barry Gibb
85,86,"""Watching the Wheels""",John Lennon
86,87,"""Tell It Like It Is""",Heart
87,88,"""Smoky Mountain Rain""",Ronnie Milsap
88,89,"""I Made It Through the Rain""",Barry Manilow
89,90,"""You've Lost That Lovin' Feelin'""",Daryl Hall & John Oates
90,91,"""Suddenly""",Olivia Newton-John & Cliff Richard
91,92,"""For Your Eyes Only""",Sheena Easton
92,93,"""The Beach Boys Medley""",The Beach Boys
93,94,"""Whip It""",Devo
94,95,"""Modern Girl""",Sheena Easton
95,96,"""Really Wanna Know You""",Gary Wright
96,97,"""Seven Year Ache""",Rosanne Cash
97,98,"""I'm Coming Out""",Diana Ross
98,99,"""Miss Sun""",Boz Scaggs
99,100,"""Time Is Time""",Andy Gibb
