,No.,Title,Artist(s)
0,1,"""Somebody That I Used to Know""",Gotye featuring Kimbra
1,2,"""Call Me Maybe""",Carly Rae Jepsen
2,3,"""We Are Young""",Fun featuring Janelle Monáe
3,4,"""Payphone""",Maroon 5 featuring Wiz Khalifa
4,5,"""Lights""",Ellie Goulding
5,6,"""Glad You Came""",The Wanted
6,7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson
7,8,"""We Found Love""",Rihanna featuring Calvin Harris
8,9,"""Starships""",Nicki Minaj
9,10,"""What Makes You Beautiful""",One Direction
10,11,"""Wild Ones""",Flo Rida featuring Sia
11,12,"""Set Fire to the Rain""",Adele
12,13,"""Sexy and I Know It""",LMFAO
13,14,"""Some Nights""",Fun
14,15,"""Wide Awake""",Katy Perry
15,16,"""Good Feeling""",Flo Rida
16,17,"""Whistle""",Flo Rida
17,18,"""One More Night""",Maroon 5
18,19,"""Drive By""",Train
19,20,"""The Motto""",Drake featuring Lil Wayne
20,21,"""Where Have You Been""",Rihanna
21,22,"""Everybody Talks""",Neon Trees
22,23,"""Take Care""",Drake featuring Rihanna
23,24,"""Titanium""",David Guetta featuring Sia
24,25,"""I Won't Give Up""",Jason Mraz
25,26,"""It Will Rain""",Bruno Mars
26,27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz"
27,28,"""Boyfriend""",Justin Bieber
28,29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock
29,30,"""Too Close""",Alex Clare
30,31,"""Part of Me""",Katy Perry
31,32,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars
32,33,"""We Are Never Ever Getting Back Together""",Taylor Swift
33,34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean
34,35,"""Turn Me On""",David Guetta featuring Nicki Minaj
35,36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera
36,37,"""Blow Me (One Last Kiss)""",Pink
37,38,"""Good Time""",Owl City and Carly Rae Jepsen
38,39,"""Give Your Heart a Break""",Demi Lovato
39,40,"""Niggas in Paris""",Jay-Z and Kanye West
40,41,"""The One That Got Away""",Katy Perry
41,42,"""Feel So Close""",Calvin Harris
42,43,"""Someone like You""",Adele
43,44,"""Scream""",Usher
44,45,"""Rack City""",Tyga
45,46,"""Domino""",Jessie J
46,47,"""Gangnam Style""",Psy
47,48,"""International Love""",Pitbull featuring Chris Brown
48,49,"""Home""",Phillip Phillips
49,50,"""Without You""",David Guetta featuring Usher
50,51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch
51,52,"""Wanted""",Hunter Hayes
52,53,"""Drunk on You""",Luke Bryan
53,54,"""No Lie""",2 Chainz featuring Drake
54,55,"""Want U Back""",Cher Lloyd
55,56,"""Don't Wake Me Up""",Chris Brown
56,57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj
57,58,"""Springsteen""",Eric Church
58,59,"""Brokenhearted""",Karmin
59,60,"""Not Over You""",Gavin DeGraw
60,61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine
61,62,"""Back in Time""",Pitbull
62,63,"""Work Out""",J. Cole
63,64,"""Rumour Has It""",Adele
64,65,"""Let's Go""",Calvin Harris featuring Ne-Yo
65,66,"""Good Girl""",Carrie Underwood
66,67,"""Pontoon""",Little Big Town
67,68,"""Ho Hey""",The Lumineers
68,69,"""Paradise""",Coldplay
69,70,"""Blown Away""",Carrie Underwood
70,71,"""Rolling in the Deep""",Adele
71,72,"""Climax""",Usher
72,73,"""Work Hard, Play Hard""",Wiz Khalifa
73,74,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo
74,75,"""Pound the Alarm""",Nicki Minaj
75,76,"""Come Over""",Kenny Chesney
76,77,"""Heart Attack""",Trey Songz
77,78,"""Drank in My Cup""",Kirko Bangz
78,79,"""Birthday Cake""",Rihanna featuring Chris Brown
79,80,"""So Good""",B.o.B
80,81,"""50 Ways to Say Goodbye""",Train
81,82,"""Red Solo Cup""",Toby Keith
82,83,"""Love You Like a Love Song""",Selena Gomez & the Scene
83,84,"""Turn Up the Music""",Chris Brown
84,85,"""Die Young""",Kesha
85,86,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen
86,87,"""A Thousand Years""",Christina Perri
87,88,"""Take a Little Ride""",Jason Aldean
88,89,"""You da One""",Rihanna
89,90,"""We Run the Night""",Havana Brown featuring Pitbull
90,91,"""It's Time""",Imagine Dragons
91,92,"""Cashin' Out""",Cash Out
92,93,"""I Don't Want This Night to End""",Luke Bryan
93,94,"""Diamonds""",Rihanna
94,95,"""Hard to Love""",Lee Brice
95,96,"""Somethin' 'Bout a Truck""",Kip Moore
96,97,"""Adorn""",Miguel
97,98,"""Fly Over States""",Jason Aldean
98,99,"""Even If It Breaks Your Heart""",Eli Young Band
99,100,"""Burn It Down""",Linkin Park
