,No.,Title,Artist(s)
0,1,"""Tonight's the Night (Gonna Be Alright)""",Rod Stewart
1,2,"""I Just Want to Be Your Everything""",Andy Gibb
2,3,"""Best of My Love""",The Emotions
3,4,"""Evergreen (Love Theme from A Star Is Born)""",Barbra Streisand
4,5,"""Angel in Your Arms""",Hot
5,6,"""I Like Dreamin'""",Kenny Nolan
6,7,"""Don't Leave Me This Way""",Thelma Houston
7,8,"""(Your Love Has Lifted Me) Higher and Higher""",Rita Coolidge
8,9,"""Undercover Angel""",Alan O'Day
9,10,"""Torn Between Two Lovers""",Mary MacGregor
10,11,"""I'm Your Boogie Man""",KC and the Sunshine Band
11,12,"""Dancing Queen""",ABBA
12,13,"""You Make Me Feel Like Dancing""",Leo Sayer
13,14,"""Margaritaville""",Jimmy Buffett
14,15,"""Telephone Line""",Electric Light Orchestra
15,16,"""Whatcha Gonna Do?""",Pablo Cruise
16,17,"""Do You Wanna Make Love""",Peter McCann
17,18,"""Sir Duke""",Stevie Wonder
18,19,"""Hotel California""",Eagles
19,20,"""Got to Give It Up""",Marvin Gaye
20,21,"""Gonna Fly Now""",Bill Conti
21,22,"""Southern Nights""",Glen Campbell
22,23,"""Rich Girl""",Hall & Oates
23,24,"""When I Need You""",Leo Sayer
24,25,"""Hot Line""",The Sylvers
25,26,"""Car Wash""",Rose Royce
26,27,"""You Don't Have to Be a Star (To Be in My Show)""",Marilyn McCoo & Billy Davis Jr.
27,28,"""Fly Like an Eagle""",Steve Miller Band
28,29,"""Don't Give Up on Us""",David Soul
29,30,"""On and On""",Stephen Bishop
30,31,"""Feels Like the First Time""",Foreigner
31,32,"""Couldn't Get It Right""",Climax Blues Band
32,33,"""Easy""",Commodores
33,34,"""Right Time of the Night""",Jennifer Warnes
34,35,"""I've Got Love on My Mind""",Natalie Cole
35,36,"""Blinded by the Light""",Manfred Mann's Earth Band
36,37,"""Looks Like We Made It""",Barry Manilow
37,38,"""So in to You""",Atlanta Rhythm Section
38,39,"""Dreams""",Fleetwood Mac
39,40,"""Enjoy Yourself""",The Jacksons
40,41,"""Dazz""",Brick
41,42,"""I'm in You""",Peter Frampton
42,43,"""Lucille""",Kenny Rogers
43,44,"""The Things We Do for Love""",10cc
44,45,"""Da Doo Ron Ron""",Shaun Cassidy
45,46,"""Handy Man""",James Taylor
46,47,"""Just a Song Before I Go""","Crosby, Stills & Nash"
47,48,"""You and Me""",Alice Cooper
48,49,"""Swayin' to the Music (Slow Dancing)""",Johnny Rivers
49,50,"""Lonely Boy""",Andrew Gold
50,51,"""I Wish""",Stevie Wonder
51,52,"""Don't Stop""",Fleetwood Mac
52,53,"""Barracuda""",Heart
53,54,"""Strawberry Letter 23""",The Brothers Johnson
54,55,"""Night Moves""",Bob Seger & The Silver Bullet Band
55,56,"""You're My World""",Helen Reddy
56,57,"""Heard It in a Love Song""",The Marshall Tucker Band
57,58,"""Carry On Wayward Son""",Kansas
58,59,"""New Kid in Town""",Eagles
59,60,"""My Heart Belongs to Me""",Barbra Streisand
60,61,"""After the Lovin'""",Engelbert Humperdinck
61,62,"""Jet Airliner""",Steve Miller Band
62,63,"""Stand Tall""",Burton Cummings
63,64,"""Way Down""",Elvis Presley
64,65,"""Weekend in New England""",Barry Manilow
65,66,"""It Was Almost Like a Song""",Ronnie Milsap
66,67,"""Smoke from a Distant Fire""",Sanford-Townsend Band
67,68,"""Cold as Ice""",Foreigner
68,69,"""Ariel""",Dean Friedman
69,70,"""Lost Without Your Love""",Bread
70,71,"""Star Wars Theme/Cantina Band""",Meco
71,72,"""Float On""",The Floaters
72,73,"""Jeans On""",Lord David Dundas
73,74,"""Lido Shuffle""",Boz Scaggs
74,75,"""Keep It Comin' Love""",KC and the Sunshine Band
75,76,"""You Made Me Believe in Magic""",Bay City Rollers
76,77,"""Livin' Thing""",Electric Light Orchestra
77,78,"""Give a Little Bit""",Supertramp
78,79,"""That's Rock 'n' Roll""",Shaun Cassidy
79,80,"""Love So Right""",Bee Gees
80,81,"""The Rubberband Man""",The Spinners
81,82,"""I Never Cry""",Alice Cooper
82,83,"""Nobody Does It Better""",Carly Simon
83,84,"""High School Dance""",The Sylvers
84,85,"""Love's Grown Deep""",Kenny Nolan
85,86,"""Ain't Gonna Bump No More (With No Big Fat Woman)""",Joe Tex
86,87,"""I Wanna Get Next to You""",Rose Royce
87,88,"""Somebody to Love""",Queen
88,89,"""Muskrat Love""",Captain & Tennille
89,90,"""Walk This Way""",Aerosmith
90,91,"""Cherchez La Femme""",Dr. Buzzard's Original Savannah Band
91,92,"""Year of the Cat""",Al Stewart
92,93,"""Boogie Nights""",Heatwave
93,94,"""Go Your Own Way""",Fleetwood Mac
94,95,"""Sorry Seems to Be the Hardest Word""",Elton John
95,96,"""Don't Worry Baby""",B.J. Thomas
96,97,"""Knowing Me, Knowing You""",ABBA
97,98,"""How Much Love""",Leo Sayer
98,99,"""Star Wars (Main Title)""",London Symphony Orchestra
99,100,"""Devil's Gun""",C.J. & Company
