,No.,Title,Artist(s)
0,1,"""Call Me""",Blondie
1,2,"""Another Brick in the Wall, Part II""",Pink Floyd
2,3,"""Magic""",Olivia Newton-John
3,4,"""Rock with You""",Michael Jackson
4,5,"""Do That to Me One More Time""",Captain & Tennille
5,6,"""Crazy Little Thing Called Love""",Queen
6,7,"""Coming Up""",Paul McCartney
7,8,"""Funkytown""",Lipps Inc.
8,9,"""It's Still Rock and Roll to Me""",Billy Joel
9,10,"""The Rose""",Bette Midler
10,11,"""Escape (The Piña Colada Song)""",Rupert Holmes
11,12,"""Cars""",Gary Numan
12,13,"""Cruisin""",Smokey Robinson
13,14,"""Working My Way Back to You/Forgive Me, Girl""",The Spinners
14,15,"""Lost in Love""",Air Supply
15,16,"""Little Jeannie""",Elton John
16,17,"""Ride Like the Wind""",Christopher Cross
17,18,"""Upside Down""",Diana Ross
18,19,"""Please Don't Go""",KC and the Sunshine Band
19,20,"""Babe""",Styx
20,21,"""With You I'm Born Again""",Billy Preston and Syreeta
21,22,"""Shining Star""",The Manhattans
22,23,"""Still""",Commodores
23,24,"""Yes, I'm Ready""",Teri DeSario & KC
24,25,"""Sexy Eyes""",Dr. Hook
25,26,"""Steal Away""",Robbie Dupree
26,27,"""Biggest Part of Me""",Ambrosia
27,28,"""This Is It""",Kenny Loggins
28,29,"""Cupid/I've Loved You for a Long Time""",The Spinners
29,30,"""Let's Get Serious""",Jermaine Jackson
30,31,"""Don't Fall in Love with a Dreamer""",Kenny Rogers & Kim Carnes
31,32,"""Sailing""",Christopher Cross
32,33,"""Longer""",Dan Fogelberg
33,34,"""Coward of the County""",Kenny Rogers
34,35,"""Ladies' Night""",Kool & the Gang
35,36,"""Too Hot""",Kool & the Gang
36,37,"""Take Your Time (Do It Right)""",The S.O.S. Band
37,38,"""No More Tears (Enough Is Enough)""",Barbra Streisand & Donna Summer
38,39,"""More Love""",Kim Carnes
39,40,"""Pop Muzik""",M
40,41,"""Brass in Pocket""",The Pretenders
41,42,"""Special Lady""","Ray, Goodman & Brown"
42,43,"""Send One Your Love""",Stevie Wonder
43,44,"""The Second Time Around""",Shalamar
44,45,"""We Don't Talk Anymore""",Cliff Richard
45,46,"""Stomp!""",The Brothers Johnson
46,47,"""Heartache Tonight""",Eagles
47,48,"""Tired of Toein' the Line""",Rocky Burnette
48,49,"""Better Love Next Time""",Dr. Hook
49,50,"""Him""",Rupert Holmes
50,51,"""Against the Wind""",Bob Seger and the Silver Bullet Band
51,52,"""On the Radio""",Donna Summer
52,53,"""Emotional Rescue""",The Rolling Stones
53,54,"""Rise""",Herb Alpert
54,55,"""All Out of Love""",Air Supply
55,56,"""Cool Change""",Little River Band
56,57,"""You're Only Lonely""",JD Souther
57,58,"""Desire""",Andy Gibb
58,59,"""Let My Love Open the Door""",Pete Townshend
59,60,"""Romeo's Tune""",Steve Forbert
60,61,"""Daydream Believer""",Anne Murray
61,62,"""I Can't Tell You Why""",Eagles
62,63,"""Don't Let Go""",Isaac Hayes
63,64,"""Don't Do Me Like That""",Tom Petty and the Heartbreakers
64,65,"""She's Out of My Life""",Michael Jackson
65,66,"""Fame""",Irene Cara
66,67,"""Fire Lake""",Bob Seger and the Silver Bullet Band
67,68,"""How Do I Make You""",Linda Ronstadt
68,69,"""Into the Night""",Benny Mardones
69,70,"""Let Me Love You Tonight""",Pure Prairie League
70,71,"""Misunderstanding""",Genesis
71,72,"""An American Dream""",The Dirt Band
72,73,"""One Fine Day""",Carole King
73,74,"""Dim All the Lights""",Donna Summer
74,75,"""You May Be Right""",Billy Joel
75,76,"""Should've Never Let You Go""",Neil & Dara Sedaka
76,77,"""Pilot of the Airwaves""",Charlie Dore
77,78,"""Hurt So Bad""",Linda Ronstadt
78,79,"""Off the Wall""",Michael Jackson
79,80,"""I Pledge My Love""",Peaches & Herb
80,81,"""The Long Run""",Eagles
81,82,"""Stand by Me""",Mickey Gilley
82,83,"""Heartbreaker""",Pat Benatar
83,84,"""Déjà Vu""",Dionne Warwick
84,85,"""Drivin' My Life Away""",Eddie Rabbitt
85,86,"""Take the Long Way Home""",Supertramp
86,87,"""Sara""",Fleetwood Mac
87,88,"""Wait for Me""",Daryl Hall & John Oates
88,89,"""Jojo""",Boz Scaggs
89,90,"""September Morn""",Neil Diamond
90,91,"""Give Me the Night""",George Benson
91,92,"""Broken Hearted Me""",Anne Murray
92,93,"""You Decorated My Life""",Kenny Rogers
93,94,"""Tusk""",Fleetwood Mac
94,95,"""I Wanna Be Your Lover""",Prince
95,96,"""In America""",Charlie Daniels Band
96,97,"""Breakdown Dead Ahead""",Boz Scaggs
97,98,"""Ships""",Barry Manilow
98,99,"""All Night Long""",Joe Walsh
99,100,"""Refugee""",Tom Petty and the Heartbreakers
