,No.,Title,Artist(s)
0,1,"""Breathe""",Faith Hill
1,2,"""Smooth""",Santana featuring Rob Thomas
2,3,"""Maria Maria""",Santana featuring The Product G&B
3,4,"""I Wanna Know""",Joe
4,5,"""Everything You Want""",Vertical Horizon
5,6,"""Say My Name""",Destiny's Child
6,7,"""I Knew I Loved You""",Savage Garden
7,8,"""Amazed""",Lonestar
8,9,"""Bent""",Matchbox Twenty
9,10,"""He Wasn't Man Enough""",Toni Braxton
10,11,"""Higher""",Creed
11,12,"""Try Again""",Aaliyah
12,13,"""Jumpin', Jumpin'""",Destiny's Child
13,14,"""Thong Song""",Sisqó
14,15,"""Kryptonite""",3 Doors Down
15,16,"""There You Go""",Pink
16,17,"""Music""",Madonna
17,18,"""Doesn't Really Matter""",Janet Jackson
18,19,"""What a Girl Wants""",Christina Aguilera
19,20,"""Back at One""",Brian McKnight
20,21,"""Bye Bye Bye""",NSYNC
21,22,"""You Sang to Me""",Marc Anthony
22,23,"""I Need to Know""",Marc Anthony
23,24,"""Get It On Tonite""",Montell Jordan
24,25,"""Incomplete""",Sisqó
25,26,"""I Try""",Macy Gray
26,27,"""It's Gonna Be Me""",NSYNC
27,28,"""That's the Way It Is""",Celine Dion
28,29,"""Country Grammar (Hot Shit)""",Nelly
29,30,"""Bring It All to Me""",Blaque
30,31,"""Show Me the Meaning of Being Lonely""",Backstreet Boys
31,32,"""Hot Boyz""","Missy Elliott featuring Nas, Eve and Q-Tip"
32,33,"""Back Here""",BBMak
33,34,"""It Feels So Good""",Sonique
34,35,"""Absolutely (Story of a Girl)""",Nine Days
35,36,"""With Arms Wide Open""",Creed
36,37,"""Be with You""",Enrique Iglesias
37,38,"""Come On Over Baby (All I Want Is You)""",Christina Aguilera
38,39,"""No More""",Ruff Endz
39,40,"""All the Small Things""",Blink-182
40,41,"""The Way You Love Me""",Faith Hill
41,42,"""I Turn to You""",Christina Aguilera
42,43,"""Never Let You Go""",Third Eye Blind
43,44,"""I Need You""",LeAnn Rimes
44,45,"""Thank God I Found You""",Mariah Carey featuring Joe and 98 Degrees
45,46,"""Let's Get Married""",Jagged Edge
46,47,"""My Love Is Your Love""",Whitney Houston
47,48,"""Then the Morning Comes""",Smash Mouth
48,49,"""Blue (Da Ba Dee)""",Eiffel 65
49,50,"""Desert Rose""",Sting featuring Cheb Mami
50,51,"""The Real Slim Shady""",Eminem
51,52,"""Most Girls""",Pink
52,53,"""Wifey""",Next
53,54,"""Wonderful""",Everclear
54,55,"""Oops!... I Did It Again""",Britney Spears
55,56,"""I Wanna Love You Forever""",Jessica Simpson
56,57,"""Give Me Just One Night (Una Noche)""",98 Degrees
57,58,"""Take a Picture""",Filter
58,59,"""Otherside""",Red Hot Chili Peppers
59,60,"""Big Pimpin'""",Jay-Z featuring UGK
60,61,"""Purest of Pain (A Puro Dolor)""",Son by Four
61,62,"""He Can't Love U""",Jagged Edge
62,63,"""Separated""",Avant
63,64,"""I Wish""",Carl Thomas
64,65,"""U Know What's Up""",Donell Jones
65,66,"""Faded""",soulDecision featuring Thrust
66,67,"""Only God Knows Why""",Kid Rock
67,68,"""Shake Ya Ass""",Mystikal
68,69,"""Bag Lady""",Erykah Badu
69,70,"""Meet Virginia""",Train
70,71,"""Party Up (Up in Here)""",DMX
71,72,"""Case of the Ex (Whatcha Gonna Do)""",Mýa
72,73,"""Forgot About Dre""",Dr. Dre featuring Eminem
73,74,"""That's the Way""",Jo Dee Messina
74,75,"""Swear It Again""",Westlife
75,76,"""The Next Episode""",Dr. Dre featuring Snoop Dogg
76,77,"""From the Bottom of My Broken Heart""",Britney Spears
77,78,"""Crash and Burn""",Savage Garden
78,79,"""Yes!""",Chad Brock
79,80,"""The Best Day""",George Strait
80,81,"""Where I Wanna Be""",Donell Jones
81,82,"""How Do You Like Me Now?!""",Toby Keith
82,83,"""My Best Friend""",Tim McGraw
83,84,"""Broadway""",Goo Goo Dolls
84,85,"""What'chu Like""",Da Brat featuring Tyrese
85,86,"""Don't Think I'm Not""",Kandi
86,87,"""I Hope You Dance""",Lee Ann Womack with Sons of the Desert
87,88,"""Better Off Alone""",Alice Deejay
88,89,"""Dance with Me""",Debelah Morgan
89,90,"""What About Now""",Lonestar
90,91,"""I Like It""",Sammie
91,92,"""24/7""",Kevon Edmonds
92,93,"""Girl on TV""",LFO
93,94,"""Bounce with Me""",Lil' Bow Wow featuring Xscape
94,95,"""Cowboy Take Me Away""",Dixie Chicks
95,96,"""I Don't Wanna""",Aaliyah
96,97,"""Independent Women Part I""",Destiny's Child
97,98,"""Gotta Tell You""",Samantha Mumba
98,99,"""Waiting for Tonight""",Jennifer Lopez
99,100,"""Shackles (Praise You)""",Mary Mary
