,No.,Title,Artist(s)
0,1,"""Hold On""",Wilson Phillips
1,2,"""It Must Have Been Love""",Roxette
2,3,"""Nothing Compares 2 U""",Sinéad O'Connor
3,4,"""Poison""",Bell Biv DeVoe
4,5,"""Vogue""",Madonna
5,6,"""Vision of Love""",Mariah Carey
6,7,"""Another Day in Paradise""",Phil Collins
7,8,"""Hold On""",En Vogue
8,9,"""Cradle of Love""",Billy Idol
9,10,"""Blaze of Glory""",Jon Bon Jovi
10,11,"""Do Me!""",Bell Biv DeVoe
11,12,"""How Am I Supposed to Live Without You""",Michael Bolton
12,13,"""Pump Up the Jam""",Technotronic
13,14,"""Opposites Attract""",Paula Abdul
14,15,"""Escapade""",Janet Jackson
15,16,"""All I Wanna Do Is Make Love to You""",Heart
16,17,"""Close to You""",Maxi Priest
17,18,"""Black Velvet""",Alannah Myles
18,19,"""Release Me""",Wilson Phillips
19,20,"""Don't Know Much""",Linda Ronstadt featuring Aaron Neville
20,21,"""All Around the World""",Lisa Stansfield
21,22,"""I Wanna Be Rich""",Calloway
22,23,"""Rub You the Right Way""",Johnny Gill
23,24,"""She Ain't Worth It""",Glenn Medeiros featuring Bobby Brown
24,25,"""If Wishes Came True""",Sweet Sensation
25,26,"""The Power""",Snap!
26,27,"""(Can't Live Without Your) Love and Affection""",Nelson
27,28,"""Love Will Lead You Back""",Taylor Dayne
28,29,"""Don't Wanna Fall in Love""",Jane Child
29,30,"""Two to Make It Right""",Seduction
30,31,"""Sending All My Love""",Linear
31,32,"""Unskinny Bop""",Poison
32,33,"""Step by Step""",New Kids on the Block
33,34,"""Dangerous""",Roxette
34,35,"""We Didn't Start the Fire""",Billy Joel
35,36,"""I Don't Have the Heart""",James Ingram
36,37,"""Downtown Train""",Rod Stewart
37,38,"""Rhythm Nation""",Janet Jackson
38,39,"""I'll Be Your Everything""",Tommy Page
39,40,"""Roam""",The B-52's
40,41,"""Everything""",Jody Watley
41,42,"""Back to Life (However Do You Want Me)""",Soul II Soul featuring Caron Wheeler
42,43,"""Here and Now""",Luther Vandross
43,44,"""Alright""",Janet Jackson
44,45,"""Ice Ice Baby""",Vanilla Ice
45,46,"""Blame It on the Rain""",Milli Vanilli
46,47,"""Have You Seen Her""",MC Hammer
47,48,"""With Every Beat of My Heart""",Taylor Dayne
48,49,"""Come Back to Me""",Janet Jackson
49,50,"""No More Lies""",Michel'le
50,51,"""Praying for Time""",George Michael
51,52,"""How Can We Be Lovers""",Michael Bolton
52,53,"""Do You Remember?""",Phil Collins
53,54,"""Ready or Not""",After 7
54,55,"""U Can't Touch This""",MC Hammer
55,56,"""I Wish It Would Rain Down""",Phil Collins
56,57,"""Just Between You and Me""",Lou Gramm
57,58,"""Something Happened on the Way to Heaven""",Phil Collins
58,59,"""Black Cat""",Janet Jackson
59,60,"""Can't Stop""",After 7
60,61,"""Janie's Got a Gun""",Aerosmith
61,62,"""The Humpty Dance""",Digital Underground
62,63,"""I'll Be Your Shelter""",Taylor Dayne
63,64,"""Free Fallin'""",Tom Petty
64,65,"""Giving You the Benefit""",Pebbles
65,66,"""Enjoy the Silence""",Depeche Mode
66,67,"""Love Song""",Tesla
67,68,"""Price of Love""",Bad English
68,69,"""Girls Nite Out""",Tyler Collins
69,70,"""King of Wishful Thinking""",Go West
70,71,"""What Kind of Man Would I Be?""",Chicago
71,72,"""I Remember You""",Skid Row
72,73,"""Get Up! (Before the Night Is Over)""",Technotronic featuring Ya Kid K
73,74,"""Here We Are""",Gloria Estefan
74,75,"""Epic""",Faith No More
75,76,"""Love Takes Time""",Mariah Carey
76,77,"""Just Like Jesse James""",Cher
77,78,"""Love Shack""",The B-52's
78,79,"""All or Nothing""",Milli Vanilli
79,80,"""Romeo""",Dino
80,81,"""Everybody Everybody""",Black Box
81,82,"""I Go to Extremes""",Billy Joel
82,83,"""Whip Appeal""",Babyface
83,84,"""Oh Girl""",Paul Young
84,85,"""C'mon and Get My Love""",D Mob with Cathy Dennis
85,86,"""(It's Just) The Way That You Love Me""",Paula Abdul
86,87,"""We Can't Go Wrong""",The Cover Girls
87,88,"""When I'm Back on My Feet Again""",Michael Bolton
88,89,"""Make You Sweat""",Keith Sweat
89,90,"""This One's for the Children""",New Kids on the Block
90,91,"""What It Takes""",Aerosmith
91,92,"""Forever""",Kiss
92,93,"""Jerk Out""",The Time
93,94,"""Just a Friend""",Biz Markie
94,95,"""Whole Wide World""",A'Me Lorain
95,96,"""Without You""",Mötley Crüe
96,97,"""Swing the Mood""",Jive Bunny and the Mastermixers
97,98,"""Thieves in the Temple""",Prince
98,99,"""Mentirosa""",Mellow Man Ace
99,100,"""Tic-Tac-Toe""",Kyper
