,No.,Title,Artist(s)
0,1,"""Love Yourself""",Justin Bieber
1,2,"""Sorry""",Justin Bieber
2,3,"""One Dance""",Drake featuring Wizkid and Kyla
3,4,"""Work""",Rihanna featuring Drake
4,5,"""Stressed Out""",Twenty One Pilots
5,6,"""Panda""",Desiigner
6,7,"""Hello""",Adele
7,8,"""Don't Let Me Down""",The Chainsmokers featuring Daya
8,9,"""Can't Stop the Feeling!""",Justin Timberlake
9,10,"""Closer""",The Chainsmokers featuring Halsey
10,11,"""Cheap Thrills""",Sia featuring Sean Paul
11,12,"""7 Years""",Lukas Graham
12,13,"""Needed Me""",Rihanna
13,14,"""My House""",Flo Rida
14,15,"""I Took a Pill in Ibiza""",Mike Posner
15,16,"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign
16,17,"""This Is What You Came For""",Calvin Harris featuring Rihanna
17,18,"""Cake by the Ocean""",DNCE
18,19,"""Me, Myself & I""",G-Eazy and Bebe Rexha
19,20,"""Ride""",Twenty One Pilots
20,21,"""Heathens""",Twenty One Pilots
21,22,"""Pillowtalk""",Zayn
22,23,"""Stitches""",Shawn Mendes
23,24,"""Hotline Bling""",Drake
24,25,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ
25,26,"""Send My Love (To Your New Lover)""",Adele
26,27,"""Roses""",The Chainsmokers featuring Rozes
27,28,"""Treat You Better""",Shawn Mendes
28,29,"""Too Good""",Drake featuring Rihanna
29,30,"""Low Life""",Future featuring The Weeknd
30,31,"""What Do You Mean?""",Justin Bieber
31,32,"""The Hills""",The Weeknd
32,33,"""Just Like Fire""",P!nk
33,34,"""Broccoli""",DRAM featuring Lil Yachty
34,35,"""Don't""",Bryson Tiller
35,36,"""Dangerous Woman""",Ariana Grande
36,37,"""Jumpman""",Drake and Future
37,38,"""I Hate U, I Love U""",Gnash featuring Olivia O'Brien
38,39,"""Here""",Alessia Cara
39,40,"""Same Old Love""",Selena Gomez
40,41,"""Controlla""",Drake
41,42,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend
42,43,"""One Call Away""",Charlie Puth
43,44,"""Let It Go""",James Bay
44,45,"""No""",Meghan Trainor
45,46,"""Never Forget You""",Zara Larsson and MNEK
46,47,"""Let Me Love You""",DJ Snake featuring Justin Bieber
47,48,"""Don't Mind""",Kent Jones
48,49,"""H.O.L.Y.""",Florida Georgia Line
49,50,"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez
50,51,"""Into You""",Ariana Grande
51,52,"""Gold""",Kiiara
52,53,"""Exchange""",Bryson Tiller
53,54,"""679""",Fetty Wap featuring Remy Boyz
54,55,"""Oui""",Jeremih
55,56,"""Hands to Myself""",Selena Gomez
56,57,"""2 Phones""",Kevin Gates
57,58,"""Starboy""",The Weeknd featuring Daft Punk
58,59,"""For Free""",DJ Khaled featuring Drake
59,60,"""Never Be Like You""",Flume featuring Kai
60,61,"""In the Night""",The Weeknd
61,62,"""Me Too""",Meghan Trainor
62,63,"""Ex's & Oh's""",Elle King
63,64,"""Die a Happy Man""",Thomas Rhett
64,65,"""White Iverson""",Post Malone
65,66,"""Close""",Nick Jonas featuring Tove Lo
66,67,"""Unsteady""",X Ambassadors
67,68,"""Sucker for Pain""","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadors"
68,69,"""Down in the DM""",Yo Gotti featuring Nicki Minaj
69,70,"""Luv""",Tory Lanez
70,71,"""Sorry""",Beyoncé
71,72,"""Can't Feel My Face""",The Weeknd
72,73,"""Hymn for the Weekend""",Coldplay
73,74,"""Say It""",Tory Lanez
74,75,"""Antidote""",Travis Scott
75,76,"""Lost Boy""",Ruth B
76,77,"""Side to Side""",Ariana Grande featuring Nicki Minaj
77,78,"""Sit Still, Look Pretty""",Daya
78,79,"""Wildest Dreams""",Taylor Swift
79,80,"""Middle""",DJ Snake featuring Bipolar Sunshine
80,81,"""On My Mind""",Ellie Goulding
81,82,"""Pop Style""",Drake featuring Jay-Z and Kanye West[a]
82,83,"""When We Were Young""",Adele
83,84,"""Hide Away""",Daya
84,85,"""Lean On""",Major Lazer and DJ Snake featuring MØ
85,86,"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello
86,87,"""All the Way Up""",Fat Joe and Remy Ma featuring French Montana and Infared
87,88,"""Watch Me""",Silentó
88,89,"""Back to Sleep""",Chris Brown
89,90,"""No Limit""",Usher featuring Young Thug
90,91,"""Cut It""",O.T. Genasis featuring Young Dolph
91,92,"""Really Really""",Kevin Gates
92,93,"""All In My Head (Flex)""",Fifth Harmony featuring Fetty Wap
93,94,"""Starving""",Hailee Steinfeld and Grey featuring Zedd
94,95,"""Adventure of a Lifetime""",Coldplay
95,96,"""Humble and Kind""",Tim McGraw
96,97,"""Wicked""",Future
97,98,"""Tiimmy Turner""",Desiigner
98,99,"""See You Again""",Wiz Khalifa featuring Charlie Puth
99,100,"""Perfect""",One Direction
