,No.,Title,Artist(s)
0,1,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",Elton John
1,2,"""You Were Meant for Me"" / ""Foolish Games""",Jewel
2,3,"""I'll Be Missing You""",Puff Daddy and Faith Evans featuring 112
3,4,"""Un-Break My Heart""",Toni Braxton
4,5,"""Can't Nobody Hold Me Down""",Puff Daddy featuring Mase
5,6,"""I Believe I Can Fly""",R. Kelly
6,7,"""Don't Let Go (Love)""",En Vogue
7,8,"""Return of the Mack""",Mark Morrison
8,9,"""How Do I Live""",LeAnn Rimes
9,10,"""Wannabe""",Spice Girls
10,11,"""Quit Playing Games (With My Heart)""",Backstreet Boys
11,12,"""MMMBop""",Hanson
12,13,"""For You I Will""",Monica
13,14,"""You Make Me Wanna...""",Usher
14,15,"""Bitch""",Meredith Brooks
15,16,"""Nobody""",Keith Sweat featuring Athena Cage
16,17,"""Semi-Charmed Life""",Third Eye Blind
17,18,"""Barely Breathing""",Duncan Sheik
18,19,"""Hard to Say I'm Sorry""",Az Yet featuring Peter Cetera
19,20,"""Mo Money Mo Problems""",The Notorious B.I.G. featuring Puff Daddy and Mase
20,21,"""The Freshmen""",The Verve Pipe
21,22,"""I Want You""",Savage Garden
22,23,"""No Diggity""",Blackstreet featuring Dr. Dre
23,24,"""I Belong to You (Every Time I See Your Face)""",Rome
24,25,"""Hypnotize""",The Notorious B.I.G.
25,26,"""Every Time I Close My Eyes""",Babyface
26,27,"""In My Bed""",Dru Hill
27,28,"""Say You'll Be There""",Spice Girls
28,29,"""Do You Know (What It Takes)""",Robyn
29,30,"""4 Seasons of Loneliness""",Boyz II Men
30,31,"""G.H.E.T.T.O.U.T.""",Changing Faces
31,32,"""Honey""",Mariah Carey
32,33,"""I Believe in You and Me""",Whitney Houston
33,34,"""Da' Dip""",Freak Nasty
34,35,"""2 Become 1""",Spice Girls
35,36,"""All for You""",Sister Hazel
36,37,"""Cupid""",112
37,38,"""Where Have All the Cowboys Gone?""",Paula Cole
38,39,"""Sunny Came Home""",Shawn Colvin
39,40,"""It's Your Love""",Tim McGraw with Faith Hill
40,41,"""Ooh Aah... Just a Little Bit""",Gina G
41,42,"""Mouth""",Merril Bainbridge
42,43,"""All Cried Out""",Allure featuring 112
43,44,"""I'm Still in Love with You""",New Edition
44,45,"""Invisible Man""",98 Degrees
45,46,"""Not Tonight""","Lil' Kim featuring Da Brat, Left Eye, Missy Elliott and Angie Martinez"
46,47,"""Look into My Eyes""",Bone Thugs-n-Harmony
47,48,"""Get It Together""",702
48,49,"""All by Myself""",Celine Dion
49,50,"""It's All Coming Back to Me Now""",Celine Dion
50,51,"""My Love Is the Shhh!""",Somethin' for the People featuring Trina & Tamara
51,52,"""Where Do You Go""",No Mercy
52,53,"""I Finally Found Someone""",Barbra Streisand and Bryan Adams
53,54,"""I'll Be""",Foxy Brown featuring Jay-Z
54,55,"""If It Makes You Happy""",Sheryl Crow
55,56,"""Never Make a Promise""",Dru Hill
56,57,"""When You Love a Woman""",Journey
57,58,"""Up Jumps da Boogie""",Magoo and Timbaland
58,59,"""I Don't Want To"" / ""I Love Me Some Him""",Toni Braxton
59,60,"""Everyday Is a Winding Road""",Sheryl Crow
60,61,"""Cold Rock a Party""",MC Lyte
61,62,"""Pony""",Ginuwine
62,63,"""Building a Mystery""",Sarah McLachlan
63,64,"""I Love You Always Forever""",Donna Lewis
64,65,"""Your Woman""",White Town
65,66,"""C U When U Get There""",Coolio featuring 40 Thevz
66,67,"""Change the World""",Eric Clapton
67,68,"""My Baby Daddy""",B-Rock and the Bizz
68,69,"""Tubthumping""",Chumbawamba
69,70,"""Gotham City""",R. Kelly
70,71,"""Last Night""",Az Yet
71,72,"""ESPN Presents The Jock Jam""",Various Artists
72,73,"""Big Daddy""",Heavy D
73,74,"""What About Us""",Total
74,75,"""Smile""",Scarface featuring 2Pac and Johnny P.
75,76,"""What's on Tonight""",Montell Jordan
76,77,"""Secret Garden""",Bruce Springsteen
77,78,"""The One I Gave My Heart To""",Aaliyah
78,79,"""Fly Like an Eagle""",Seal
79,80,"""No Time""",Lil' Kim featuring Puff Daddy
80,81,"""Naked Eye""",Luscious Jackson
81,82,"""Macarena (Bayside Boys Mix)""",Los del Río
82,83,"""On & On""",Erykah Badu
83,84,"""Don't Wanna Be a Player""",Joe
84,85,"""I Shot the Sheriff""",Warren G
85,86,"""You Should Be Mine (Don't Waste Your Time)""",Brian McKnight featuring Mase
86,87,"""Don't Cry for Me Argentina""",Madonna
87,88,"""Someone""",SWV featuring Puff Daddy
88,89,"""Go the Distance""",Michael Bolton
89,90,"""One More Time""",Real McCoy
90,91,"""Butta Love""",Next
91,92,"""Coco Jamboo""",Mr. President
92,93,"""Twisted""",Keith Sweat
93,94,"""Barbie Girl""",Aqua
94,95,"""When You're Gone"" / ""Free to Decide""",The Cranberries
95,96,"""Let Me Clear My Throat""",DJ Kool
96,97,"""I Like It""",The Blackout All-Stars
97,98,"""You're Makin' Me High"" / ""Let It Flow""",Toni Braxton
98,99,"""You Must Love Me""",Madonna
99,100,"""Let It Go""",Ray J
