,No.,Title,Artist(s)
0,1,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz
1,2,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams
2,3,"""Radioactive""",Imagine Dragons
3,4,"""Harlem Shake""",Baauer
4,5,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton
5,6,"""Mirrors""",Justin Timberlake
6,7,"""Just Give Me a Reason""",Pink featuring Nate Ruess
7,8,"""When I Was Your Man""",Bruno Mars
8,9,"""Cruise""",Florida Georgia Line featuring Nelly
9,10,"""Roar""",Katy Perry
10,11,"""Locked Out of Heaven""",Bruno Mars
11,12,"""Ho Hey""",The Lumineers
12,13,"""Stay""",Rihanna featuring Mikky Ekko
13,14,"""Get Lucky""",Daft Punk featuring Pharrell Williams
14,15,"""Royals""",Lorde
15,16,"""I Knew You Were Trouble.""",Taylor Swift
16,17,"""We Can't Stop""",Miley Cyrus
17,18,"""Wrecking Ball""",Miley Cyrus
18,19,"""Wake Me Up""",Avicii
19,20,"""Suit & Tie""",Justin Timberlake featuring Jay-Z
20,21,"""Cups (Pitch Perfect's When I'm Gone)""",Anna Kendrick
21,22,"""Holy Grail""",Jay-Z featuring Justin Timberlake
22,23,"""Scream & Shout""",will.i.am featuring Britney Spears
23,24,"""Clarity""",Zedd featuring Foxes
24,25,"""Sail""",Awolnation
25,26,"""Don't You Worry Child""",Swedish House Mafia featuring John Martin
26,27,"""Diamonds""",Rihanna
27,28,"""I Love It""",Icona Pop featuring Charli XCX
28,29,"""Safe and Sound""",Capital Cities
29,30,"""Treasure""",Bruno Mars
30,31,"""The Way""",Ariana Grande featuring Mac Miller
31,32,"""Started from the Bottom""",Drake
32,33,"""Come & Get It""",Selena Gomez
33,34,"""Hold On, We're Going Home""",Drake featuring Majid Jordan
34,35,"""Daylight""",Maroon 5
35,36,"""Feel This Moment""",Pitbull featuring Christina Aguilera
36,37,"""Applause""",Lady Gaga
37,38,"""One More Night""",Maroon 5
38,39,"""Love Me""",Lil Wayne featuring Drake and Future
39,40,"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy
40,41,"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar"
41,42,"""Beauty and a Beat""",Justin Bieber featuring Nicki Minaj
42,43,"""Same Love""",Macklemore & Ryan Lewis featuring Mary Lambert
43,44,"""Sweet Nothing""",Calvin Harris featuring Florence Welch
44,45,"""Summertime Sadness""",Lana Del Rey and Cédric Gervais
45,46,"""Home""",Phillip Phillips
46,47,"""It's Time""",Imagine Dragons
47,48,"""Power Trip""",J. Cole featuring Miguel
48,49,"""Girl on Fire""",Alicia Keys featuring Nicki Minaj
49,50,"""Heart Attack""",Demi Lovato
50,51,"""Love Somebody""",Maroon 5
51,52,"""I Will Wait""",Mumford & Sons
52,53,"""Try""",Pink
53,54,"""Wagon Wheel""",Darius Rucker
54,55,"""Gangnam Style""",Psy
55,56,"""I Need Your Love""",Calvin Harris featuring Ellie Goulding
56,57,"""Die Young""",Kesha
57,58,"""Some Nights""",Fun
58,59,"""Bad""",Wale featuring Tiara Thomas or Rihanna
59,60,"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends
60,61,"""Gone, Gone, Gone""",Phillip Phillips
61,62,"""Demons""",Imagine Dragons
62,63,"""Counting Stars""",OneRepublic
63,64,"""I Cry""",Flo Rida
64,65,"""Little Talks""",Of Monsters and Men
65,66,"""The Other Side""",Jason Derulo
66,67,"""Berzerk""",Eminem
67,68,"""Catch My Breath""",Kelly Clarkson
68,69,"""Crash My Party""",Luke Bryan
69,70,"""Pour It Up""",Rihanna
70,71,"""22""",Taylor Swift
71,72,"""I Want Crazy""",Hunter Hayes
72,73,"""The Fox (What Does the Fox Say?)""",Ylvis
73,74,"""Best Song Ever""",One Direction
74,75,"""The A Team""",Ed Sheeran
75,76,"""Carry On""",Fun
76,77,"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban
77,78,"""That's My Kind of Night""",Luke Bryan
78,79,"""Swimming Pools (Drank)""",Kendrick Lamar
79,80,"""Sure Be Cool If You Did""",Blake Shelton
80,81,"""#Beautiful""",Mariah Carey featuring Miguel
81,82,"""Troublemaker""",Olly Murs featuring Flo Rida
82,83,"""Body Party""",Ciara
83,84,"""Adorn""",Miguel
84,85,"""Hall of Fame""",The Script featuring will.i.am
85,86,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo
86,87,"""U.O.E.N.O.""",Rocko featuring Future and Rick Ross
87,88,"""Next to Me""",Emeli Sandé
88,89,"""Mama's Broken Heart""",Miranda Lambert
89,90,"""It Goes Like This""",Thomas Rhett
90,91,"""Bugatti""",Ace Hood featuring Future and Rick Ross
91,92,"""Wanted""",Hunter Hayes
92,93,"""Downtown""",Lady Antebellum
93,94,"""Get Your Shine On""",Florida Georgia Line
94,95,"""#thatPower""",will.i.am featuring Justin Bieber
95,96,"""Brave""",Sara Bareilles
96,97,"""Let Her Go""",Passenger
97,98,"""Runnin' Outta Moonlight""",Randy Houser
98,99,"""I'm Different""",2 Chainz
99,100,"""Still Into You""",Paramore
