,No.,Title,Artist(s)
0,1,"""My Sharona""",The Knack
1,2,"""Bad Girls""",Donna Summer
2,3,"""Le Freak""",Chic
3,4,"""Da Ya Think I'm Sexy?""",Rod Stewart
4,5,"""Reunited""",Peaches & Herb
5,6,"""I Will Survive""",Gloria Gaynor
6,7,"""Hot Stuff""",Donna Summer
7,8,"""Y.M.C.A.""",Village People
8,9,"""Ring My Bell""",Anita Ward
9,10,"""Sad Eyes""",Robert John
10,11,"""Too Much Heaven""",Bee Gees
11,12,"""MacArthur Park""",Donna Summer
12,13,"""When You're in Love with a Beautiful Woman""",Dr. Hook
13,14,"""Makin' It""",David Naughton
14,15,"""Fire""",The Pointer Sisters
15,16,"""Tragedy""",Bee Gees
16,17,"""A Little More Love""",Olivia Newton-John
17,18,"""Heart of Glass""",Blondie
18,19,"""What a Fool Believes""",The Doobie Brothers
19,20,"""Good Times""",Chic
20,21,"""You Don't Bring Me Flowers""",Neil Diamond & Barbra Streisand
21,22,"""Knock on Wood""",Amii Stewart
22,23,"""Stumblin' In""",Suzi Quatro & Chris Norman
23,24,"""Lead Me On""",Maxine Nightingale
24,25,"""Shake Your Body (Down to the Ground)""",The Jacksons
25,26,"""Don't Cry Out Loud""",Melissa Manchester
26,27,"""The Logical Song""",Supertramp
27,28,"""My Life""",Billy Joel
28,29,"""Just When I Needed You Most""",Randy VanWarmer
29,30,"""You Can't Change That""",Raydio
30,31,"""Shake Your Groove Thing""",Peaches & Herb
31,32,"""I'll Never Love This Way Again""",Dionne Warwick
32,33,"""Love You Inside Out""",Bee Gees
33,34,"""I Want You to Want Me""",Cheap Trick
34,35,"""The Main Event/Fight""",Barbra Streisand
35,36,"""Mama Can't Buy You Love""",Elton John
36,37,"""I Was Made for Dancin'""",Leif Garrett
37,38,"""After the Love Has Gone""","Earth, Wind & Fire"
38,39,"""Heaven Knows""",Donna Summer and Brooklyn Dreams
39,40,"""The Gambler""",Kenny Rogers
40,41,"""Lotta Love""",Nicolette Larson
41,42,"""Lady""",Little River Band
42,43,"""Heaven Must Have Sent You""",Bonnie Pointer
43,44,"""Hold the Line""",Toto
44,45,"""He's the Greatest Dancer""",Sister Sledge
45,46,"""Sharing the Night Together""",Dr. Hook
46,47,"""She Believes in Me""",Kenny Rogers
47,48,"""In the Navy""",Village People
48,49,"""Music Box Dancer""",Frank Mills
49,50,"""The Devil Went Down to Georgia""",The Charlie Daniels Band
50,51,"""Gold""",John Stewart
51,52,"""Goodnight Tonight""",Wings
52,53,"""We Are Family""",Sister Sledge
53,54,"""Rock 'n' Roll Fantasy""",Bad Company
54,55,"""Every 1's a Winner""",Hot Chocolate
55,56,"""Take Me Home""",Cher
56,57,"""Boogie Wonderland""","Earth, Wind & Fire & The Emotions"
57,58,"""(Our Love) Don't Throw It All Away""",Andy Gibb
58,59,"""What You Won't Do for Love""",Bobby Caldwell
59,60,"""New York Groove""",Ace Frehley
60,61,"""Sultans of Swing""",Dire Straits
61,62,"""I Want Your Love""",Chic
62,63,"""Chuck E.'s In Love""",Rickie Lee Jones
63,64,"""I Love the Nightlife""",Alicia Bridges
64,65,"""Ain't No Stoppin' Us Now""",McFadden & Whitehead
65,66,"""Lonesome Loser""",Little River Band
66,67,"""Renegade""",Styx
67,68,"""Love Is the Answer""",England Dan & John Ford Coley
68,69,"""Got to Be Real""",Cheryl Lynn
69,70,"""Born to Be Alive""",Patrick Hernandez
70,71,"""Shine a Little Love""",Electric Light Orchestra
71,72,"""I Just Fall in Love Again""",Anne Murray
72,73,"""Shake It""",Ian Matthews
73,74,"""I Was Made for Lovin' You""",Kiss
74,75,"""I Just Wanna Stop""",Gino Vannelli
75,76,"""Disco Nights (Rock-Freak)""",GQ
76,77,"""Ooo Baby Baby""",Linda Ronstadt
77,78,"""September""","Earth, Wind & Fire"
78,79,"""Time Passages""",Al Stewart
79,80,"""Rise""",Herb Alpert
80,81,"""Don't Bring Me Down""",Electric Light Orchestra
81,82,"""Promises""",Eric Clapton
82,83,"""Get Used to It""",Roger Voudouris
83,84,"""How Much I Feel""",Ambrosia
84,85,"""Suspicions""",Eddie Rabbitt
85,86,"""You Take My Breath Away""",Rex Smith
86,87,"""How You Gonna See Me Now""",Alice Cooper
87,88,"""Double Vision""",Foreigner
88,89,"""Everytime I Think of You""",The Babys
89,90,"""I Got My Mind Made Up (You Can Get It Girl)""",Instant Funk
90,91,"""Don't Stop 'til You Get Enough""",Michael Jackson
91,92,"""Bad Case of Loving You (Doctor, Doctor)""",Robert Palmer
92,93,"""Somewhere in the Night""",Barry Manilow
93,94,"""We've Got Tonight""",Bob Seger & The Silver Bullet Band
94,95,"""Dance the Night Away""",Van Halen
95,96,"""Dancin' Shoes""",Nigel Olsson
96,97,"""The Boss""",Diana Ross
97,98,"""Sail On""",Commodores
98,99,"""I Do Love You""",GQ
99,100,"""Strange Way""",Firefall
