,No.,Title,Artist(s)
0,1,"""Believe""",Cher
1,2,"""No Scrubs""",TLC
2,3,"""Angel of Mine""",Monica
3,4,"""Heartbreak Hotel""",Whitney Houston featuring Faith Evans and Kelly Price
4,5,"""...Baby One More Time""",Britney Spears
5,6,"""Kiss Me""",Sixpence None the Richer
6,7,"""Genie in a Bottle""",Christina Aguilera
7,8,"""Every Morning""",Sugar Ray
8,9,"""Nobody's Supposed to Be Here""",Deborah Cox
9,10,"""Livin' la Vida Loca""",Ricky Martin
10,11,"""Where My Girls At?""",702
11,12,"""If You Had My Love""",Jennifer Lopez
12,13,"""Slide""",Goo Goo Dolls
13,14,"""Have You Ever?""",Brandy
14,15,"""I Want It That Way""",Backstreet Boys
15,16,"""I'm Your Angel""",R. Kelly and Celine Dion
16,17,"""All Star""",Smash Mouth
17,18,"""Angel""",Sarah McLachlan
18,19,"""Smooth""",Santana featuring Rob Thomas
19,20,"""Unpretty""",TLC
20,21,"""Bills, Bills, Bills""",Destiny's Child
21,22,"""Save Tonight""",Eagle-Eye Cherry
22,23,"""Last Kiss""",Pearl Jam
23,24,"""Fortunate""",Maxwell
24,25,"""All I Have to Give""",Backstreet Boys
25,26,"""Bailamos""",Enrique Iglesias
26,27,"""What's It Gonna Be?!""",Busta Rhymes featuring Janet
27,28,"""What It's Like""",Everlast
28,29,"""Fly Away""",Lenny Kravitz
29,30,"""Someday""",Sugar Ray
30,31,"""Lately""",Divine
31,32,"""That Don't Impress Me Much""",Shania Twain
32,33,"""Wild Wild West""",Will Smith featuring Dru Hill and Kool Moe Dee
33,34,"""Scar Tissue""",Red Hot Chili Peppers
34,35,"""Heartbreaker""",Mariah Carey featuring Jay-Z
35,36,"""I Still Believe""",Mariah Carey
36,37,"""The Hardest Thing""",98 Degrees
37,38,"""Summer Girls""",LFO
38,39,"""Can I Get A...""",Jay-Z featuring Amil and Ja Rule
39,40,"""Jumper""",Third Eye Blind
40,41,"""Doo Wop (That Thing)""",Lauryn Hill
41,42,"""Mambo No. 5""",Lou Bega
42,43,"""Sweet Lady""",Tyrese
43,44,"""It's Not Right but It's Okay""",Whitney Houston
44,45,"""(God Must Have Spent) A Little More Time on You""",NSYNC
45,46,"""Lullaby""",Shawn Mullins
46,47,"""Anywhere""",112 featuring Lil Zane
47,48,"""Tell Me It's Real""",K-Ci & JoJo
48,49,"""Back 2 Good""",Matchbox 20
49,50,"""808""",Blaque
50,51,"""She's So High""",Tal Bachman
51,52,"""She's All I Ever Had""",Ricky Martin
52,53,"""Miami""",Will Smith
53,54,"""Hands""",Jewel
54,55,"""Who Dat""",JT Money featuring Solé
55,56,"""Please Remember Me""",Tim McGraw
56,57,"""From This Moment On""",Shania Twain
57,58,"""Love Like This""",Faith Evans
58,59,"""You""",Jesse Powell
59,60,"""Trippin'""",Total featuring Missy Elliott
60,61,"""If You""",Silk
61,62,"""Ex-Factor""",Lauryn Hill
62,63,"""Give It to You""",Jordan Knight
63,64,"""Black Balloon""",Goo Goo Dolls
64,65,"""Spend My Life with You""",Eric Benét featuring Tamia
65,66,"""These Are the Times""",Dru Hill
66,67,"""I Don't Want to Miss a Thing""",Mark Chesnutt
67,68,"""I Do (Cherish You)""",98 Degrees
68,69,"""Because of You""",98 Degrees
69,70,"""I Will Remember You""",Sarah McLachlan
70,71,"""Chanté's Got a Man""",Chanté Moore
71,72,"""Happily Ever After""",Case
72,73,"""My Love Is Your Love""",Whitney Houston
73,74,"""All Night Long""",Faith Evans featuring Puff Daddy
74,75,"""Back That Thang Up""",Juvenile featuring Mannie Fresh and Lil Wayne
75,76,"""Almost Doesn't Count""",Brandy
76,77,"""Man! I Feel Like a Woman!""",Shania Twain
77,78,"""Steal My Sunshine""",Len
78,79,"""I Need to Know""",Marc Anthony
79,80,"""So Anxious""",Ginuwine
80,81,"""Faded Pictures""",Case featuring Joe
81,82,"""Back at One""",Brian McKnight
82,83,"""When a Woman's Fed Up""",R. Kelly
83,84,"""How Forever Feels""",Kenny Chesney
84,85,"""Amazed""",Lonestar
85,86,"""Sometimes""",Britney Spears
86,87,"""Ghetto Cowboy""",Mo Thugs
87,88,"""Out of My Head""",Fastball
88,89,"""Hard Knock Life (Ghetto Anthem)""",Jay-Z
89,90,"""Jamboree""",Naughty by Nature featuring Zhané
90,91,"""Take Me There""","Blackstreet featuring Mýa, Mase and Blinky Blink"
91,92,"""Stay the Same""",Joey McIntyre
92,93,"""A Lesson in Leavin'""",Jo Dee Messina
93,94,"""Iris""",Goo Goo Dolls
94,95,"""Satisfy You""",Puff Daddy featuring R. Kelly
95,96,"""Better Days (And the Bottom Drops Out)""",Citizen King
96,97,"""Music of My Heart""",NSYNC and Gloria Estefan
97,98,"""Write This Down""",George Strait
98,99,"""When You Believe""",Whitney Houston and Mariah Carey
99,100,"""(God Must Have Spent) A Little More Time on You""",Alabama and NSYNC
