,No.,Title,Artist(s)
0,1,"""Tik Tok""",Kesha
1,2,"""Need You Now""",Lady Antebellum
2,3,"""Hey, Soul Sister""",Train
3,4,"""California Gurls""",Katy Perry featuring Snoop Dogg
4,5,"""OMG""",Usher featuring will.i.am
5,6,"""Airplanes""",B.o.B featuring Hayley Williams
6,7,"""Love the Way You Lie""",Eminem featuring Rihanna
7,8,"""Bad Romance""",Lady Gaga
8,9,"""Dynamite""",Taio Cruz
9,10,"""Break Your Heart""",Taio Cruz featuring Ludacris
10,11,"""Nothin' on You""",B.o.B featuring Bruno Mars
11,12,"""I Like It""",Enrique Iglesias featuring Pitbull
12,13,"""BedRock""",Young Money featuring Lloyd
13,14,"""In My Head""",Jason Derulo
14,15,"""Rude Boy""",Rihanna
15,16,"""Telephone""",Lady Gaga featuring Beyoncé
16,17,"""Teenage Dream""",Katy Perry
17,18,"""Just the Way You Are""",Bruno Mars
18,19,"""Cooler Than Me""",Mike Posner
19,20,"""Imma Be""",The Black Eyed Peas
20,21,"""Empire State of Mind""",Jay-Z featuring Alicia Keys
21,22,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull
22,23,"""Billionaire""",Travie McCoy featuring Bruno Mars
23,24,"""Not Afraid""",Eminem
24,25,"""Replay""",Iyaz
25,26,"""Sexy Bitch""",David Guetta featuring Akon
26,27,"""Breakeven""",The Script
27,28,"""Your Love Is My Drug""",Kesha
28,29,"""I Gotta Feeling""",The Black Eyed Peas
29,30,"""Fireflies""",Owl City
30,31,"""Say Aah""",Trey Songz featuring Fabolous
31,32,"""Find Your Love""",Drake
32,33,"""Alejandro""",Lady Gaga
33,34,"""Ridin' Solo""",Jason Derulo
34,35,"""Just a Dream""",Nelly
35,36,"""How Low""",Ludacris
36,37,"""Like a G6""",Far East Movement featuring The Cataracs and Dev
37,38,"""Carry Out""",Timbaland featuring Justin Timberlake
38,39,"""Haven't Met You Yet""",Michael Bublé
39,40,"""Club Can't Handle Me""",Flo Rida featuring David Guetta
40,41,"""Down""",Jay Sean featuring Lil Wayne
41,42,"""Bulletproof""",La Roux
42,43,"""Whatcha Say""",Jason Derulo
43,44,"""Baby""",Justin Bieber featuring Ludacris
44,45,"""Whataya Want from Me""",Adam Lambert
45,46,"""Mine""",Taylor Swift
46,47,"""Only Girl (In the World)""",Rihanna
47,48,"""Live Like We're Dying""",Kris Allen
48,49,"""Hard""",Rihanna featuring Jeezy
49,50,"""Young Forever""",Jay-Z featuring Mr Hudson
50,51,"""Blah Blah Blah""",Kesha featuring 3OH!3
51,52,"""Bottoms Up""",Trey Songz featuring Nicki Minaj
52,53,"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon
53,54,"""All the Right Moves""",OneRepublic
54,55,"""According to You""",Orianthi
55,56,"""My Chick Bad""",Ludacris featuring Nicki Minaj
56,57,"""You Belong with Me""",Taylor Swift
57,58,"""Meet Me Halfway""",The Black Eyed Peas
58,59,"""Take It Off""",Kesha
59,60,"""Over""",Drake
60,61,"""Animal""",Neon Trees
61,62,"""Misery""",Maroon 5
62,63,"""Magic""",B.o.B featuring Rivers Cuomo
63,64,"""Paparazzi""",Lady Gaga
64,65,"""Tie Me Down""",New Boyz featuring Ray J
65,66,"""Your Love""",Nicki Minaj
66,67,"""Party in the U.S.A.""",Miley Cyrus
67,68,"""Deuces""",Chris Brown featuring Tyga and Kevin McCall
68,69,"""3""",Britney Spears
69,70,"""Impossible""",Shontelle
70,71,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem"
71,72,"""Two Is Better Than One""",Boys Like Girls featuring Taylor Swift
72,73,"""My First Kiss""",3OH!3 featuring Kesha
73,74,"""Already Gone""",Kelly Clarkson
74,75,"""Rock That Body""",The Black Eyed Peas
75,76,"""Secrets""",OneRepublic
76,77,"""Naturally""",Selena Gomez & the Scene
77,78,"""Un-Thinkable (I'm Ready)""",Alicia Keys
78,79,"""All I Do Is Win""","DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross"
79,80,"""I Made It (Cash Money Heroes)""","Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne"
80,81,"""Stuck Like Glue""",Sugarland
81,82,"""Hey Daddy (Daddy's Home)""",Usher featuring Plies
82,83,"""There Goes My Baby""",Usher
83,84,"""Today Was a Fairytale""",Taylor Swift
84,85,"""Say Something""",Timbaland featuring Drake
85,86,"""Sweet Dreams""",Beyoncé
86,87,"""Use Somebody""",Kings of Leon
87,88,"""Undo It""",Carrie Underwood
88,89,"""Eenie Meenie""",Sean Kingston and Justin Bieber
89,90,"""Right Above It""",Lil Wayne featuring Drake
90,91,"""The House That Built Me""",Miranda Lambert
91,92,"""If I Die Young""",The Band Perry
92,93,"""The Only Exception""",Paramore
93,94,"""American Honey""",Lady Antebellum
94,95,"""King of Anything""",Sara Bareilles
95,96,"""Life After You""",Daughtry
96,97,"""Smile""",Uncle Kracker
97,98,"""Teach Me How to Dougie""",Cali Swag District
98,99,"""Try Sleeping with a Broken Heart""",Alicia Keys
99,100,"""Lover, Lover""",Jerrod Niemann
