,No.,Title,Artist(s)
0,1,"""Love Will Keep Us Together""",Captain & Tennille
1,2,"""Rhinestone Cowboy""",Glen Campbell
2,3,"""Philadelphia Freedom""",Elton John
3,4,"""Before the Next Teardrop Falls""",Freddy Fender
4,5,"""My Eyes Adored You""",Frankie Valli
5,6,"""Some Kind of Wonderful""",Grand Funk Railroad
6,7,"""Shining Star""","Earth, Wind & Fire"
7,8,"""Fame""",David Bowie
8,9,"""Laughter in the Rain""",Neil Sedaka
9,10,"""One of These Nights""",Eagles
10,11,"""Thank God I'm a Country Boy""",John Denver
11,12,"""Jive Talkin'""",Bee Gees
12,13,"""Best of My Love""",Eagles
13,14,"""Lovin' You""",Minnie Riperton
14,15,"""Kung Fu Fighting""",Carl Douglas
15,16,"""Black Water""",The Doobie Brothers
16,17,"""The Ballroom Blitz""",Sweet
17,18,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""",B.J. Thomas
18,19,"""He Don't Love You (Like I Love You)""",Tony Orlando and Dawn
19,20,"""At Seventeen""",Janis Ian
20,21,"""Pick Up the Pieces""",Average White Band
21,22,"""The Hustle""",Van McCoy & the Soul City Symphony
22,23,"""Lady Marmalade""",Labelle
23,24,"""Why Can't We Be Friends?""",War
24,25,"""Love Won't Let Me Wait""",Major Harris
25,26,"""Boogie On Reggae Woman""",Stevie Wonder
26,27,"""Wasted Days and Wasted Nights""",Freddy Fender
27,28,"""Angie Baby""",Helen Reddy
28,29,"""Fight the Power""",The Isley Brothers
29,30,"""Jackie Blue""",Ozark Mountain Daredevils
30,31,"""Fire""",Ohio Players
31,32,"""Magic""",Pilot
32,33,"""Please Mr. Postman""",The Carpenters
33,34,"""Sister Golden Hair""",America
34,35,"""Lucy in the Sky with Diamonds""",Elton John
35,36,"""Mandy""",Barry Manilow
36,37,"""Have You Never Been Mellow""",Olivia Newton-John
37,38,"""Could It Be Magic""",Barry Manilow
38,39,"""Cat's in the Cradle""",Harry Chapin
39,40,"""Wildfire""",Michael Martin Murphey
40,41,"""I'm Not Lisa""",Jessi Colter
41,42,"""Listen to What the Man Said""",Wings
42,43,"""I'm Not in Love""",10cc
43,44,"""I Can Help""",Billy Swan
44,45,"""Fallin' in Love""","Hamilton, Joe Frank & Reynolds"
45,46,"""Feelings""",Morris Albert
46,47,"""When Will I Be Loved""",Linda Ronstadt
47,48,"""Chevy Van""",Sammy Johns
48,49,"""You're the First, the Last, My Everything""",Barry White
49,50,"""Please Mr. Please""",Olivia Newton-John
50,51,"""You're No Good""",Linda Ronstadt
51,52,"""Dynomite""",Bazuka
52,53,"""Walking in Rhythm""",The Blackbyrds
53,54,"""The Way We Were/Try to Remember""",Gladys Knight & the Pips
54,55,"""Midnight Blue""",Melissa Manchester
55,56,"""Don't Call Us, We'll Call You""",Sugarloaf
56,57,"""Poetry Man""",Phoebe Snow
57,58,"""How Long?""",Ace
58,59,"""Express""",B.T. Express
59,60,"""That's the Way of the World""","Earth, Wind & Fire"
60,61,"""Lady""",Styx
61,62,"""Bad Time""",Grand Funk
62,63,"""Only Women Bleed""",Alice Cooper
63,64,"""Doctor's Orders""",Carol Douglas
64,65,"""Get Down Tonight""",KC and the Sunshine Band
65,66,"""One Man Woman/One Woman Man""",Paul Anka & Odia Coates
66,67,"""You Are So Beautiful""",Joe Cocker
67,68,"""Feel Like Makin' Love""",Bad Company
68,69,"""How Sweet It Is (To Be Loved by You)""",James Taylor
69,70,"""Dance with Me""",Orleans
70,71,"""Cut the Cake""",Average White Band
71,72,"""Never Can Say Goodbye""",Gloria Gaynor
72,73,"""I Don't Like to Sleep Alone""",Paul Anka & Odia Coates
73,74,"""Morning Side of the Mountain""",Donny & Marie Osmond
74,75,"""When Will I See You Again""",The Three Degrees
75,76,"""Get Down, Get Down (Get on the Floor)""",Joe Simon
76,77,"""I'm Sorry""",John Denver
77,78,"""Killer Queen""",Queen
78,79,"""Shoeshine Boy""",Eddie Kendricks
79,80,"""Do It ('Til You're Satisfied)""",B.T. Express
80,81,"""Can't Get It Out of My Head""",Electric Light Orchestra
81,82,"""Sha-La-La (Make Me Happy)""",Al Green
82,83,"""Lonely People""",America
83,84,"""You Got the Love""",Rufus
84,85,"""The Rockford Files Theme""",Mike Post
85,86,"""It Only Takes a Minute""",Tavares
86,87,"""No No Song""",Ringo Starr
87,88,"""Junior's Farm""",Paul McCartney & Wings
88,89,"""Bungle in the Jungle""",Jethro Tull
89,90,"""Long Tall Glasses (I Can Dance)""",Leo Sayer
90,91,"""Misty""",Ray Stevens
91,92,"""Someone Saved My Life Tonight""",Elton John
92,93,"""Bad Blood""",Neil Sedaka
93,94,"""Only Yesterday""",The Carpenters
94,95,"""I'm on Fire""",Dwight Twilley Band
95,96,"""Only You (And You Alone)""",Ringo Starr
96,97,"""Third Rate Romance""",Amazing Rhythm Aces
97,98,"""You Ain't Seen Nothing Yet""",Bachman–Turner Overdrive
98,99,"""Swearin' to God""",Frankie Valli
99,100,"""Get Dancin'""",Disco-Tex and the Sex-O-Lettes
