,№,Title,Artist(s)
0,1,"""The Sign""",Ace of Base
1,2,"""I Swear""",All-4-One
2,3,"""I'll Make Love to You""",Boyz II Men
3,4,"""The Power of Love""",Celine Dion
4,5,"""Hero""",Mariah Carey
5,6,"""Stay (I Missed You)""",Lisa Loeb and Nine Stories
6,7,"""Breathe Again""",Toni Braxton
7,8,"""All for Love""","Bryan Adams, Rod Stewart and Sting"
8,9,"""All That She Wants""",Ace of Base
9,10,"""Don't Turn Around""",Ace of Base
10,11,"""Bump n' Grind""",R. Kelly
11,12,"""Again""",Janet Jackson
12,13,"""I'll Remember""",Madonna
13,14,"""Whatta Man""",Salt-n-Pepa featuring En Vogue
14,15,"""Wild Night""",John Mellencamp with Meshell Ndegeocello
15,16,"""Without You"" / ""Never Forget You""",Mariah Carey
16,17,"""You Mean the World to Me""",Toni Braxton
17,18,"""Can You Feel the Love Tonight""",Elton John
18,19,"""The Most Beautiful Girl in the World""",Prince
19,20,"""Fantastic Voyage""",Coolio
20,21,"""Baby, I Love Your Way""",Big Mountain
21,22,"""Regulate""",Warren G and Nate Dogg
22,23,"""If You Go""",Jon Secada
23,24,"""Back & Forth""",Aaliyah
24,25,"""Now and Forever""",Richard Marx
25,26,"""When Can I See You""",Babyface
26,27,"""Please Forgive Me""",Bryan Adams
27,28,"""So Much in Love""",All-4-One
28,29,"""Shoop""",Salt-n-Pepa
29,30,"""Any Time, Any Place"" / ""And On and On""",Janet Jackson
30,31,"""Shine""",Collective Soul
31,32,"""Said I Loved You...But I Lied""",Michael Bolton
32,33,"""Return to Innocence""",Enigma
33,34,"""All I Wanna Do""",Sheryl Crow
34,35,"""Mmm Mmm Mmm Mmm""",Crash Test Dummies
35,36,"""Can We Talk""",Tevin Campbell
36,37,"""Funkdafied""",Da Brat
37,38,"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf
38,39,"""Gangsta Lean""",DRS
39,40,"""Because the Night""","10,000 Maniacs"
40,41,"""Cantaloop (Flip Fantasia)""",Us3
41,42,"""Whoomp! (There It Is)""",Tag Team
42,43,"""Come to My Window""",Melissa Etheridge
43,44,"""Stroke You Up""",Changing Faces
44,45,"""I'm Ready""",Tevin Campbell
45,46,"""100% Pure Love""",Crystal Waters
46,47,"""Anytime You Need a Friend""",Mariah Carey
47,48,"""Because of Love""",Janet Jackson
48,49,"""Linger""",The Cranberries
49,50,"""Loser""",Beck
50,51,"""Found Out About You""",Gin Blossoms
51,52,"""Gin and Juice""",Snoop Doggy Dogg
52,53,"""Never Lie""",Immature
53,54,"""Streets of Philadelphia""",Bruce Springsteen
54,55,"""Getto Jam""",Domino
55,56,"""Endless Love""",Luther Vandross & Mariah Carey
56,57,"""I Miss You""",Aaron Hall
57,58,"""Understanding""",Xscape
58,59,"""This D.J.""",Warren G
59,60,"""Cry for You""",Jodeci
60,61,"""Keep Ya Head Up""",2Pac
61,62,"""What's My Name?""",Snoop Doggy Dogg
62,63,"""Another Night""",Real McCoy
63,64,"""Your Body's Callin'""",R. Kelly
64,65,"""Tootsee Roll""",69 Boyz
65,66,"""I Can See Clearly Now (from Cool Runnings)""",Jimmy Cliff
66,67,"""Never Keeping Secrets""",Babyface
67,68,"""Crazy""",Aerosmith
68,69,"""Just Kickin' It""",Xscape
69,70,"""(At Your Best) You Are Love""",Aaliyah
70,71,"""Rock and Roll Dreams Come Through""",Meat Loaf
71,72,"""Amazing""",Aerosmith
72,73,"""Always""",Erasure
73,74,"""Groove Thang""",Zhané
74,75,"""Dreams""",Gabrielle
75,76,"""Mr. Vain""",Culture Beat
76,77,"""Mary Jane's Last Dance""",Tom Petty and the Heartbreakers
77,78,"""Anything""",SWV
78,79,"""Beautiful in My Eyes""",Joshua Kadison
79,80,"""Stay""",Eternal
80,81,"""Flava in Ya Ear""",Craig Mack
81,82,"""U.N.I.T.Y.""",Queen Latifah
82,83,"""Prayer for the Dying""",Seal
83,84,"""Secret""",Madonna
84,85,"""Here Comes the Hotstepper""",Ini Kamoze
85,86,"""Everyday""",Phil Collins
86,87,"""Don't Take the Girl""",Tim McGraw
87,88,"""Got Me Waiting""",Heavy D & the Boyz
88,89,"""December, 1963 (Oh, What a Night)""",The Four Seasons
89,90,"""Indian Outlaw""",Tim McGraw
90,91,"""Always""",Bon Jovi
91,92,"""I'm the Only One""",Melissa Etheridge
92,93,"""Back in the Day""",Ahmad
93,94,"""Love Sneakin' Up On You""",Bonnie Raitt
94,95,"""I'll Take You There (from Threesome)""",General Public
95,96,"""Always in My Heart""",Tevin Campbell
96,97,"""What Is Love""",Haddaway
97,98,"""And Our Feelings""",Babyface
98,99,"""Bop Gun (One Nation)""",Ice Cube featuring George Clinton
99,100,"""I Wanna Be Down""",Brandy
