,No.,Title,Artist(s)
0,1,"""Uptown Funk""",Mark Ronson featuring Bruno Mars
1,2,"""Thinking Out Loud""",Ed Sheeran
2,3,"""See You Again""",Wiz Khalifa featuring Charlie Puth
3,4,"""Trap Queen""",Fetty Wap
4,5,"""Sugar""",Maroon 5
5,6,"""Shut Up and Dance""",Walk the Moon
6,7,"""Blank Space""",Taylor Swift
7,8,"""Watch Me""",Silentó
8,9,"""Earned It""",The Weeknd
9,10,"""The Hills""",The Weeknd
10,11,"""Cheerleader (Felix Jaehn Remix)""",OMI
11,12,"""Can't Feel My Face""",The Weeknd
12,13,"""Love Me Like You Do""",Ellie Goulding
13,14,"""Take Me to Church""",Hozier
14,15,"""Bad Blood""",Taylor Swift featuring Kendrick Lamar
15,16,"""Lean On""",Major Lazer and DJ Snake featuring MØ
16,17,"""Want to Want Me""",Jason Derulo
17,18,"""Shake It Off""",Taylor Swift
18,19,"""Where Are Ü Now""",Skrillex and Diplo (Jack Ü) featuring Justin Bieber
19,20,"""Fight Song""",Rachel Platten
20,21,"""679""",Fetty Wap featuring Remy Boyz
21,22,"""Lips Are Movin""",Meghan Trainor
22,23,"""Worth It""",Fifth Harmony featuring Kid Ink
23,24,"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko
24,25,"""Honey, I'm Good.""",Andy Grammer
25,26,"""I'm Not the Only One""",Sam Smith
26,27,"""Good for You""",Selena Gomez featuring ASAP Rocky
27,28,"""All About That Bass""",Meghan Trainor
28,29,"""Style""",Taylor Swift
29,30,"""Hotline Bling""",Drake
30,31,"""Hey Mama""","David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack"
31,32,"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas
32,33,"""What Do You Mean?""",Justin Bieber
33,34,"""Photograph""",Ed Sheeran
34,35,"""Hello""",Adele
35,36,"""Stitches""",Shawn Mendes
36,37,"""Talking Body""",Tove Lo
37,38,"""Jealous""",Nick Jonas
38,39,"""Time of Our Lives""",Pitbull and Ne-Yo
39,40,"""Locked Away""",R. City featuring Adam Levine
40,41,"""Somebody""",Natalie La Rose featuring Jeremih
41,42,"""FourFiveSeconds""","Rihanna, Kanye West and Paul McCartney"
42,43,"""Centuries""",Fall Out Boy
43,44,"""My Way""",Fetty Wap featuring Monty
44,45,"""Take Your Time""",Sam Hunt
45,46,"""Animals""",Maroon 5
46,47,"""I Don't Fuck with You""",Big Sean featuring E-40
47,48,"""Bitch Better Have My Money""",Rihanna
48,49,"""Flex (Ooh, Ooh, Ooh)""",Rich Homie Quan
49,50,"""Nasty Freestyle""",T-Wayne
50,51,"""Only""","Nicki Minaj featuring Drake, Lil Wayne and Chris Brown"
51,52,"""Elastic Heart""",Sia
52,53,"""Cool for the Summer""",Demi Lovato
53,54,"""Renegades""",X Ambassadors
54,55,"""I Don't Mind""",Usher featuring Juicy J
55,56,"""Love Me Harder""",Ariana Grande and The Weeknd
56,57,"""Wildest Dreams""",Taylor Swift
57,58,"""Stay with Me""",Sam Smith
58,59,"""You Know You Like It""",DJ Snake and AlunaGeorge
59,60,"""Uma Thurman""",Fall Out Boy
60,61,"""7/11""",Beyoncé
61,62,"""The Heart Wants What It Wants""",Selena Gomez
62,63,"""Girl Crush""",Little Big Town
63,64,"""Slow Motion""",Trey Songz
64,65,"""Drag Me Down""",One Direction
65,66,"""Truffle Butter""",Nicki Minaj featuring Drake and Lil Wayne
66,67,"""One Last Time""",Ariana Grande
67,68,"""Chains""",Nick Jonas
68,69,"""All Eyes on You""",Meek Mill featuring Chris Brown and Nicki Minaj
69,70,"""No Type""",Rae Sremmurd
70,71,"""Riptide""",Vance Joy
71,72,"""Classic Man""",Jidenna featuring Roman GianArthur
72,73,"""Ex's & Oh's""",Elle King
73,74,"""Dear Future Husband""",Meghan Trainor
74,75,"""Marvin Gaye""",Charlie Puth featuring Meghan Trainor
75,76,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend
76,77,"""Habits (Stay High)""",Tove Lo
77,78,"""The Hanging Tree""",James Newton Howard featuring Jennifer Lawrence
78,79,"""CoCo""",O.T. Genasis
79,80,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj"
80,81,"""Lay Me Down""",Sam Smith
81,82,"""Tuesday""",ILoveMakonnen featuring Drake
82,83,"""Hit the Quan""",iLoveMemphis
83,84,"""Downtown""","Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz"
84,85,"""House Party""",Sam Hunt
85,86,"""Ayo""",Chris Brown and Tyga
86,87,"""Kick the Dust Up""",Luke Bryan
87,88,"""Blessings""",Big Sean featuring Drake and Kanye West
88,89,"""Budapest""",George Ezra
89,90,"""Chandelier""",Sia
90,91,"""Heartbeat Song""",Kelly Clarkson
91,92,"""Don't""",Ed Sheeran
92,93,"""Ghost""",Ella Henderson
93,94,"""Here""",Alessia Cara
94,95,"""Waves (Robin Schulz Remix)""",Mr Probz
95,96,"""El Perdón""",Nicky Jam and Enrique Iglesias
96,97,"""She Knows""",Ne-Yo featuring Juicy J
97,98,"""Night Changes""",One Direction
98,99,"""Back to Back""",Drake
99,100,"""How Deep Is Your Love""",Calvin Harris and Disciples
