,No.,Title,Artist(s)
0,1,"""Happy""",Pharrell Williams
1,2,"""Dark Horse""",Katy Perry featuring Juicy J
2,3,"""All of Me""",John Legend
3,4,"""Fancy""",Iggy Azalea featuring Charli XCX
4,5,"""Counting Stars""",OneRepublic
5,6,"""Talk Dirty""",Jason Derulo featuring 2 Chainz
6,7,"""Rude""",Magic!
7,8,"""All About That Bass""",Meghan Trainor
8,9,"""Problem""",Ariana Grande featuring Iggy Azalea
9,10,"""Stay with Me""",Sam Smith
10,11,"""Timber""",Pitbull featuring Kesha
11,12,"""Pompeii""",Bastille
12,13,"""Shake It Off""",Taylor Swift
13,14,"""Am I Wrong""",Nico & Vinz
14,15,"""Turn Down for What""",DJ Snake and Lil Jon
15,16,"""The Monster""",Eminem featuring Rihanna
16,17,"""Say Something""",A Great Big World and Christina Aguilera
17,18,"""Team""",Lorde
18,19,"""Let Her Go""",Passenger
19,20,"""Royals""",Lorde
20,21,"""Let It Go""",Idina Menzel
21,22,"""Wake Me Up""",Avicii
22,23,"""Demons""",Imagine Dragons
23,24,"""Story of My Life""",One Direction
24,25,"""Chandelier""",Sia
25,26,"""Black Widow""",Iggy Azalea featuring Rita Ora
26,27,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj"
27,28,"""Latch""",Disclosure featuring Sam Smith
28,29,"""Maps""",Maroon 5
29,30,"""Loyal""",Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga
30,31,"""Best Day of My Life""",American Authors
31,32,"""Habits (Stay High)""",Tove Lo
32,33,"""Summer""",Calvin Harris
33,34,"""Boom Clap""",Charli XCX
34,35,"""Drunk in Love""",Beyoncé featuring Jay-Z
35,36,"""Anaconda""",Nicki Minaj
36,37,"""Break Free""",Ariana Grande featuring Zedd
37,38,"""Bailando""",Enrique Iglesias featuring Descemer Bueno and Gente de Zona
38,39,"""Burn""",Ellie Goulding
39,40,"""Wiggle""",Jason Derulo featuring Snoop Dogg
40,41,"""Rather Be""",Clean Bandit featuring Jess Glynne
41,42,"""Don't Tell 'Em""",Jeremih featuring YG
42,43,"""Show Me""",Kid Ink featuring Chris Brown
43,44,"""Wrecking Ball""",Miley Cyrus
44,45,"""Not a Bad Thing""",Justin Timberlake
45,46,"""Roar""",Katy Perry
46,47,"""Ain't It Fun""",Paramore
47,48,"""The Man""",Aloe Blacc
48,49,"""This Is How We Roll""",Florida Georgia Line featuring Luke Bryan
49,50,"""Classic""",MKTO
50,51,"""A Sky Full of Stars""",Coldplay
51,52,"""Don't""",Ed Sheeran
52,53,"""Na Na""",Trey Songz
53,54,"""Hot Boy""",Bobby Shmurda
54,55,"""Hold On, We're Going Home""",Drake featuring Majid Jordan
55,56,"""Sing""",Ed Sheeran
56,57,"""Radioactive""",Imagine Dragons
57,58,"""My Hitta""",YG featuring Jeezy and Rich Homie Quan
58,59,"""Cool Kids""",Echosmith
59,60,"""Hey Brother""",Avicii
60,61,"""Trumpets""",Jason Derulo
61,62,"""Animals""",Maroon 5
62,63,"""Burnin' It Down""",Jason Aldean
63,64,"""Play It Again""",Luke Bryan
64,65,"""2 On""",Tinashe featuring ScHoolboy Q
65,66,"""Dirt""",Florida Georgia Line
66,67,"""Love Runs Out""",OneRepublic
67,68,"""Bottoms Up""",Brantley Gilbert
68,69,"""Shower""",Becky G
69,70,"""Me and My Broken Heart""",Rixton
70,71,"""Animals""",Martin Garrix
71,72,"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan
72,73,"""American Kids""",Kenny Chesney
73,74,"""Brave""",Sara Bareilles
74,75,"""Sweater Weather""",The Neighbourhood
75,76,"""Leave the Night On""",Sam Hunt
76,77,"""New Flame""",Chris Brown featuring Usher and Rick Ross
77,78,"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake
78,79,"""Drunk on a Plane""",Dierks Bentley
79,80,"""Birthday""",Katy Perry
80,81,"""Bartender""",Lady Antebellum
81,82,"""La La La""",Naughty Boy featuring Sam Smith
82,83,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams
83,84,"""Do What U Want""",Lady Gaga featuring R. Kelly
84,85,"""Can't Remember to Forget You""",Shakira featuring Rihanna
85,86,"""Amnesia""",5 Seconds of Summer
86,87,"""No Mediocre""",T.I. featuring Iggy Azalea
87,88,"""Come with Me Now""",KONGOS
88,89,"""Believe Me""",Lil Wayne featuring Drake
89,90,"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J"
90,91,"""Beachin'""",Jake Owen
91,92,"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis
92,93,"""She Looks So Perfect""",5 Seconds of Summer
93,94,"""Stay the Night""",Zedd featuring Hayley Williams
94,95,"""Partition""",Beyoncé
95,96,"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid
96,97,"""0 to 100 / The Catch Up""",Drake
97,98,"""I Don't Dance""",Lee Brice
98,99,"""Somethin' Bad""",Miranda Lambert and Carrie Underwood
99,100,"""Adore You""",Miley Cyrus
