,No.,Title,Artist(s)
0,1,"""Walk Like An Egyptian""",The Bangles
1,2,"""Alone""",Heart
2,3,"""Shake You Down""",Gregory Abbott
3,4,"""I Wanna Dance with Somebody (Who Loves Me)""",Whitney Houston
4,5,"""Nothing's Gonna Stop Us Now""",Starship
5,6,"""C'est La Vie""",Robbie Nevil
6,7,"""Here I Go Again""",Whitesnake
7,8,"""The Way It Is""",Bruce Hornsby and the Range
8,9,"""Shakedown""",Bob Seger
9,10,"""Livin' on a Prayer""",Bon Jovi
10,11,"""La Bamba""",Los Lobos
11,12,"""Everybody Have Fun Tonight""",Wang Chung
12,13,"""Don't Dream It's Over""",Crowded House
13,14,"""Always""",Atlantic Starr
14,15,"""With or Without You""",U2
15,16,"""Looking for a New Love""",Jody Watley
16,17,"""Head to Toe""",Lisa Lisa and Cult Jam
17,18,"""I Think We're Alone Now""",Tiffany
18,19,"""Mony Mony""",Billy Idol
19,20,"""At This Moment""",Billy Vera and the Beaters
20,21,"""The Lady in Red""",Chris de Burgh
21,22,"""Didn't We Almost Have It All""",Whitney Houston
22,23,"""I Still Haven't Found What I'm Looking For""",U2
23,24,"""I Want Your Sex""",George Michael
24,25,"""Notorious""",Duran Duran
25,26,"""Only in My Dreams""",Debbie Gibson
26,27,"""(I've Had) The Time of My Life""",Bill Medley and Jennifer Warnes
27,28,"""The Next Time I Fall""",Peter Cetera and Amy Grant
28,29,"""Lean on Me""",Club Nouveau
29,30,"""Open Your Heart""",Madonna
30,31,"""Lost in Emotion""",Lisa Lisa and Cult Jam
31,32,"""(I Just) Died In Your Arms""",Cutting Crew
32,33,"""Heart and Soul""",T'Pau
33,34,"""You Keep Me Hangin' On""",Kim Wilde
34,35,"""Keep Your Hands to Yourself""",Georgia Satellites
35,36,"""I Knew You Were Waiting (For Me)""",Aretha Franklin and George Michael
36,37,"""Control""",Janet Jackson
37,38,"""U Got the Look""",Prince
38,39,"""Somewhere Out There""",Linda Ronstadt and James Ingram
39,40,"""Land of Confusion""",Genesis
40,41,"""Jacob's Ladder""",Huey Lewis and the News
41,42,"""Who's That Girl""",Madonna
42,43,"""You Got It All""",The Jets
43,44,"""Touch Me (I Want Your Body)""",Samantha Fox
44,45,"""I Just Can't Stop Loving You""",Michael Jackson with Siedah Garrett
45,46,"""Causing a Commotion""",Madonna
46,47,"""In Too Deep""",Genesis
47,48,"""Let's Wait Awhile""",Janet Jackson
48,49,"""Hip to Be Square""",Huey Lewis and the News
49,50,"""Will You Still Love Me?""",Chicago
50,51,"""Little Lies""",Fleetwood Mac
51,52,"""Luka""",Suzanne Vega
52,53,"""I Heard A Rumour""",Bananarama
53,54,"""Don't Mean Nothing""",Richard Marx
54,55,"""Songbird""",Kenny G
55,56,"""Carrie""",Europe
56,57,"""Don't Disturb This Groove""",The System
57,58,"""La Isla Bonita""",Madonna
58,59,"""Bad""",Michael Jackson
59,60,"""Sign o' the Times""",Prince
60,61,"""Change of Heart""",Cyndi Lauper
61,62,"""Come Go with Me""",Exposé
62,63,"""Can't We Try""",Dan Hill featuring Vonda Shepard
63,64,"""To Be a Lover""",Billy Idol
64,65,"""Mandolin Rain""",Bruce Hornsby and the Range
65,66,"""Breakout""",Swing Out Sister
66,67,"""Stand by Me""",Ben E. King
67,68,"""Tonight, Tonight, Tonight""",Genesis
68,69,"""Someday""",Glass Tiger
69,70,"""When Smokey Sings""",ABC
70,71,"""Casanova""",LeVert
71,72,"""Rhythm Is Gonna Get You""",Gloria Estefan and Miami Sound Machine
72,73,"""Rock Steady""",The Whispers
73,74,"""Wanted Dead or Alive""",Bon Jovi
74,75,"""Big Time""",Peter Gabriel
75,76,"""The Finer Things""",Steve Winwood
76,77,"""Let Me Be the One""",Exposé
77,78,"""Is This Love""",Survivor
78,79,"""Diamonds""",Herb Alpert
79,80,"""Point of No Return""",Exposé
80,81,"""Big Love""",Fleetwood Mac
81,82,"""Midnight Blue""",Lou Gramm
82,83,"""Something So Strong""",Crowded House
83,84,"""Heat of the Night""",Bryan Adams
84,85,"""Nothing's Gonna Change My Love for You""",Glenn Medeiros
85,86,"""Brilliant Disguise""",Bruce Springsteen
86,87,"""Just to See Her""",Smokey Robinson
87,88,"""Who Will You Run To""",Heart
88,89,"""Respect Yourself""",Bruce Willis
89,90,"""Cross My Broken Heart""",The Jets
90,91,"""Victory""",Kool & the Gang
91,92,"""Don't Get Me Wrong""",The Pretenders
92,93,"""Doing It All for My Baby""",Huey Lewis and the News
93,94,"""Right on Track""",Breakfast Club
94,95,"""Ballerina Girl""",Lionel Richie
95,96,"""Meet Me Half Way""",Kenny Loggins
96,97,"""I've Been in Love Before""",Cutting Crew
97,98,"""(You Gotta) Fight for Your Right (To Party!)""",Beastie Boys
98,99,"""Funkytown""",Pseudo Echo
99,100,"""Love You Down""",Ready for the World
