,№,Title,Artist(s)
0,1,"""That's What Friends Are For""","Dionne and Friends (Dionne Warwick, Gladys Knight, Elton John and Stevie Wonder)"
1,2,"""Say You, Say Me""",Lionel Richie
2,3,"""I Miss You""",Klymaxx
3,4,"""On My Own""",Patti LaBelle and Michael McDonald
4,5,"""Broken Wings""",Mr. Mister
5,6,"""How Will I Know""",Whitney Houston
6,7,"""Party All the Time""",Eddie Murphy
7,8,"""Burning Heart""",Survivor
8,9,"""Kyrie""",Mr. Mister
9,10,"""Addicted to Love""",Robert Palmer
10,11,"""The Greatest Love of All""",Whitney Houston
11,12,"""Secret Lovers""",Atlantic Starr
12,13,"""Friends and Lovers""",Gloria Loring and Carl Anderson
13,14,"""Glory of Love""",Peter Cetera
14,15,"""West End Girls""",Pet Shop Boys
15,16,"""There'll Be Sad Songs (To Make You Cry)""",Billy Ocean
16,17,"""Alive and Kicking""",Simple Minds
17,18,"""Never""",Heart
18,19,"""Kiss""",Prince and The Revolution
19,20,"""Higher Love""",Steve Winwood
20,21,"""Stuck with You""",Huey Lewis and the News
21,22,"""Holding Back the Years""",Simply Red
22,23,"""Sledgehammer""",Peter Gabriel
23,24,"""Sara""",Starship
24,25,"""Human""",The Human League
25,26,"""I Can't Wait""",Nu Shooz
26,27,"""Take My Breath Away""",Berlin
27,28,"""Rock Me Amadeus""",Falco
28,29,"""Papa Don't Preach""",Madonna
29,30,"""You Give Love a Bad Name""",Bon Jovi
30,31,"""When the Going Gets Tough, the Tough Get Going""",Billy Ocean
31,32,"""When I Think of You""",Janet Jackson
32,33,"""These Dreams""",Heart
33,34,"""Don't Forget Me (When I'm Gone)""",Glass Tiger
34,35,"""Live to Tell""",Madonna
35,36,"""Mad About You""",Belinda Carlisle
36,37,"""Something About You""",Level 42
37,38,"""Venus""",Bananarama
38,39,"""Dancing on the Ceiling""",Lionel Richie
39,40,"""Conga""",Miami Sound Machine
40,41,"""True Colors""",Cyndi Lauper
41,42,"""Danger Zone""",Kenny Loggins
42,43,"""What Have You Done For Me Lately""",Janet Jackson
43,44,"""No One Is to Blame""",Howard Jones
44,45,"""Let's Go All the Way""",Sly Fox
45,46,"""I Didn't Mean to Turn You On""",Robert Palmer
46,47,"""Words Get in the Way""",Miami Sound Machine
47,48,"""Manic Monday""",The Bangles
48,49,"""Walk of Life""",Dire Straits
49,50,"""Amanda""",Boston
50,51,"""Two of Hearts""",Stacey Q
51,52,"""Crush on You""",The Jets
52,53,"""If You Leave""",Orchestral Manoeuvres in the Dark
53,54,"""Invisible Touch""",Genesis
54,55,"""The Sweetest Taboo""",Sade
55,56,"""What You Need""",INXS
56,57,"""Talk to Me""",Stevie Nicks
57,58,"""Nasty""",Janet Jackson
58,59,"""Take Me Home Tonight""",Eddie Money
59,60,"""We Don't Have to Take Our Clothes Off""",Jermaine Stewart
60,61,"""All Cried Out""",Lisa Lisa and Cult Jam
61,62,"""Your Love""",The Outfield
62,63,"""I'm Your Man""",Wham!
63,64,"""Perfect Way""",Scritti Politti
64,65,"""Living in America""",James Brown
65,66,"""R.O.C.K. in the U.S.A.""",John Cougar Mellencamp
66,67,"""Who's Johnny""",El DeBarge
67,68,"""Word Up!""",Cameo
68,69,"""Why Can't This Be Love""",Van Halen
69,70,"""Silent Running (On Dangerous Ground)""",Mike + The Mechanics
70,71,"""Typical Male""",Tina Turner
71,72,"""Small Town""",John Cougar Mellencamp
72,73,"""Tarzan Boy""",Baltimora
73,74,"""All I Need Is a Miracle""",Mike + The Mechanics
74,75,"""Sweet Freedom""",Michael McDonald
75,76,"""True Blue""",Madonna
76,77,"""Rumors""",Timex Social Club
77,78,"""Life in a Northern Town""",Dream Academy
78,79,"""Bad Boy""",Miami Sound Machine
79,80,"""Sleeping Bag""",ZZ Top
80,81,"""Tonight She Comes""",The Cars
81,82,"""Love Touch""",Rod Stewart
82,83,"""A Love Bizarre""",Sheila E.
83,84,"""Throwing It All Away""",Genesis
84,85,"""Baby Love""",Regina
85,86,"""Election Day""",Arcadia
86,87,"""Nikita""",Elton John
87,88,"""Take Me Home""",Phil Collins
88,89,"""Walk This Way""",Run–D.M.C. featuring Aerosmith
89,90,"""Sweet Love""",Anita Baker
90,91,"""Your Wildest Dreams""",Moody Blues
91,92,"""Spies Like Us""",Paul McCartney
92,93,"""Object of My Desire""",Starpoint
93,94,"""Dreamtime""",Daryl Hall
94,95,"""Tender Love""",Force MDs
95,96,"""King for a Day""",Thompson Twins
96,97,"""Love Will Conquer All""",Lionel Richie
97,98,"""A Different Corner""",George Michael
98,99,"""I'll Be Over You""",Toto
99,100,"""Go Home""",Stevie Wonder
