,No.,Title,Artist(s)
0,1,"""Faith""",George Michael
1,2,"""Need You Tonight""",INXS
2,3,"""Got My Mind Set on You""",George Harrison
3,4,"""Never Gonna Give You Up""",Rick Astley
4,5,"""Sweet Child o' Mine""",Guns N' Roses
5,6,"""So Emotional""",Whitney Houston
6,7,"""Heaven Is a Place on Earth""",Belinda Carlisle
7,8,"""Could've Been""",Tiffany
8,9,"""Hands to Heaven""",Breathe
9,10,"""Roll with It""",Steve Winwood
10,11,"""One More Try""",George Michael
11,12,"""Wishing Well""",Terence Trent D'Arby
12,13,"""Anything for You""",Gloria Estefan and Miami Sound Machine
13,14,"""The Flame""",Cheap Trick
14,15,"""Get Outta My Dreams, Get into My Car""",Billy Ocean
15,16,"""Seasons Change""",Exposé
16,17,"""Is This Love""",Whitesnake
17,18,"""Wild, Wild West""",The Escape Club
18,19,"""Pour Some Sugar on Me""",Def Leppard
19,20,"""I'll Always Love You""",Taylor Dayne
20,21,"""Man in the Mirror""",Michael Jackson
21,22,"""Shake Your Love""",Debbie Gibson
22,23,"""Simply Irresistible""",Robert Palmer
23,24,"""Hold On to the Nights""",Richard Marx
24,25,"""Hungry Eyes""",Eric Carmen
25,26,"""Shattered Dreams""",Johnny Hates Jazz
26,27,"""Father Figure""",George Michael
27,28,"""Naughty Girls (Need Love Too)""",Samantha Fox
28,29,"""A Groovy Kind of Love""",Phil Collins
29,30,"""Love Bites""",Def Leppard
30,31,"""Endless Summer Nights""",Richard Marx
31,32,"""Foolish Beat""",Debbie Gibson
32,33,"""Where Do Broken Hearts Go""",Whitney Houston
33,34,"""Angel""",Aerosmith
34,35,"""A Hazy Shade of Winter""",The Bangles
35,36,"""The Way You Make Me Feel""",Michael Jackson
36,37,"""Don't Worry, Be Happy""",Bobby McFerrin
37,38,"""Make Me Lose Control""",Eric Carmen
38,39,"""Red Red Wine""",UB40
39,40,"""She's Like the Wind""",Patrick Swayze featuring Wendy Fraser
40,41,"""Bad Medicine""",Bon Jovi
41,42,"""Kokomo""",The Beach Boys
42,43,"""I Don't Wanna Go on with You Like That""",Elton John
43,44,"""Together Forever""",Rick Astley
44,45,"""Monkey""",George Michael
45,46,"""Devil Inside""",INXS
46,47,"""Should've Known Better""",Richard Marx
47,48,"""I Don't Wanna Live Without Your Love""",Chicago
48,49,"""The Loco-Motion""",Kylie Minogue
49,50,"""What Have I Done to Deserve This?""",Pet Shop Boys with Dusty Springfield
50,51,"""Make It Real""",The Jets
51,52,"""What's On Your Mind (Pure Energy)""",Information Society
52,53,"""Tell It to My Heart""",Taylor Dayne
53,54,"""Out of the Blue""",Debbie Gibson
54,55,"""Don't You Want Me""",Jody Watley
55,56,"""Desire""",U2
56,57,"""I Get Weak""",Belinda Carlisle
57,58,"""Sign Your Name""",Terence Trent D'Arby
58,59,"""I Want to Be Your Man""",Roger
59,60,"""Girlfriend""",Pebbles
60,61,"""Dirty Diana""",Michael Jackson
61,62,"""1-2-3""",Gloria Estefan and Miami Sound Machine
62,63,"""Mercedes Boy""",Pebbles
63,64,"""Perfect World""",Huey Lewis and the News
64,65,"""New Sensation""",INXS
65,66,"""Catch Me (I'm Falling)""",Pretty Poison
66,67,"""If It Isn't Love""",New Edition
67,68,"""Rocket 2 U""",The Jets
68,69,"""One Good Woman""",Peter Cetera
69,70,"""Don't Be Cruel""",Cheap Trick
70,71,"""Candle in the Wind""",Elton John
71,72,"""Everything Your Heart Desires""",Daryl Hall & John Oates
72,73,"""Say You Will""",Foreigner
73,74,"""I Want Her""",Keith Sweat
74,75,"""Pink Cadillac""",Natalie Cole
75,76,"""Fast Car""",Tracy Chapman
76,77,"""Electric Blue""",Icehouse
77,78,"""The Valley Road""",Bruce Hornsby and the Range
78,79,"""Don't Be Cruel""",Bobby Brown
79,80,"""Always on My Mind""",Pet Shop Boys
80,81,"""Piano in the Dark""",Brenda Russell featuring Joe Esposito
81,82,"""When It's Love""",Van Halen
82,83,"""Don't Shed a Tear""",Paul Carrack
83,84,"""We'll Be Together""",Sting
84,85,"""I Hate Myself for Loving You""",Joan Jett and the Blackhearts
85,86,"""I Don't Want to Live Without You""",Foreigner
86,87,"""Nite and Day""",Al B. Sure!
87,88,"""Don't You Know What the Night Can Do?""",Steve Winwood
88,89,"""One Moment in Time""",Whitney Houston
89,90,"""Can't Stay Away from You""",Gloria Estefan and Miami Sound Machine
90,91,"""Kissing a Fool""",George Michael
91,92,"""Cherry Bomb""",John Cougar Mellencamp
92,93,"""I Still Believe""",Brenda K. Starr
93,94,"""I Found Someone""",Cher
94,95,"""Never Tear Us Apart""",INXS
95,96,"""Valerie""",Steve Winwood
96,97,"""Just Like Paradise""",David Lee Roth
97,98,"""Nothin' but a Good Time""",Poison
98,99,"""Wait""",White Lion
99,100,"""Prove Your Love""",Taylor Dayne
