,No.,Title,Artist(s)
0,1,"""Look Away""",Chicago
1,2,"""My Prerogative""",Bobby Brown
2,3,"""Every Rose Has Its Thorn""",Poison
3,4,"""Straight Up""",Paula Abdul
4,5,"""Miss You Much""",Janet Jackson
5,6,"""Cold Hearted""",Paula Abdul
6,7,"""Wind Beneath My Wings""",Bette Midler
7,8,"""Girl You Know It's True""",Milli Vanilli
8,9,"""Baby, I Love Your Way/Freebird Medley""",Will to Power
9,10,"""Giving You the Best That I Got""",Anita Baker
10,11,"""Right Here Waiting""",Richard Marx
11,12,"""Waiting For a Star to Fall""",Boy Meets Girl
12,13,"""Lost in Your Eyes""",Debbie Gibson
13,14,"""Don't Wanna Lose You""",Gloria Estefan
14,15,"""Heaven""",Warrant
15,16,"""Girl I'm Gonna Miss You""",Milli Vanilli
16,17,"""The Look""",Roxette
17,18,"""She Drives Me Crazy""",Fine Young Cannibals
18,19,"""On Our Own""",Bobby Brown
19,20,"""Two Hearts""",Phil Collins
20,21,"""Blame It on the Rain""",Milli Vanilli
21,22,"""Listen to Your Heart""",Roxette
22,23,"""I'll Be There for You""",Bon Jovi
23,24,"""If You Don't Know Me by Now""",Simply Red
24,25,"""Like a Prayer""",Madonna
25,26,"""I'll Be Loving You (Forever)""",New Kids on the Block
26,27,"""How Can I Fall?""",Breathe
27,28,"""Baby Don't Forget My Number""",Milli Vanilli
28,29,"""Toy Soldiers""",Martika
29,30,"""Forever Your Girl""",Paula Abdul
30,31,"""The Living Years""",Mike + The Mechanics
31,32,"""Eternal Flame""",The Bangles
32,33,"""Wild Thing""",Tone Loc
33,34,"""When I See You Smile""",Bad English
34,35,"""If I Could Turn Back Time""",Cher
35,36,"""Buffalo Stance""",Neneh Cherry
36,37,"""When I'm with You""",Sheriff
37,38,"""Don't Rush Me""",Taylor Dayne
38,39,"""Born to Be My Baby""",Bon Jovi
39,40,"""Good Thing""",Fine Young Cannibals
40,41,"""The Lover in Me""",Sheena Easton
41,42,"""Bust a Move""",Young MC
42,43,"""Once Bitten, Twice Shy""",Great White
43,44,"""Batdance""",Prince
44,45,"""Rock On""",Michael Damian
45,46,"""Real Love""",Jody Watley
46,47,"""Love Shack""",The B-52's
47,48,"""Every Little Step""",Bobby Brown
48,49,"""Hangin' Tough""",New Kids on the Block
49,50,"""My Heart Can't Tell You No""",Rod Stewart
50,51,"""So Alive""",Love and Rockets
51,52,"""You Got It (The Right Stuff)""",New Kids on the Block
52,53,"""Armageddon It""",Def Leppard
53,54,"""Satisfied""",Richard Marx
54,55,"""Express Yourself""",Madonna
55,56,"""I Like It""",Dino
56,57,"""Soldier of Love""",Donny Osmond
57,58,"""Sowing the Seeds of Love""",Tears for Fears
58,59,"""Cherish""",Madonna
59,60,"""When the Children Cry""",White Lion
60,61,"""18 and Life""",Skid Row
61,62,"""I Don't Want Your Love""",Duran Duran
62,63,"""Second Chance""",.38 Special
63,64,"""The Way You Love Me""",Karyn White
64,65,"""Funky Cold Medina""",Tone Loc
65,66,"""In Your Room""",The Bangles
66,67,"""Miss You Like Crazy""",Natalie Cole
67,68,"""Lovesong""",The Cure
68,69,"""Secret Rendezvous""",Karyn White
69,70,"""Angel Eyes""",The Jeff Healey Band
70,71,"""Patience""",Guns N' Roses
71,72,"""Walk on Water""",Eddie Money
72,73,"""Cover Girl""",New Kids on the Block
73,74,"""Welcome to the Jungle""",Guns N' Roses
74,75,"""Shower Me With Your Love""",Surface
75,76,"""Stand""",R.E.M.
76,77,"""Close My Eyes Forever""",Lita Ford and Ozzy Osbourne
77,78,"""All This Time""",Tiffany
78,79,"""After All""",Cher and Peter Cetera
79,80,"""Roni""",Bobby Brown
80,81,"""Love in an Elevator""",Aerosmith
81,82,"""Lay Your Hands on Me""",Bon Jovi
82,83,"""The Promise""",When in Rome
83,84,"""What I Am""",Edie Brickell & New Bohemians
84,85,"""I Remember Holding You""",Boys Club
85,86,"""Paradise City""",Guns N' Roses
86,87,"""I Wanna Have Some Fun""",Samantha Fox
87,88,"""She Wants to Dance with Me""",Rick Astley
88,89,"""Dreamin'""",Vanessa Williams
89,90,"""It's No Crime""",Babyface
90,91,"""Poison""",Alice Cooper
91,92,"""This Time I Know It's for Real""",Donna Summer
92,93,"""Smooth Criminal""",Michael Jackson
93,94,"""Heaven Help Me""",Deon Estus
94,95,"""Rock Wit'cha""",Bobby Brown
95,96,"""Thinking of You""",Sa-Fire
96,97,"""What You Don't Know""",Exposé
97,98,"""Surrender to Me""",Ann Wilson and Robin Zander
98,99,"""The End of the Innocence""",Don Henley
99,100,"""Keep on Movin'""",Soul II Soul
