,No.,Title,Artist(s)
0,1,"""Levitating""",Dua Lipa
1,2,"""Save Your Tears""",The Weeknd and Ariana Grande
2,3,"""Blinding Lights""",The Weeknd
3,4,"""Mood""",24kGoldn featuring Iann Dior
4,5,"""Good 4 U""",Olivia Rodrigo
5,6,"""Kiss Me More""",Doja Cat featuring SZA
6,7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak)
7,8,"""Drivers License""",Olivia Rodrigo
8,9,"""Montero (Call Me by Your Name)""",Lil Nas X
9,10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon
10,11,"""Butter""",BTS
11,12,"""Stay""",The Kid Laroi and Justin Bieber
12,13,"""Deja Vu""",Olivia Rodrigo
13,14,"""Positions""",Ariana Grande
14,15,"""Bad Habits""",Ed Sheeran
15,16,"""Heat Waves""",Glass Animals
16,17,"""Without You""",The Kid Laroi
17,18,"""Forever After All""",Luke Combs
18,19,"""Go Crazy""",Chris Brown and Young Thug
19,20,"""Astronaut in the Ocean""",Masked Wolf
20,21,"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion
21,22,"""What You Know Bout Love""",Pop Smoke
22,23,"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear
23,24,"""Industry Baby""",Lil Nas X and Jack Harlow
24,25,"""Therefore I Am""",Billie Eilish
25,26,"""Up""",Cardi B
26,27,"""Fancy Like""",Walker Hayes
27,28,"""Dakiti""",Bad Bunny and Jhay Cortez
28,29,"""Best Friend""",Saweetie featuring Doja Cat
29,30,"""Rapstar""",Polo G
30,31,"""Heartbreak Anniversary""",Giveon
31,32,"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby
32,33,"""Calling My Phone""",Lil Tjay and 6lack
33,34,"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion
34,35,"""Holy""",Justin Bieber featuring Chance the Rapper
35,36,"""On Me""",Lil Baby
36,37,"""You Broke Me First""",Tate McRae
37,38,"""Traitor""",Olivia Rodrigo
38,39,"""Back in Blood""",Pooh Shiesty featuring Lil Durk
39,40,"""I Hope""",Gabby Barrett featuring Charlie Puth
40,41,"""Dynamite""",BTS
41,42,"""Wockesha""",Moneybagg Yo
42,43,"""You Right""",Doja Cat and the Weeknd
43,44,"""Beat Box 2"" / ""Beat Box 3""",SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby
44,45,"""Laugh Now Cry Later""",Drake featuring Lil Durk
45,46,"""Need to Know""",Doja Cat
46,47,"""Wants and Needs""",Drake featuring Lil Baby
47,48,"""Way 2 Sexy""",Drake featuring Future and Young Thug
48,49,"""Telepatía""",Kali Uchis
49,50,"""Whoopty""",CJ
50,51,"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav
51,52,"""Good Days""",SZA
52,53,"""Starting Over""",Chris Stapleton
53,54,"""Body""",Megan Thee Stallion
54,55,"""Willow""",Taylor Swift
55,56,"""Bang!""",AJR
56,57,"""Better Together""",Luke Combs
57,58,"""You're Mines Still""",Yung Bleu featuring Drake
58,59,"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk
59,60,"""Essence""",Wizkid featuring Justin Bieber and Tems
60,61,"""Chasing After You""",Ryan Hurd and Maren Morris
61,62,"""The Good Ones""",Gabby Barrett
62,63,"""Leave Before You Love Me""",Marshmello and Jonas Brothers
63,64,"""Glad You Exist""",Dan + Shay
64,65,"""Lonely""",Justin Bieber and Benny Blanco
65,66,"""Beggin'""",Måneskin
66,67,"""Streets""",Doja Cat
67,68,"""What's Next""",Drake
68,69,"""Famous Friends""",Chris Young and Kane Brown
69,70,"""Lil Bit""",Nelly and Florida Georgia Line
70,71,"""Thot Shit""",Megan Thee Stallion
71,72,"""Late at Night""",Roddy Ricch
72,73,"""Kings & Queens""",Ava Max
73,74,"""Anyone""",Justin Bieber
74,75,"""Track Star""",Mooski
75,76,"""Time Today""",Moneybagg Yo
76,77,"""Cry Baby""",Megan Thee Stallion featuring DaBaby
77,78,"""All I Want for Christmas Is You""",Mariah Carey
78,79,"""No More Parties""",Coi Leray featuring Lil Durk
79,80,"""What's Your Country Song""",Thomas Rhett
80,81,"""One Too Many""",Keith Urban and Pink
81,82,"""Arcade""",Duncan Laurence
82,83,"""Yonaguni""",Bad Bunny
83,84,"""Good Time""",Niko Moon
84,85,"""If I Didn't Love You""",Jason Aldean and Carrie Underwood
85,86,"""Knife Talk""",Drake featuring 21 Savage and Project Pat
86,87,"""POV""",Ariana Grande
87,88,"""Just the Way""",Parmalee and Blanco Brown
88,89,"""Take My Breath""",The Weeknd
89,90,"""We're Good""",Dua Lipa
90,91,"""Hell of a View""",Eric Church
91,92,"""Rockin' Around the Christmas Tree""",Brenda Lee
92,93,"""Put Your Records On""",Ritt Momney
93,94,"""Happier Than Ever""",Billie Eilish
94,95,"""Single Saturday Night""",Cole Swindell
95,96,"""Things a Man Oughta Know""",Lainey Wilson
96,97,"""Throat Baby (Go Baby)""",BRS Kash
97,98,"""Tombstone""",Rod Wave
98,99,"""Drinkin' Beer. Talkin' God. Amen.""",Chase Rice featuring Florida Georgia Line
99,100,"""Todo de Ti""",Rauw Alejandro
