,№,Title,Artist(s)
0,1,"""Macarena (Bayside Boys Mix)""",Los del Río
1,2,"""One Sweet Day""",Mariah Carey and Boyz II Men
2,3,"""Because You Loved Me""",Celine Dion
3,4,"""Nobody Knows""",The Tony Rich Project
4,5,"""Always Be My Baby""",Mariah Carey
5,6,"""Give Me One Reason""",Tracy Chapman
6,7,"""Tha Crossroads""",Bone Thugs-n-Harmony
7,8,"""I Love You Always Forever""",Donna Lewis
8,9,"""You're Makin' Me High"" / ""Let It Flow""",Toni Braxton
9,10,"""Twisted""",Keith Sweat
10,11,"""C'mon N' Ride It (The Train)""",Quad City DJ's
11,12,"""Missing""",Everything but the Girl
12,13,"""Ironic""",Alanis Morissette
13,14,"""Exhale (Shoop Shoop)""",Whitney Houston
14,15,"""Follow You Down"" / ""Til I Hear It from You""",Gin Blossoms
15,16,"""Sittin' Up in My Room""",Brandy
16,17,"""How Do U Want It"" / ""California Love""",2Pac featuring K-Ci and JoJo / 2Pac featuring Dr. Dre and Roger Troutman
17,18,"""It's All Coming Back to Me Now""",Celine Dion
18,19,"""Change the World""",Eric Clapton
19,20,"""Hey Lover""",LL Cool J featuring Boyz II Men
20,21,"""Loungin""",LL Cool J
21,22,"""Insensitive""",Jann Arden
22,23,"""Be My Lover""",La Bouche
23,24,"""Name""",Goo Goo Dolls
24,25,"""Who Will Save Your Soul""",Jewel
25,26,"""Where Do You Go""",No Mercy
26,27,"""I Can't Sleep Baby (If I)""",R. Kelly
27,28,"""Counting Blue Cars""",Dishwalla
28,29,"""You Learn"" / ""You Oughta Know""",Alanis Morissette
29,30,"""One of Us""",Joan Osborne
30,31,"""Wonder""",Natalie Merchant
31,32,"""Not Gon' Cry""",Mary J. Blige
32,33,"""Gangsta's Paradise""",Coolio featuring L.V.
33,34,"""Only You""",112 featuring The Notorious B.I.G.
34,35,"""Down Low (Nobody Has to Know)""",R. Kelly featuring Ronald Isley
35,36,"""You're the One""",SWV
36,37,"""Sweet Dreams""",La Bouche
37,38,"""Before You Walk Out of My Life"" / ""Like This and Like That""",Monica
38,39,"""Breakfast at Tiffany's""",Deep Blue Something
39,40,"""1, 2, 3, 4 (Sumpin' New)""",Coolio
40,41,"""The World I Know""",Collective Soul
41,42,"""No Diggity""",Blackstreet featuring Dr. Dre
42,43,"""Anything""",3T
43,44,"""1979""",The Smashing Pumpkins
44,45,"""Diggin' on You""",TLC
45,46,"""Why I Love You So Much"" / ""Ain't Nobody""",Monica
46,47,"""Kissin' You""",Total
47,48,"""Count on Me""",Whitney Houston and CeCe Winans
48,49,"""Fantasy""",Mariah Carey
49,50,"""Time""",Hootie & the Blowfish
50,51,"""You'll See""",Madonna
51,52,"""Last Night""",Az Yet
52,53,"""Mouth""",Merril Bainbridge
53,54,"""The Earth, the Sun, the Rain""",Color Me Badd
54,55,"""All the Things (Your Man Won't Do)""",Joe
55,56,"""Wonderwall""",Oasis
56,57,"""Woo Hah!! Got You All in Check"" / ""Everything Remains Raw""",Busta Rhymes
57,58,"""Tell Me""",Groove Theory
58,59,"""Elevators (Me & You)""",Outkast
59,60,"""Hook""",Blues Traveler
60,61,"""Doin' It""",LL Cool J
61,62,"""Fastlove""",George Michael
62,63,"""Touch Me, Tease Me""",Case featuring Foxy Brown
63,64,"""Tonite's tha Night""",Kris Kross
64,65,"""Children""",Robert Miles
65,66,"""Theme from Mission: Impossible""",Adam Clayton and Larry Mullen
66,67,"""Closer to Free""",BoDeans
67,68,"""Just a Girl""",No Doubt
68,69,"""If Your Girl Only Knew""",Aaliyah
69,70,"""Lady""",D'Angelo
70,71,"""Key West Intermezzo (I Saw You First)""",John Mellencamp
71,72,"""Pony""",Ginuwine
72,73,"""Nobody""",Keith Sweat featuring Athena Cage
73,74,"""Old Man & Me (When I Get to Heaven)""",Hootie & the Blowfish
74,75,"""If It Makes You Happy""",Sheryl Crow
75,76,"""As I Lay Me Down""",Sophie B. Hawkins
76,77,"""Keep On, Keepin' On""",MC Lyte featuring Xscape
77,78,"""Jealousy""",Natalie Merchant
78,79,"""I Want to Come Over""",Melissa Etheridge
79,80,"""Who Do U Love""",Deborah Cox
80,81,"""Un-Break My Heart""",Toni Braxton
81,82,"""This Is Your Night""",Amber
82,83,"""You Remind Me of Something""",R. Kelly
83,84,"""Runaway""",Janet Jackson
84,85,"""Set U Free""",Planet Soul
85,86,"""Hit Me Off""",New Edition
86,87,"""No One Else""",Total
87,88,"""My Boo""",Ghost Town DJ's
88,89,"""Get Money""",Junior M.A.F.I.A. featuring The Notorious B.I.G.
89,90,"""That Girl""",Maxi Priest featuring Shaggy
90,91,"""Po Pimp""",Do or Die featuring Twista
91,92,"""Until It Sleeps""",Metallica
92,93,"""Hay""",Crucial Conflict
93,94,"""Beautiful Life""",Ace of Base
94,95,"""Back for Good""",Take That
95,96,"""I Got Id"" / ""Long Road""",Pearl Jam
96,97,"""Soon as I Get Home""",Faith Evans
97,98,"""Macarena""",Los del Río
98,99,"""Only Wanna Be with You""",Hootie & the Blowfish
99,100,"""Don't Cry""",Seal
