,No.,Title,Artist(s)
0,1,"""Careless Whisper""",Wham!
1,2,"""Like a Virgin""",Madonna
2,3,"""Wake Me Up Before You Go-Go""",Wham!
3,4,"""I Want to Know What Love Is""",Foreigner
4,5,"""I Feel for You""",Chaka Khan
5,6,"""Out of Touch""",Daryl Hall & John Oates
6,7,"""Everybody Wants to Rule the World""",Tears for Fears
7,8,"""Money for Nothing""",Dire Straits
8,9,"""Crazy for You""",Madonna
9,10,"""Take On Me""",a-ha
10,11,"""Everytime You Go Away""",Paul Young
11,12,"""Easy Lover""",Philip Bailey and Phil Collins
12,13,"""Can't Fight This Feeling""",REO Speedwagon
13,14,"""We Built This City""",Starship
14,15,"""The Power of Love""",Huey Lewis and the News
15,16,"""Don't You (Forget About Me)""",Simple Minds
16,17,"""Cherish""",Kool & the Gang
17,18,"""St. Elmo's Fire (Man in Motion)""",John Parr
18,19,"""The Heat Is On""",Glenn Frey
19,20,"""We Are the World""",USA for Africa
20,21,"""Shout""",Tears for Fears
21,22,"""Part-Time Lover""",Stevie Wonder
22,23,"""Saving All My Love for You""",Whitney Houston
23,24,"""Heaven""",Bryan Adams
24,25,"""Everything She Wants""",Wham!
25,26,"""Cool It Now""",New Edition
26,27,"""Miami Vice Theme""",Jan Hammer
27,28,"""Loverboy""",Billy Ocean
28,29,"""Lovergirl""",Teena Marie
29,30,"""You Belong to the City""",Glenn Frey
30,31,"""Oh Sheila""",Ready for the World
31,32,"""Rhythm of the Night""",DeBarge
32,33,"""One More Night""",Phil Collins
33,34,"""Sea of Love""",The Honeydrippers
34,35,"""A View to a Kill""",Duran Duran
35,36,"""The Wild Boys""",Duran Duran
36,37,"""You're the Inspiration""",Chicago
37,38,"""Neutron Dance""",The Pointer Sisters
38,39,"""We Belong""",Pat Benatar
39,40,"""Nightshift""",Commodores
40,41,"""Things Can Only Get Better""",Howard Jones
41,42,"""All I Need""",Jack Wagner
42,43,"""Freeway of Love""",Aretha Franklin
43,44,"""Never Surrender""",Corey Hart
44,45,"""Sussudio""",Phil Collins
45,46,"""Strut""",Sheena Easton
46,47,"""You Give Good Love""",Whitney Houston
47,48,"""The Search Is Over""",Survivor
48,49,"""Missing You""",Diana Ross
49,50,"""Separate Lives""",Phil Collins and Marilyn Martin
50,51,"""Raspberry Beret""",Prince & the Revolution
51,52,"""Suddenly""",Billy Ocean
52,53,"""The Boys of Summer""",Don Henley
53,54,"""One Night in Bangkok""",Murray Head
54,55,"""If You Love Somebody Set Them Free""",Sting
55,56,"""Obsession""",Animotion
56,57,"""We Don't Need Another Hero (Thunderdome)""",Tina Turner
57,58,"""Material Girl""",Madonna
58,59,"""Better Be Good to Me""",Tina Turner
59,60,"""Head over Heels""",Tears for Fears
60,61,"""Axel F""",Harold Faltermeyer
61,62,"""Smooth Operator""",Sade
62,63,"""In My House""",Mary Jane Girls
63,64,"""Don't Lose My Number""",Phil Collins
64,65,"""All Through the Night""",Cyndi Lauper
65,66,"""Run to You""",Bryan Adams
66,67,"""Glory Days""",Bruce Springsteen
67,68,"""Voices Carry""",'Til Tuesday
68,69,"""Misled""",Kool & the Gang
69,70,"""Would I Lie to You?""",Eurythmics
70,71,"""Be Near Me""",ABC
71,72,"""No More Lonely Nights""",Paul McCartney
72,73,"""I Can't Hold Back""",Survivor
73,74,"""Summer of '69""",Bryan Adams
74,75,"""Walking on Sunshine""",Katrina and the Waves
75,76,"""Freedom""",Wham!
76,77,"""Too Late for Goodbyes""",Julian Lennon
77,78,"""Valotte""",Julian Lennon
78,79,"""Some Like It Hot""",The Power Station
79,80,"""Solid""",Ashford & Simpson
80,81,"""Angel""",Madonna
81,82,"""I'm on Fire""",Bruce Springsteen
82,83,"""Method of Modern Love""",Daryl Hall & John Oates
83,84,"""Lay Your Hands on Me""",Thompson Twins
84,85,"""Who's Holding Donna Now""",DeBarge
85,86,"""Lonely Ol' Night""",John Cougar Mellencamp
86,87,"""What About Love""",Heart
87,88,"""California Girls""",David Lee Roth
88,89,"""Fresh""",Kool & the Gang
89,90,"""Do What You Do""",Jermaine Jackson
90,91,"""Jungle Love""",The Time
91,92,"""Born in the U.S.A.""",Bruce Springsteen
92,93,"""Private Dancer""",Tina Turner
93,94,"""Who's Zoomin' Who?""",Aretha Franklin
94,95,"""Fortress Around Your Heart""",Sting
95,96,"""Penny Lover""",Lionel Richie
96,97,"""All She Wants to Do Is Dance""",Don Henley
97,98,"""Dress You Up""",Madonna
98,99,"""Sentimental Street""",Night Ranger
99,100,"""Sugar Walls""",Sheena Easton
