,No.,Title,Artist(s)
0,1,"""Every Breath You Take""",The Police
1,2,"""Billie Jean""",Michael Jackson
2,3,"""Flashdance... What a Feeling""",Irene Cara
3,4,"""Down Under""",Men at Work
4,5,"""Beat It""",Michael Jackson
5,6,"""Total Eclipse of the Heart""",Bonnie Tyler
6,7,"""Maneater""",Daryl Hall & John Oates
7,8,"""Baby, Come to Me""",Patti Austin and James Ingram
8,9,"""Maniac""",Michael Sembello
9,10,"""Sweet Dreams (Are Made of This)""",Eurythmics
10,11,"""Do You Really Want to Hurt Me""",Culture Club
11,12,"""You and I""",Eddie Rabbitt and Crystal Gayle
12,13,"""Come On Eileen""",Dexys Midnight Runners
13,14,"""Shame on the Moon""",Bob Seger & The Silver Bullet Band
14,15,"""She Works Hard for the Money""",Donna Summer
15,16,"""Never Gonna Let You Go""",Sérgio Mendes
16,17,"""Hungry Like the Wolf""",Duran Duran
17,18,"""Let's Dance""",David Bowie
18,19,"""Twilight Zone""",Golden Earring
19,20,"""I Know There's Something Going On""",Frida
20,21,"""Jeopardy""",The Greg Kihn Band
21,22,"""Electric Avenue""",Eddy Grant
22,23,"""She Blinded Me with Science""",Thomas Dolby
23,24,"""Africa""",Toto
24,25,"""Little Red Corvette""",Prince
25,26,"""Back on the Chain Gang""",The Pretenders
26,27,"""Up Where We Belong""",Joe Cocker and Jennifer Warnes
27,28,"""Mr. Roboto""",Styx
28,29,"""You Are""",Lionel Richie
29,30,"""Der Kommissar""",After the Fire
30,31,"""Puttin' on the Ritz""",Taco
31,32,"""Sexual Healing""",Marvin Gaye
32,33,"""(Keep Feeling) Fascination""",The Human League
33,34,"""Time (Clock of the Heart)""",Culture Club
34,35,"""The Safety Dance""",Men Without Hats
35,36,"""Mickey""",Toni Basil
36,37,"""You Can't Hurry Love""",Phil Collins
37,38,"""Separate Ways (Worlds Apart)""",Journey
38,39,"""One on One""",Daryl Hall & John Oates
39,40,"""We've Got Tonight""",Kenny Rogers and Sheena Easton
40,41,"""1999""",Prince
41,42,"""Stray Cat Strut""",Stray Cats
42,43,"""Allentown""",Billy Joel
43,44,"""Stand Back""",Stevie Nicks
44,45,"""Tell Her About It""",Billy Joel
45,46,"""Always Something There to Remind Me""",Naked Eyes
46,47,"""Truly""",Lionel Richie
47,48,"""Dirty Laundry""",Don Henley
48,49,"""The Girl Is Mine""",Michael Jackson and Paul McCartney
49,50,"""Too Shy""",Kajagoogoo
50,51,"""Goody Two-Shoes""",Adam Ant
51,52,"""Rock the Casbah""",The Clash
52,53,"""Our House""",Madness
53,54,"""Overkill""",Men at Work
54,55,"""Is There Something I Should Know?""",Duran Duran
55,56,"""Gloria""",Laura Branigan
56,57,"""Affair of the Heart""",Rick Springfield
57,58,"""She's a Beauty""",The Tubes
58,59,"""Solitaire""",Laura Branigan
59,60,"""Don't Let It End""",Styx
60,61,"""How Am I Supposed to Live Without You""",Laura Branigan
61,62,"""China Girl""",David Bowie
62,63,"""Come Dancing""",The Kinks
63,64,"""Promises, Promises""",Naked Eyes
64,65,"""The Other Guy""",Little River Band
65,66,"""Making Love Out of Nothing at All""",Air Supply
66,67,"""Family Man""",Daryl Hall & John Oates
67,68,"""Wanna Be Startin' Somethin'""",Michael Jackson
68,69,"""I Won't Hold You Back""",Toto
69,70,"""All Right""",Christopher Cross
70,71,"""Straight from the Heart""",Bryan Adams
71,72,"""Heart to Heart""",Kenny Loggins
72,73,"""My Love""",Lionel Richie
73,74,"""I'm Still Standing""",Elton John
74,75,"""Hot Girls in Love""",Loverboy
75,76,"""It's a Mistake""",Men at Work
76,77,"""I'll Tumble 4 Ya""",Culture Club
77,78,"""All This Love""",DeBarge
78,79,"""Your Love Is Driving Me Crazy""",Sammy Hagar
79,80,"""Heartbreaker""",Dionne Warwick
80,81,"""Faithfully""",Journey
81,82,"""Steppin' Out""",Joe Jackson
82,83,"""Take Me to Heart""",Quarterflash
83,84,"""(She's) Sexy + 17""",Stray Cats
84,85,"""Try Again""",Champaign
85,86,"""Dead Giveaway""",Shalamar
86,87,"""Lawyers in Love""",Jackson Browne
87,88,"""What About Me""",Moving Pictures
88,89,"""Human Nature""",Michael Jackson
89,90,"""Photograph""",Def Leppard
90,91,"""Pass the Dutchie""",Musical Youth
91,92,"""True""",Spandau Ballet
92,93,"""Far from Over""",Frank Stallone
93,94,"""I've Got a Rock 'n' Roll Heart""",Eric Clapton
94,95,"""It Might Be You""",Stephen Bishop
95,96,"""Tonight, I Celebrate My Love""",Peabo Bryson and Roberta Flack
96,97,"""You Got Lucky""",Tom Petty and the Heartbreakers
97,98,"""Don't Cry""",Asia
98,99,"""Breaking Us in Two""",Joe Jackson
99,100,"""Fall in Love with Me""","Earth, Wind & Fire"
