,No.,Title,Artist(s)
0,1,"""Silly Love Songs""",Wings
1,2,"""Don't Go Breaking My Heart""",Elton John & Kiki Dee
2,3,"""Disco Lady""",Johnnie Taylor
3,4,"""December, 1963 (Oh, What a Night)""",The Four Seasons
4,5,"""Play That Funky Music""",Wild Cherry
5,6,"""Kiss and Say Goodbye""",The Manhattans
6,7,"""Love Machine""",The Miracles
7,8,"""50 Ways to Leave Your Lover""",Paul Simon
8,9,"""Love Is Alive""",Gary Wright
9,10,"""A Fifth of Beethoven""",Walter Murphy & The Big Apple Band
10,11,"""Sara Smile""",Daryl Hall & John Oates
11,12,"""Afternoon Delight""",Starland Vocal Band
12,13,"""I Write the Songs""",Barry Manilow
13,14,"""Fly, Robin, Fly""",Silver Convention
14,15,"""Love Hangover""",Diana Ross
15,16,"""Get Closer""",Seals and Crofts
16,17,"""More, More, More""",Andrea True Connection
17,18,"""Bohemian Rhapsody""",Queen
18,19,"""Misty Blue""",Dorothy Moore
19,20,"""Boogie Fever""",The Sylvers
20,21,"""I'd Really Love to See You Tonight""",England Dan & John Ford Coley
21,22,"""You Sexy Thing""",Hot Chocolate
22,23,"""Love Hurts""",Nazareth
23,24,"""Get Up and Boogie""",Silver Convention
24,25,"""Take It to the Limit""",Eagles
25,26,"""(Shake, Shake, Shake) Shake Your Booty""",KC and the Sunshine Band
26,27,"""Sweet Love""",Commodores
27,28,"""Right Back Where We Started From""",Maxine Nightingale
28,29,"""Theme from S.W.A.T.""",Rhythm Heritage
29,30,"""Love Rollercoaster""",Ohio Players
30,31,"""You Should Be Dancing""",Bee Gees
31,32,"""You'll Never Find Another Love Like Mine""",Lou Rawls
32,33,"""Golden Years""",David Bowie
33,34,"""Moonlight Feels Right""",Starbuck
34,35,"""Only Sixteen""",Dr. Hook
35,36,"""Let Your Love Flow""",The Bellamy Brothers
36,37,"""Dream Weaver""",Gary Wright
37,38,"""Turn the Beat Around""",Vicki Sue Robinson
38,39,"""Lonely Night (Angel Face)""",Captain & Tennille
39,40,"""All by Myself""",Eric Carmen
40,41,"""Love to Love You Baby""",Donna Summer
41,42,"""Deep Purple""",Donny & Marie Osmond
42,43,"""Theme from Mahogany (Do You Know Where You're Going To)""",Diana Ross
43,44,"""Sweet Thing""",Rufus
44,45,"""That's the Way (I Like It)""",KC and the Sunshine Band
45,46,"""A Little Bit More""",Dr. Hook
46,47,"""Shannon""",Henry Gross
47,48,"""If You Leave Me Now""",Chicago
48,49,"""Lowdown""",Boz Scaggs
49,50,"""Show Me the Way""",Peter Frampton
50,51,"""Dream On""",Aerosmith
51,52,"""I Love Music""",The O'Jays
52,53,"""Say You Love Me""",Fleetwood Mac
53,54,"""Times of Your Life""",Paul Anka
54,55,"""Devil Woman""",Cliff Richard
55,56,"""Fooled Around and Fell in Love""",Elvin Bishop
56,57,"""Convoy""",C. W. McCall
57,58,"""Welcome Back""",John Sebastian
58,59,"""Sing a Song""","Earth, Wind & Fire"
59,60,"""Heaven Must Be Missing an Angel""",Tavares
60,61,"""I'll Be Good to You""",The Brothers Johnson
61,62,"""Rock and Roll Music""",The Beach Boys
62,63,"""Shop Around""",Captain & Tennille
63,64,"""Saturday Night""",Bay City Rollers
64,65,"""Island Girl""",Elton John
65,66,"""Let's Do It Again""",The Staple Singers
66,67,"""Let 'Em In""",Wings
67,68,"""Baby Face""",Wing and a Prayer Fife and Drum Corps
68,69,"""This Masquerade""",George Benson
69,70,"""Evil Woman""",Electric Light Orchestra
70,71,"""Wham Bam""",Silver
71,72,"""I'm Easy""",Keith Carradine
72,73,"""Wake Up Everybody""",Harold Melvin & the Blue Notes
73,74,"""Summer""",War
74,75,"""Let Her In""",John Travolta
75,76,"""Fox on the Run""",Sweet
76,77,"""Rhiannon""",Fleetwood Mac
77,78,"""Got to Get You into My Life""",The Beatles
78,79,"""Fanny (Be Tender with My Love)""",Bee Gees
79,80,"""Getaway""","Earth, Wind & Fire"
80,81,"""She's Gone""",Daryl Hall & John Oates
81,82,"""Still the One""",Orleans
82,83,"""You're My Best Friend""",Queen
83,84,"""With Your Love""",Jefferson Starship
84,85,"""Slow Ride""",Foghat
85,86,"""Who'd She Coo?""",Ohio Players
86,87,"""The Boys Are Back in Town""",Thin Lizzy
87,88,"""Walk Away from Love""",David Ruffin
88,89,"""Baby, I Love Your Way (Live)""",Peter Frampton
89,90,"""Young Hearts Run Free""",Candi Staton
90,91,"""Breaking Up Is Hard to Do""",Neil Sedaka
91,92,"""Money Honey""",Bay City Rollers
92,93,"""Give Up the Funk (Tear the Roof off the Sucker)""",Parliament
93,94,"""Junk Food Junkie""",Larry Groce
94,95,"""Tryin' to Get the Feeling Again""",Barry Manilow
95,96,"""Rock and Roll All Nite (Live)""",Kiss
96,97,"""Disco Duck""",Rick Dees & His Cast of Idiots
97,98,"""Take the Money and Run""",Steve Miller Band
98,99,"""Squeeze Box""",The Who
99,100,"""Country Boy (You Got Your Feet in L.A.)""",Glen Campbell
