,No.,Title,Artist(s)
0,1,"""Rolling in the Deep""",Adele
1,2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock
2,3,"""Firework""",Katy Perry
3,4,"""E.T.""",Katy Perry featuring Kanye West
4,5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer"
5,6,"""Grenade""",Bruno Mars
6,7,"""Fuck You (Forget You)""",CeeLo Green
7,8,"""Super Bass""",Nicki Minaj
8,9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera
9,10,"""Just Can't Get Enough""",The Black Eyed Peas
10,11,"""On the Floor""",Jennifer Lopez featuring Pitbull
11,12,"""S&M""",Rihanna
12,13,"""Pumped Up Kicks""",Foster the People
13,14,"""Last Friday Night (T.G.I.F.)""",Katy Perry
14,15,"""Just the Way You Are""",Bruno Mars
15,16,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E
16,17,"""Raise Your Glass""",Pink
17,18,"""Born This Way""",Lady Gaga
18,19,"""Fuckin' Perfect""",Pink
19,20,"""What's My Name?""",Rihanna featuring Drake
20,21,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes
21,22,"""Down on Me""",Jeremih featuring 50 Cent
22,23,"""How to Love""",Lil Wayne
23,24,"""Someone Like You""",Adele
24,25,"""Good Life""",OneRepublic
25,26,"""The Lazy Song""",Bruno Mars
26,27,"""Till the World Ends""",Britney Spears
27,28,"""The Show Goes On""",Lupe Fiasco
28,29,"""The Edge of Glory""",Lady Gaga
29,30,"""We R Who We R""",Kesha
30,31,"""Black and Yellow""",Wiz Khalifa
31,32,"""Tonight Tonight""",Hot Chelle Rae
32,33,"""Blow""",Kesha
33,34,"""Lighters""",Bad Meets Evil featuring Bruno Mars
34,35,"""If I Die Young""",The Band Perry
35,36,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine
36,37,"""The Time (Dirty Bit)""",The Black Eyed Peas
37,38,"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey
38,39,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain
39,40,"""Only Girl (In the World)""",Rihanna
40,41,"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz
41,42,"""Just a Kiss""",Lady Antebellum
42,43,"""Dirt Road Anthem""",Jason Aldean
43,44,"""Dynamite""",Taio Cruz
44,45,"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash
45,46,"""I Wanna Go""",Britney Spears
46,47,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne"
47,48,"""You Make Me Feel...""",Cobra Starship featuring Sabi
48,49,"""Yeah 3x""",Chris Brown
49,50,"""Moment 4 Life""",Nicki Minaj featuring Drake
50,51,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey
51,52,"""Just a Dream""",Nelly
52,53,"""Motivation""",Kelly Rowland featuring Lil Wayne
53,54,"""Stereo Love""",Edward Maya featuring Vika Jigulina
54,55,"""Jar of Hearts""",Christina Perri
55,56,"""Roll Up""",Wiz Khalifa
56,57,"""Sexy and I Know It""",LMFAO
57,58,"""Rocketeer""",Far East Movement featuring Ryan Tedder
58,59,"""All of the Lights""",Kanye West
59,60,"""Hold It Against Me""",Britney Spears
60,61,"""More""",Usher
61,62,"""What the Hell""",Avril Lavigne
62,63,"""Written in the Stars""",Tinie Tempah featuring Eric Turner
63,64,"""Bottoms Up""",Trey Songz featuring Nicki Minaj
64,65,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull
65,66,"""For the First Time""",The Script
66,67,"""Honey Bee""",Blake Shelton
67,68,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson
68,69,"""We Found Love""",Rihanna featuring Calvin Harris
69,70,"""Pretty Girl Rock""",Keri Hilson
70,71,"""Yoü and I""",Lady Gaga
71,72,"""Like a G6""",Far East Movement featuring The Cataracs and Dev
72,73,"""Without You""",David Guetta featuring Usher
73,74,"""Back to December""",Taylor Swift
74,75,"""Teenage Dream""",Katy Perry
75,76,"""Crazy Girl""",Eli Young Band
76,77,"""Cheers (Drink to That)""",Rihanna
77,78,"""Who Says""",Selena Gomez & the Scene
78,79,"""Barefoot Blue Jean Night""",Jake Owen
79,80,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett
80,81,"""Country Girl (Shake It for Me)""",Luke Bryan
81,82,"""Remind Me""",Brad Paisley and Carrie Underwood
82,83,"""In the Dark""",Dev
83,84,"""Backseat""",New Boyz featuring The Cataracs and Dev
84,85,"""Headlines""",Drake
85,86,"""Best Thing I Never Had""",Beyoncé
86,87,"""Don't Wanna Go Home""",Jason Derulo
87,88,"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj
88,89,"""She Ain't You""",Chris Brown
89,90,"""Take a Back Road""",Rodney Atkins
90,91,"""Please Don't Go""",Mike Posner
91,92,"""Sure Thing""",Miguel
92,93,"""Price Tag""",Jessie J featuring B.o.B
93,94,"""God Gave Me You""",Blake Shelton
94,95,"""She Will""",Lil Wayne featuring Drake
95,96,"""Are You Gonna Kiss Me or Not""",Thompson Square
96,97,"""Animal""",Neon Trees
97,98,"""You and Tequila""",Kenny Chesney featuring Grace Potter
98,99,"""Colder Weather""",Zac Brown Band
99,100,"""My Last""",Big Sean featuring Chris Brown
