,№,Title,Artist(s)
0,1,"""End of the Road""",Boyz II Men
1,2,"""Baby Got Back""",Sir Mix-a-Lot
2,3,"""Jump""",Kris Kross
3,4,"""Save the Best for Last""",Vanessa Williams
4,5,"""Baby-Baby-Baby""",TLC
5,6,"""Tears in Heaven""",Eric Clapton
6,7,"""My Lovin' (You're Never Gonna Get It)""",En Vogue
7,8,"""Under the Bridge""",Red Hot Chili Peppers
8,9,"""All 4 Love""",Color Me Badd
9,10,"""Just Another Day""",Jon Secada
10,11,"""I Love Your Smile""",Shanice
11,12,"""To Be with You""",Mr. Big
12,13,"""I'm Too Sexy""",Right Said Fred
13,14,"""Black or White""",Michael Jackson
14,15,"""Achy Breaky Heart""",Billy Ray Cyrus
15,16,"""I'll Be There""",Mariah Carey
16,17,"""November Rain""",Guns N' Roses
17,18,"""Life Is a Highway""",Tom Cochrane
18,19,"""Remember the Time""",Michael Jackson
19,20,"""Finally""",CeCe Peniston
20,21,"""This Used to Be My Playground""",Madonna
21,22,"""Sometimes Love Just Ain't Enough""",Patty Smyth and Don Henley
22,23,"""Can't Let Go""",Mariah Carey
23,24,"""Jump Around""",House of Pain
24,25,"""Diamonds and Pearls""",Prince and The New Power Generation
25,26,"""Don't Let the Sun Go Down on Me""",George Michael and Elton John
26,27,"""Masterpiece""",Atlantic Starr
27,28,"""If You Asked Me To""",Celine Dion
28,29,"""Giving Him Something He Can Feel""",En Vogue
29,30,"""Live and Learn""",Joe Public
30,31,"""Come and Talk to Me""",Jodeci
31,32,"""Smells Like Teen Spirit""",Nirvana
32,33,"""Humpin' Around""",Bobby Brown
33,34,"""Damn I Wish I Was Your Lover""",Sophie B. Hawkins
34,35,"""Tell Me What You Want Me to Do""",Tevin Campbell
35,36,"""Ain't 2 Proud 2 Beg""",TLC
36,37,"""It's So Hard to Say Goodbye to Yesterday""",Boyz II Men
37,38,"""Move This""",Technotronic featuring Ya Kid K
38,39,"""Bohemian Rhapsody""",Queen
39,40,"""Tennessee""",Arrested Development
40,41,"""The Best Things in Life Are Free""",Luther Vandross and Janet Jackson
41,42,"""Make It Happen""",Mariah Carey
42,43,"""The One""",Elton John
43,44,"""Set Adrift on Memory Bliss""",P.M. Dawn
44,45,"""Stay""",Shakespears Sister
45,46,"""2 Legit 2 Quit""",Hammer
46,47,"""Please Don't Go""",KWS
47,48,"""Breakin' My Heart (Pretty Brown Eyes)""",Mint Condition
48,49,"""Wishing on a Star""",The Cover Girls
49,50,"""She's Playing Hard to Get""",Hi-Five
50,51,"""I'd Die Without You""",P.M. Dawn
51,52,"""Good for Me""",Amy Grant
52,53,"""All I Want""",Toad the Wet Sprocket
53,54,"""When a Man Loves a Woman""",Michael Bolton
54,55,"""I Can't Dance""",Genesis
55,56,"""Hazard""",Richard Marx
56,57,"""Mysterious Ways""",U2
57,58,"""Too Funky""",George Michael
58,59,"""How Do You Talk to an Angel""",The Heights
59,60,"""One""",U2
60,61,"""Keep on Walkin'""",CeCe Peniston
61,62,"""Hold on My Heart""",Genesis
62,63,"""The Way I Feel About You""",Karyn White
63,64,"""Beauty and the Beast""",Celine Dion and Peabo Bryson
64,65,"""Warm It Up""",Kris Kross
65,66,"""In the Closet""",Michael Jackson
66,67,"""People Everyday""",Arrested Development
67,68,"""No Son of Mine""",Genesis
68,69,"""Wildside""",Marky Mark and the Funky Bunch
69,70,"""Do I Have to Say the Words?""",Bryan Adams
70,71,"""Friday I'm in Love""",The Cure
71,72,"""Everything About You""",Ugly Kid Joe
72,73,"""Blowing Kisses in the Wind""",Paula Abdul
73,74,"""Thought I'd Died and Gone to Heaven""",Bryan Adams
74,75,"""Rhythm Is a Dancer""",Snap!
75,76,"""Addams Groove""",Hammer
76,77,"""Missing You Now""",Michael Bolton
77,78,"""Back to the Hotel""",N2Deep
78,79,"""Everything Changes""",Kathy Troccoli
79,80,"""Have You Ever Needed Someone So Bad""",Def Leppard
80,81,"""Take This Heart""",Richard Marx
81,82,"""When I Look Into Your Eyes""",FireHouse
82,83,"""I Wanna Love You""",Jade
83,84,"""Uhh Ahh""",Boyz II Men
84,85,"""Real Love""",Mary J. Blige
85,86,"""Justified and Ancient""",The KLF
86,87,"""Slow Motion""",Color Me Badd
87,88,"""What About Your Friends""",TLC
88,89,"""Thinkin' Back""",Color Me Badd
89,90,"""Would I Lie to You?""",Charles & Eddie
90,91,"""That's What Love Is For""",Amy Grant
91,92,"""Keep Coming Back""",Richard Marx
92,93,"""Free Your Mind""",En Vogue
93,94,"""Keep It Comin'""",Keith Sweat
94,95,"""Just Take My Heart""",Mr. Big
95,96,"""I Will Remember You""",Amy Grant
96,97,"""We Got a Love Thang""",CeCe Peniston
97,98,"""Let's Get Rocked""",Def Leppard
98,99,"""They Want EFX""",Das EFX
99,100,"""I Can't Make You Love Me""",Bonnie Raitt
