,№,Title,Artist(s)
0,1,"""I Will Always Love You""",Whitney Houston
1,2,"""Whoomp! (There It Is)""",Tag Team
2,3,"""Can't Help Falling in Love""",UB40
3,4,"""That's the Way Love Goes""",Janet Jackson
4,5,"""Freak Me""",Silk
5,6,"""Weak""",SWV
6,7,"""If I Ever Fall in Love""",Shai
7,8,"""Dreamlover""",Mariah Carey
8,9,"""Rump Shaker""",Wreckx-n-Effect
9,10,"""Informer""",Snow
10,11,"""Nuthin' but a 'G' Thang""",Dr. Dre
11,12,"""In the Still of the Nite""",Boyz II Men
12,13,"""Don't Walk Away""",Jade
13,14,"""Knockin' da Boots""",H-Town
14,15,"""Lately""",Jodeci
15,16,"""Dazzey Duks""",Duice
16,17,"""Show Me Love""",Robin S.
17,18,"""A Whole New World""",Peabo Bryson and Regina Belle
18,19,"""If""",Janet Jackson
19,20,"""I'm So Into You""",SWV
20,21,"""Love Is""",Vanessa Williams and Brian McKnight
21,22,"""Runaway Train""",Soul Asylum
22,23,"""I'll Never Get Over You (Getting Over Me)""",Exposé
23,24,"""Ditty""",Paperboy
24,25,"""Rhythm Is a Dancer""",Snap!
25,26,"""The River of Dreams""",Billy Joel
26,27,"""I'm Gonna Be (500 Miles)""",The Proclaimers
27,28,"""Two Princes""",Spin Doctors
28,29,"""Right Here (Human Nature)"" / ""Downtown""",SWV
29,30,"""I Have Nothing""",Whitney Houston
30,31,"""Mr. Wendal""",Arrested Development
31,32,"""Have I Told You Lately""",Rod Stewart
32,33,"""Saving Forever for You""",Shanice
33,34,"""Ordinary World""",Duran Duran
34,35,"""If I Had No Loot""",Tony! Toni! Toné!
35,36,"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf
36,37,"""Slam""",Onyx
37,38,"""Looking Through Patient Eyes""",P.M. Dawn
38,39,"""I'm Every Woman""",Whitney Houston
39,40,"""Baby I'm Yours""",Shai
40,41,"""Come Undone""",Duran Duran
41,42,"""I Don't Wanna Fight""",Tina Turner
42,43,"""I'd Die Without You""",P.M. Dawn
43,44,"""Whoot, There It Is""",95 South
44,45,"""Hip Hop Hooray""",Naughty by Nature
45,46,"""Another Sad Love Song""",Toni Braxton
46,47,"""Will You Be There""",Michael Jackson
47,48,"""Comforter""",Shai
48,49,"""Good Enough""",Bobby Brown
49,50,"""What's Up?""",4 Non Blondes
50,51,"""All That She Wants""",Ace of Base
51,52,"""7""",Prince and The New Power Generation
52,53,"""Dre Day""",Dr. Dre
53,54,"""One Last Cry""",Brian McKnight
54,55,"""Just Kickin' It""",Xscape
55,56,"""I Get Around""",2Pac
56,57,"""Bed of Roses""",Bon Jovi
57,58,"""Real Love""",Mary J. Blige
58,59,"""Here We Go Again!""",Portrait
59,60,"""Cryin'""",Aerosmith
60,61,"""Cat's in the Cradle""",Ugly Kid Joe
61,62,"""What About Your Friends""",TLC
62,63,"""I Got a Man""",Positive K
63,64,"""Hey Mr. D.J.""",Zhané
64,65,"""Insane in the Brain""",Cypress Hill
65,66,"""Deeper and Deeper""",Madonna
66,67,"""Rain""",Madonna
67,68,"""The Right Kind of Love""",Jeremy Jordan
68,69,"""Bad Boys""",Inner Circle
69,70,"""That's What Love Can Do""",Boy Krazy
70,71,"""Do You Believe in Us""",Jon Secada
71,72,"""Angel""",Jon Secada
72,73,"""Forever in Love""",Kenny G
73,74,"""Again""",Janet Jackson
74,75,"""Boom! Shake the Room""",DJ Jazzy Jeff & The Fresh Prince
75,76,"""When She Cries""",Restless Heart
76,77,"""Sweat (A La La La La Long)""",Inner Circle
77,78,"""It Was a Good Day""",Ice Cube
78,79,"""More and More""",Captain Hollywood Project
79,80,"""How Do You Talk to an Angel""",The Heights
80,81,"""Rebirth of Slick (Cool Like Dat)""",Digable Planets
81,82,"""What Is Love""",Haddaway
82,83,"""To Love Somebody""",Michael Bolton
83,84,"""Give It Up, Turn It Loose""",En Vogue
84,85,"""Alright""",Kris Kross featuring Super Cat
85,86,"""Check Yo Self""",Ice Cube featuring Das EFX
86,87,"""Fields of Gold""",Sting
87,88,"""Ooh Child""",Dino
88,89,"""Faithful""",Go West
89,90,"""Reason to Believe""",Rod Stewart
90,91,"""Break It Down Again""",Tears for Fears
91,92,"""Nothin' My Love Can't Fix""",Joey Lawrence
92,93,"""Three Little Pigs""",Green Jellÿ
93,94,"""Livin' on the Edge""",Aerosmith
94,95,"""Hey Jealousy""",Gin Blossoms
95,96,"""If I Ever Lose My Faith in You""",Sting
96,97,"""Anniversary""",Tony! Toni! Toné!
97,98,"""One Woman""",Jade
98,99,"""Can't Get Enough of Your Love""",Taylor Dayne
99,100,"""Two Steps Behind""",Def Leppard
