,No.,Title,Artist(s)
0,1,"""When Doves Cry""",Prince
1,2,"""What's Love Got to Do with It""",Tina Turner
2,3,"""Say, Say, Say""",Paul McCartney and Michael Jackson
3,4,"""Footloose""",Kenny Loggins
4,5,"""Against All Odds (Take a Look at Me Now)""",Phil Collins
5,6,"""Jump""",Van Halen
6,7,"""Hello""",Lionel Richie
7,8,"""Owner of a Lonely Heart""",Yes
8,9,"""Ghostbusters""",Ray Parker Jr.
9,10,"""Karma Chameleon""",Culture Club
10,11,"""Missing You""",John Waite
11,12,"""All Night Long (All Night)""",Lionel Richie
12,13,"""Let's Hear It for the Boy""",Deniece Williams
13,14,"""Dancing in the Dark""",Bruce Springsteen
14,15,"""Girls Just Want to Have Fun""",Cyndi Lauper
15,16,"""The Reflex""",Duran Duran
16,17,"""Time After Time""",Cyndi Lauper
17,18,"""Jump (For My Love)""",The Pointer Sisters
18,19,"""Talking in Your Sleep""",The Romantics
19,20,"""Self Control""",Laura Branigan
20,21,"""Let's Go Crazy""",Prince & the Revolution
21,22,"""Say It Isn't So""",Daryl Hall & John Oates
22,23,"""Hold Me Now""",Thompson Twins
23,24,"""Joanna""",Kool & the Gang
24,25,"""I Just Called to Say I Love You""",Stevie Wonder
25,26,"""Somebody's Watching Me""",Rockwell
26,27,"""Break My Stride""",Matthew Wilder
27,28,"""99 Luftballons/99 Red Balloons""",Nena
28,29,"""I Can Dream About You""",Dan Hartman
29,30,"""The Glamorous Life""",Sheila E.
30,31,"""Oh Sherrie""",Steve Perry
31,32,"""Stuck on You""",Lionel Richie
32,33,"""I Guess That's Why They Call It the Blues""",Elton John
33,34,"""She Bop""",Cyndi Lauper
34,35,"""Borderline""",Madonna
35,36,"""Sunglasses at Night""",Corey Hart
36,37,"""Eyes Without a Face""",Billy Idol
37,38,"""Here Comes the Rain Again""",Eurythmics
38,39,"""Uptown Girl""",Billy Joel
39,40,"""Sister Christian""",Night Ranger
40,41,"""Drive""",The Cars
41,42,"""Twist of Fate""",Olivia Newton-John
42,43,"""Union of the Snake""",Duran Duran
43,44,"""The Heart of Rock & Roll""",Huey Lewis and the News
44,45,"""Hard Habit to Break""",Chicago
45,46,"""The Warrior""",Scandal
46,47,"""If Ever You're in My Arms Again""",Peabo Bryson
47,48,"""Automatic""",The Pointer Sisters
48,49,"""Let the Music Play""",Shannon
49,50,"""To All the Girls I've Loved Before""",Julio Iglesias and Willie Nelson
50,51,"""Caribbean Queen (No More Love on the Run)""",Billy Ocean
51,52,"""That's All""",Genesis
52,53,"""Running with the Night""",Lionel Richie
53,54,"""Sad Songs (Say So Much)""",Elton John
54,55,"""I Want a New Drug""",Huey Lewis and the News
55,56,"""Islands in the Stream""",Kenny Rogers and Dolly Parton
56,57,"""Love Is a Battlefield""",Pat Benatar
57,58,"""Infatuation""",Rod Stewart
58,59,"""Almost Paradise""",Mike Reno and Ann Wilson
59,60,"""Legs""",ZZ Top
60,61,"""State of Shock""",The Jacksons
61,62,"""Love Somebody""",Rick Springfield
62,63,"""Miss Me Blind""",Culture Club
63,64,"""If This Is It""",Huey Lewis and the News
64,65,"""You Might Think""",The Cars
65,66,"""Lucky Star""",Madonna
66,67,"""Cover Me""",Bruce Springsteen
67,68,"""Cum on Feel the Noize""",Quiet Riot
68,69,"""Breakdance""",Irene Cara
69,70,"""Adult Education""",Daryl Hall & John Oates
70,71,"""They Don't Know""",Tracey Ullman
71,72,"""An Innocent Man""",Billy Joel
72,73,"""Cruel Summer""",Bananarama
73,74,"""Dance Hall Days""",Wang Chung
74,75,"""Give It Up""",KC and the Sunshine Band
75,76,"""I'm So Excited""",The Pointer Sisters
76,77,"""I Still Can't Get Over Loving You""",Ray Parker Jr.
77,78,"""Thriller""",Michael Jackson
78,79,"""Holiday""",Madonna
79,80,"""Breakin'... There's No Stopping Us""",Ollie & Jerry
80,81,"""Nobody Told Me""",John Lennon
81,82,"""Church of the Poison Mind""",Culture Club
82,83,"""Think of Laura""",Christopher Cross
83,84,"""Time Will Reveal""",DeBarge
84,85,"""Wrapped Around Your Finger""",The Police
85,86,"""Pink Houses""",John Cougar Mellencamp
86,87,"""Round and Round""",Ratt
87,88,"""Head over Heels""",The Go-Go's
88,89,"""The Longest Time""",Billy Joel
89,90,"""Tonight""",Kool & the Gang
90,91,"""Got a Hold on Me""",Christine McVie
91,92,"""Dancing in the Sheets""",Shalamar
92,93,"""Undercover of the Night""",The Rolling Stones
93,94,"""On the Dark Side""",John Cafferty and the Beaver Brown Band
94,95,"""New Moon on Monday""",Duran Duran
95,96,"""Major Tom (Coming Home)""",Peter Schilling
96,97,"""Magic""",The Cars
97,98,"""When You Close Your Eyes""",Night Ranger
98,99,"""Rock Me Tonite""",Billy Squier
99,100,"""Yah Mo B There""",James Ingram and Michael McDonald
