,No.,Title,Artist(s)
0,1,"""(Everything I Do) I Do It for You""",Bryan Adams
1,2,"""I Wanna Sex You Up""",Color Me Badd
2,3,"""Gonna Make You Sweat (Everybody Dance Now)""",C+C Music Factory
3,4,"""Rush Rush""",Paula Abdul
4,5,"""One More Try""",Timmy T
5,6,"""Unbelievable""",EMF
6,7,"""More Than Words""",Extreme
7,8,"""I Like the Way (The Kissing Game)""",Hi-Five
8,9,"""The First Time""",Surface
9,10,"""Baby Baby""",Amy Grant
10,11,"""Motownphilly""",Boyz II Men
11,12,"""Because I Love You (The Postman Song)""",Stevie B
12,13,"""Someday""",Mariah Carey
13,14,"""High Enough""",Damn Yankees
14,15,"""From a Distance""",Bette Midler
15,16,"""All the Man That I Need""",Whitney Houston
16,17,"""Right Here, Right Now""",Jesus Jones
17,18,"""I Adore Mi Amor""",Color Me Badd
18,19,"""Love Will Never Do (Without You)""",Janet Jackson
19,20,"""Good Vibrations""",Marky Mark and the Funky Bunch featuring Loleatta Holloway
20,21,"""Justify My Love""",Madonna
21,22,"""Emotions""",Mariah Carey
22,23,"""Joyride""",Roxette
23,24,"""Romantic""",Karyn White
24,25,"""Hold You Tight""",Tara Kemp
25,26,"""I Don't Wanna Cry""",Mariah Carey
26,27,"""You're in Love""",Wilson Phillips
27,28,"""Every Heartbeat""",Amy Grant
28,29,"""Sensitivity""",Ralph Tresvant
29,30,"""Touch Me (All Night Long)""",Cathy Dennis
30,31,"""I've Been Thinking About You""",Londonbeat
31,32,"""Do Anything""",Natural Selection
32,33,"""Losing My Religion""",R.E.M.
33,34,"""Coming Out of the Dark""",Gloria Estefan
34,35,"""It Ain't Over 'til It's Over""",Lenny Kravitz
35,36,"""Here We Go""",C+C Music Factory
36,37,"""Where Does My Heart Beat Now""",Celine Dion
37,38,"""Summertime""",DJ Jazzy Jeff & The Fresh Prince
38,39,"""Wind of Change""",Scorpions
39,40,"""P.A.S.S.I.O.N.""",Rythm Syndicate
40,41,"""The Promise of a New Day""",Paula Abdul
41,42,"""I'm Your Baby Tonight""",Whitney Houston
42,43,"""Love of a Lifetime""",FireHouse
43,44,"""Fading Like a Flower (Every Time You Leave)""",Roxette
44,45,"""This House""",Tracie Spencer
45,46,"""Hole Hearted""",Extreme
46,47,"""Power of Love/Love Power""",Luther Vandross
47,48,"""Impulsive""",Wilson Phillips
48,49,"""Love Is a Wonderful Thing""",Michael Bolton
49,50,"""Rhythm of My Heart""",Rod Stewart
50,51,"""Things That Make You Go Hmmm...""",C+C Music Factory
51,52,"""I Touch Myself""",Divinyls
52,53,"""Tom's Diner""",DNA featuring Suzanne Vega
53,54,"""Iesha""",Another Bad Creation
54,55,"""Something to Talk About""",Bonnie Raitt
55,56,"""After the Rain""",Nelson
56,57,"""Play That Funky Music""",Vanilla Ice
57,58,"""Temptation""",Corina
58,59,"""Can't Stop This Thing We Started""",Bryan Adams
59,60,"""I Can't Wait Another Minute""",Hi-Five
60,61,"""3 a.m. Eternal""",The KLF
61,62,"""Time, Love and Tenderness""",Michael Bolton
62,63,"""Sadeness (Part I)""",Enigma
63,64,"""Around the Way Girl""",LL Cool J
64,65,"""I'll Be There""",The Escape Club
65,66,"""Cream""",Prince and The New Power Generation
66,67,"""Now That We Found Love""",Heavy D & the Boyz
67,68,"""Show Me the Way""",Styx
68,69,"""Love Takes Time""",Mariah Carey
69,70,"""Cry for Help""",Rick Astley
70,71,"""The Way You Do the Things You Do""",UB40
71,72,"""Here I Am (Come and Take Me)""",UB40
72,73,"""Signs""",Tesla
73,74,"""Too Many Walls""",Cathy Dennis
74,75,"""Crazy""",Seal
75,76,"""I'll Give All My Love to You""",Keith Sweat
76,77,"""Place in this World""",Michael W. Smith
77,78,"""Something to Believe In""",Poison
78,79,"""Wicked Game""",Chris Isaak
79,80,"""Get Here""",Oleta Adams
80,81,"""Round and Round""",Tevin Campbell
81,82,"""Silent Lucidity""",Queensrÿche
82,83,"""I'm Not in Love""",Will to Power
83,84,"""Piece of My Heart""",Tara Kemp
84,85,"""Real Real Real""",Jesus Jones
85,86,"""Everybody Plays the Fool""",Aaron Neville
86,87,"""Just Another Dream""",Cathy Dennis
87,88,"""Strike It Up""",Black Box
88,89,"""Rico Suave""",Gerardo
89,90,"""Disappear""",INXS
90,91,"""Groove Is in the Heart""",Deee-Lite
91,92,"""All This Time""",Sting
92,93,"""The One and Only""",Chesney Hawkes
93,94,"""O.P.P.""",Naughty by Nature
94,95,"""Freedom! '90""",George Michael
95,96,"""I Saw Red""",Warrant
96,97,"""Miles Away""",Winger
97,98,"""Do You Want Me""",Salt-n-Pepa
98,99,"""The Motown Song""",Rod Stewart
99,100,"""Shiny Happy People""",R.E.M.
