Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,"5 ContributorsOld Town Road Lyrics
Yeehaw
Mmmmm
You know what I done, done
Mmmmm

Yeah, I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more
I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more
{Kio, Kio)

I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots, that's black to match
Riding on a horse, ha
You can whip your Porsche
I've been in the valley, you ain't been up off that porch now

Can't nobody tell me nothing
You tryna tell me nothing
Can't nobody tell me nothang
You can't tell me nothing

I like me a bitch out the gutter (Uh-huh)
I like me a bitch that can hustle (Uh-huh)
I light up her wrist, had to bust her
She wanna pop a G6 wit me (Go)
Then I bought her a G63 (Skrrrt)
Then I had gave her the recipe (Woo)
Look at her, now she the best of me (Best)
Wondering why she obsessed with me (Sexy)
You niggas don't get as fresh as me (Nah)
Bought her the Tiffany, Patek Phillipe (Go)
Just like a baby, I rock her to sleep
Take the bitch to France, make her diamonds dance
She done seen the Lamb', taking off her pants
This a hundred bands, no, it's not a scam
This is Marni Bucket, and, it was made of lamb (Marni)
No, I wasn't lucky, I was in the jam
Man, I came from nothing, I was serving pounds
I've been getting money, I can run the Town
Baby girl, you lucky, I can spend it now (Whoo)

Can't nobody tell me nothing
You tryna tell me nothing
Can't nobody tell me nothang
You can't tell me nothing

Riding on a tractor, lean all in my bladder
Cheated on my baby, you can go and ask her
My life is a movie, bull riding and boobies
Cowboy hat from Gucci, wrangler around my booty

Can't nobody tell me nothing
You tryna tell me nothing
Can't nobody tell me nothing
You can't tell me nothing

Yeah, I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more
I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more

Hat down, cross Town living like a rockstar
Spent a lot of money on my brand new guitar
Baby's got a habit: Diamond Rings and Fendi Sport Brawls
Riding down Rodeo in my Masarati Sports-Car
Got no stress, I've been thru all that
I'm like a Marlboro Man so I kick on back
Wish I could roll on back to that Old Town Road
I wanna ride till I can't no more

Yeah, I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more
I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more

Masarati Rowdy got a V-12 for my bride (Skrrrt)
Foggy Rocky Road got a 3-wheeler inside (Ayy)
All I wanna do is take a pill, catch a chill vibe
Real prince, uh, I'm really the real don
(I'mma take....) I'ma take a horse to the Southberry Road
I don't remember her name but I painted on her nose (Ay)
Country money, I don't gotta do no chores
I'm a menace, I've got women tryna sneak me thru they doors (Skrrrt)

Can't nobody tell me nothing
You can't tell me
Can't nobody tell me nothing
You can't tell me, you can't tell me

(Brrrrrrt)
If it's us versus them, who you think gon' win? (Who?)
If it's us versus them, who you think gon' win? (Bitch!)
If it's us versus them, who you think gon' win? (Us)
Bet not drop that PIN (Drop it, drop it)
We gone spin again
I'ma spin (Spin, spin)
We gone slide (Slide)
Drop that PIN, pussy nigga, come outside (Come outside)
I been running out that chicken, I ain't tired (Dough)
Ain't shed another tear since when my grandma died (Grandma, Grandma)
I got all white rose with the bloody guts inside (Yup)
Think shit sweet then try it, step in the shoes, they not yo size (Niggas ain't stepping)
The back of the Maybach, I sit in recline (Think about what)
And I got Franklins all on my mind then chrome the spin (What else)
Chrome the 9 (Then what)
Bullet proof the ride (Skrrrrrrrrt!)
We spin the block and yell our ""He ain't outside!"" (Where he at)
Heard we had a wedding, he must be the bride (Shit)
I take them pies, subtract them & divide (Take on!)
Fuck the other shit, I'm going for the win (Fucking win)
Pulled up with that bitch then pulled up with his friends (Skrrrt)

Hold up, let me tell y'all something
You can't tell me nothing
Can't nobody tell me nothing
You can't tell me nothing

Hop up in my RZR, got a thousand acres
Ride up on the cows with it, pray that it don't phase her
Ay-yo, Ay-yo
Yippe-o-kay-yay-ay-ay
If you ain't got giddy up then giddy out my way

I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more
I'm gonna take my horse to the Old Town Road
I'm gonna ride till I can't no more

Yeehaw",
1,2,"""Sunflower""",Post Malone and Swae Lee,"6 ContributorsTranslationsEnglishTürkçeРусский (Russian)FrançaisNederlandsDeutschPost Malone & Swae Lee - Sunflower (Traducción al Español) Lyrics

Ey, ey, ey, ey (Uh)
Uh, uh, uh, uh (Uh)
Ey, ey
Uh, uh, uh, uh

Huelga decir que lo mantengo bajo control
Ella era toda mal-mala, sin embargo (Sí)
Ahora que te llamo, nena, me siento en un naufragio (Naufragio)
Choqué en mi casa, bebé, eres un naufragio (Naufragio)
No hace falta decir que la estoy controlando
Ella estaba toda mal-mal, sin embargo
Ahora que te llamo, nena, me siento en un naufragio
Choca en mi casa, nena, eres un desastre
Pensando de mala manera, perdiendo tu agarre
Gritándome en la cara cara, nena, no tropieces
Alguien se fumó un porro grande, no sé cómo se sintió
Mirándote de lado, fiesta en Tilt
Uh, uh, algunas cosas que simplemente no puedes rechazar
Ella me quiere montar como un crucero y no estoy tratando de perder

Entonces te quedas en el polvo
A menos que me quede atrapado por ti
Eres el girasol, creo que tu amor sería demasiado
O te quedarás en el polvo, a menos que me quede atrapado por ti
Eres el girasol, eres el girasol

Cada vez que me alejo (Uh)
No me lo pones fácil, no (no, no)
Ojalá pudiera estar ahí para ti (Uh)
Dame una razón para-, oh (Oh)
Cada vez que estoy saliendo (Oh)
Puedo escucharte diciéndome que me dé la vuelta (Oh, oh)
Luchando por mi confianza y no retrocederás (No)
Incluso si tenemos que arriesgarnos todo ahora, oh (Ahora)
Sé que tienes miedo de lo desconocido (-conocido)
No quieres estar solo (solo)
Sé que siempre voy y voy (y voy)
Pero está fuera de mi control

Y te quedarás en el polvo, a menos que me quede atrapado por ti
Eres el girasol, creo que tu amor sería demasiado
O te quedarás en el polvo, a menos que me quede atrapado por ti
Eres el girasol, eres el girasol (Yeah)",
2,3,"""Without Me""",Halsey,"229 ContributorsTranslationsTürkçeEspañolPortuguêsItalianoMagyarFrançaisفارسیDanskالعربيةSlovenščinaPolskiWithout Me Lyrics“Without Me” is the first new song released by Halsey since her 2017 album, hopeless fountain kingdom. The track is directed at her ex G-Eazy after she was “cheated on in front of the entire world, like, a… Read More 
Found you when your heart was broke
I filled your cup until it overflowed
Took it so far to keep you close (Keep you close)
I was afraid to leave you on your own (Ooh)

I said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why (I don't know why, yeah, yeah)

Gave love 'bout a hundred tries (Hundred tries)
Just runnin' from the demons in your mind
Then I took yours and made 'em mine (Mine)
I didn't notice 'cause my love was blind

Said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why, yeah

You don't have to say just what you did (What you did)
I already know (I know)
I had to go and find out from them (Oh-woah)
So tell me, how's it feel? (Oh-woah)

Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)","pop, indie pop, indie, alternative, female vocalists"
3,4,"""Bad Guy""",Billie Eilish,"360 ContributorsTranslationssrpskiTürkçeSvenskaEspañolРусский (Russian)RomânăPortuguêsPolskiItalianoעברית (Hebrew)DeutschFrançaisفارسیNederlandsDansk繁體中文 (Traditional Chinese)Ελληνικάالعربيةไทย (Thai)MagyarbosanskiČeskybad guy Lyrics“bad guy” is a playful, bass-heavy track that sees Eilish taunting her lover, flaunting her tough nature while questioning his own.
It was first proven to exist after Eilish teased a snippet of the track on… Read More 
White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy, duh
I'm only good at bein' bad, bad
I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm, I'm a bad guy
Bad guy, bad guy
I'm a bad","pop, indie pop, electropop, alternative, art pop"
4,5,"""Wow""",Post Malone,"227 ContributorsTranslationsРусский (Russian)EspañolNederlandsTürkçeWow. Lyrics“Wow.” is Post Malone’s first single for his third studio album, Hollywood’s Bleeding, and was also Post’s first release since his October 2018 collaboration with Swae Lee, “Sunflower.”
The song is… Read More 
Said she tired of little money, need a big boy
Pull up 20 inch blades like I'm Lil’ Troy
Now it's everybody flockin', need a decoy
Shawty mixing up the vodka with the LaCroix, yeah
G-Wagen, G-Wagen, G-Wagen, G-Wagen
All the housewives pullin’ up (Up, up)
I got a lot of toys, 720S bumpin' Fall Out Boy
You was talkin' shit in the beginning (Mm-mm)
Back when I was feelin' more forgivin' (More forgivin')
I know it piss you off to see me winnin' (See me winnin')
See the igloo in my mouth when I be grinnin’ (I be grinnin’), yeah

Hunnid bands in my pocket, it's on me
Hunnid deep when I roll like the army
Get more bottles, these bottles are lonely
It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)
Hunnid bands in my pocket, it's on me (On me)
Yeah, your grandmama probably know me (Know me)
Get more bottles, these bottles are lonely
It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)

Everywhere I go (Hey)
Catch me on the block like I'm Mutombo (Wow)
750 Lambo in the Utah snow (Skrrt)
Trunk in the front like that shit Dumbo, yeah
Cut the roof off like a nip-tuck
Pull up to the house with some big butts
Turn the kitchen counter to a strip-club (Yeah, wow)
Me and Dre came for the...
When I got guap, all of y'all just appeared (Wow)
Before I dropped Stoney, none of y'all really cared (Cared)
Now they always say, ""Congratulations,"" to the kid (Kid)
And this is not a 40, but I'm pourin' out this shit (Yeah)
Used to have a lot, but I got more now (Yup)
Made another hit 'cause I got bored now (Yup)
Always goin' for it, never punt fourth down
Last call, Hail Mary, Prescott touchdown, ayy

Hunnid bands in my pocket, it's on me (On me)
Hunnid deep when I roll like the army (Hey)
Get more bottles, these bottles are lonely
It's a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)
Hunnid bands in my pocket, it's on me (Goddamn)
Yeah, your grandmama probably know me (Goddamn)
Get more bottles, these bottles are lonely
It's a moment when I show up, got 'em sayin', ""Wow""

Got 'em sayin', ""Wow""
Ayy, ayy, wow
Sayin', ""Wow""
Wow
Wow","Hip-Hop, rap, trap, cloud rap, pop"
5,6,"""Happier""",Marshmello and Bastille,"2 ContributorsTranslationsEnglishไทย (Thai)Русский (Russian)فارسیItalianoDeutschMarshmello & Bastille - Happier (Traducción al Español) Lyrics

Últimamente, he estado, he estado pensando
Quiero que seas más feliz, quiero que seas más feliz

Cuando llega la mañana
Cuando vemos en lo que nos hemos convertido
En la fría luz del día, somos una llama en el viento
No el fuego que hemos iniciado
Cada discusión, cada palabra no podemos retractar
Por todo lo que ha pasado
Creo que sabemos la forma en que termina esta historia

Luego por solo un minuto
Quiero cambiar de mеnte
Porque esto no sе siente bien para mí
Quiero levantar tus ánimos
Quiero verte sonreír pero
Sé que significa que tendré que irme

Sé que significa que tendré que irme
Últimamente, he estado, he estado pensando
Quiero que seas más feliz, quiero que seas más feliz

Cuando llega la tarde
Y me quedo con mis pensamientos
Y la imagen de ti estando con otra persona
Bueno, me está comiendo por dentro
Pero corrimos nuestro curso, fingimos que estábamos bien
Ahora si saltamos juntos, al menos podemos nadar
Lejos del la ruina que hicimos

Luego por solo un minuto
Quiero cambiar de mente
Porque esto no se siente bien para mí
Quiero levantar tus ánimos
Quiero verte sonreír pero
Sé que significa que tendré que irme

Sé que significa que tendré que irme
Últimamente, he estado, he estado pensando
Quiero que seas más feliz, quiero que seas más feliz

Así que me iré, me iré
Yo me iré, iré, iré
Así que me iré, me iré
Yo me iré, iré, iré

Últimamente, he estado, he estado pensando
Quiero que seas más feliz, quiero que seas más feliz
A pesar que podría no gustarme esto
Creo que serás más feliz, quiero que seas más feliz

Luego por solo un minuto (Por solo un minuto)
Quiero cambiar de mente
Porque esto no se siente bien para mí (Bien para mí)
Quiero levantar tus ánimos (Levantar tus ánimos)
Quiero verte sonreír pero
Sé que significa que tendré que irme

Sé que significa que tendré que irme
Últimamente, he estado, he estado pensando
Quiero que seas más feliz, quiero que seas más feliz

Así que me iré, me iré
Yo me iré, iré, iré",
6,7,"""7 Rings""",Ariana Grande,"486 ContributorsTranslationsTürkçeEspañolRomânăPortuguêsPolskiItalianoעברית (Hebrew)ΕλληνικάDeutschFrançaisNederlandsDanskفارسیالعربيةРусский (Russian)Česky7 rings Lyrics“7 rings,” which features Ariana boasting about money and many other luxuries, including diamonds and houses, is the second official single from Ariana Grande’s fifth studio album, thank u, next after Ariana… Read More 
Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)
Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)","pop, rnb, female vocalists, Ariana Grande, american"
7,8,"""Talk""",Khalid,"88 ContributorsTranslationsفارسیEspañolTalk Lyrics“Talk” is the lead single from Khalid’s sophomore album. The song marks his first collaboration with electronic production duo Disclosure.
In the song, Khalid laments about a relationship moving too fast and… Read More 
Can we just talk? Can we just talk?
Talk about where we're goin'
Before we get lost, lend me your thoughts
Can't get what we want without knowin'
I've never felt like this before
I apologize if I'm movin' too far
Can we just talk? Can we just talk?
Figure out where we're goin'

Yeah, started off right
I can see it in your eyes
I can tell that you're wantin' more
What's been on your mind?
There's no reason we should hide
Tell me somethin' I ain't heard before

Oh, I've been dreamin' 'bout it
And it's you I'm on
So stop thinkin' 'bout it

Can we just talk? Can we just talk?
Talk about where we're goin'
Before we get lost, lend me your thoughts (Yeah)
Can't get what we want without knowin' (No)
I've never felt like this before
I apologize if I'm movin' too far
Can we just talk? Can we just talk?
Figure out where we're goin'

Oh, nah
Penthouse view, left some flowers in the room
I'll make sure I leave the door unlocked
Now I'm on the way, swear I won't be late
I'll be there by five o'clock

Oh, you've been dreamin' 'bout it
And I'm what you want
So stop thinkin' 'bout it

Can we just talk? (Oh) Can we just talk?
Talk about where we're goin'
Before we get lost, lend me your thoughts
Can't get what we want without knowin'
I've never felt like this before
I apologize if I'm movin' too far
Can we just talk? Can we just talk?
Figure out where we're goin'

Figure out where we're goin'","soul, rnb, pop, alternative rnb, alternative"
8,9,"""Sicko Mode""",Travis Scott,"931 ContributorsTranslationsEspañolPortuguêsРусский (Russian)TürkçeFrançaisDeutschItalianoSICKO MODE Lyrics“SICKO MODE” refers to Travis and Drake’s work ethic, showing they’re a cut above the competition by going into “sicko” or “beast” mode.
“Sicko,” or “6icko” (the 6 referring to Drake’s hometown Toronto), is… Read More 

Astro, yeah

Sun is down, freezin' cold
That's how we already know, winter's here
My dawg would probably do it for a Louis belt
That's just all he know, he don't know nothin' else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Goin' on you with the pick and roll
Young La Flame, he in sicko mode

(Woo) Made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes
This shit way too big, when we pull up, give me the loot (Gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two-four hour lockdown, we made no moves
Now it's 4 a.m. and I'm back up poppin' with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really sellin' fruits
And they chokin', man, know the crackers wish it was a noose

Some-some-some-someone said
To win the retreat, we all in too deep
Play-play-playin' for keeps, don't play us for weak (Someone said)
To win the retreat, we all in too deep
Play-play-playin' for keeps, don't play us for weak

Yeah, this shit way too formal, y'all know I don't follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the bootch
'Bout to turn this function to Bonnaroo
Told her, ""Hop in, you comin' too""
In the 305, bitches treat me like I'm Uncle Luke
(Don't stop, pop that pussy!)
Had to slop the top off, it's just a roof, uh
She said, ""Where we goin'?"" I said, ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together? I'm the glue

Someone said
Shorty FaceTimed me out the blue
Someone said
Play-playin' for keeps
Someone said, mother****, someone said
Don't play us for weak


Yeah
Astro, yeah, yeah
(Tay Keith, fuck these niggas up)
Ayy, ayy

She's in love with who I am
Back in high school, I used to bus it to the dance (Yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, thirteen hours 'til I land
Had me out like a light, ayy, yeah
Like a light, ayy, yeah

Like a light, ayy, slept through the flight, ayy
Knocked for the night, ayy
767, man, this shit got double bedroom, man
I still got scores to settle, man
I crept down the block (Down the block)
Made a right (Yeah, right)
Cut the lights (Yeah, what?), paid the price (Yeah)
Niggas think it's sweet (Nah, never), it's on sight (Yeah, what?)
Nothin' nice (Yeah), baguettes in my ice (Aw, man)
Jesus Christ (Yeah), checks over stripes (Yeah)
That's what I like (Yeah), that's what we like (Yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (Bitch)
See the shots that I took (Ayy), wet like I'm Book (Ayy)
Wet like I'm Lizzie
I be spinnin' Valley, circle blocks 'til I'm dizzy (Yeah, what?)
Like where is he? (Yeah, what?)
No one seen him (Yeah, yeah)
I'm tryna clean 'em (Yeah)

She's in love with who I am
Back in high school, I used to bus it to the dance
Now I hit the FBO with duffels in my hands (Woo)
I did half a Xan, thirteen hours 'til I land
Had me out like a light (Like a light)
Like a light (Like a light)
Like a light (Like a light)
Like a light

Yeah, passed the dawgs a celly
Sendin' texts, ain't sendin' kites, yeah
He said, ""Keep that on lock""
I say, ""You know this shit, it's stife,"" yeah
It's absolute, yeah (Yeah), I'm back, reboot (It's lit)
LaFerrari to Jamba Juice, yeah (Skrrt, skrrt)
We back on the road, they jumpin' off, no parachute, yeah
Shorty in the back
She said she workin' on her glutes, yeah (Oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah (Check), just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (Yeah)
Baby mama cover Forbes, got these other bitches shook
Yeah","Hip-Hop, trap, rap, travis scott, hip hop"
9,10,"""Sucker""",Jonas Brothers,"167 ContributorsTranslationsDeutschไทย (Thai)PortuguêsEspañolSucker Lyrics“Sucker” is an upbeat pop song, and the band’s first single in almost six years. The brothers collectively portray someone who is infatuated with someone and for whom they would go to great lengths. The light… Read More 
We go together
Better than birds of a feather, you and me
We change the weather, yeah
I'm feelin' heat in December when you're 'round me

I've been dancin' on top of cars and stumblin' out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious

I'm a sucker for you
Say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I'm a sucker for all the subliminal things
No one knows about you (About you), about you (About you)
And you're makin' the typical me break my typical rules
It's true, I'm a sucker for you

Yeah

Don't complicate it (Yeah)
'Cause I know you and you know everything about me
I can't remember (Yeah) all of the nights
I don't remember when you're 'round me (Oh, yeah, yeah)

I've been dancin' on top of cars and stumblin' out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious

I'm a sucker for you
Say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I'm a sucker for all the subliminal things
No one knows about you (About you), about you (About you)
And you're makin' the typical me break my typical rules
It's true, I'm a sucker for you

Yeah (Uh)
(I'm a sucker for you)

I've been dancin' on top of cars and stumblin' out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious

I'm a sucker for you
Say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I'm a sucker for all the subliminal things
No one knows about you (About you), about you (About you)
And you're makin' the typical me break my typical rules
It's true, I'm a sucker for you

(Uh)
I'm a sucker for you","pop, pop rock, Disney, rock, pop punk"
